evaluations raw_y
1 56884465.4996950477
2 30712757.3285079077
16 18013723.7683167458
31 16608104.3853974901
33 10841720.0210560225
39 7771207.1196622243
52 6353165.4735665675
61 6065424.9553172095
76 4803171.0899655093
86 3738198.3185080192
164 3317804.6660898668
289 2923852.6030651298
398 2034726.6711364847
523 1955919.7804364080
631 1585909.7915749585
656 1510176.8836363764
766 1505747.9373446570
791 1393087.6332354080
915 1078920.9257796286
1081 1020836.7112329050
1084 660070.5652286095
1603 652282.8772474892
1761 644295.4272199118
1883 625495.7628916363
1922 624602.6368871211
1947 586191.2854587444
1965 561889.9912696179
1994 518676.9575036014
2075 497198.3996679946
2243 455791.9563264566
2313 453184.4138049191
2519 434081.1022479113
2768 384424.3161542354
3256 357573.9267815321
3430 351164.5248936246
3731 333133.6750955813
3846 324848.7247044752
3941 312393.8473850673
4071 311240.8362943141
4258 282205.4439554642
4889 267204.1729341517
4974 264859.7204859378
5082 256197.2902748359
5135 249229.5071141802
5149 240007.9748193079
5188 224474.9097595089
5217 211387.8039759257
5480 203764.6533144546
5638 188168.1665667629
6181 178837.9262208105
6624 177552.1899554424
6788 172004.4894115198
7049 168472.7336222016
7055 167532.0992178753
7089 164753.4363104001
7091 156668.4151222815
7476 155825.3023150786
7478 153014.0920419987
7521 142998.5619318461
8272 142816.1934836702
8329 139351.1205813144
8400 138137.3796479450
8554 135782.3077676117
8597 132967.3905376873
8652 130481.4060486328
8786 129628.0340603172
9104 127891.1242397447
9127 127649.1668349919
9257 118965.1641053311
9436 118931.0881493817
9813 112758.2051940265
9829 110380.8740471949
9903 108863.8198713315
10000 108371.8417475464
10044 102470.0652736782
10444 102328.6255491334
10541 101247.5242346272
10649 95504.8735785667
10925 92058.6811197751
11021 91082.5785386143
11254 90652.5062024836
11289 88369.5444962190
11294 88128.0725301018
11334 86992.2843023606
11440 84313.5073118065
11502 83620.2774886396
11510 83335.2403931807
11533 83333.3409837091
11536 78895.2858208313
11549 74674.0190906699
11953 59619.9707385212
12582 58858.0756954591
12585 55382.3225905750
12975 55110.2060907651
13191 48187.5730485050
13239 46943.9084379522
13344 43048.8284410818
13529 41763.6640423166
13572 41521.5320612527
13592 39370.0091195963
13641 35861.2003710997
13674 34896.8260819941
13961 33777.9364069762
14108 31697.7605726419
14384 28538.2222129200
14897 26239.6879349721
15071 24855.8749293066
15200 24381.9047659349
15315 23184.5408870954
15713 21909.8492899564
15785 21557.0740435459
15871 20091.4351861322
16034 19154.5632023199
16198 18903.1826115095
16213 16787.5932785137
16737 16220.9727247431
16921 16049.8218219747
17018 15781.1371297932
17050 15746.3116241798
17327 14652.5510849584
17341 14611.6034504733
17554 14237.5318410780
17660 13349.1928514057
18047 13053.9169748484
18071 13031.4839598177
18186 12630.0866133808
18277 12370.1890381298
18289 12032.0721712515
18478 11974.2429411624
18570 11902.8238567358
18715 11738.1481208669
18726 11638.0942338516
18751 11549.1012696060
18846 11036.4475791059
19495 10976.3622008116
19646 10860.9372321149
19740 10716.9855964066
19808 10538.7804807744
19918 10437.0946023781
20051 10192.2825464014
20465 10177.4971000238
20536 10160.4627851837
20545 10148.5759556491
20547 10148.5157644430
20584 10061.6526279229
20626 10048.6339490405
20664 10016.9669096365
20707 9945.3278249910
20730 9886.8950735980
20813 9526.6857745089
21144 9525.3841624428
21315 9464.3863933994
21379 9376.4971200118
21823 9170.5072076200
22206 9083.5689552184
22241 9036.9867397618
22270 9033.8669743356
22435 8930.5392371316
22484 8862.1975998368
22670 8788.3570027048
22744 8772.7880230635
22804 8708.5999850735
23089 8648.3428816311
23190 8599.2499073359
23202 8588.2962364930
23281 8570.6851560126
23282 8499.9052241260
23293 8457.6349667594
23457 8377.7917647178
23607 8335.6939844148
23934 8194.3869208607
24019 8142.3180538901
24106 8115.5657800327
24288 7933.5936326076
24385 7780.2834636973
24654 7748.0844972941
24694 7521.0844320214
24872 7520.7738098001
24933 7370.8983869164
25095 7164.4496361326
25222 7058.1665328941
25680 7017.2930493142
25815 7007.5778209971
25845 6998.0270920531
25933 6873.7374926157
26032 6858.3929189108
26033 6697.3697774385
26138 6659.7061749762
26142 6463.9595844738
26452 6452.5193012749
26461 6336.6617149971
26635 6309.9676463402
26665 6228.3528251302
27194 6209.3091718865
27230 6116.8425058959
27293 6098.0321852923
27460 6017.9821793142
27532 5832.5295996304
27680 5765.5841303400
27784 5762.3660720247
27813 5608.4766620682
27940 5503.9949882995
28139 5464.3178730163
28174 5377.2757770279
28177 5209.7257259290
28571 5206.9638976859
28644 5174.9968253325
28835 5096.6854111623
28876 5088.3204155713
28958 5033.7504838213
29041 5001.1783300835
29293 4964.9703049269
29309 4926.5174952212
29365 4918.3164559951
29564 4864.0198718702
29650 4840.9563332654
29760 4833.8208654014
29778 4822.5872269356
29810 4815.5174748096
29832 4730.7798659705
29986 4707.6438933618
29987 4672.3968770372
30021 4597.0054967141
30031 4591.4049934918
30053 4571.0533718695
30334 4519.7508266270
30396 4486.7737418061
30527 4425.6627450045
30687 4257.4548249663
31073 4229.3388573377
31697 3989.0368931956
31983 3981.3025934902
31994 3980.1117799409
32212 3979.0859449842
32213 3940.5934658765
32401 3915.6593761855
32554 3912.2526009008
32617 3871.2896137871
32795 3860.1493809370
32811 3856.3062767361
32814 3840.9144617972
32861 3835.8313499697
32894 3803.2783337114
32897 3770.9291281198
33016 3758.5739748391
33047 3756.5631578371
33108 3663.7076735750
33272 3657.9838611393
33750 3617.9054311366
33828 3593.2335891751
33860 3543.9252042152
34074 3528.5381299483
34461 3413.5098137748
34619 3315.8582854950
35225 3275.6368539426
35341 3262.9892052482
35686 3213.3849137647
35935 3204.5239252820
36001 3195.9128729326
36028 3177.5113669220
36206 3069.1548471948
36254 3039.7257925937
36460 3033.0190195311
36547 3013.8329105812
36566 3010.0653933338
36597 2999.4789191299
36657 2955.4232853847
36954 2908.0074858697
36971 2884.2767791178
37120 2854.1712850753
37121 2810.1281736492
37649 2789.0329278617
37807 2754.7269044805
38238 2748.1066827025
38255 2714.4352354479
38381 2699.0158898797
38531 2650.5572562854
38547 2645.1797359226
38682 2636.3013446965
38752 2625.3607372737
38803 2612.5375843622
38845 2600.5606413485
38851 2584.1594818944
38969 2576.3412404934
38970 2573.1665545214
39070 2522.2293518588
39086 2504.9919799664
39264 2456.4004214872
39454 2449.5363737063
39544 2430.9207981749
39977 2401.7188267926
40022 2333.8961700262
40268 2327.6638845966
40509 2325.6043447778
40566 2323.8622502488
40597 2271.2872219552
40808 2258.2522112794
40853 2240.0367135416
40861 2219.1542619496
40866 2218.1661809286
40934 2212.0442930038
41013 2193.1199323151
41304 2138.4149122786
41458 2129.7472856255
41587 2116.3748047285
41906 2109.3914956775
41944 2101.1059259620
41975 2072.0453599444
41981 2065.1600377785
42011 2051.3498339024
42054 2031.8554082781
42121 2008.6192707950
42246 1983.4015761464
42344 1960.7674611292
42402 1915.0017148898
42558 1897.1702876921
42696 1891.0811378319
42984 1843.6594106712
43113 1800.0002909660
43353 1792.7474776984
43484 1746.4357550875
43536 1735.2890218850
43603 1712.0652173102
43759 1710.4978331730
43770 1674.9424354896
44100 1659.8576052013
44202 1627.1652022925
44226 1574.8756666055
45102 1562.4754631410
45127 1557.2426860154
45238 1544.1898641441
45269 1538.8376674650
45385 1537.5133137424
45562 1530.7542004757
45575 1525.2806231276
45720 1520.4800174121
45791 1520.4530535424
45873 1513.8427166721
45922 1503.7333957149
45931 1492.8857355575
46017 1485.1610722052
46107 1478.3400753920
46115 1441.2582148965
46435 1429.8908343375
46512 1429.8350137582
46595 1423.9838996783
46669 1415.8374840615
46670 1412.0023575900
46676 1407.7783661087
46800 1396.9035647133
46847 1395.7752082703
46889 1383.4855865969
47007 1364.6135232450
47117 1348.3247871357
47273 1339.5735823045
47333 1330.3943998109
48006 1329.0517857490
48337 1322.3520003993
48403 1302.8743517191
48668 1297.6404421840
48778 1265.6186862996
48914 1261.1665234425
49135 1243.9245786336
49609 1242.6890879805
49698 1200.7688241808
50008 1184.5083278602
50523 1161.2705548910
50619 1159.3949672467
50677 1156.7958909481
50741 1140.1426573605
50899 1125.2338629219
50918 1111.2162450303
50930 1094.9950041301
51356 1085.0016771388
51443 1062.1590124367
51563 1060.9564535720
51658 1050.7063436326
51876 1047.5131074346
51983 1046.4593414546
52053 1039.3540874435
52265 1034.1837581616
52273 1031.4015738890
52314 1030.3893028029
52326 1026.7132770422
52333 1025.5390472908
52349 1011.2285447783
52530 1009.4844854408
52548 1006.8763846757
52587 986.1866334258
52851 984.6820947006
52910 984.0894359790
52926 982.6063098888
52930 969.3280664418
52951 964.6250808437
53081 963.8642903303
53212 963.5748065973
53236 959.9231965253
53338 945.8328774290
53497 940.8940026310
53507 940.0618008987
53536 930.7761924410
53740 922.4541046734
53810 921.1422137321
53819 913.5019426908
53882 904.7991305402
54129 895.4648621638
54148 878.9212032338
54360 874.7783262677
54415 874.3184365692
54513 866.1707211424
54515 850.4554488671
54810 831.1299303631
54980 806.8806331888
55316 798.8952789138
55338 788.2796649582
55415 784.3239627337
55438 769.8874569098
55511 768.4311534804
55554 767.7037103051
55578 762.5613440763
55892 761.1896531348
55948 757.5576608499
55957 754.4908571646
56023 753.5833060608
56031 738.9856358142
56108 735.0672103651
56266 726.7073839278
56343 723.1676554992
56350 722.2967182492
56357 716.1183423314
56376 706.3234359872
56383 700.2636134967
56577 699.4426763333
56688 684.3079195950
57203 683.4749064115
57204 682.5644283076
57261 680.4739011642
57273 669.7193416654
57488 665.8841268900
57501 658.5418912364
57649 646.0532704659
57732 640.7504285447
57807 638.3520465767
57864 625.3831667037
57913 620.4325922263
57962 619.3861542660
58191 617.7991619646
58293 610.1120883566
58329 604.3805325681
58343 604.1006205875
58475 603.0847779424
58478 584.1566606275
58705 580.3755546616
58827 576.0357623224
58900 568.3462475143
59189 567.7122074682
59228 564.6078107537
59266 564.0507069663
59276 563.9472214780
59454 555.4753174983
59575 549.0473341588
59708 546.3418868975
59803 529.7459162312
60002 521.7136178925
60012 518.7133418635
60085 517.3651821180
60097 504.2228550926
60458 502.0608806223
60589 490.1134412253
60599 473.9690054238
60645 455.8143755294
61290 447.0196690028
61586 430.9955333190
61869 419.1945894722
62150 418.0755450087
62173 414.7763980384
62178 408.5579558852
62254 407.7834158673
62294 400.1697640471
62421 398.7773601357
62573 394.9319501113
62746 391.4926718759
62815 385.2519342319
63085 377.2634967480
63226 368.4315658368
63451 367.8657716086
63853 366.5462171159
63964 364.3534686183
64098 364.0953327733
64102 362.2053785267
64142 361.9980877786
64157 361.2203305090
64213 359.1120644568
64238 358.9477558890
64314 358.6249807101
64338 358.4771085626
64421 356.0502231980
64495 355.8058813612
64516 354.7358698532
64663 354.2512780112
64675 353.8982413122
64788 351.5052998322
64823 350.5007916954
64857 350.1001056854
65030 349.9966721530
65249 348.8100691439
65269 347.6365183687
65333 347.3232937947
65417 345.5177125597
65484 344.9465956683
65500 344.2528019551
65511 341.8180462945
65605 341.7400484582
65715 338.0815971373
65823 337.5441283345
65939 335.3781601794
66211 334.5518495530
66310 334.5335774846
66437 331.5113134286
66444 329.5263622204
66477 327.4195333026
66571 327.3725177025
66589 322.5146435384
66620 315.0124089886
66798 314.6443280248
66827 309.1977104141
66957 308.6780810308
66973 307.3968369869
67085 307.1067094766
67090 303.8132071660
67155 302.4582212374
67237 297.9309114940
67272 296.2188976810
67337 286.7536771207
67947 285.2713364094
68038 279.2050303823
68084 272.5006391647
68283 264.9493253814
68303 264.5672221668
68314 263.0718787915
68386 261.8368134537
68402 260.3359679742
68406 258.2801371165
68424 251.6933850968
68479 251.4121898010
68585 248.0905802716
68586 243.4507631845
68617 242.3273763400
68666 240.5713414807
68692 238.5658900718
68753 237.4417033328
68868 234.8744317260
69046 233.4143099320
69106 233.0051250078
69118 230.6420617007
69157 230.1154171044
69189 223.8597316790
69236 220.7031722250
69281 215.6374243353
69335 208.9150501896
70021 206.0214751457
70211 202.8412786977
70308 197.2546357241
70435 195.5410440090
70470 195.2718131056
70607 194.0144555588
70802 190.5402717521
71000 187.4853805119
71063 186.4281260202
71134 184.2416964630
71171 184.1480634359
71230 179.8670995165
71253 176.3514764739
71650 174.9645621479
71672 173.7142099601
71710 172.9098825950
71793 168.9955678271
71795 164.6464608877
72072 164.2704283356
72143 163.1263458422
72175 160.4734528271
72232 157.4590003366
72292 156.0595092034
72563 154.6756426702
72667 154.3254544045
72682 153.9801319413
72791 152.9864724454
72887 151.6299416816
72901 148.9912513156
72913 147.6116547574
73195 146.7884221074
73293 146.6248283510
73331 145.9477254744
73336 139.8610428021
73675 138.0819096058
73790 136.4865004804
73978 134.9969752047
74035 134.3595610766
74054 133.7644493836
74316 133.5433806450
74457 131.6987897947
74459 124.8414389266
74544 121.2023321148
74670 119.4898614169
74783 119.4431639900
74821 119.2186856512
74830 118.4345972778
74938 117.8935469829
74955 117.8137707771
74958 115.1216413404
75035 113.3506845827
75121 112.2802784712
75183 112.2298170083
75268 109.8456719843
75339 108.3409872881
75432 105.6430481712
75607 101.9418448333
75834 100.8707243196
75939 99.1669614134
75986 97.7183144879
76003 97.0450779553
76077 96.9599149621
76101 96.9112770942
76123 96.5633665901
76173 93.4609593856
76274 92.1481549371
76346 92.0475535518
76449 91.8501908288
76454 91.6383053292
76545 91.5252713488
76552 90.0377885723
76586 89.2783410077
76593 88.0661779727
76651 86.9893038853
76847 86.4296040720
76999 85.4555148435
77155 84.1233048631
77495 83.9184769425
77532 83.8356927593
77552 83.7108613825
77619 82.7490787809
77635 82.1160347144
77687 81.9372529632
77723 81.8302773746
77726 81.5128776078
77824 78.8227681887
78005 77.7278108199
78014 73.4553488370
78465 73.0431580537
78521 71.8213813763
78695 70.3605017430
79078 69.9763468172
79083 69.7433515140
79095 67.4433832001
79223 67.2237847547
79247 66.6528568433
79314 66.0922055522
79315 65.8103752244
79355 65.7182001820
79442 65.6066531589
79450 65.4711787496
79480 64.9907054216
79488 63.1085221537
79675 62.9028133829
79866 62.7598211268
79943 62.3421714382
80072 62.0728925797
80086 62.0663855409
80132 61.7438833097
80141 61.6583590593
80180 59.9556867179
80466 59.9292665784
80479 59.7083165067
80550 59.3250965657
80580 59.2949082873
80592 58.1486664983
80720 57.7708311365
80844 57.3298510740
80899 56.7745222938
80995 56.4050321320
81044 56.2595668823
81119 56.1933227771
81141 56.1039082032
81189 55.7611686903
81198 55.2976078194
81283 55.2396364318
81365 54.8049694750
81368 54.5233891368
81442 54.3757074227
81473 54.2415689008
81500 53.6484747904
81894 53.1738424487
81991 51.6436310708
82172 51.2063079272
82449 51.1513499317
82509 49.0121690310
82674 47.9442574902
82959 45.7065672202
83088 45.6678900489
83115 45.4017018674
83138 44.2299881764
83254 43.9698766981
83312 43.5306288813
83325 43.3985555190
83409 43.1970785146
83462 43.1537365370
83484 42.8753727279
83491 40.1284098474
83713 38.8063405647
84010 38.6222721267
84021 38.3495341716
84050 38.2982719731
84142 37.6266013808
84215 36.0694999677
84292 35.1103377810
84451 34.1748627566
84680 33.5629992765
85108 33.2942364920
85109 32.6595699375
85178 32.4625484197
