evaluations raw_y
1 3258.4801825526
3 2343.5091091787
13 2245.7187816372
37 2059.4745493970
45 1853.8448806056
49 1643.5463323802
60 1386.4176877413
118 1374.4773869760
140 1309.0897161277
162 1180.4577177920
163 1133.6966543614
186 1027.1613976750
228 901.0217094269
360 892.2009072462
365 694.9875163040
426 650.1784269481
433 628.0320035434
465 518.3864644905
482 469.1258501417
600 435.0064182483
604 375.4630799581
751 339.3827984732
775 314.8065582544
786 287.9196420079
789 286.3071459109
794 274.9482928985
796 223.7402106832
868 196.4843118673
899 194.4139418405
907 193.8346879539
913 144.1405503076
1343 139.3473635236
1420 132.6195875884
1453 126.1149943497
1499 121.4351488089
1507 102.2344495141
1604 95.8062643123
1647 89.8443737741
1707 72.1632879035
1900 67.0989889733
2229 59.4514324834
2250 54.3182066733
2970 48.2803260029
3158 43.3059473741
3187 37.5863615086
3585 35.1423206772
3625 32.4076732554
3676 32.3975307641
3815 30.0873646513
3934 24.6294752546
4010 23.5709303595
4351 22.1593067014
4356 19.1332904620
4852 18.8260858565
4928 18.4132992196
5068 17.7673127116
5319 17.2754986225
5381 15.0363009771
5515 14.9534784268
5648 14.9196629866
5657 14.7693567059
5733 13.7867672760
5813 13.6570343655
5883 13.3867287367
5984 13.2454468654
6060 13.0535342677
6086 12.4148320864
6241 12.2568780355
6283 11.9142359714
6304 11.2543580915
6381 10.7584151262
6447 10.5231543889
6671 10.1469768171
6967 10.0771888673
7256 9.9247670191
7427 9.8414643175
7575 9.7983607452
7629 9.7887797762
7642 9.7061740353
7866 9.6922935771
8040 9.6910707943
8073 9.6880145007
8140 9.6336799100
8321 9.6211404941
8672 9.6013493452
8757 9.5640962781
9015 9.5556614735
9264 9.4923167116
9506 9.4887979618
9729 9.4665404817
9819 9.4380031688
11399 9.4313477129
11654 9.4259725102
14577 9.4328839072
evaluations raw_y
1 5489.7331938333
2 4745.2943386100
3 4096.3619543298
20 3297.0652236473
26 2899.3180661919
40 1914.5541588999
66 1800.0066561571
70 1771.8980002409
76 1615.7235800334
83 1479.3534843704
87 1434.5925965425
106 1204.3111517447
