evaluations raw_y
1 67.5204685105
2 65.7314903647
9 61.2633470367
14 61.5556287634
19 52.4083836103
139 47.8280311419
200 40.1682399469
1274 39.3158728248
1572 37.5318438696
1770 36.4379009280
2081 35.6690444547
2145 31.6104409485
2306 28.9316806649
2423 27.6742163603
2613 27.4242791983
2962 26.4052430151
3170 25.9845283534
3208 24.7539794476
3341 21.2828542711
3342 18.8047758720
3671 17.0628916335
3747 14.8326862299
4119 13.4311321417
4133 13.0868422373
4193 12.3037382829
4463 11.7664617658
4495 11.2322593618
4921 10.0110726589
4939 9.4906279032
5273 8.6945018346
5413 6.8426621861
5744 6.6715941335
5822 5.9200576268
6289 5.4688299121
6483 5.2346148815
6711 5.1022312693
6752 3.7144529209
6899 3.8542752216
7452 3.9325737619
7645 3.7229816123
7675 3.3223178181
7705 3.3794377714
8031 2.9459320137
8105 2.9828165307
8187 2.8353727676
8225 2.4342887899
8556 2.2665869268
8644 1.9322856160
8944 1.9294335502
9063 1.9771865318
9097 1.8501111625
9130 1.7754199655
9189 1.7614581844
9196 1.7851714124
9208 1.6277026760
9312 1.5557791361
9402 1.4656572110
9626 1.2545909952
10231 1.1785870211
10329 1.0928989250
10535 1.0101608300
10561 0.9818302325
10580 0.9614008048
10596 0.9025748314
10963 0.8974853357
11014 0.8466072967
11078 0.8164947899
11233 0.8039688616
11247 0.7776131034
11346 0.7354339315
11637 0.6684771319
12006 0.6074510940
12279 0.5844583086
12323 0.5635390273
12371 0.5228599582
12581 0.4838656640
12728 0.4910634649
12859 0.4599900238
13033 0.4481720421
13044 0.4383134973
13238 0.4347957747
13335 0.4295446833
13372 0.4183506690
13397 0.4166801599
13464 0.4135729242
13490 0.3948221436
13498 0.3679980159
13622 0.3672967410
13797 0.3551464677
13841 0.3527134457
13999 0.3415416932
14103 0.3285640876
14310 0.3350068468
14350 0.3144637249
14451 0.3150728730
14463 0.3129759407
14511 0.3113112086
14640 0.3050668728
14695 0.2969889351
14791 0.2857909841
14921 0.2875013244
14939 0.2557927437
15316 0.2567993793
15546 0.2578041934
15720 0.2494641655
15809 0.2489074522
15986 0.2471921402
16013 0.2458065298
16054 0.2413079364
16201 0.2432061327
16268 0.2353673962
16375 0.2346402470
16416 0.2302452804
16557 0.2259550824
16693 0.2250464294
16731 0.2197178870
16827 0.2176635453
16842 0.2180447661
16874 0.2141793001
17118 0.2122410616
17190 0.2098852860
17213 0.2073422231
17231 0.2010645510
17518 0.1970682545
17722 0.1945306370
17935 0.1930635131
18036 0.1922674128
18045 0.1922104322
18365 0.1926233659
18398 0.1899668124
18549 0.1889640862
18661 0.1889800622
18672 0.1845950091
19233 0.1849860286
19259 0.1842439554
19316 0.1822766267
19419 0.1829110814
19426 0.1763445338
19606 0.1765575968
19867 0.1753874511
19921 0.1745191984
20160 0.1747994782
20198 0.1738436127
20239 0.1735374370
20249 0.1713921607
20484 0.1711444048
20503 0.1705764831
20692 0.1692732722
20981 0.1689637792
21092 0.1687933261
21108 0.1685681226
21137 0.1679826199
21182 0.1679265602
21196 0.1656938842
21299 0.1653103506
21414 0.1642396350
21988 0.1634861514
22093 0.1634761699
22131 0.1628956073
22451 0.1629303007
22627 0.1627287212
22665 0.1616086435
22734 0.1614192326
23205 0.1607410450
23419 0.1604777212
23472 0.1604869454
23475 0.1601254928
23790 0.1599885111
23798 0.1595444667
23890 0.1587860658
23946 0.1586340696
24074 0.1585386379
24240 0.1584900198
24248 0.1582080372
24298 0.1574987835
24625 0.1572595857
24994 0.1569198148
25662 0.1568297433
25882 0.1566805336
25980 0.1564037001
26157 0.1562952872
26171 0.1561342864
26220 0.1559056019
26292 0.1559163281
26397 0.1558311148
26738 0.1557832406
26754 0.1554701480
26859 0.1554477826
26893 0.1553820371
26940 0.1552958842
26972 0.1550801587
26985 0.1550903121
27157 0.1547675113
27229 0.1547864279
27331 0.1546893356
27359 0.1546779796
27533 0.1545323671
27568 0.1540749356
27906 0.1538846531
28209 0.1537361477
28233 0.1536434445
28390 0.1535999765
28542 0.1534459116
28621 0.1532399875
28924 0.1532127383
28947 0.1529871164
29183 0.1526759003
29580 0.1526017720
30147 0.1525172293
30258 0.1524813105
30272 0.1524744080
30324 0.1523208979
30443 0.1523009947
30477 0.1522726572
30538 0.1522730463
30618 0.1521876343
30675 0.1521624872
30738 0.1521538734
30793 0.1521510031
30809 0.1521287824
30820 0.1521228473
30860 0.1520785821
30977 0.1519731524
31136 0.1519675519
31142 0.1517839527
31434 0.1517790828
31435 0.1517701757
31490 0.1516307971
31841 0.1515763674
31866 0.1515692998
31989 0.1515586583
32014 0.1515134594
32028 0.1515021000
32074 0.1514761904
32115 0.1514704218
32164 0.1514580029
32195 0.1514116803
32272 0.1514099300
32305 0.1514049733
32364 0.1513959061
32386 0.1513921470
32419 0.1513856399
32421 0.1513572505
32476 0.1513414599
32507 0.1512893178
32625 0.1512483973
32705 0.1512369373
33099 0.1512318644
33147 0.1512242511
33360 0.1512028797
33607 0.1512002359
33642 0.1511562474
34035 0.1511414689
34047 0.1511412710
34082 0.1511392143
34101 0.1511374912
34111 0.1511191097
34256 0.1511137643
34285 0.1511090446
34325 0.1511093963
34327 0.1510869582
34436 0.1510731466
34587 0.1510645335
34599 0.1510587473
34615 0.1510580520
34665 0.1510575398
34749 0.1510479342
34779 0.1510417538
35090 0.1510187492
35646 0.1510158016
35717 0.1510145016
35723 0.1510130702
35798 0.1510137979
35842 0.1510073584
35890 0.1510033501
35950 0.1510032118
36137 0.1509944985
36560 0.1509930730
36611 0.1509924999
36643 0.1509913275
36753 0.1509895184
36758 0.1509881723
36789 0.1509864218
36854 0.1509833699
37109 0.1509830632
37182 0.1509829341
37221 0.1509827063
37269 0.1509828112
37345 0.1509820324
37369 0.1509822012
37405 0.1509821379
37441 0.1509814742
37489 0.1509815475
37510 0.1509793409
37875 0.1509795017
37944 0.1509790896
37971 0.1509791416
37991 0.1509788192
38111 0.1509783403
38125 0.1509781723
38329 0.1509784312
38488 0.1509780161
38532 0.1509780586
38568 0.1509779835
38603 0.1509774194
38679 0.1509772122
38999 0.1509769343
39018 0.1509770277
39326 0.1509767841
39329 0.1509768695
39337 0.1509767999
39495 0.1509765595
39599 0.1509764948
39758 0.1509765752
39778 0.1509764421
39822 0.1509763943
39957 0.1509762812
39964 0.1509763913
39965 0.1509762138
40417 0.1509761025
40480 0.1509760998
40608 0.1509760134
40633 0.1509761164
40651 0.1509761334
40740 0.1509761153
40755 0.1509760336
40782 0.1509759813
40825 0.1509760241
40881 0.1509760543
40930 0.1509759645
40993 0.1509759554
41105 0.1509758996
41132 0.1509758308
41236 0.1509758852
41563 0.1509758648
41773 0.1509757561
41974 0.1509756680
42094 0.1509757472
42191 0.1509757463
42353 0.1509757549
42394 0.1509757038
42403 0.1509757347
42597 0.1509757750
42618 0.1509758082
42718 0.1509757258
42795 0.1509757352
42915 0.1509756602
43347 0.1509756952
43350 0.1509756415
43442 0.1509756118
43447 0.1509756357
43451 0.1509756196
43517 0.1509756141
43569 0.1509756319
43679 0.1509756476
43794 0.1509756621
43797 0.1509756406
43979 0.1509756354
44007 0.1509756432
44042 0.1509755732
44055 0.1509756187
44458 0.1509755862
44463 0.1509756070
44531 0.1509756040
44675 0.1509755977
44693 0.1509755889
44860 0.1509756023
44979 0.1509755679
45021 0.1509756055
45129 0.1509756042
45168 0.1509755755
45355 0.1509755775
45694 0.1509755823
45921 0.1509755611
45959 0.1509755586
46029 0.1509755680
46116 0.1509755731
46147 0.1509755794
46168 0.1509755661
46178 0.1509755790
46274 0.1509755546
46293 0.1509755799
46410 0.1509755618
46420 0.1509755633
46437 0.1509755607
46478 0.1509755732
46538 0.1509755589
46815 0.1509755652
46931 0.1509755598
46973 0.1509755704
47028 0.1509755591
47086 0.1509755692
47088 0.1509755675
47277 0.1509755601
47379 0.1509755721
47574 0.1509755638
47611 0.1509755740
47627 0.1509755655
47807 0.1509755657
47862 0.1509755661
47877 0.1509755714
48000 0.1509755601
48078 0.1509755642
48122 0.1509755728
48146 0.1509755645
48173 0.1509755683
48356 0.1509755684
48373 0.1509755708
48402 0.1509755740
48415 0.1509755666
48592 0.1509755623
48729 0.1509755647
48736 0.1509755630
48957 0.1509755613
48961 0.1509755651
48981 0.1509755672
48995 0.1509755686
49058 0.1509755655
49110 0.1509755707
49291 0.1509755654
49366 0.1509755670
49386 0.1509755634
49452 0.1509755670
49599 0.1509755656
49612 0.1509755625
49623 0.1509755690
49732 0.1509755665
49931 0.1509755655
49966 0.1509755648
