evaluations raw_y
1 10337970.1467365269
2 24220.2952150534
18 9909.9256116448
41 1304.4427784217
100 456.8564215021
233 453.5199220188
249 452.8123384567
250 73.3688213560
1093 71.0453793898
1111 69.4955469233
1116 67.2556698170
1189 67.2176746592
1191 65.8169166444
1212 64.4481396381
1225 61.7672846246
1240 49.2811996749
1273 45.4492004161
1289 40.1394805326
1318 37.7346659546
1326 31.5830631961
1332 29.2098650007
1339 12.7084304949
1364 9.8326908726
1398 4.1407568131
1420 3.4029936136
1450 1.1289276120
1462 0.9314020980
1525 0.0618221873
1596 0.0113628638
1703 0.0008442619
1721 0.0005051092
1868 0.0004329166
1884 0.0003388300
1895 0.0001608586
1908 0.0000958712
1954 0.0000356904
1968 0.0000210915
1975 0.0000065922
1991 0.0000009776
2072 0.0000005450
2097 0.0000000617
2149 0.0000000060
2443 0.0000000054
2525 0.0000000048
2567 0.0000000006
2755 0.0000000003
2764 0.0000000003
2906 0.0000000000
3133 0.0000000000
3388 0.0000000000
3420 0.0000000000
3626 0.0000000000
3701 0.0000000000
3848 0.0000000000
3971 0.0000000000
4601 0.0000000000
evaluations raw_y
1 21111339.5909493454
3 4765947.6953280950
10 3595959.9878403298
11 469035.3586272154
16 4292.9553730280
34 40.9110117492
339 33.6752903914
385 33.4579265957
492 20.1548726013
542 15.7139265126
602 10.2068918731
613 8.9762810243
643 7.6669686924
647 4.7594122247
691 4.2939449001
715 1.8775085060
728 1.5426817723
743 1.3629745815
779 0.7012376332
799 0.3476556412
848 0.3409967286
865 0.1532668467
877 0.0184450087
906 0.0100901195
995 0.0018403434
1157 0.0007645079
1199 0.0000754414
1525 0.0000536326
1646 0.0000035632
1770 0.0000007238
1958 0.0000004581
2109 0.0000001138
2239 0.0000000135
2451 0.0000000084
2623 0.0000000057
2652 0.0000000021
2861 0.0000000014
2921 0.0000000006
3051 0.0000000003
3063 0.0000000003
3174 0.0000000000
3694 0.0000000000
3785 0.0000000000
3987 0.0000000000
4055 0.0000000000
4161 0.0000000000
4585 0.0000000000
evaluations raw_y
1 35097651.3669987097
4 24155670.8634821512
6 10423228.4546018615
7 291794.6281669684
28 170583.2863347846
49 152295.5635273790
58 57524.0439824853
88 121.8800460898
366 27.0132990515
374 9.0809108028
510 7.7485421793
1163 7.6158436477
1249 3.7595528413
1495 1.5005722444
1543 1.3396012672
1559 1.0407661863
1564 0.5397683532
1652 0.4699133821
1671 0.2460047472
1685 0.1078335101
1773 0.0694583954
1788 0.0236861837
1827 0.0039421242
1894 0.0013280448
1976 0.0012828106
2041 0.0007881144
2077 0.0003533187
2154 0.0003444326
2299 0.0001929397
2302 0.0001631639
2367 0.0001499482
2380 0.0000196872
2445 0.0000084332
2667 0.0000039782
2718 0.0000007369
2836 0.0000000388
3230 0.0000000346
3283 0.0000000093
3407 0.0000000036
3604 0.0000000027
3643 0.0000000011
3746 0.0000000002
3973 0.0000000000
4085 0.0000000000
4184 0.0000000000
4421 0.0000000000
4422 0.0000000000
4466 0.0000000000
4498 0.0000000000
4558 0.0000000000
4688 0.0000000000
4811 0.0000000000
4819 0.0000000000
5563 0.0000000000
evaluations raw_y
1 60027302.4498650357
2 16900495.8835344650
4 14219491.3173431754
7 8193433.4786445610
14 3696154.6411170606
16 415000.1260721746
40 65515.8812013778
50 897.2840061384
110 215.4908211419
181 78.5306144172
241 23.7933583903
303 20.0279251051
442 19.0102086934
477 17.5686731463
484 16.2212200335
523 15.2360862021
548 15.2351806311
627 14.7082029216
692 14.4763131478
748 14.4726576763
759 13.2045504355
1409 12.8526985555
1414 12.4578997250
1436 12.2778311703
1466 11.8726247656
1469 11.6302309241
1501 9.9940408442
1553 9.0594944506
1597 8.6007515544
1609 8.1631464265
1614 8.1235012786
1635 6.8138196499
1643 4.2691061699
1664 2.4922011395
1671 2.4144119824
1679 1.3321612644
1682 0.4318866749
1804 0.0203526189
1833 0.0041199602
2005 0.0036847142
2022 0.0020962537
2038 0.0009855578
2075 0.0007732037
2107 0.0005732599
2112 0.0002405042
2140 0.0001178010
2145 0.0000115721
2211 0.0000067134
2248 0.0000065339
2275 0.0000016559
2350 0.0000016341
2381 0.0000013432
2398 0.0000001393
2472 0.0000001088
2480 0.0000000450
2599 0.0000000430
2700 0.0000000300
2854 0.0000000249
2905 0.0000000134
2935 0.0000000089
3008 0.0000000003
3207 0.0000000002
3270 0.0000000000
3556 0.0000000000
3633 0.0000000000
3635 0.0000000000
3900 0.0000000000
3972 0.0000000000
3994 0.0000000000
4035 0.0000000000
4045 0.0000000000
4071 0.0000000000
4106 0.0000000000
4156 0.0000000000
4281 0.0000000000
4485 0.0000000000
4914 0.0000000000
evaluations raw_y
1 11192732.7723562121
2 1816588.5119942210
6 94297.8658146853
8 1416.1949495217
64 516.0462447901
65 438.5511925568
77 256.9260136124
213 251.5693140081
219 220.2356995990
250 109.8660428315
264 25.2194063798
394 24.0339565642
602 23.6344316842
990 23.1229034693
1045 22.0032098780
1080 21.0915419402
1152 19.5520232190
1227 18.3023262163
1303 17.3978640966
1361 16.8599239954
1366 12.1703290079
1407 11.3890161237
1428 10.1528053692
1466 9.9113063754
1577 7.8222243984
1600 7.6490000041
1629 5.0565438216
1657 3.2605506979
1659 0.2542137153
1703 0.0011978983
2011 0.0008348169
2083 0.0006020699
2096 0.0000802650
2100 0.0000217388
2349 0.0000014720
2616 0.0000014008
2710 0.0000003244
2761 0.0000000139
3145 0.0000000007
3402 0.0000000005
3562 0.0000000002
3580 0.0000000001
3698 0.0000000000
3887 0.0000000000
3890 0.0000000000
3950 0.0000000000
4057 0.0000000000
4067 0.0000000000
4138 0.0000000000
4256 0.0000000000
4272 0.0000000000
4596 0.0000000000
4957 0.0000000000
evaluations raw_y
1 119344.6484063469
9 9561.9779297019
33 3114.8379737051
59 2266.5957079947
82 70.4316352160
272 60.3766848530
540 58.2000441961
856 57.5035423157
944 56.1900996498
1099 56.1024679553
1100 55.7841678579
1158 54.1328232380
1169 53.8444070923
1189 49.6473493359
1264 48.0829469268
1272 42.2189271564
1279 40.1672638962
1368 37.3971889936
1381 36.6459456362
1417 33.4371895119
1482 31.0205659659
1484 27.5969255128
1502 26.3052818027
1511 20.6320092768
1532 19.2523326570
1538 13.9038721650
1554 10.4938052392
1565 5.8214659580
1579 2.2354876242
1610 0.6345685857
1645 0.3007353402
1651 0.1919586261
1669 0.1444977942
1772 0.0881090794
1808 0.0821449347
1819 0.0218069359
1822 0.0139997749
1861 0.0096958520
1864 0.0023021610
