,2,3,5,10,20,40,sum
r4/FBEST_IMP_EVALS_100000000 ppo_50.pt,65,55,55,59,44,14,292
r4/FBEST_IMP_EVALS_100000000 ppo_100.pt,22,16,13,15,15,15,96
r4/FBEST_IMP_EVALS_100000000 ppo_150.pt,23,15,15,15,15,15,98
r4/FBEST_IMP_EVALS_100000000 ppo_200.pt,17,15,15,15,15,15,92
r4/FBEST_IMP_EVALS_100000000 ppo_250.pt,17,17,15,15,15,15,94
r4/FBEST_IMP_EVALS_100000000 ppo_300.pt,22,15,15,15,15,15,97
r4/FBEST_IMP_EVALS_100000000 ppo_350.pt,17,15,15,15,15,15,92
r4/FBEST_IMP_EVALS_100000000 ppo_400.pt,16,15,15,15,15,15,91
r4/FBEST_IMP_EVALS_100000000 ppo_450.pt,21,15,15,15,15,15,96
r4/FBEST_IMP_EVALS_100000000 ppo_500.pt,17,15,15,15,15,15,92
r4/FBEST_IMP_EVALS_100000000 ppo_550.pt,19,15,15,15,15,15,94
r4/FBEST_IMP_EVALS_100000000 ppo_600.pt,21,15,15,15,15,15,96
r4/FBEST_IMP_EVALS_100000000 ppo_650.pt,23,16,15,15,15,15,99
r4/FBEST_IMP_EVALS_100000000 ppo_700.pt,17,15,15,15,15,15,92
r4/FBEST_IMP_EVALS_100000000 ppo_750.pt,16,15,15,15,15,15,91
r4/FBEST_IMP_EVALS_100000000 ppo_800.pt,20,15,15,15,15,15,95
r4/FBEST_IMP_EVALS_100000000 ppo_850.pt,19,16,15,15,15,15,95
r4/FBEST_IMP_EVALS_100000000 ppo_900.pt,18,15,15,15,15,15,93
r4/FBEST_IMP_EVALS_100000000 ppo_950.pt,18,16,15,15,15,15,94
r4/FBEST_IMP_EVALS_100000000 ppo_1000.pt,18,15,15,15,15,15,93
r4/FBEST_IMP_EVALS_100000000 ppo_1050.pt,21,16,15,15,15,15,97
r4/FBEST_IMP_EVALS_100000000 ppo_1100.pt,17,15,15,15,15,15,92
r4/FBEST_IMP_EVALS_100000000 ppo_1150.pt,18,15,15,15,15,15,93
r4/FBEST_IMP_EVALS_100000000 ppo_1200.pt,16,15,15,15,15,15,91
r4/FBEST_IMP_EVALS_100000000 ppo_1250.pt,25,15,15,15,15,15,100
r4/FBEST_IMP_EVALS_100000000 ppo_1300.pt,19,15,15,15,15,15,94
r4/FBEST_IMP_EVALS_100000000 ppo_1350.pt,20,15,15,15,15,15,95
r4/FBEST_IMP_EVALS_100000000 ppo_1400.pt,19,15,15,15,15,15,94
r4/FBEST_IMP_EVALS_100000000 ppo_1450.pt,20,15,15,15,15,15,95
r4/FBEST_IMP_EVALS_100000000 ppo_1500.pt,21,15,15,15,15,15,96
r4/FBEST_IMP_EVALS_100000000 ppo.pt,19,17,15,15,15,15,96
r4/FBEST_IMP_RATIO_100000000 partial ppo_50.pt,66,58,53,68,50,14,309
r4/FBEST_IMP_RATIO_100000000 partial ppo_100.pt,198,174,167,155,121,52,867
r4/FBEST_IMP_RATIO_100000000 partial ppo_150.pt,207,182,173,164,119,63,908
r4/FBEST_IMP_RATIO_100000000 partial ppo_200.pt,207,183,171,152,111,41,865
r4/FBEST_IMP_RATIO_100000000 partial ppo_250.pt,211,179,165,144,98,22,819
r4/FBEST_IMP_RATIO_100000000 partial ppo_300.pt,203,185,171,136,97,23,815
r4/FBEST_IMP_RATIO_100000000 partial ppo_350.pt,191,163,155,141,93,23,766
r4/FBEST_IMP_RATIO_100000000 partial ppo_400.pt,172,154,149,133,95,18,721
r4/FBEST_IMP_RATIO_100000000 partial ppo_450.pt,174,162,149,141,89,24,739
r4/FBEST_IMP_RATIO_100000000 partial ppo_500.pt,179,163,150,141,102,29,764
r4/FBEST_IMP_RATIO_100000000 partial ppo_550.pt,186,168,153,138,104,19,768
r4/FBEST_IMP_RATIO_100000000 partial ppo_600.pt,196,169,152,133,101,21,772
r4/FBEST_IMP_RATIO_100000000 partial ppo_650.pt,190,174,164,144,104,23,799
r4/FBEST_IMP_RATIO_100000000 partial ppo_700.pt,192,167,159,146,107,25,796
r4/FBEST_IMP_RATIO_100000000 partial ppo_750.pt,187,170,166,142,99,26,790
