evaluations raw_y
1 68196.8909674188
3 22513.0130296481
5 13985.1205472763
41 169.4263472647
491 152.4432323458
557 121.8413514967
572 20.4285370646
1072 12.2209953964
1143 11.6508235783
1595 8.1106671614
3061 4.0328515023
3242 3.0664795668
3262 2.5494954994
3479 1.6705679475
3597 0.7713258284
3643 0.7617561057
3765 0.2143245600
3944 0.0412094453
4157 0.0354598667
4655 0.0266806678
4838 0.0196460765
4862 0.0163337029
4913 0.0088606843
5309 0.0072233415
5354 0.0066451285
5375 0.0030019387
5779 0.0011980792
5840 0.0010187023
5894 0.0004586465
5926 0.0003049922
6028 0.0000828841
6077 0.0000734193
6495 0.0000178769
6875 0.0000081627
7334 0.0000075809
7358 0.0000074857
7404 0.0000027130
7481 0.0000025105
7487 0.0000018871
7520 0.0000011740
7681 0.0000007115
7725 0.0000006497
7801 0.0000002157
7983 0.0000000044
9041 0.0000000008
9266 0.0000000007
9486 0.0000000007
9490 0.0000000007
9573 0.0000000006
9578 0.0000000005
9618 0.0000000003
9667 0.0000000000
9671 0.0000000000
9838 0.0000000000
10210 0.0000000000
10224 0.0000000000
10353 0.0000000000
10396 0.0000000000
10689 0.0000000000
10927 0.0000000000
10956 0.0000000000
11286 0.0000000000
11298 0.0000000000
11405 0.0000000000
11482 0.0000000000
11809 0.0000000000
11839 0.0000000000
12726 0.0000000000
evaluations raw_y
1 9150650.3743410558
3 5210787.9270084249
4 16380.0152561675
9 186.2230257997
20 43.1049223001
1104 27.5081100579
1379 24.2565394122
1874 19.4456914358
2283 11.7698512936
2432 8.1443210705
2611 6.4144981729
3827 6.0088684434
3907 2.8614292668
4068 2.1253237555
4325 1.9639056678
4355 1.6223156265
4599 1.4944016314
4744 0.6915210482
4848 0.6457867040
5155 0.5472283171
5160 0.5437877845
5221 0.4048375622
5305 0.3283236829
5342 0.2534434991
5405 0.0666281342
5496 0.0067034117
6058 0.0003865724
6949 0.0002347522
7054 0.0001912765
7149 0.0001364497
7347 0.0000433157
7566 0.0000068807
7964 0.0000010637
8278 0.0000002615
8412 0.0000000995
8954 0.0000000992
9008 0.0000000821
9229 0.0000000492
9346 0.0000000072
9529 0.0000000039
9750 0.0000000028
9846 0.0000000013
9956 0.0000000011
10089 0.0000000006
10145 0.0000000002
10243 0.0000000001
10691 0.0000000000
10767 0.0000000000
10846 0.0000000000
11081 0.0000000000
11279 0.0000000000
11379 0.0000000000
11433 0.0000000000
11668 0.0000000000
11777 0.0000000000
11791 0.0000000000
12096 0.0000000000
12111 0.0000000000
12117 0.0000000000
12190 0.0000000000
12400 0.0000000000
12582 0.0000000000
12612 0.0000000000
13724 0.0000000000
evaluations raw_y
1 23419240.9627830461
2 20702567.9630544484
3 132786.5751544366
24 11705.3271423797
33 485.8600772238
47 102.8172172445
688 61.8037906178
696 24.9728689924
970 9.4418454651
3101 8.5603799159
3196 7.8971939044
3404 7.8694179228
3483 7.8274795571
3499 7.6971346083
3574 7.4176990731
3593 7.3000736979
3594 6.9174301701
3602 6.1180806264
3617 5.5158705693
3695 4.9845064604
3712 3.6139564912
4286 3.5577705684
4353 3.1406761925
4531 2.0743754424
4615 1.8417736028
4681 1.7499939123
4688 0.9061223566
4712 0.4679953127
4808 0.3119628516
4994 0.2146560989
5144 0.1790575409
5371 0.1769798557
5402 0.1250166739
5491 0.1231293485
5494 0.0314002017
5747 0.0072693300
5983 0.0050555584
6115 0.0049286712
6135 0.0024926158
6141 0.0015535029
6192 0.0007497435
6297 0.0006714666
6395 0.0003792417
6831 0.0001940851
6874 0.0001568705
6999 0.0000962105
7051 0.0000279066
7313 0.0000222371
7346 0.0000090095
7453 0.0000042266
7798 0.0000029161
7932 0.0000009028
8070 0.0000005437
8243 0.0000003686
8384 0.0000000891
8705 0.0000000508
8961 0.0000000478
9007 0.0000000194
9068 0.0000000132
9131 0.0000000114
9250 0.0000000073
9398 0.0000000061
9429 0.0000000005
9757 0.0000000005
9834 0.0000000004
9896 0.0000000002
10206 0.0000000002
10219 0.0000000001
10233 0.0000000000
10465 0.0000000000
10475 0.0000000000
10879 0.0000000000
11021 0.0000000000
11147 0.0000000000
11358 0.0000000000
11724 0.0000000000
13273 0.0000000000
evaluations raw_y
1 7588939.9408655427
2 2762392.9092360376
4 1550256.2683835840
5 273918.5603504907
8 261847.9267839566
22 193968.4543968239
36 95484.7491836583
39 2043.7266253899
40 1028.6599096061
63 1004.5433296469
72 107.9426831526
173 72.5002547169
665 29.3668998515
712 3.5416731195
744 3.4512083407
1182 2.7606102677
1707 2.4523056629
1769 1.0505328448
2989 0.9920009196
3040 0.6416207726
3330 0.5873617173
3368 0.3979565895
3393 0.3845182576
3444 0.3326006586
3539 0.2459874121
3592 0.1801335754
4064 0.1371241482
4135 0.0341768907
4590 0.0054959095
5084 0.0054951876
5117 0.0011954910
5544 0.0008711969
5990 0.0002401351
6373 0.0001430614
6586 0.0001265716
6620 0.0000900902
6642 0.0000174403
7147 0.0000113543
7209 0.0000112249
7236 0.0000030316
7481 0.0000010616
7602 0.0000005309
7972 0.0000001284
8472 0.0000000615
8631 0.0000000235
8802 0.0000000220
8827 0.0000000046
9167 0.0000000040
9296 0.0000000023
9442 0.0000000009
9689 0.0000000009
9699 0.0000000004
9707 0.0000000000
10233 0.0000000000
10309 0.0000000000
10356 0.0000000000
10363 0.0000000000
10781 0.0000000000
10796 0.0000000000
10881 0.0000000000
11614 0.0000000000
11800 0.0000000000
11902 0.0000000000
12167 0.0000000000
12352 0.0000000000
13271 0.0000000000
evaluations raw_y
1 71935458.8416995406
2 42980074.9798228443
3 6888721.6536878515
8 2386604.4172587432
9 1403109.0249020716
13 20.6954252231
951 9.5201862512
1434 9.0666608119
1565 4.5308973061
1656 3.5246111399
1776 3.2655279781
1929 2.3867320331
2412 2.3555381152
2538 2.0061073229
2708 1.0813753556
3885 0.5995399058
3920 0.0893769402
4365 0.0769366301
4525 0.0011200077
5489 0.0005672714
6090 0.0005245843
6311 0.0002224660
6366 0.0001787793
6479 0.0000314429
6824 0.0000097783
7107 0.0000065139
7186 0.0000056388
7360 0.0000021588
7379 0.0000018853
7435 0.0000015155
7607 0.0000006849
7824 0.0000006589
7836 0.0000006292
7858 0.0000006067
7971 0.0000000405
8514 0.0000000050
9033 0.0000000036
9151 0.0000000030
9166 0.0000000005
9610 0.0000000003
9642 0.0000000001
9696 0.0000000001
9798 0.0000000000
9813 0.0000000000
10212 0.0000000000
10314 0.0000000000
10493 0.0000000000
10555 0.0000000000
10953 0.0000000000
10973 0.0000000000
11499 0.0000000000
11533 0.0000000000
11901 0.0000000000
12485 0.0000000000
evaluations raw_y
1 15946450.8875622340
3 187344.6811001046
4 117821.8932748379
8 33729.6370515662
17 2200.1762673606
49 1428.0151979896
67 1284.0363948637
89 340.0302382046
195 258.3068338872
342 194.2649361286
504 166.4338937209
835 149.2419334632
888 139.5075010799
1005 131.9764569099
1211 129.4299579433
1964 125.3133787630
2118 109.4941222478
2967 106.6809827353
2996 101.6500031795
3014 97.9386519423
3126 95.3901160227
3138 90.5995537648
3152 85.6982876896
3230 81.2410223149
3267 70.8856919808
3278 61.0022540252
3358 50.5060450358
3470 42.7054799850
3490 35.2818683418
3611 26.1058147587
3713 24.9123458469
3746 19.3530834791
3772 14.0346279090
4001 11.3143345290
4069 10.7537129488
4157 4.0419851485
4220 3.7594043008
4442 1.4041893157
4448 0.8530038479
4764 0.5334594526
4932 0.1359542352
5246 0.0119328861
5627 0.0010107496
6562 0.0002432946
6609 0.0001139106
6667 0.0000897259
7092 0.0000866454
7160 0.0000416606
7176 0.0000393434
7282 0.0000340818
7316 0.0000118316
7469 0.0000098885
7549 0.0000097269
7605 0.0000054835
7628 0.0000008877
8055 0.0000007705
8229 0.0000004497
8366 0.0000001791
8372 0.0000001084
8756 0.0000000780
8764 0.0000000704
8853 0.0000000461
8982 0.0000000375
9006 0.0000000275
9146 0.0000000140
9151 0.0000000121
9205 0.0000000089
9350 0.0000000043
9373 0.0000000016
9379 0.0000000009
9861 0.0000000008
9863 0.0000000007
9884 0.0000000006
10038 0.0000000002
10097 0.0000000002
10145 0.0000000002
10157 0.0000000001
10222 0.0000000001
10528 0.0000000001
10576 0.0000000001
10657 0.0000000001
10660 0.0000000000
10744 0.0000000000
10801 0.0000000000
10815 0.0000000000
10851 0.0000000000
10921 0.0000000000
10967 0.0000000000
11059 0.0000000000
11153 0.0000000000
11178 0.0000000000
11620 0.0000000000
11719 0.0000000000
11893 0.0000000000
11973 0.0000000000
11997 0.0000000000
12261 0.0000000000
12485 0.0000000000
13150 0.0000000000
evaluations raw_y
1 1721868.9775047761
3 1393187.5237425400
5 5093.1652339146
79 3928.1852635128
88 1606.1044999763
157 361.3672160246
183 270.0670876049
230 228.3686097979
399 213.2080514673
595 127.4650089293
934 113.2750313559
1096 75.3752818055
1274 70.7725998012
1411 64.6773472291
1948 44.1148047929
2332 42.6577965881
2449 39.3458285259
2551 35.3050710323
2668 30.0812610084
2726 22.0419987038
2829 16.7929102231
3077 12.8615140476
3106 10.7797031864
3410 9.7088302465
3449 8.3779500806
3453 7.3488975762
3764 4.7199597957
4175 4.0855738728
4310 0.8445798648
4602 0.2007900439
5018 0.0509819360
5232 0.0206386637
5563 0.0074537723
5771 0.0017572964
6212 0.0011095879
6227 0.0009947753
6264 0.0007283051
6283 0.0007206594
6330 0.0006814577
6342 0.0004571149
6511 0.0002766549
6695 0.0001419654
6858 0.0000975193
6875 0.0000919134
6932 0.0000331785
7095 0.0000253966
7200 0.0000210324
7204 0.0000191575
7218 0.0000086566
7269 0.0000059256
7605 0.0000052567
7719 0.0000042537
7744 0.0000031839
7789 0.0000030467
7798 0.0000010254
7914 0.0000009501
8014 0.0000007772
8125 0.0000007139
8142 0.0000002273
8296 0.0000001258
8379 0.0000000953
8543 0.0000000800
8562 0.0000000249
8643 0.0000000116
9176 0.0000000089
9264 0.0000000023
9282 0.0000000017
9377 0.0000000017
9395 0.0000000015
9424 0.0000000013
9547 0.0000000004
9760 0.0000000001
10252 0.0000000000
10315 0.0000000000
10928 0.0000000000
11054 0.0000000000
11063 0.0000000000
11102 0.0000000000
11177 0.0000000000
11421 0.0000000000
12103 0.0000000000
12483 0.0000000000
13095 0.0000000000
evaluations raw_y
1 82815.3458065986
