evaluations raw_y
1 3742446.4083952950
6 1112691.0073767430
10 480212.3138604807
24 393332.3995424232
26 29729.7197719610
53 11567.1219886288
367 5240.9225014699
456 1761.7176847834
1329 627.1169552505
1375 209.6306436177
1842 97.4876580148
3037 97.3707793960
3145 97.2314091279
3147 96.0666929688
3373 96.0466409609
3387 88.5873226662
3700 87.6547586693
3774 84.5877154192
3855 83.9566297766
3858 77.2718803030
3981 76.7571878051
3986 75.1098803038
4063 73.4733335070
4097 67.6109940981
4170 64.4953440972
4376 60.4454321300
4388 59.2834188696
4392 48.3303229833
4730 37.4957553810
4763 30.6055456206
4850 27.8952836589
4859 26.8951120285
4885 26.5469796303
4908 20.1651114646
4913 16.4339125396
4919 11.5183021447
5095 9.0718218700
5142 4.7428532382
5150 4.4229348223
5512 3.1408689153
5716 3.1277677512
5791 2.7326213833
5860 1.5903338478
6033 0.2610845799
6218 0.1425718928
6502 0.0705456646
6818 0.0680738918
6861 0.0500698644
6892 0.0361736289
7004 0.0346823985
7081 0.0261277002
7121 0.0084340251
7126 0.0036257169
7347 0.0029572265
7513 0.0021556086
7796 0.0001822906
8110 0.0001048121
8447 0.0000602559
8485 0.0000313011
8560 0.0000255989
8833 0.0000225172
8946 0.0000030452
9114 0.0000014135
9644 0.0000010881
9783 0.0000007694
9892 0.0000006391
9929 0.0000002038
10189 0.0000001259
10384 0.0000000461
10579 0.0000000313
10596 0.0000000023
11564 0.0000000002
12051 0.0000000001
12194 0.0000000000
12605 0.0000000000
12879 0.0000000000
13387 0.0000000000
13395 0.0000000000
13415 0.0000000000
13540 0.0000000000
13621 0.0000000000
13684 0.0000000000
13889 0.0000000000
14098 0.0000000000
14428 0.0000000000
14434 0.0000000000
15309 0.0000000000
evaluations raw_y
1 125006865844.0292968750
2 13504446460.2792472839
6 5842065594.0293588638
9 3004604081.4077448845
10 1042577022.4635285139
13 819157287.9278131723
17 577457119.3687076569
21 222405551.1401751041
66 149938424.6550065279
83 137287426.7165163755
92 83934950.2143565565
93 68560609.2868009806
95 54966577.8572078049
98 39627361.6027005762
118 11197402.6204876229
127 1300373.6832001694
165 1278018.5985222494
203 317299.8249438232
335 205878.3009167582
546 153208.4590535649
590 38807.5821703204
605 4569.9632657952
1390 1961.3249748530
1498 576.2089498995
1558 366.4244526078
1642 340.4906426427
1670 31.6449018671
2342 15.2496163851
3141 10.8018588865
3231 4.4117686179
3401 3.7629174098
3579 2.8511161180
3600 1.9018299615
3740 1.0006319803
3802 0.9956310768
4011 0.5590197368
4279 0.4890536953
4360 0.3804305490
4443 0.3545054436
4524 0.3207656649
4978 0.2922484552
5125 0.2602248385
5210 0.2332767248
