evaluations raw_y
1 1488.4169695751
2 570.5906739881
10 467.8005351863
11 209.5245596132
72 127.9858635334
73 108.7018488330
242 87.1198122530
290 33.2042835912
696 29.0158214225
735 22.3965450679
1095 13.2732895011
1304 7.9869271387
1534 4.4783666446
1793 4.2972037730
1967 2.8609135815
2089 1.8561555013
2200 1.2853118828
2360 1.0378920574
2474 0.7396633478
2710 0.6454484633
2850 0.6452555282
2981 0.4800452448
3078 0.2160106535
3338 0.1544094215
3683 0.1033911356
3718 0.0990976088
3818 0.0960444959
3923 0.0773093479
4065 0.0668185243
4188 0.0426894520
4255 0.0425674260
4338 0.0288095512
4524 0.0241966668
4579 0.0188598847
4581 0.0109237114
4804 0.0036852947
5612 0.0026260837
5760 0.0017449694
6007 0.0017125469
6092 0.0009521731
6436 0.0001598159
6975 0.0000891316
7313 0.0000535627
7555 0.0000383175
7683 0.0000119149
8075 0.0000114933
8162 0.0000113975
8465 0.0000107101
8468 0.0000053376
9005 0.0000039699
9578 0.0000030597
9632 0.0000025983
9698 0.0000025156
9746 0.0000022974
9792 0.0000020504
9848 0.0000016381
9902 0.0000014387
10103 0.0000009486
10138 0.0000007999
10148 0.0000005010
10490 0.0000003303
10673 0.0000001441
10914 0.0000001045
11174 0.0000000584
11446 0.0000000463
11892 0.0000000265
12121 0.0000000259
12143 0.0000000247
12166 0.0000000179
12409 0.0000000107
12441 0.0000000043
12888 0.0000000017
13509 0.0000000015
13596 0.0000000001
14484 0.0000000001
14949 0.0000000001
15010 0.0000000000
15282 0.0000000000
15342 0.0000000000
15507 0.0000000000
15784 0.0000000000
15918 0.0000000000
16110 0.0000000000
16286 0.0000000000
16350 0.0000000000
16702 0.0000000000
16889 0.0000000000
evaluations raw_y
1 769.2756551329
3 317.2952123578
39 278.2883333717
65 268.9789030495
72 253.6720683222
74 164.6161229318
136 137.2093537725
183 127.4340203768
283 111.0260954966
340 98.9391582661
386 97.5019977883
406 72.6195514836
461 65.8470588666
502 61.8598941099
609 36.8372857965
807 23.5452714352
1074 9.8026725419
1359 6.7173744486
1671 3.4163147691
1885 2.9926016907
1902 2.1440936938
2005 1.0928542605
2203 1.0467225563
2345 0.5962443366
2352 0.3615309870
2972 0.2349945410
3175 0.1998586027
3288 0.1689484868
3417 0.0660192524
3469 0.0247520990
3812 0.0139259514
4334 0.0111047887
4842 0.0084205312
4931 0.0057827720
5200 0.0057043713
5303 0.0028662937
5482 0.0021312516
5817 0.0021229360
5849 0.0017830008
5956 0.0015686459
6026 0.0006806224
6218 0.0005513659
6291 0.0004535930
6509 0.0002361601
6778 0.0001484446
6809 0.0001092433
6959 0.0000691335
7598 0.0000553205
7688 0.0000426410
7815 0.0000333675
7855 0.0000310774
7960 0.0000211528
8045 0.0000185644
8191 0.0000137208
8226 0.0000111267
8235 0.0000063883
8631 0.0000038943
9189 0.0000030306
9210 0.0000013577
9456 0.0000010528
9473 0.0000008455
9647 0.0000006607
9911 0.0000006345
10100 0.0000001709
10350 0.0000001481
10710 0.0000001217
10891 0.0000000577
10916 0.0000000181
11236 0.0000000053
12011 0.0000000030
12245 0.0000000028
12267 0.0000000016
12674 0.0000000008
12810 0.0000000004
13701 0.0000000004
13838 0.0000000002
13871 0.0000000002
14147 0.0000000001
14307 0.0000000000
14803 0.0000000000
15500 0.0000000000
15949 0.0000000000
15972 0.0000000000
15981 0.0000000000
16109 0.0000000000
16354 0.0000000000
16456 0.0000000000
16500 0.0000000000
16595 0.0000000000
16724 0.0000000000
16903 0.0000000000
17038 0.0000000000
17368 0.0000000000
17497 0.0000000000
17579 0.0000000000
17605 0.0000000000
17762 0.0000000000
17791 0.0000000000
evaluations raw_y
1 1577.7540860514
2 1475.8219861488
3 1418.0969250103
4 741.2391782207
30 722.7555001078
44 616.9358129913
75 602.4690615082
77 428.2826910569
117 351.3905278736
136 268.3041549191
164 267.3940305402
183 260.3631180871
185 193.6670983420
248 136.4440706715
