evaluations raw_y
1 58.1850379414
2 5.6070570709
6 3.5006877959
7 3.3376780513
19 2.5397740515
21 0.6017378582
45 0.1836258789
63 0.1368687694
206 0.0864062834
296 0.0445885413
554 0.0398211381
598 0.0359134463
620 0.0282362186
691 0.0218420418
751 0.0144034912
759 0.0135942390
866 0.0029528769
1060 0.0028013143
1084 0.0010551771
1155 0.0006836596
1265 0.0004916272
1544 0.0003010229
1583 0.0002215961
1806 0.0001123423
2253 0.0000431568
2368 0.0000427222
2451 0.0000119628
2815 0.0000028453
3153 0.0000010429
3994 0.0000009769
4419 0.0000006649
4588 0.0000006516
4635 0.0000004244
4800 0.0000003307
4803 0.0000003097
5204 0.0000002836
5220 0.0000001877
5311 0.0000001276
5493 0.0000000631
5793 0.0000000258
5871 0.0000000153
6125 0.0000000150
6223 0.0000000046
6489 0.0000000021
6534 0.0000000015
6597 0.0000000008
7042 0.0000000002
7291 0.0000000001
7443 0.0000000001
7651 0.0000000001
8679 0.0000000000
8805 0.0000000000
8806 0.0000000000
9281 0.0000000000
9637 0.0000000000
9995 0.0000000000
10134 0.0000000000
10233 0.0000000000
10478 0.0000000000
10530 0.0000000000
10695 0.0000000000
11106 0.0000000000
11149 0.0000000000
11238 0.0000000000
12048 0.0000000000
evaluations raw_y
1 8.3261671560
2 6.9340923469
3 6.6926884165
6 4.3526580405
7 3.0717591496
12 2.7242760253
17 1.9790526180
61 1.6677960688
63 0.5896482374
69 0.4539133015
136 0.2233209789
205 0.1569598220
437 0.0809792978
741 0.0709680436
768 0.0360852656
816 0.0249506438
1015 0.0153510632
1052 0.0061294132
1124 0.0026460870
1455 0.0020691117
1519 0.0013065826
1547 0.0009522917
1602 0.0008716127
1693 0.0000158574
2686 0.0000115866
2820 0.0000025196
3249 0.0000020311
3547 0.0000009396
3927 0.0000006934
3992 0.0000004596
4233 0.0000000889
5054 0.0000000315
5617 0.0000000159
5982 0.0000000050
6084 0.0000000017
6991 0.0000000006
7620 0.0000000006
7712 0.0000000005
7779 0.0000000003
7975 0.0000000001
8451 0.0000000001
8543 0.0000000001
8895 0.0000000000
8927 0.0000000000
9196 0.0000000000
9319 0.0000000000
9411 0.0000000000
9992 0.0000000000
10039 0.0000000000
10457 0.0000000000
10519 0.0000000000
11304 0.0000000000
11606 0.0000000000
evaluations raw_y
1 97.9997312645
5 52.3413874786
10 10.2584703357
22 7.0437949668
30 6.8936709534
47 4.6412638152
54 2.4303378021
58 1.1558826979
187 0.5494790468
285 0.3225575616
360 0.2367994392
392 0.2238453386
542 0.1605284472
545 0.1019853684
657 0.0706463061
741 0.0529015229
852 0.0205622060
854 0.0158881685
1021 0.0148147804
1137 0.0048298072
1278 0.0041629605
1484 0.0040717230
1493 0.0021989719
1573 0.0003638914
1807 0.0001605135
2033 0.0000867765
2278 0.0000303073
3326 0.0000109599
3724 0.0000022337
4260 0.0000014548
4356 0.0000002774
4770 0.0000000056
6255 0.0000000042
6727 0.0000000020
7529 0.0000000018
7657 0.0000000010
7772 0.0000000009
7834 0.0000000008
7871 0.0000000008
7908 0.0000000002
8243 0.0000000001
8690 0.0000000001
8724 0.0000000000
9225 0.0000000000
9689 0.0000000000
9822 0.0000000000
10177 0.0000000000
10997 0.0000000000
11034 0.0000000000
11545 0.0000000000
11831 0.0000000000
11999 0.0000000000
evaluations raw_y
1 6.2387073669
4 4.4917059066
7 3.4416441644
11 3.0735248308
24 2.0369503892
74 1.4242284916
77 0.3124689502
142 0.2046717511
248 0.0806388064
324 0.0752817128
586 0.0337060564
839 0.0136491621
891 0.0086523903
955 0.0017343503
1098 0.0007172487
1469 0.0004174459
1654 0.0001606440
1961 0.0001081086
2494 0.0000840088
2531 0.0000260953
2985 0.0000059544
3097 0.0000058988
3175 0.0000053834
3484 0.0000053267
3630 0.0000046925
3813 0.0000002557
3944 0.0000002184
4349 0.0000000623
