evaluations raw_y
1 28.1199311909
20 14.7990702158
75 7.7098617446
179 5.6334443410
197 1.2385091335
757 0.5486744656
2159 0.1709153106
2725 0.0825583371
2940 0.0730844560
2954 0.0635706533
3057 0.0060288260
3188 0.0040244735
3973 0.0002435705
4092 0.0000848147
4262 0.0000126925
4775 0.0000045491
4912 0.0000008597
5291 0.0000003718
5540 0.0000000657
5744 0.0000000390
5779 0.0000000328
5896 0.0000000181
6154 0.0000000058
6328 0.0000000055
6335 0.0000000049
6392 0.0000000016
6629 0.0000000004
6673 0.0000000001
7078 0.0000000001
7190 0.0000000000
7238 0.0000000000
7390 0.0000000000
7982 0.0000000000
8019 0.0000000000
8337 0.0000000000
evaluations raw_y
1 170.7104349019
2 53.8686781871
7 39.9781648107
29 21.8217844934
86 20.8271820839
131 20.4626894196
132 18.9329503721
152 10.6959616637
161 4.8791882049
511 1.1874399754
1205 0.9456085449
1495 0.5165563818
1720 0.1421014009
2395 0.0079869883
2903 0.0020963684
3448 0.0008885248
3541 0.0007813436
3638 0.0003648836
3656 0.0002858717
3812 0.0000785051
3845 0.0000054402
4315 0.0000053112
4344 0.0000041718
4354 0.0000031825
4389 0.0000020685
4434 0.0000002667
4849 0.0000002494
4897 0.0000001090
5083 0.0000000786
5205 0.0000000615
5230 0.0000000315
5273 0.0000000215
5494 0.0000000090
5501 0.0000000012
5514 0.0000000001
6012 0.0000000000
6348 0.0000000000
6483 0.0000000000
6973 0.0000000000
7267 0.0000000000
8121 0.0000000000
evaluations raw_y
1 233.6936892188
2 143.3223584196
3 54.4866067479
5 49.3754939583
7 45.4648229458
9 44.6950452591
14 38.9623597588
15 27.8899644944
20 20.1572293201
27 17.7889699270
38 10.7535244224
51 5.2982853810
118 5.1205842088
302 4.6535569743
320 4.5883066703
379 2.4712874562
405 1.8596348250
563 1.5382436424
681 1.4091511987
1111 0.9978465268
1237 0.2761124377
1530 0.0115082171
2852 0.0064307700
3058 0.0029295309
3316 0.0000421043
4002 0.0000117083
4273 0.0000012623
4885 0.0000011189
5090 0.0000002706
5120 0.0000002225
5154 0.0000000210
5688 0.0000000202
5793 0.0000000054
5950 0.0000000032
5978 0.0000000002
6526 0.0000000002
6632 0.0000000000
6832 0.0000000000
7073 0.0000000000
7135 0.0000000000
7280 0.0000000000
7335 0.0000000000
7383 0.0000000000
7480 0.0000000000
7644 0.0000000000
8242 0.0000000000
8292 0.0000000000
8391 0.0000000000
8416 0.0000000000
evaluations raw_y
1 51.6337772389
6 50.1926971163
8 39.3576631182
12 25.2837116424
18 8.2424869992
120 1.5641068828
549 0.7877771684
1225 0.4741968120
9792 1.9899181142
evaluations raw_y
1 49.1038711044
3 43.0647005647
4 34.4798631278
14 32.4815639740
21 30.8009437068
37 26.2138079966
40 22.7558647033
54 19.2094233908
57 13.2751183782
71 8.9514005263
190 6.0805424754
437 4.9660621744
450 4.6247210803
554 2.8683794418
597 2.7601574543
674 1.4535243541
710 1.2962271321
1078 1.1171675700
1427 0.7954743909
1487 0.6066400281
1552 0.5019211988
1944 0.1354048321
2573 0.0388179311
2665 0.0245547987
2853 0.0235678347
2967 0.0133046947
3126 0.0125999007
3202 0.0095448780
3221 0.0083920147
3293 0.0058908326
3303 0.0034683432
3330 0.0014720343
3492 0.0004861575
3579 0.0000799163
3872 0.0000055080
4391 0.0000000750
5642 0.0000000187
5829 0.0000000090
5933 0.0000000077
6091 0.0000000044
6142 0.0000000012
6326 0.0000000005
6593 0.0000000000
6697 0.0000000000
6901 0.0000000000
7233 0.0000000000
7236 0.0000000000
7241 0.0000000000
7281 0.0000000000
7567 0.0000000000
8147 0.0000000000
8247 0.0000000000
8395 0.0000000000
9147 0.0000000000
evaluations raw_y
1 36.7744146464
2 28.1095058088
8 21.9843541454
11 21.7299035549
14 9.6016729628
69 7.9603852790
93 2.0081342242
127 1.1260749941
394 1.0080212946
1425 0.3250969792
1506 0.0341523636
2162 0.0011340847
2498 0.0008926599
2974 0.0002597248
3179 0.0000178423
3538 0.0000173518
3560 0.0000025464
3783 0.0000020288
3961 0.0000011778
4105 0.0000005367
4329 0.0000003553
4421 0.0000000376
4658 0.0000000139
4686 0.0000000139
4785 0.0000000037
5142 0.0000000004
5376 0.0000000002
5682 0.0000000002
5799 0.0000000000
6045 0.0000000000
6219 0.0000000000
6563 0.0000000000
6567 0.0000000000
7291 0.0000000000
evaluations raw_y
1 93.2685513535
4 48.2359985158
6 40.9290400870
16 14.4214590435
105 6.2672209645
357 2.1527019771
528 1.1893924381
944 0.4978607911
7642 0.9949590571
evaluations raw_y
1 867.3920663481
3 375.8631516802
6 93.0641041337
8 52.7241466146
12 43.8798491859
25 8.7936882628
59 8.6762350157
189 6.4732775369
216 5.9607051898
345 5.1659558666
375 4.7754756744
421 2.6638428704
622 1.9682379050
647 1.6781071830
870 1.4676966349
958 0.7815760217
1026 0.0592611141
1830 0.0240226228
2293 0.0063169132
2424 0.0058943173
2487 0.0033366251
2667 0.0010184044
2789 0.0007867255
2914 0.0005194092
3003 0.0003397169
3213 0.0003091376
3336 0.0000429062
3498 0.0000045295
3759 0.0000033837
4009 0.0000019521
4197 0.0000009223
4437 0.0000007759
4526 0.0000001663
4632 0.0000001508
4739 0.0000000135
5225 0.0000000086
5460 0.0000000068
5472 0.0000000020
5555 0.0000000013
5568 0.0000000009
5735 0.0000000008
5774 0.0000000005
6005 0.0000000005
6041 0.0000000003
6089 0.0000000002
6116 0.0000000000
6347 0.0000000000
6480 0.0000000000
6607 0.0000000000
6672 0.0000000000
6861 0.0000000000
7143 0.0000000000
7274 0.0000000000
7442 0.0000000000
7463 0.0000000000
evaluations raw_y
1 99.2163148980
3 56.3946119498
6 42.4818937290
23 41.7949706650
24 40.7552736250
26 24.9366629024
41 18.4968934675
44 15.6735495440
69 5.5210136797
194 3.2728517263
225 1.6402483496
836 1.6269374521
849 1.1606008602
1049 1.0607608303
1080 0.9613886602
1184 0.5143785113
1504 0.2456091092
2068 0.1415582915
2619 0.0535530782
4208 0.0027943746
5066 0.0024241623
5212 0.0000277097
5665 0.0000189527
5736 0.0000134217
5910 0.0000113608
5911 0.0000104985
5984 0.0000043189
6094 0.0000036180
6110 0.0000012746
6281 0.0000000373
6722 0.0000000101
7248 0.0000000080
7310 0.0000000014
7576 0.0000000013
7664 0.0000000003
7805 0.0000000001
8147 0.0000000001
8316 0.0000000001
8351 0.0000000000
8435 0.0000000000
8623 0.0000000000
8831 0.0000000000
8982 0.0000000000
9036 0.0000000000
9047 0.0000000000
9074 0.0000000000
9244 0.0000000000
9371 0.0000000000
9380 0.0000000000
9592 0.0000000000
9595 0.0000000000
evaluations raw_y
1 238.6963599092
3 175.9012105812
7 163.9696216715
10 150.8526237019
13 63.8111444922
24 44.2134841554
41 42.4434235920
45 29.2271644330
74 22.1476944531
118 20.3583730452
150 12.7535531395
183 5.0809494800
365 2.7962958970
552 1.8917360703
771 1.3978872119
832 1.1863903747
1016 1.0472242769
1291 0.9132987302
1721 0.3950182644
1926 0.1536715752
2088 0.0554965353
2447 0.0527115253
2632 0.0092103889
3483 0.0012666891
3494 0.0008677910
3613 0.0008470473
3721 0.0003471357
3858 0.0000867559
4035 0.0000164089
4241 0.0000161607
4359 0.0000100612
4391 0.0000005503
4859 0.0000000913
5011 0.0000000795
5503 0.0000000377
5522 0.0000000316
5533 0.0000000153
5627 0.0000000072
5766 0.0000000018
6065 0.0000000014
6099 0.0000000010
