evaluations raw_y
1 105.5534114377
4 57.8098058535
6 49.0808769690
60 34.2724632119
112 36.3758916033
121 35.3738175438
178 31.2349724246
276 33.0931959380
331 30.8491373766
432 20.5578536945
795 16.3966791511
2030 17.4861105375
2851 15.9838855064
3461 10.1245671176
4225 9.0065876438
4268 7.0545739018
4629 6.4400752007
4723 5.8213386929
4779 3.1626316427
5282 3.0559657986
5345 2.1110824576
5588 1.6971594680
5645 1.0850467334
6338 0.7211188766
6524 0.7847917910
6657 0.5692584390
7270 0.4188115592
7349 0.3788579970
7414 0.1974154664
7491 0.4253711628
7521 0.4596191098
7530 0.3643868010
7574 0.3928566533
7633 0.2313777903
7730 0.1597167871
8443 0.1202568514
8549 0.0911701665
8759 0.0980658061
8817 0.1244369297
8950 0.1106666524
9025 0.0861322871
9466 0.0390158505
10093 0.0692884823
10509 0.0506256282
10584 0.0602154231
10825 0.0507410415
10871 0.0481461916
10961 0.0451903922
11222 0.0456393994
11918 0.0475592111
11944 0.0489074835
12048 0.0330499617
12268 0.0472596109
12521 0.0426599835
12581 0.0400598161
12753 0.0360290242
13138 0.0367232158
13420 0.0308445412
13626 0.0364099289
13772 0.0321000035
13776 0.0335286285
13847 0.0333033646
14036 0.0280082252
14093 0.0285400373
14269 0.0295265323
14304 0.0286587703
14385 0.0278697942
14455 0.0268629260
14501 0.0266725362
14556 0.0262021262
14721 0.0255882489
14836 0.0262854159
15236 0.0255514319
15240 0.0246788552
15260 0.0249323275
15371 0.0246609090
15424 0.0228793391
15717 0.0227728406
16099 0.0225694037
16238 0.0224277691
16261 0.0224476921
16355 0.0220473829
16470 0.0222794188
16477 0.0214489227
16574 0.0214414860
16602 0.0217655667
16606 0.0212746654
17254 0.0207173071
17497 0.0204694203
17557 0.0201639000
18090 0.0201537923
18147 0.0201210752
18477 0.0198709041
18651 0.0197888787
18763 0.0198041612
18861 0.0197980067
18889 0.0196370729
19031 0.0196346644
19087 0.0196240495
19126 0.0195676415
19263 0.0194287817
19924 0.0194014683
20246 0.0193888373
20400 0.0193732056
20578 0.0193705819
20654 0.0193543370
20726 0.0193516400
20747 0.0193503386
20852 0.0193481794
21023 0.0193448203
21028 0.0193459437
21043 0.0193420664
21230 0.0193409719
21304 0.0193382970
21351 0.0193413946
21358 0.0193383735
21404 0.0193349847
21465 0.0193376558
21591 0.0193364051
21908 0.0193366197
21936 0.0193351341
22050 0.0193350391
22347 0.0193346443
22524 0.0193354282
22529 0.0193351687
22604 0.0193349427
22794 0.0193353111
22805 0.0193354746
23057 0.0193350870
23208 0.0193350039
23646 0.0193351131
23781 0.0193351292
23853 0.0193351335
23880 0.0193351056
24072 0.0193351497
24099 0.0193351530
24220 0.0193351202
24283 0.0193351316
24335 0.0193351022
24582 0.0193350895
24693 0.0193351213
24983 0.0193350957
24985 0.0193350796
24998 0.0193351094
25132 0.0193351132
25175 0.0193350976
25324 0.0193351192
25589 0.0193351147
25632 0.0193351082
25797 0.0193351092
25873 0.0193351031
25909 0.0193351020
25966 0.0193351069
26066 0.0193351090
26138 0.0193351078
26207 0.0193351087
26240 0.0193351107
26247 0.0193351076
26436 0.0193351069
26591 0.0193351065
26644 0.0193351060
26707 0.0193351062
26844 0.0193351074
26935 0.0193351087
26945 0.0193351053
26964 0.0193351066
26983 0.0193351062
27043 0.0193351076
27066 0.0193351085
27161 0.0193351076
27188 0.0193351073
27291 0.0193351074
27365 0.0193351073
27409 0.0193351070
27413 0.0193351081
27560 0.0193351075
27574 0.0193351074
27738 0.0193351075
28032 0.0193351075
28036 0.0193351076
28330 0.0193351075
28417 0.0193351073
28844 0.0193351076
29734 0.0193351076
evaluations raw_y
1 79.3936961539
5 53.3300611272
16 45.8849997078
46 38.8613747894
69 37.4050892072
73 20.7547714200
461 17.3498262238
487 13.7382236856
2006 6.2356284459
9602 6.4068815619
10193 6.3090299108
10273 5.1347932454
10387 5.0954051161
10406 4.8575082675
10568 4.1084845727
10623 3.8724908026
10746 3.1024586143
10811 1.6641819589
11247 1.5229182094
11283 1.4087668462
11336 0.6135953140
11633 0.5135454679
12079 0.3985118576
12558 0.3089263151
12636 0.2810603524
12831 0.1730092400
13022 0.1370103443
13149 0.1367604251
13268 0.1099424071
13306 0.0986394443
13440 0.0892917023
13638 0.0774835333
13662 0.0716148915
13782 0.0711837031
13819 0.0527293931
13879 0.0488635006
13947 0.0353275575
14109 0.0341408284
14120 0.0310942719
14168 0.0293979043
14307 0.0275019394
14320 0.0248796877
14406 0.0245265157
14432 0.0112107641
14894 0.0088602778
15018 0.0081736022
15122 0.0076213918
15367 0.0069433061
15424 0.0038950908
15604 0.0023256895
15907 0.0021757693
16195 0.0018401554
16263 0.0018303102
16284 0.0016299531
16317 0.0014355096
16338 0.0013989524
16402 0.0007030186
16439 0.0006362338
16587 0.0004460639
16667 0.0002054559
17088 0.0001756831
17252 0.0001130154
17328 0.0000713701
17570 0.0000564823
17654 0.0000411839
17927 0.0000410140
18022 0.0000250605
18170 0.0000245126
18281 0.0000135162
18470 0.0000119605
18545 0.0000090376
18616 0.0000074651
18716 0.0000070353
18729 0.0000046224
18793 0.0000027192
19011 0.0000017189
19107 0.0000006773
19427 0.0000006734
19560 0.0000006148
19568 0.0000005598
19651 0.0000005180
19659 0.0000004361
19769 0.0000004139
19880 0.0000002609
19885 0.0000002503
19891 0.0000002188
19950 0.0000002107
20101 0.0000001758
20126 0.0000000855
20319 0.0000000671
20358 0.0000000630
20444 0.0000000239
20770 0.0000000197
20878 0.0000000138
20927 0.0000000109
20970 0.0000000103
21115 0.0000000102
21203 0.0000000089
21243 0.0000000042
21358 0.0000000030
21401 0.0000000025
21632 0.0000000018
21645 0.0000000013
21733 0.0000000013
21744 0.0000000012
21802 0.0000000008
21841 0.0000000003
21897 0.0000000002
