evaluations raw_y
1 7.1998390493
18 2.1577033351
24 1.1182512462
44 0.4405927316
715 0.4017865426
782 0.3078026267
1206 0.1628893282
1226 0.1488646515
1235 0.0836964034
1525 0.0342511150
1740 0.0270812880
2434 0.0137752385
2738 0.0129018760
2778 0.0121424974
2812 0.0094817716
2988 0.0086641223
3065 0.0067619589
3093 0.0041408975
3471 0.0030320620
3530 0.0012484154
4099 0.0010618531
4123 0.0009710027
4348 0.0008976964
4524 0.0006615209
4589 0.0004601763
4642 0.0003242487
4865 0.0000540247
5805 0.0000241074
6713 0.0000192930
6871 0.0000125353
6915 0.0000040852
7801 0.0000025427
7831 0.0000008819
7998 0.0000008740
8097 0.0000008389
8159 0.0000006975
8538 0.0000006568
8540 0.0000006007
8542 0.0000005599
8640 0.0000004782
8700 0.0000003640
8864 0.0000002422
9243 0.0000001936
9380 0.0000001592
9663 0.0000001239
9770 0.0000000883
10006 0.0000000696
10257 0.0000000472
10299 0.0000000409
10485 0.0000000332
10490 0.0000000261
10624 0.0000000123
10836 0.0000000110
10862 0.0000000108
10877 0.0000000053
11276 0.0000000620
evaluations raw_y
1 19.4599862687
3 15.2489297815
4 9.5723207321
5 6.1026215795
10 5.7417142419
20 2.2991456668
58 1.8020951949
106 1.7185652468
182 1.0389221281
296 1.0035573990
334 0.8266710818
351 0.2480499945
911 0.1342819817
1370 0.0896216922
1624 0.0824587153
1724 0.0342374545
2206 0.0249711742
2527 0.0209936172
2754 0.0185556703
2779 0.0116755887
2878 0.0100356564
2959 0.0091050302
3228 0.0053193361
3397 0.0042428833
3426 0.0032042678
3496 0.0030477328
3866 0.0015594831
3940 0.0014419851
3972 0.0011103922
4386 0.0009995706
4436 0.0004120117
4766 0.0003093138
4809 0.0001682424
5282 0.0001433145
5448 0.0001267361
5502 0.0001200646
5659 0.0000394099
6039 0.0000164483
6462 0.0000067439
6899 0.0000034821
7593 0.0000008701
8294 0.0000007020
8401 0.0000006222
8637 0.0000005421
8703 0.0000003429
9152 0.0000003303
9154 0.0000003140
9255 0.0000001859
9355 0.0000001843
9508 0.0000001594
9579 0.0000000727
9820 0.0000000671
10168 0.0000000647
10216 0.0000000596
10257 0.0000000082
10522 0.0000000068
10771 0.0000001017
evaluations raw_y
1 156.8695123335
2 57.6090784959
3 25.2824745207
8 25.0549375880
13 11.7883328408
21 10.2247173350
33 7.9922575766
81 7.0919434801
88 4.4906152204
95 2.6856764989
128 1.9674158447
210 1.8884506244
484 0.9057797607
619 0.8974097491
683 0.7570331182
739 0.7248603469
799 0.6913774923
949 0.1592078176
1558 0.0561192685
2141 0.0193022993
2501 0.0159756593
2814 0.0101586376
2818 0.0100391280
3030 0.0081953342
3142 0.0071347371
3285 0.0039870229
3517 0.0034192520
3744 0.0019644283
4093 0.0019558605
