evaluations raw_y
1 47.5105138154
2 18.3101469680
3 11.5387227087
8 8.2963164399
9 5.4894824863
21 2.8886814703
85 0.8090805712
587 0.3595015318
1629 0.2800835361
1673 0.2640162572
1793 0.2583726466
1907 0.1470206698
2014 0.0582674990
3323 0.0435137524
19942 0.0999539820
evaluations raw_y
1 13.1795868272
7 11.5590887366
8 5.5346052168
12 3.5705595927
21 2.1052221346
46 0.8583543316
65 0.6362588732
1212 0.4725448267
1414 0.4105717277
1563 0.2576471173
1856 0.0186379576
6349 0.0180218188
6569 0.0118908976
6605 0.0107706173
7218 0.0099478726
7530 0.0098746470
7701 0.0095376304
7772 0.0087286859
7881 0.0086700403
7897 0.0086366698
8000 0.0083846120
8005 0.0080991141
8303 0.0080109489
8329 0.0078984005
8404 0.0078974865
8924 0.0078964272
8957 0.0078644193
9549 0.0078627544
9562 0.0078584481
9742 0.0078553067
10180 0.0078546300
10418 0.0078542951
10631 0.0078542333
10933 0.0078542169
11018 0.0078541064
11025 0.0078540362
11230 0.0078539101
11620 0.0078539012
11780 0.0078538905
11840 0.0078538735
11903 0.0078538502
12002 0.0078538439
12212 0.0078538437
12313 0.0078538277
13041 0.0078538276
13257 0.0078538268
13721 0.0078538256
13755 0.0078538254
14445 0.0078538254
14600 0.0078538254
14843 0.0078538254
15645 0.0078538254
15652 0.0078538254
15765 0.0078538254
15826 0.0078538254
15962 0.0078538254
16525 0.0078538254
17262 0.0078538254
evaluations raw_y
1 15.7086372460
4 14.8584692636
5 12.1529669182
8 5.8809610817
30 3.8621029245
40 1.6481701251
136 0.3062780429
2191 0.1395630155
17568 0.1341181297
18726 0.1340719482
19322 0.1335214596
19597 0.1361534956
evaluations raw_y
1 97.4981394391
2 44.4451580140
4 17.7485551551
5 14.5207312152
12 10.5608957818
20 7.4428488759
21 3.6293144568
40 3.0609210118
43 2.6782233392
140 1.7856854875
287 1.7755534462
289 1.6139689183
352 1.0563555594
774 0.9263848223
809 0.7162469136
1419 0.6622260988
1537 0.4917142722
1598 0.4526934137
1992 0.1460254312
2315 0.1197733143
2423 0.1125980077
3892 0.1121268313
3945 0.0840194399
4975 0.0763202870
5097 0.0720363271
5364 0.0211768481
5609 0.0211272498
5886 0.0180480657
6030 0.0179603729
6098 0.0144559404
6099 0.0116007496
6123 0.0001804630
7159 0.0001725917
7569 0.0001545463
7628 0.0000315653
7658 0.0000167567
7717 0.0000039015
8273 0.0000006353
8312 0.0000002363
8777 0.0000000583
8927 0.0000000404
9229 0.0000000005
10131 0.0000000001
10747 0.0000000001
10936 0.0000000000
10960 0.0000000000
10988 0.0000000000
11145 0.0000000000
11212 0.0000000000
11291 0.0000000000
11579 0.0000000000
11755 0.0000000000
11770 0.0000000000
12009 0.0000000000
12546 0.0000000000
13405 0.0000000000
evaluations raw_y
1 10.9747044465
11 7.1148589148
38 3.5394898390
75 2.1237624118
190 1.6505078366
387 0.9621446980
501 0.7529696019
531 0.4408949820
711 0.0822643813
2709 0.0445308930
4568 0.0008297749
5604 0.0007365826
5671 0.0003680880
6043 0.0000153812
6322 0.0000153073
6412 0.0000099846
6617 0.0000092103
6642 0.0000005121
6982 0.0000003818
7444 0.0000002115
7590 0.0000001034
7899 0.0000000986
7925 0.0000000451
8028 0.0000000383
