evaluations raw_y
1 149.8945759059
2 120.0236908059
6 115.5225489920
7 92.7010773007
21 53.2179007391
61 47.1067735689
69 41.8787548504
121 37.5723078760
127 27.5576508941
129 26.8716543348
183 25.1509102724
290 23.6199723716
454 15.0480746984
908 10.7420812307
987 7.8070829057
1096 7.5619201318
1140 6.3144788804
1173 5.3669609764
1252 5.2984886876
1326 3.4072670855
1448 2.6145134517
1467 2.3282080594
1552 2.1113590803
1558 1.4532762221
1588 1.2034604766
1843 1.1453382027
1850 1.0505498331
1887 0.9905458836
1912 0.6771333960
1944 0.5183394342
1974 0.3058030975
2178 0.2906244000
2284 0.1968674177
2444 0.1913895629
2532 0.1460557002
2535 0.1186637278
2589 0.0837939883
2654 0.0659284834
2765 0.0577979720
2818 0.0572767162
2938 0.0476861583
3114 0.0300604076
3144 0.0280955377
3275 0.0207282490
3440 0.0148033938
3499 0.0091998247
3622 0.0072616301
3731 0.0062650618
3732 0.0060237455
3735 0.0044225882
3850 0.0040804517
4028 0.0034495835
4063 0.0034148436
4077 0.0032693015
4106 0.0029514843
4108 0.0024633433
4229 0.0023971348
4321 0.0023558692
4323 0.0010355920
4548 0.0008208674
4642 0.0007314267
4655 0.0006722239
4670 0.0003560958
4846 0.0003253428
4937 0.0002170960
4938 0.0001616529
5060 0.0001133969
5338 0.0000945170
5583 0.0000693110
5672 0.0000658465
5685 0.0000636296
5700 0.0000549164
5710 0.0000480565
5733 0.0000454865
5742 0.0000436942
5860 0.0000418418
5866 0.0000397993
5878 0.0000170634
6125 0.0000128294
6222 0.0000105773
6278 0.0000088130
6329 0.0000085647
6400 0.0000077804
6440 0.0000046522
6650 0.0000044495
6664 0.0000040079
6685 0.0000029501
6756 0.0000027265
6771 0.0000027031
6835 0.0000024652
6895 0.0000018321
6909 0.0000007898
7156 0.0000005454
7208 0.0000005311
7290 0.0000005235
7465 0.0000004041
7530 0.0000003642
7647 0.0000003404
7653 0.0000001943
7818 0.0000001354
7845 0.0000000532
8248 0.0000000512
8364 0.0000000291
8500 0.0000000271
8573 0.0000000198
8754 0.0000000166
8787 0.0000000161
8849 0.0000000153
8864 0.0000000142
8871 0.0000000134
8901 0.0000000092
8972 0.0000000081
9006 0.0000000079
9048 0.0000000078
9065 0.0000000071
9156 0.0000000066
9169 0.0000000055
9223 0.0000000054
9301 0.0000000051
9353 0.0000000043
9354 0.0000000036
9403 0.0000000031
9482 0.0000000031
9510 0.0000000017
9576 0.0000000013
9643 0.0000000012
9730 0.0000000008
9891 0.0000000008
9930 0.0000000007
9940 0.0000000006
9987 0.0000000005
10032 0.0000000004
10118 0.0000000001
10364 0.0000000001
10733 0.0000000001
10748 0.0000000000
11110 0.0000000000
11148 0.0000000000
11161 0.0000000000
11397 0.0000000000
11496 0.0000000000
11545 0.0000000000
11578 0.0000000000
11660 0.0000000000
11667 0.0000000000
11703 0.0000000000
11782 0.0000000000
11868 0.0000000000
11869 0.0000000000
11944 0.0000000000
11970 0.0000000000
11975 0.0000000000
12014 0.0000000000
12033 0.0000000000
12037 0.0000000000
12161 0.0000000000
12170 0.0000000000
12404 0.0000000000
12414 0.0000000000
12438 0.0000000000
12518 0.0000000000
12598 0.0000000000
12624 0.0000000000
12722 0.0000000000
12737 0.0000000000
12845 0.0000000000
12917 0.0000000000
12935 0.0000000000
12941 0.0000000000
13078 0.0000000000
13086 0.0000000000
13088 0.0000000000
13137 0.0000000000
13218 0.0000000000
13271 0.0000000000
13530 0.0000000000
13552 0.0000000000
13820 0.0000000000
13886 0.0000000000
14162 0.0000000000
14618 0.0000000000
15471 0.0000000000
evaluations raw_y
1 179.4220265569
2 121.9812121624
6 94.3581026643
23 87.6981487041
28 73.3631470411
46 66.4902091350
64 45.5938216406
83 43.1665335004
124 26.9050235451
207 11.9166712160
908 8.7443590029
972 8.1369129705
987 4.7442012634
1252 4.3072441631
1323 3.5958369241
1326 1.5036045232
1547 1.2979386636
1586 0.9689557815
1835 0.9158402469
1850 0.7804486303
1887 0.7208754584
1912 0.4529277657
1960 0.4501078591
1974 0.4300739850
2027 0.3982016562
