evaluations raw_y
1 54223.3593005135
9 53990.0478061895
12 30847.5601984243
46 24841.0129351737
60 5979.6603210471
68 2615.2272972116
136 2425.2717346759
180 2293.4564765983
260 5.7821499770
473 4.2962136183
786 3.3733709732
871 2.8665808766
998 2.7027788026
1065 2.5733128887
1309 1.8453522541
1812 1.4919452596
3645 1.3725188251
3732 1.3614285931
4005 1.1706912736
4046 1.0980642191
4146 0.7415523928
4837 0.6565110219
4980 0.6013154875
5205 0.5593719665
5297 0.5300023690
5597 0.5218240424
5638 0.5213074065
5668 0.5143775623
5696 0.5045317963
5745 0.4919440545
5782 0.4819656330
6027 0.4796509813
6151 0.4785850306
6194 0.4776745506
6262 0.4757093527
6563 0.4745853849
6678 0.4745383794
6844 0.4744335182
6937 0.4740036124
7159 0.4739265304
7224 0.4738806649
7554 0.4738765428
7586 0.4738650864
7599 0.4738260560
7720 0.4737969416
7930 0.4737806972
8029 0.4737713727
8103 0.4737649682
8135 0.4737621046
8247 0.4737607899
8340 0.4737595004
8360 0.4737575224
8524 0.4737538679
9036 0.4737538555
9074 0.4737534004
9350 0.4737533940
9669 0.4737533920
9774 0.4737533425
10263 0.4737533422
10595 0.4737533406
10612 0.4737533406
10670 0.4737533403
10837 0.4737533401
10938 0.4737533395
11072 0.4737533395
11179 0.4737533390
11310 0.4737533388
11324 0.4737533388
11417 0.4737533387
11536 0.4737533386
11637 0.4737533385
11719 0.4737533385
12129 0.4737533385
12430 0.4737533385
12574 0.4737533385
12776 0.4737533385
12855 0.4737533385
12958 0.4737533385
13345 0.4737533385
13364 0.4737533385
13436 0.4737533385
13811 0.4737533385
13898 0.4737533385
14775 0.4737533385
evaluations raw_y
1 51651.3194596191
2 33550.6367505943
4 25216.4927061301
15 11467.1581512019
34 779.8952332423
116 104.0438720137
147 3.6812335829
540 3.5163734221
638 3.1146087129
779 2.7002970635
1218 1.6588860359
2531 1.6012163082
4578 1.3680415843
5539 1.2553475903
5714 1.2408270118
5788 0.9870794583
6347 0.9561963350
6460 0.9321407956
6626 0.9012664949
6987 0.8830437076
7063 0.8822568958
7244 0.8803985553
7303 0.8763374579
7307 0.8756290467
7374 0.8715031417
7490 0.8707542009
7769 0.8700991394
7948 0.8696843192
7999 0.8696299785
8043 0.8693532157
8195 0.8691495026
8275 0.8687633019
8633 0.8686997255
8779 0.8686940265
8788 0.8686637273
8883 0.8686318074
8896 0.8685936644
9047 0.8685854476
9109 0.8685799800
9324 0.8685779317
9422 0.8685764608
9448 0.8685716691
9461 0.8685687107
9554 0.8685668098
9662 0.8685601945
10241 0.8685596758
10300 0.8685596569
10380 0.8685593763
10594 0.8685590616
10642 0.8685588600
10802 0.8685587405
11137 0.8685587394
11182 0.8685587249
11205 0.8685587097
11434 0.8685587070
11470 0.8685587032
11536 0.8685586936
11565 0.8685586901
11739 0.8685586817
11888 0.8685586816
12069 0.8685586808
12106 0.8685586804
12167 0.8685586802
12221 0.8685586792
12358 0.8685586785
12452 0.8685586784
12624 0.8685586782
12666 0.8685586779
12809 0.8685586779
12897 0.8685586778
12928 0.8685586778
13000 0.8685586777
13077 0.8685586777
13080 0.8685586776
13143 0.8685586776
13309 0.8685586776
13572 0.8685586776
13916 0.8685586776
14097 0.8685586776
14119 0.8685586776
14229 0.8685586776
14332 0.8685586776
14337 0.8685586776
14504 0.8685586776
14644 0.8685586776
14767 0.8685586776
14898 0.8685586776
14909 0.8685586776
15436 0.8685586776
15457 0.8685586776
15696 0.8685586776
16460 0.8685586776
evaluations raw_y
1 4353.1307273235
28 541.7330724516
59 4.8673952481
259 3.7939593058
533 2.9139838160
886 2.2711926646
1226 1.9658991485
2579 1.9160723137
2759 1.8121149351
3899 1.7041465978
4945 1.5637531716
5332 1.5170347517
5454 1.4907275424
5542 1.4902263459
5800 1.4836500298
6028 1.4822281545
6088 1.4719617388
6168 1.4695097957
6492 1.4663306774
6556 1.4653177444
6606 1.4618308488
6999 1.4615179828
7204 1.4614728936
7445 1.4612298113
7703 1.4609427330
7777 1.4608859010
7846 1.4608360142
7951 1.4608020468
8405 1.4607954724
8427 1.4607823864
8588 1.4607796802
8704 1.4607771666
8866 1.4607751861
8964 1.4607747645
9045 1.4607733089
9234 1.4607726845
9655 1.4607723120
9896 1.4607722904
9931 1.4607722253
9949 1.4607721793
10034 1.4607721678
10140 1.4607721631
10223 1.4607721305
10303 1.4607721301
10587 1.4607721293
