evaluations raw_y
1 26.0370960053
2 21.2708046054
5 19.5017621266
10 17.1946982107
11 16.9562738041
12 6.3541717441
36 4.2151015396
84 2.3755999417
139 1.9031147213
397 0.0903832438
10500 0.6918569112
evaluations raw_y
1 88.3352827474
2 83.4105963472
3 73.8200811869
6 33.2770510390
10 16.7419222203
21 7.1305572761
217 3.7360834534
357 3.1059533058
961 2.1594270441
2071 2.0877664596
10044 2.7779884071
evaluations raw_y
1 4.7831359219
25 2.1303876581
272 0.2816535046
9731 1.2452555353
evaluations raw_y
1 66.2049919988
3 19.1752588126
11 0.1882366078
176 0.1031883552
780 0.0115067664
1293 0.0009011351
1490 0.0000824274
1675 0.0000316516
1985 0.0000063967
2109 0.0000034467
2383 0.0000003566
2491 0.0000000620
2704 0.0000000118
2874 0.0000000031
2913 0.0000000010
3087 0.0000000003
3142 0.0000000003
3258 0.0000000000
3750 0.0000000000
3923 0.0000000000
4322 0.0000000000
4422 0.0000000000
5166 0.0000000000
evaluations raw_y
1 14.7994856915
7 12.3487203348
10 8.1227332848
20 7.8952048453
40 1.5562031329
9428 1.9993848829
evaluations raw_y
1 38.1155031942
2 3.8570187426
16 3.4682237484
26 3.0695719840
34 2.4948208518
111 2.0612492403
121 1.2783037981
181 0.6358249200
206 0.6028121072
245 0.0036379812
1240 0.0035098581
1479 0.0034977148
1502 0.0008893247
1576 0.0000811584
2049 0.0000071415
2151 0.0000015645
2525 0.0000005944
2630 0.0000003757
2637 0.0000002532
2711 0.0000000487
2774 0.0000000010
3402 0.0000000000
3886 0.0000000000
4472 0.0000000000
4496 0.0000000000
4654 0.0000000000
4770 0.0000000000
4893 0.0000000000
5600 0.0000000000
evaluations raw_y
1 33.5298743346
3 17.0732367990
20 12.5558288395
36 10.3597707132
56 8.3907797759
62 8.0545595895
67 2.0802618770
343 0.0353508741
1445 0.0155707679
1608 0.0053012547
1891 0.0008285722
2419 0.0000333149
2577 0.0000232088
2737 0.0000212046
2931 0.0000017430
3161 0.0000014205
3246 0.0000002037
3544 0.0000000027
3955 0.0000000002
4061 0.0000000001
4565 0.0000000000
4591 0.0000000000
4741 0.0000000000
4953 0.0000000000
5087 0.0000000000
5244 0.0000000000
5288 0.0000000000
5429 0.0000000000
5447 0.0000000000
5514 0.0000000000
5647 0.0000000000
6251 0.0000000000
evaluations raw_y
1 48.7860950157
2 19.2686868258
5 3.9633726671
81 2.4868553223
114 2.1331494815
184 0.0692958294
9881 1.2452555353
evaluations raw_y
1 54.7191426994
2 51.7608603706
4 46.2471490779
5 43.6522745011
8 35.3632026490
10 7.4272497660
16 5.7435288019
37 4.7247803404
61 4.3912104746
126 2.8082686052
337 2.3246360611
475 0.3231447973
533 0.2242884898
703 0.1714366611
1123 0.0178281350
1214 0.0035398538
1701 0.0031315640
1725 0.0024536304
1744 0.0000102438
2662 0.0000066929
2876 0.0000006190
2893 0.0000003027
3016 0.0000002507
3112 0.0000001001
3242 0.0000000601
3260 0.0000000488
3394 0.0000000233
3467 0.0000000126
3471 0.0000000013
3647 0.0000000001
3802 0.0000000001
4151 0.0000000001
4226 0.0000000000
4229 0.0000000000
4233 0.0000000000
4641 0.0000000000
4695 0.0000000000
4743 0.0000000000
5704 0.0000000000
evaluations raw_y
1 24.8762313234
2 18.4244013403
7 12.1020902297
62 8.0675277483
68 7.3241019662
79 2.9324129420
850 2.0544076589
10361 2.7779884071
evaluations raw_y
1 26.6874494123
3 8.2873543866
11 5.2099845929
67 3.2051048808
68 2.0929738050
140 2.0382911864
153 2.0162525028
172 0.4934585555
190 0.2068309583
375 0.1492952543
745 0.0203385572
1185 0.0200010745
1344 0.0135370009
1372 0.0069473546
1470 0.0012194687
1563 0.0008152577
1669 0.0001147223
1925 0.0000670147
2034 0.0000260675
2240 0.0000000510
3101 0.0000000465
3321 0.0000000275
3327 0.0000000031
3355 0.0000000010
3381 0.0000000007
3652 0.0000000004
3678 0.0000000000
3774 0.0000000000
4373 0.0000000000
4512 0.0000000000
4691 0.0000000000
4769 0.0000000000
4877 0.0000000000
4892 0.0000000000
4961 0.0000000000
5246 0.0000000000
5278 0.0000000000
6239 0.0000000000
evaluations raw_y
1 52.5810645098
2 13.9901768107
3 9.8032308787
4 8.6208183496
57 8.4662226783
85 7.9679234986
145 5.7151976178
272 2.8122501619
313 2.2803145917
497 1.9914811519
531 1.9893143559
629 1.4789299102
670 1.4112053868
1356 1.3370955662
1454 1.3012360170
1475 1.2988518937
1511 1.2630740130
1781 1.2616942476
1845 1.2483965934
2224 1.2482631101
2290 1.2472462896
2530 1.2464882089
2553 1.2464517041
2625 1.2462044025
2665 1.2461985541
2689 1.2461870033
2709 1.2453268945
3198 1.2453126239
3302 1.2452817045
3500 1.2452701269
3542 1.2452643628
3561 1.2452633035
3644 1.2452598651
3791 1.2452583860
3910 1.2452578046
4086 1.2452557942
4442 1.2452557890
4504 1.2452557630
4715 1.2452556793
4798 1.2452556774
4828 1.2452556277
4853 1.2452555997
5035 1.2452555881
5074 1.2452555800
5143 1.2452555661
5278 1.2452555536
5329 1.2452555518
5381 1.2452555441
5427 1.2452555406
5657 1.2452555376
5947 1.2452555371
6000 1.2452555360
6068 1.2452555358
6310 1.2452555357
6312 1.2452555356
6534 1.2452555355
6563 1.2452555354
6596 1.2452555353
6846 1.2452555353
7282 1.2452555353
7828 1.2452555353
7964 1.2452555353
8328 1.2452555353
9201 1.2452555353
evaluations raw_y
1 78.3132335100
2 41.6192510482
5 22.2791721673
33 20.7910625180
40 18.2355122566
44 9.8371988665
94 6.9118039583
166 4.8465106729
201 3.6945964938
212 3.0401800669
290 1.5708981576
406 1.1128467380
765 0.4889561380
1139 0.3682300365
1334 0.0597662237
1595 0.0178378584
1677 0.0009419205
1812 0.0007694562
2255 0.0000257573
2751 0.0000087779
2763 0.0000044876
2993 0.0000020327
3011 0.0000016362
3117 0.0000008412
3137 0.0000002198
3261 0.0000000413
3399 0.0000000131
3452 0.0000000003
3937 0.0000000001
3970 0.0000000000
4377 0.0000000000
4620 0.0000000000
4680 0.0000000000
4755 0.0000000000
4815 0.0000000000
4965 0.0000000000
4993 0.0000000000
5025 0.0000000000
5097 0.0000000000
5715 0.0000000000
evaluations raw_y
1 76.3058269403
2 74.8409174249
3 56.8775746216
4 22.2224925939
6 8.9541778387
39 8.0811731716
45 6.9218089135
68 6.5325424329
97 5.7481788877
122 2.4448042721
193 2.0337131123
250 2.0118365913
368 1.9560411339
377 0.8494990357
10337 1.5630098573
evaluations raw_y
1 21.2358142526
2 15.6586637724
5 3.0797354802
39 2.1017460583
40 1.9494653994
479 1.4911622734
642 1.2972105026
759 0.8876324016
1083 0.8132974884
1230 0.7531544151
1257 0.7415388153
1548 0.7370284169
1568 0.7302217637
1746 0.7265825204
1750 0.7033438831
1755 0.7028245591
1867 0.7010930113
1869 0.6951063155
1969 0.6924691855
2512 0.6924456729
2525 0.6920978192
2741 0.6920022670
2760 0.6919953038
2940 0.6919875433
3001 0.6919476970
3039 0.6919252955
3056 0.6918700361
3410 0.6918632961
3737 0.6918610149
3916 0.6918598660
3936 0.6918594529
4038 0.6918585731
4113 0.6918575960
4147 0.6918571270
4359 0.6918570521
4541 0.6918570449
4584 0.6918569788
4876 0.6918569603
5033 0.6918569548
5088 0.6918569260
5168 0.6918569223
5211 0.6918569183
5320 0.6918569125
5754 0.6918569125
5801 0.6918569118
5869 0.6918569113
6262 0.6918569113
6342 0.6918569112
6436 0.6918569112
6697 0.6918569112
6740 0.6918569112
6968 0.6918569112
7295 0.6918569112
7406 0.6918569112
7414 0.6918569112
7585 0.6918569112
7641 0.6918569112
7734 0.6918569112
7927 0.6918569112
