evaluations raw_y
1 21.3656238567
2 18.6199738554
6 18.7622967592
8 8.0019362951
66 6.3002490265
433 5.8061776302
892 4.0880839251
1343 3.6250406568
1764 3.3303770014
2068 3.1899254244
5644 2.8952190097
5756 2.8057767956
6780 2.6273408041
7252 2.4510575923
11735 1.6850536898
96951 1.5394957783
97105 1.5001379858
97137 1.4400809520
97238 1.2278226656
97250 0.8422951905
97530 0.7122444201
98235 0.6953101164
98755 0.6745685809
98808 0.6605371549
98834 0.5599132490
99004 0.5549366104
99061 0.4337693685
99968 0.2887900036
101588 0.2767371842
101810 0.2759516818
101941 0.2491311042
102017 0.2398473378
102041 0.2318470115
102090 0.1958669283
102498 0.1848361612
102579 0.1584921086
103069 0.1558683881
103426 0.1468324392
104095 0.1446944375
104233 0.1443065707
104239 0.1291229986
104306 0.1285356999
104445 0.1281883531
104501 0.1198108301
104703 0.1147244137
104955 0.1128021802
104963 0.1120528270
104967 0.1056389083
105269 0.1057696420
105461 0.0968683804
105850 0.0964058036
105980 0.0944802150
106020 0.0926388349
106614 0.0915168451
106807 0.0913690120
106926 0.0879265151
107098 0.0851482649
107441 0.0837664144
108318 0.0818151349
109063 0.0785539611
109668 0.0782774047
110024 0.0774544625
110088 0.0770248646
110551 0.0767164122
110557 0.0762588005
110649 0.0759101182
110707 0.0753139931
110829 0.0751770003
110838 0.0744572314
110953 0.0741890768
111079 0.0738848035
111185 0.0735132559
111658 0.0730220051
111660 0.0729872810
111801 0.0724851227
112435 0.0724762308
112876 0.0721427152
112897 0.0720215424
113093 0.0718760155
113239 0.0713694029
113536 0.0708997103
114993 0.0708095048
115236 0.0707654918
115252 0.0706200545
115305 0.0706193456
115323 0.0705850407
115413 0.0704571813
115441 0.0704489005
115550 0.0704433012
115676 0.0700965570
116526 0.0700757431
116962 0.0699920094
117206 0.0699540418
117223 0.0699426499
117278 0.0699453375
117443 0.0698671193
118308 0.0697870645
118598 0.0697742708
118661 0.0697130622
118724 0.0696995744
118833 0.0696369366
118926 0.0696008176
119309 0.0695892328
119520 0.0695016129
121223 0.0694914751
121383 0.0694914290
121438 0.0694094586
121549 0.0693670502
121697 0.0693003689
122121 0.0693015802
122296 0.0692935940
122302 0.0692643591
122335 0.0692575267
122338 0.0692440416
122468 0.0692277600
122477 0.0691486453
122532 0.0691388668
122656 0.0691303908
122851 0.0691097222
122904 0.0690981774
122907 0.0690746090
122919 0.0690647316
123066 0.0690406108
123183 0.0690176630
123597 0.0690048642
123628 0.0690023950
123757 0.0689868026
123868 0.0689715004
123979 0.0689633609
124098 0.0689563517
124214 0.0689539740
124238 0.0689515954
124291 0.0689428433
124559 0.0689339729
124700 0.0689235729
124748 0.0689238723
124878 0.0689202750
124898 0.0689069460
125376 0.0689056806
125459 0.0689006425
125526 0.0688991476
125616 0.0688957877
125922 0.0688904885
126156 0.0688900746
126208 0.0688894065
126251 0.0688874319
126539 0.0688873049
126594 0.0688858023
126625 0.0688858285
126631 0.0688855363
126693 0.0688816764
127098 0.0688805366
127416 0.0688803086
127436 0.0688782336
127585 0.0688780657
127595 0.0688778619
127626 0.0688765116
127773 0.0688761169
127900 0.0688761052
127925 0.0688760512
127948 0.0688740121
128362 0.0688739871
128429 0.0688735179
128494 0.0688733550
128506 0.0688732785
128593 0.0688732140
128655 0.0688729894
128710 0.0688729696
128786 0.0688729583
128811 0.0688725293
129002 0.0688724368
129049 0.0688723872
129050 0.0688723401
129083 0.0688720812
129283 0.0688717671
129447 0.0688716342
129454 0.0688715724
129562 0.0688715674
129621 0.0688714873
129687 0.0688714659
129728 0.0688714554
129751 0.0688714522
129752 0.0688713979
129788 0.0688713659
129829 0.0688713578
129837 0.0688711791
129915 0.0688711646
129918 0.0688711069
129927 0.0688710720
130212 0.0688710437
130286 0.0688709352
130542 0.0688709085
130559 0.0688707556
131040 0.0688707403
131132 0.0688707112
131150 0.0688706756
131248 0.0688706643
131386 0.0688706453
131465 0.0688706062
131523 0.0688705800
131655 0.0688705535
131686 0.0688705403
131773 0.0688704974
132339 0.0688704904
132344 0.0688704724
132360 0.0688704463
132551 0.0688704443
132721 0.0688704349
133023 0.0688704344
133113 0.0688704190
133438 0.0688704182
133454 0.0688704183
133500 0.0688704158
133515 0.0688704144
133592 0.0688704106
133612 0.0688704022
133709 0.0688704018
133792 0.0688704006
133954 0.0688704004
134037 0.0688704000
134098 0.0688703902
134270 0.0688703864
134595 0.0688703836
134607 0.0688703829
134925 0.0688703827
134933 0.0688703814
134942 0.0688703791
134996 0.0688703780
135218 0.0688703766
135324 0.0688703741
135741 0.0688703731
136047 0.0688703730
136070 0.0688703728
136117 0.0688703721
136461 0.0688703719
136553 0.0688703716
136594 0.0688703715
136635 0.0688703713
136658 0.0688703712
136831 0.0688703711
136902 0.0688703711
136914 0.0688703710
136923 0.0688703710
136929 0.0688703709
136937 0.0688703707
136973 0.0688703705
137179 0.0688703705
137187 0.0688703703
137376 0.0688703703
137384 0.0688703702
137450 0.0688703699
137541 0.0688703697
137569 0.0688703697
137602 0.0688703696
137636 0.0688703696
137670 0.0688703695
137698 0.0688703695
137716 0.0688703695
137805 0.0688703694
137815 0.0688703693
137851 0.0688703693
137916 0.0688703692
137993 0.0688703691
138016 0.0688703691
138042 0.0688703689
138213 0.0688703688
138449 0.0688703688
138535 0.0688703688
138602 0.0688703688
138706 0.0688703687
138774 0.0688703687
138779 0.0688703687
138786 0.0688703687
138865 0.0688703687
138884 0.0688703686
138976 0.0688703686
139241 0.0688703685
139524 0.0688703685
139587 0.0688703684
139644 0.0688703687
evaluations raw_y
1 10.6052335994
2 25.2440712244
4 10.6535488432
14 5.8455167104
33 5.3226324664
95 5.4121958816
675 4.6545876189
2843 4.6568019640
3154 4.1189178443
4965 3.5672161837
5483 3.6397471272
6086 2.5641659070
22604 2.6167160280
27185 2.5147995257
27414 2.2482645083
31628 1.9472512900
54109 1.7928651812
106932 1.6461559984
112694 1.5017241618
112959 1.4559928430
113001 0.9942545620
114078 0.8781359683
114263 0.7173243480
114444 0.7148296314
114736 0.6552341485
115795 0.4873346213
116817 0.4140168637
116877 0.3104599630
117460 0.3086740344
117809 0.2861434686
117895 0.2287960209
118313 0.2102988133
118644 0.2003174220
118748 0.1953634329
118853 0.1937632048
