evaluations raw_y
1 32035.4118624463
2 10260.6102169584
3 1311.1418969788
10 905.2227631952
17 823.6716076573
23 756.3522096529
30 696.0663725589
78 679.5258460374
85 636.0859899348
99 449.3961401349
119 371.2209400177
303 349.4733402404
1120 341.3547515278
1136 277.8364457203
1473 252.1157420684
1576 245.8887155868
1618 238.1942341000
1632 211.5538760151
1798 188.3599591952
2330 170.4535768819
2335 151.3665941657
3751 128.0354782889
6243 119.9615343906
12588 105.7008681305
31517 95.5050548660
42279 86.1574496827
42714 84.7289563712
42761 83.3047153910
42816 68.5159644704
42965 67.5881795818
43218 62.3935228978
43551 58.6197573848
43652 56.7272793400
43743 51.9914471067
44052 45.6781172649
44167 39.2947037396
44869 38.5961378398
45076 38.1482373937
45187 34.8549904847
45644 34.4308498958
45735 33.2378148939
46279 32.6688802543
46515 32.5547333844
46582 32.4451059072
46607 32.0743462079
46718 31.6485708141
47070 31.4751209063
47255 31.1534338112
47260 31.0038026888
47582 30.3594468219
47631 30.2920882113
47784 29.8883329212
48194 29.7265753747
48387 29.6920339198
48402 29.6424646765
48409 29.5510023646
48457 29.4913117147
48479 29.4050278985
48628 29.2820116051
49010 29.1899302348
49148 29.1685558842
49201 29.0904470966
49256 28.9777425115
49282 28.9771588714
49322 28.9384921549
49518 28.8769324560
49593 28.8695424156
49815 28.4752969086
50356 28.3800224384
51109 28.2681307860
51476 28.2627819464
51598 28.2604068308
51654 28.2587528046
51666 28.2498404409
51671 28.2155984685
51799 28.2015612359
51946 28.1891789394
51964 28.1419292977
52100 28.1321200873
52201 28.1231031665
52241 28.1219981011
52329 28.1159620283
52376 28.0886530609
52532 28.0823952825
52598 28.0816724391
52827 28.0662209139
52887 28.0592710916
53137 28.0578345177
53330 28.0547754325
53382 28.0541046581
53410 28.0510288479
53524 28.0506560209
53720 28.0430740770
54034 28.0429967961
54047 28.0427890259
54084 28.0411312479
54130 28.0391737241
54319 28.0378611900
54442 28.0377355423
54715 28.0370768396
54846 28.0368670042
54872 28.0364792556
54927 28.0359322369
55229 28.0358936015
55303 28.0357972140
55374 28.0357779395
55388 28.0353694582
55552 28.0353079674
55948 28.0352648333
55950 28.0352504769
55978 28.0352010802
56001 28.0351954596
56028 28.0349972389
56121 28.0349588029
56184 28.0349332022
56316 28.0348667557
56478 28.0348563793
56576 28.0348413060
56718 28.0348278807
56926 28.0348081097
56953 28.0348061824
56964 28.0347648425
57013 28.0347435184
57116 28.0347351482
57170 28.0347337592
57256 28.0347186928
57311 28.0347123623
57355 28.0347049204
57389 28.0346956268
57538 28.0346829042
57738 28.0346553165
58189 28.0346426704
58348 28.0346383683
58366 28.0346381666
58462 28.0346347780
58541 28.0346335807
58634 28.0346329342
58647 28.0346308579
58694 28.0346264894
58834 28.0346252308
58960 28.0346240486
59001 28.0346231042
59029 28.0346210345
59068 28.0346207807
59140 28.0346161886
59791 28.0346149199
60040 28.0346140963
60090 28.0346138074
60210 28.0346137699
60233 28.0346137212
60304 28.0346132138
60372 28.0346129295
60432 28.0346127356
60455 28.0346125660
60695 28.0346125478
60770 28.0346122154
60861 28.0346121848
60891 28.0346121299
60911 28.0346120143
60938 28.0346120095
60982 28.0346119826
61201 28.0346119808
61231 28.0346119719
61274 28.0346119521
61322 28.0346118869
61426 28.0346118722
61457 28.0346118681
61479 28.0346118239
61534 28.0346117753
61622 28.0346117694
61750 28.0346117568
61765 28.0346117543
61776 28.0346117512
61782 28.0346117344
61841 28.0346117321
61895 28.0346117037
62067 28.0346116943
62170 28.0346116856
62425 28.0346116689
62545 28.0346116619
62715 28.0346116618
62789 28.0346116598
62800 28.0346116572
62887 28.0346116525
62948 28.0346116513
63083 28.0346116508
63108 28.0346116481
63130 28.0346116476
63134 28.0346116451
63305 28.0346116450
63316 28.0346116436
63333 28.0346116420
63337 28.0346116418
63378 28.0346116416
63401 28.0346116413
63563 28.0346116387
63941 28.0346116387
63974 28.0346116377
64017 28.0346116371
64208 28.0346116361
64261 28.0346116360
64377 28.0346116355
64522 28.0346116354
64647 28.0346116350
64773 28.0346116348
65064 28.0346116348
65220 28.0346116347
65276 28.0346116346
65280 28.0346116345
65402 28.0346116345
65524 28.0346116345
65586 28.0346116345
65591 28.0346116345
65601 28.0346116345
65799 28.0346116344
65815 28.0346116344
65891 28.0346116344
65924 28.0346116344
66137 28.0346116344
66144 28.0346116344
66215 28.0346116344
66236 28.0346116344
66405 28.0346116344
66483 28.0346116344
66753 28.0346116344
66804 28.0346116344
66888 28.0346116344
67019 28.0346116344
67160 28.0346116344
67298 28.0346116344
67362 28.0346116344
67483 28.0346116344
67596 28.0346116344
67663 28.0346116344
67731 28.0346116344
67777 28.0346116344
67874 28.0346116344
68001 28.0346116344
68079 28.0346116344
68103 28.0346116344
68361 28.0346116344
68553 28.0346116344
68740 28.0346116344
68872 28.0346116344
69168 28.0346116344
69576 28.0346116344
69743 28.0346116344
69828 28.0346116344
69903 28.0346116344
70889 28.0346116344
81538 28.0346116344
evaluations raw_y
1 159184.9797046597
2 37562.8745428754
3 24669.1567707941
8 1862.7799593274
27 988.4923238906
29 637.4951257751
105 626.1687705188
157 625.0398857928
182 590.5802007351
195 567.1489985623
217 532.0220637474
244 463.3571189796
435 440.8363374613
647 427.7059992707
817 412.6423836048
991 397.6871272598
1015 375.4547343724
1064 345.1664606947
1103 342.0005785989
1167 335.8485506943
1170 312.8225780887
1364 310.6927511838
1397 305.6712110003
1398 255.2706983268
1531 247.9548604192
1784 244.6284505677
1817 233.5175558115
1904 201.4536727353
1921 184.7369809540
2136 174.8465032019
2274 172.2671191850
2690 161.4249710203
2803 161.0184575582
2910 155.5139050221
3502 143.6038696549
3769 136.0949441847
4930 118.7845687260
24408 116.6572892899
25272 88.1367096401
27098 78.0942605015
27471 72.2792515526
27496 61.4486844616
27570 60.8487691417
28062 59.5703512894
28211 58.9576465584
28270 55.3334230415
28382 40.7042163779
29193 39.9038024199
29228 39.7988909191
29258 36.2863912045
29289 35.9587636710
29312 35.7404238411
29335 34.6495766599
29390 34.0187706346
29414 32.0676969514
29528 31.0151181247
29786 29.6687389134
29908 29.3066810692
30032 28.5770895909
30196 27.6966125892
30377 27.5998836695
30577 27.3516251135
30608 26.6732959694
30676 26.6663448339
30774 26.3593246884
30913 26.2774135013
30921 25.8160537433
31148 25.7386215559
31332 25.6027143553
31684 25.5948178371
31714 25.4736264428
31808 25.3972191707
31891 25.3613249765
31930 25.0789583008
32072 25.0196081621
32220 24.9686506287
32299 24.9302425248
32349 24.8506386150
