evaluations raw_y
1 22869187.5805789530
2 9152651.8228453137
3 6200134.8830662938
4 3619303.3853589850
7 2774951.6076893038
9 834780.2754736744
11 804280.0311824847
13 626670.3257019878
20 3353.9303661288
130 1450.3091340128
537 827.5522412227
845 282.5225772918
908 217.1325384624
931 93.2332524034
1139 37.6412981497
1250 32.1374943056
1600 27.6894991915
1936 21.8836931463
2303 19.9881872515
2484 19.1890494124
2852 15.4728278998
2981 13.5465003081
3337 11.2481078133
3386 10.0439819860
3449 8.4382679100
3519 7.0829057185
3770 6.9986336624
3780 5.7721743754
3783 5.4950393133
3824 3.3939297070
3884 2.9438329634
3901 1.7850226066
3975 1.0726836204
4234 0.7611439245
4291 0.4581224791
4429 0.3251561154
4721 0.1728175472
4780 0.1558411945
4804 0.0520244158
4881 0.0421462365
5055 0.0115762463
5213 0.0077418474
5302 0.0066177102
5407 0.0054148467
5606 0.0050440515
5745 0.0017504785
6002 0.0015692858
6032 0.0006344332
6099 0.0001590147
6374 0.0000499952
6787 0.0000197014
6805 0.0000032527
7124 0.0000021683
7626 0.0000017180
7765 0.0000014753
7919 0.0000008109
7920 0.0000002665
8147 0.0000001588
8251 0.0000001166
8259 0.0000001067
8390 0.0000000755
8398 0.0000000188
8464 0.0000000144
8755 0.0000000080
8927 0.0000000028
8991 0.0000000010
9263 0.0000000005
9524 0.0000000004
9675 0.0000000002
10032 0.0000000002
10045 0.0000000000
10573 0.0000000000
10631 0.0000000000
10763 0.0000000000
10977 0.0000000000
11000 0.0000000000
11272 0.0000000000
11332 0.0000000000
11396 0.0000000000
11771 0.0000000000
12083 0.0000000000
12728 0.0000000000
evaluations raw_y
1 23399387.7913907692
2 162677.6961274690
3 6730.3247413061
34 828.9559289788
330 820.0604727949
479 581.3364760836
784 97.2262096435
983 58.5472082862
1000 46.4628200544
1199 25.3641283831
1517 20.4208813115
1563 10.5253049605
1806 8.2566730271
2070 6.6542508583
2223 3.1041451004
2364 2.1280355049
3845 2.0584768578
3878 1.6158004049
4039 1.2696165254
4044 1.1497223186
4095 1.0839942737
4129 0.9424172413
4200 0.6025703375
4438 0.4375001681
4506 0.3005207108
4583 0.2698697780
4675 0.1404634004
4924 0.0938337641
4996 0.0718043121
4997 0.0550962747
5045 0.0225648349
5144 0.0005244021
6126 0.0001250331
6328 0.0000911150
6618 0.0000323621
7043 0.0000303398
7130 0.0000027604
7334 0.0000013535
7480 0.0000011120
7791 0.0000001734
8007 0.0000000215
8469 0.0000000118
8900 0.0000000053
9030 0.0000000034
9182 0.0000000016
9434 0.0000000014
9444 0.0000000002
9781 0.0000000001
9876 0.0000000000
10191 0.0000000000
10341 0.0000000000
10516 0.0000000000
11181 0.0000000000
11190 0.0000000000
11285 0.0000000000
11345 0.0000000000
11368 0.0000000000
11588 0.0000000000
11859 0.0000000000
11916 0.0000000000
12047 0.0000000000
12141 0.0000000000
12232 0.0000000000
12277 0.0000000000
13313 0.0000000000
evaluations raw_y
1 7123760.9614857510
2 1762903.5371596876
