evaluations raw_y
1 140.6031573578
2 47.9966017718
5 38.2584330352
19 37.5278014787
31 36.5995199884
32 25.1928822747
47 13.9305105805
74 3.4017437851
575 2.1710457558
647 1.0515805261
1182 0.7763616619
1462 0.4376679973
1642 0.3527670378
2177 0.2582298061
2277 0.2503713742
2412 0.1450742211
2417 0.1143974834
2439 0.0051942003
2852 0.0007768367
3040 0.0004128974
3336 0.0000183373
3820 0.0000091317
4005 0.0000024936
4399 0.0000013289
4472 0.0000005764
4512 0.0000003744
4533 0.0000002648
4667 0.0000001670
4720 0.0000000523
4758 0.0000000023
5443 0.0000000010
5762 0.0000000000
6555 0.0000000000
7347 0.0000000000
7352 0.0000000000
7500 0.0000000000
evaluations raw_y
1 35.8706900495
6 29.2332193666
7 26.3142110068
12 25.2449249227
17 20.5316872303
27 15.0044334823
74 11.5262696498
78 10.8915890680
113 10.2658234779
135 6.0619234053
473 5.1011896204
483 3.5304311090
552 1.2679426727
927 1.0965777680
1111 0.7211259780
1240 0.3271124653
1648 0.0772818604
2268 0.0100090309
2417 0.0095187104
3040 0.0028315869
3054 0.0026092568
3590 0.0025184243
3599 0.0004415198
3665 0.0003486387
3820 0.0000720684
4005 0.0000238590
4142 0.0000041730
4472 0.0000009251
4758 0.0000006821
4828 0.0000000622
5222 0.0000000133
5762 0.0000000045
5928 0.0000000042
6096 0.0000000032
6229 0.0000000007
6351 0.0000000000
6874 0.0000000000
7217 0.0000000000
7327 0.0000000000
7347 0.0000000000
7352 0.0000000000
7359 0.0000000000
7659 0.0000000000
8336 0.0000000000
evaluations raw_y
1 41.6059256398
3 38.9468168278
8 19.5010288359
20 19.4587071232
22 14.1600637557
48 11.3542899900
80 9.2711771683
202 5.7096511317
252 5.6376187306
303 5.0616738731
379 1.8742800026
651 1.0150374560
988 0.9211194699
1171 0.2488200935
2405 0.1184544387
2853 0.0130771400
2989 0.0105989366
3185 0.0054205069
3503 0.0024116985
3665 0.0018680925
3820 0.0017414509
4005 0.0000510631
4472 0.0000164600
4667 0.0000009358
5058 0.0000000079
5928 0.0000000024
6328 0.0000000020
6351 0.0000000011
6389 0.0000000000
7386 0.0000000000
7659 0.0000000000
8272 0.0000000000
