evaluations raw_y
1 4885.9568933070
2 4080.0853527962
3 2944.1928030011
5 1761.4124926155
14 1967.4727413911
34 1940.8140926021
38 1476.2855789985
53 1333.0628022179
95 1342.1024880793
97 1253.5169632755
137 1032.5476315830
176 1120.0945576958
204 956.6835418634
247 951.5280507454
279 656.6572578153
1082 582.1853080569
1225 548.6696518778
1264 532.2117340138
1294 511.9493553908
1299 500.3675465262
1366 498.0100894176
1419 457.5838856573
1440 453.3052125976
1500 449.6879962447
1507 365.7985094602
1702 334.1057967378
1911 269.7565346036
2148 268.4961736561
2306 260.9725749664
2391 258.5798522682
2528 195.0746193865
3040 177.3904918044
3728 169.7622658999
3819 156.1540938155
3987 144.4426878884
4988 138.3325338030
5106 125.8692561370
5296 121.9172357466
5918 115.2650354464
6067 113.1958948933
6143 111.6938408543
6479 109.7866596524
6533 107.0205988349
6878 100.3725970572
6889 90.0738484794
6990 86.7536606496
7252 74.7790398448
7320 64.7695080102
7535 49.9888427103
7831 49.6815482012
7905 47.7180728853
7916 44.6762124704
8074 42.6833703452
8094 41.9126008886
8235 37.6704469656
8373 33.6894319057
8389 32.1882358188
8491 30.3164691315
8659 30.1744738075
8719 29.9239240777
8768 28.7430692367
8808 27.9123389260
8873 27.1017128496
9140 26.9381549682
9147 26.7314735048
9160 25.2101630087
9391 24.3989855509
9477 23.9111891089
9502 23.7428615834
9592 23.4250076030
9663 22.5890802255
9888 22.3289896085
9902 22.3213044652
10124 22.2034803639
10138 22.1415028670
10151 21.7518312719
10369 21.6725604157
10454 21.5306275903
10534 21.4559657893
10773 21.2854484530
10947 21.2093918799
11076 21.1362799783
11123 21.0548566875
11272 21.0542535086
11431 21.0506366361
11450 21.0369787148
11476 21.0350096851
11496 21.0271209218
11542 21.0192501337
11574 20.9766741640
11737 20.9457575558
12000 20.9420603279
12449 20.9368272370
12569 20.9355887985
12589 20.9221939812
12691 20.9208725921
12764 20.9101138940
12980 20.9096719023
13195 20.9072239518
13205 20.9064514126
13239 20.9061987202
13252 20.9051645267
13293 20.9043938466
13368 20.9043385395
13376 20.9035518689
13382 20.9027492469
13445 20.9024915237
13446 20.9012234744
13478 20.9008712131
13515 20.9008158836
13543 20.9006270177
13547 20.8997300903
13574 20.8996461695
13608 20.8986421541
13619 20.8983255898
13680 20.8979568567
13741 20.8964534135
13810 20.8962177838
