evaluations raw_y
1 479.4901478832
4 468.1209395053
7 431.7538232817
13 357.5000654717
66 343.5079092619
83 335.6033151334
120 332.0150598768
128 330.3493525113
130 285.4776425958
164 247.7760806812
197 225.0877127466
239 222.5602211204
240 175.9910385085
260 172.4927124899
300 159.6191734139
306 137.5287946564
322 119.5741985758
325 76.8584003219
416 58.0167276235
437 52.3102714028
490 22.2517778032
949 13.3327243626
1560 0.0000000000
12986 25884.7925309238
evaluations raw_y
1 438.9143962191
2 400.5594175871
6 383.3793729927
9 340.3590228305
13 339.2650989499
20 330.6456556587
21 298.6859911259
23 294.3650667404
26 279.2893200730
68 240.8670058066
121 227.9499837035
133 218.9267158300
166 216.9710191236
175 186.4272228235
180 182.7134259899
189 133.9319273157
249 131.9137655645
251 123.2437959013
272 92.4377660606
371 44.4696113797
415 42.6147425251
495 17.9675263480
563 16.1660911995
1390 0.0000000000
12720 2668.0351455681
evaluations raw_y
1 333.1853639078
7 320.6300867799
15 306.0928991316
25 303.2506414735
26 291.1303420757
36 288.5344044584
44 275.2891688806
63 208.0263603650
129 208.0135415006
140 191.9574205816
158 164.4959650528
185 129.6340198359
220 115.0507627656
252 81.7812116318
331 77.5883143824
368 54.2049895530
444 52.8501851915
473 40.0905791603
518 27.8696446649
562 24.0233046071
610 20.3058621503
751 5.6036785920
1009 0.0000000000
15059 1918772.7030144525
evaluations raw_y
1 298.9370331518
10 281.9780563721
14 236.1359295208
35 236.0537343376
51 213.7220764161
65 203.2759224737
123 199.2257873873
126 197.6514350905
127 184.9458252766
132 176.9700568560
134 163.1037005971
183 142.7812589310
185 141.0382241464
199 128.3146195115
210 126.9163789637
239 114.4148935462
241 93.1153071610
257 83.8303753474
294 83.4889082557
317 67.4835926612
331 61.3990107523
429 25.5156641167
660 24.4035018606
765 7.2931768553
934 0.0000000000
12698 15941.1405044951
evaluations raw_y
1 500.0306283400
3 481.5406655517
5 421.8918907748
15 415.1642143192
18 366.5799905397
79 361.2145343442
80 350.3812938906
87 343.6986558641
107 343.3477048625
119 316.0028774009
124 276.6048029626
172 258.5607049613
188 242.3092238959
194 229.0238433676
201 195.2234558949
240 186.4989710091
276 166.8308625696
278 136.5254336949
333 84.2623573573
341 69.2019658554
421 61.7021479467
471 46.1036436146
479 37.7586253091
544 2.5254908206
1035 0.0000000000
14539 2023583.5768669168
evaluations raw_y
1 375.2971121082
16 318.7976342949
28 316.9168222800
47 291.4200409906
73 271.9793014081
106 237.6348595002
149 232.8332289285
158 228.5252662337
187 139.2337475618
244 117.2835421462
250 111.1674736868
271 104.7553111530
332 76.6601002328
370 64.7871661119
418 64.3509400545
494 8.6282528835
1133 0.0000000000
12795 7147.1377499120
evaluations raw_y
1 471.9850393858
3 463.6813445679
5 459.3853414736
7 431.0625309778
8 416.5036687796
13 400.5402295171
22 386.3952513787
40 372.1597577343
65 353.5308274974
66 319.1133776327
128 314.6326871933
132 306.5586184923
151 292.6557330507
183 275.6252096830
184 263.6482393921
192 260.7346795155
211 257.1463629755
240 252.2830556214
247 217.8802303694
308 176.1099207850
325 169.3184604510
340 162.2177158876
358 144.0036112021
362 143.7819162654
398 123.8290191706
407 122.8622386673
417 102.0022319595
420 96.5150421394
445 88.4321554955
481 63.3334231699
619 38.2457934488
657 29.1106241979
705 14.2310507201
761 0.0000000000
14365 685507.2852121328
evaluations raw_y
1 528.0104087016
2 523.9953422523
4 492.4565712067
8 484.7101721977
10 468.7523032754
14 445.6526211952
27 445.1762275314
30 416.6357436672
49 414.1116685734
67 382.6514357282
72 381.9690819714
82 335.9763211141
127 330.6951725141
147 284.3146897726
