evaluations raw_y
1 186.3103696525
5 43.2372315928
6 3.9889863202
57 1.4769465496
239 0.7340003516
437 0.5241336326
549 0.4577922335
623 0.4281906232
733 0.1342551978
913 0.1213580522
1333 0.0887576510
1448 0.0183116893
1492 0.0045779223
1540 0.0000000000
2889 0.0000000000
evaluations raw_y
1 696.4443189089
2 77.6668165380
9 9.6035181177
32 3.7795754389
175 1.3056352152
535 0.4963910985
659 0.4446883275
845 0.3509020476
866 0.0572663428
1130 0.0268682024
1490 0.0067170506
1884 0.0000000000
3190 0.0356158358
evaluations raw_y
1 127.3600500676
7 98.3481056675
18 60.0461649838
62 17.2757782135
226 9.8628011139
273 8.8597098775
310 2.5105542653
364 0.7549447131
888 0.0271118711
1148 0.0104575832
1512 0.0077981519
1941 0.0071692627
2104 0.0000000000
2992 0.0071692627
evaluations raw_y
1 1398.6828029155
2 56.8272644717
5 16.9707787665
9 3.3042998136
24 2.0469437939
64 1.8554138138
216 1.4479673854
273 0.6032668503
830 0.4187388592
925 0.2418194116
992 0.0665534786
1549 0.0347766910
1579 0.0210697376
1694 0.0157218969
1824 0.0000000000
3207 0.0000000000
evaluations raw_y
1 164.3254466490
3 115.2433545714
9 42.3381834674
16 28.1321506687
46 12.7853982339
66 7.7372613548
147 4.5468466868
241 2.3984710449
272 2.1762240595
428 1.7453505570
558 1.6734767726
657 0.6369406586
690 0.5803445898
851 0.1410731511
1185 0.0217622406
1358 0.0077977427
2103 0.0000000000
3080 0.0125619964
evaluations raw_y
1 586.0875334444
2 98.3374207425
4 51.8090222548
9 15.3193632131
23 12.2654033452
25 7.6715783696
63 2.2821287084
81 0.8901004549
531 0.8821498720
712 0.6988414107
738 0.4527289794
793 0.1745931029
1196 0.1490081783
1259 0.1358467600
1328 0.0211970415
1697 0.0145271913
1749 0.0104520463
1896 0.0070156438
1950 0.0000000000
2765 0.0310559186
evaluations raw_y
1 213.8374541766
2 60.7709805411
8 12.6455624976
12 11.0177862426
44 9.1630129279
78 6.0632835296
91 2.4747657187
433 0.8105351632
645 0.7748142816
671 0.5674072553
766 0.5627362791
865 0.3990848669
897 0.2744320950
1118 0.2578700583
1201 0.0351406975
1498 0.0032278487
2090 0.0000000000
2983 0.0000000000
evaluations raw_y
1 1482.2789387523
2 205.1537460349
7 124.8903933098
9 107.6170671598
11 37.4189958083
26 21.3669953807
108 15.6317862094
133 11.3834394700
209 6.8477266044
341 1.5504314218
557 1.4866997363
598 0.5504590793
993 0.3719064659
1177 0.1538675610
1300 0.1214327315
1669 0.0153045487
1761 0.0134574922
2221 0.0055045908
2399 0.0000000000
3323 0.0000000000
evaluations raw_y
1 62.6697295171
5 29.0524046251
9 23.5134866222
13 21.4329232978
29 13.3088487705
36 10.8149333288
73 3.0109378591
362 3.0006126206
404 2.6669327827
494 2.0210355754
505 1.4678640925
518 1.4512201363
665 0.4169402207
834 0.2991889542
905 0.0958100822
1340 0.0172492265
1594 0.0136695333
1683 0.0075273446
1750 0.0000000000
3065 0.0842837283
evaluations raw_y
1 3.0736150460
82 2.7829528219
179 1.9104109148
193 1.7994521567
236 0.9248422386
319 0.2810118359
417 0.1690531478
863 0.1199524340
958 0.0798764932
1008 0.0067879465
1496 0.0000000000
2864 0.0379827506
evaluations raw_y
1 1109.2590595352
9 434.3694985807
11 165.1115192510
19 87.1278189776
24 13.0061748584
88 3.7049702353
103 3.1979741745
112 1.4432016272
639 1.0575076804
1007 0.7754384529
1009 0.6812701074
1032 0.5478457950
1472 0.1417564189
1511 0.0269916651
1922 0.0217283627
2238 0.0054320907
2599 0.0000000000
3471 0.0000000000
evaluations raw_y
1 785.2851003683
2 90.3183864164
8 54.7737990560
12 51.6392040225
18 11.2930745998
157 3.4060367250
197 0.6893894074
692 0.6290157926
909 0.5770093901
931 0.3974083026
1038 0.1644349882
1209 0.0883614847
1563 0.0353921385
1812 0.0128038568
1841 0.0032009642
2181 0.0000000000
3314 0.0350999264
evaluations raw_y
1 2761.9079159228
2 1622.6193201043
3 109.1544073144
8 102.2755878951
12 42.6110264834
50 15.0787879975
82 13.2484608647
149 12.8447402119
190 11.1798062573
193 3.1562598824
294 2.3066713223
393 2.1182338561
418 1.9585786886
535 1.6820733311
644 1.0656012815
759 1.0429205183
760 0.6988056629
789 0.5318841065
978 0.2207205868
1010 0.0386715376
1684 0.0349548115
1736 0.0141691594
1817 0.0129020182
1870 0.0106560128
2132 0.0000000000
3377 0.0129020182
evaluations raw_y
1 876.0107813475
2 258.3801163246
4 48.6168205305
5 44.7607201557
11 14.2193631923
17 5.5350132599
63 2.8916148656
185 2.2864934366
296 1.4545800446
463 0.6794780918
516 0.5334474015
806 0.3904289923
996 0.1886096425
1042 0.1757210568
1064 0.1606917078
1069 0.1445956105
1077 0.1018869335
1102 0.0265773675
1555 0.0167548708
1627 0.0154178730
1755 0.0098457473
1850 0.0024614368
1904 0.0000000000
2711 0.0000000000
evaluations raw_y
1 170.3318875029
2 105.0891493200
4 12.2321398583
14 10.7226291980
34 8.3057476923
95 7.9063511091
240 1.9960873596
296 1.2317724875
310 0.7481293982
620 0.3536751481
884 0.2074606241
1060 0.1117854372
1313 0.0315570150
1521 0.0279463593
1574 0.0157468291
1927 0.0149841892
2090 0.0148930157
2095 0.0078892537
2168 0.0000000000
3122 0.0117477618
