evaluations raw_y
1 773620.6035489555
2 625800.7029190775
12 352668.4128275049
29 351027.5135740702
50 241483.1365238625
80 217425.2611684864
83 167738.3501703606
97 136091.0727135937
158 115332.9119608951
182 71042.7440646829
272 40867.4019341178
1164 31947.0802147826
1251 24940.7032484072
1289 24574.4240571621
1404 22555.1768025925
1406 14918.8495423211
1427 11843.7042650411
1564 11155.8687405179
1585 9308.7468145166
1610 8130.0715871546
1686 7622.4047772705
1687 4834.6956378997
1787 4723.5257388175
1830 4066.9980163174
1859 2868.9584724457
1881 1608.4887739652
2160 1298.2075157881
2353 921.3490486132
2459 640.7081502588
2698 357.5487449583
2942 333.7579638351
2975 330.6689083419
2994 262.1976239403
3063 245.2027701565
3187 244.0143395225
3202 235.4601367874
3206 224.9955473431
3240 147.4833459746
3546 143.8137639848
3611 139.0501721012
3667 122.4244625889
3698 118.9103207548
3738 71.1916132540
3912 65.6976425675
3936 63.5378187487
3993 59.3646228051
4243 56.4954200260
4292 46.1842331990
4584 39.4277900299
4634 34.2542526382
4778 33.3850809960
4873 30.7505131841
4877 28.2459741400
4938 25.9380601124
5026 25.3280580548
5099 24.0061620665
5348 23.1943913775
5406 22.4928007321
5463 21.5364526593
5603 20.5901404039
5608 20.5694247424
5726 20.4402498495
5891 20.0307404488
6040 19.9054139519
6051 19.7490049757
6073 19.6767224967
6116 19.4621411451
6199 19.4510128485
6336 19.3507047615
6378 19.3474098779
6445 19.3093788655
6490 19.1399767962
6543 19.1297083636
6641 19.1183193255
6642 18.9842259269
6651 18.9064609523
6708 18.8561773618
6728 18.8442856989
6858 18.8258244705
6875 18.8090452454
6920 18.6702409957
7135 18.6451579499
7256 18.4810451816
8296 18.4801940288
8480 18.4544841390
8490 18.2381739636
8766 18.2372078050
8791 18.1784588998
8797 18.1609433678
8855 18.1342911623
8858 17.9827558740
9009 17.9366090713
9281 17.9141674449
9466 17.8830261228
9828 17.8236442921
9984 17.5158482841
10715 17.4853647391
10732 17.4598006247
10767 17.3893975885
10815 17.1809637622
10848 16.9074129309
11304 16.4932265818
11711 16.3413857935
12356 16.2960465372
12358 16.1420001360
12487 16.1401174279
12513 15.9953853712
12589 15.9853003261
12954 15.9313849023
13261 15.8493362249
13279 15.8266936459
13298 15.8113003551
13326 15.8013572627
13436 15.7405468620
13464 15.7160606673
13661 15.6153286322
14464 15.5454587576
14746 15.2835493417
14927 15.1537827723
14981 15.0432390536
15421 14.9883007193
15427 14.9748752769
15491 14.8811615599
15608 14.8509193644
15648 14.8102847970
15667 14.6926168122
15847 14.5699294780
15943 14.5667294143
16034 14.5339221089
16265 14.5274105663
16544 14.4418633414
16691 14.4399089542
16725 14.4297422902
16817 14.3236912037
16853 14.2478104886
16903 14.2443599514
17025 14.2244103181
17137 14.1685929180
17399 14.1591457801
17467 14.1464557585
17491 14.0790371921
17555 14.0662355361
17608 14.0306473821
17773 13.9751199624
17852 13.9618606999
17874 13.8952563285
17949 13.8134337137
18027 13.7798997877
18179 13.7606334670
18208 13.7266849652
18963 13.5510189106
19624 13.2298539378
20136 13.2012787148
