evaluations raw_y
1 63462.0809695936
9 21519.3807329734
15 10848.1139750040
22 9246.3496998037
101 6648.6663470712
131 4771.7835233208
309 3643.4809696540
653 2315.1019223351
809 1570.4167536999
870 754.0138636540
1312 733.9887748983
1323 616.2718399099
1338 564.7427327582
1456 246.2297232957
1771 210.1902551944
1843 185.5227218553
1995 139.1403954676
2138 87.4418809306
2173 31.6631344876
2746 27.9856025569
2810 25.0830667104
2911 19.5669508024
3065 18.8170316389
3354 17.9873854477
3356 17.7624992374
3527 16.6294146543
3531 15.6673578610
3579 15.5374826616
3586 13.8008865331
3645 13.6193507174
3720 13.0688923044
3729 12.7553620853
3732 12.2937219806
3792 11.6245707223
3847 9.6941583632
4371 9.3348484783
4424 9.2074297337
4445 9.1786901126
4547 8.9386240388
4911 8.7757570962
5024 8.7142810239
5046 8.4145932146
5340 8.3676410289
5361 8.3114714856
5442 8.3054584816
5585 8.2649154785
5636 7.6325335098
6446 7.4873032411
6453 7.4764383694
6618 7.4377005245
6660 7.2876476764
6728 7.0796299996
7007 7.0248035487
7093 6.8031400044
7458 6.7260501985
7474 6.4904244883
7839 6.4055459836
7966 6.2326849733
8279 6.2291884335
8320 5.9760926380
8370 5.7245183623
8775 5.4077689978
8960 5.3424768789
9257 5.1698238627
9408 4.7840553302
10076 4.5056690873
10479 4.4746766671
10521 4.4423790308
10652 4.4168797084
10736 4.3606132195
10828 4.3238097978
10890 4.2581262238
10901 4.1241338273
11293 4.0251463500
11466 4.0132454134
11623 3.9146857195
11698 3.8140776181
11892 3.7881018528
12136 3.6788692894
12273 3.6553618638
12290 3.6430446083
12292 3.4182694945
12312 3.3606866749
12729 3.3516983691
12827 3.2159559766
13017 3.1569828595
13243 2.8850494392
13721 2.7659207298
13882 2.6787105438
13990 2.6234174017
14043 2.6145168339
14195 2.6112599975
14271 2.3532112908
14461 2.2908413121
14526 2.2103590050
14821 2.1838630954
15028 2.0937674721
15141 2.0245531280
15412 1.8176342900
15413 1.8118552093
15687 1.7784744394
15731 1.7335945035
15768 1.7085185172
15819 1.6943086951
15832 1.5642868662
16093 1.5372325174
16120 1.4689157688
16208 1.4294898716
16524 1.2806424218
16527 1.2764881857
16715 1.1628830629
17137 0.9209371911
17679 0.8222155835
17884 0.7258208724
17994 0.6908758552
18066 0.6654934613
18525 0.6614870879
18527 0.6526538530
18547 0.6026695288
18597 0.5994390399
18621 0.5533731465
18695 0.5323263471
18735 0.4974713663
18824 0.4791193234
19075 0.4251506052
19275 0.4095815667
19366 0.3885481823
19446 0.3737204563
19496 0.2583467457
20166 0.2536347466
20426 0.2455473027
20453 0.2373318321
20472 0.2097900775
20644 0.1768686964
20954 0.1614515020
21046 0.1580693647
21159 0.1528451378
21223 0.1265275649
21284 0.1054129751
21376 0.1019636200
21431 0.0989803141
21633 0.0922556695
21675 0.0889762959
21729 0.0790330418
21789 0.0645053972
21807 0.0581643347
21835 0.0542080686
22160 0.0517634472
22244 0.0485772932
22262 0.0342082244
22441 0.0243287443
22806 0.0167390394
23004 0.0090687848
23103 0.0085837309
23363 0.0081186209
23392 0.0072187147
23479 0.0069025377
23715 0.0066392487
23722 0.0062263884
23751 0.0057309242
23835 0.0056588398
23851 0.0054582582
23922 0.0047502212
23951 0.0043241163
24001 0.0029305225
24577 0.0011560977
24995 0.0009738561
25110 0.0009116819
25116 0.0008574365
25120 0.0008169797
25248 0.0006550867
25291 0.0006148763
25310 0.0002711836
25687 0.0002367220
25757 0.0001843854
25830 0.0001217508
26079 0.0001039522
26154 0.0000940476
26254 0.0000816888
26270 0.0000567623
26363 0.0000286685
26703 0.0000182103
26867 0.0000157988
26884 0.0000155593
26917 0.0000142517
26981 0.0000139035
27012 0.0000136296
27055 0.0000133289
27057 0.0000115781
27076 0.0000088863
27167 0.0000088505
27246 0.0000072412
27267 0.0000057223
27313 0.0000030820
27531 0.0000018029
27891 0.0000014017
28115 0.0000006654
28322 0.0000006429
28502 0.0000006277
28551 0.0000005083
28678 0.0000004126
28799 0.0000004062
28839 0.0000002920
28848 0.0000001994
28882 0.0000001979
29004 0.0000001863
29113 0.0000001539
29157 0.0000001439
29171 0.0000001212
29194 0.0000000803
29196 0.0000000523
29521 0.0000000493
29639 0.0000000360
29706 0.0000000315
29801 0.0000000277
29984 0.0000000264
29989 0.0000000142
30199 0.0000000101
30377 0.0000000094
30379 0.0000000041
30812 0.0000000032
30816 0.0000000031
30858 0.0000000016
31057 0.0000000012
31118 0.0000000011
31207 0.0000000005
31719 0.0000000004
31765 0.0000000004
31780 0.0000000003
31868 0.0000000002
31875 0.0000000002
31940 0.0000000002
31981 0.0000000002
32069 0.0000000001
32312 0.0000000000
32627 0.0000000000
32642 0.0000000000
32655 0.0000000000
32730 0.0000000000
32790 0.0000000000
32801 0.0000000000
32888 0.0000000000
32933 0.0000000000
33121 0.0000000000
33226 0.0000000000
33292 0.0000000000
33326 0.0000000000
33363 0.0000000000
33379 0.0000000000
33437 0.0000000000
33550 0.0000000000
33657 0.0000000000
33702 0.0000000000
34017 0.0000000000
34194 0.0000000000
34283 0.0000000000
34380 0.0000000000
34384 0.0000000000
34414 0.0000000000
