evaluations raw_y
1 2043465.4712699549
3 237110.6892904779
7 117447.7671415436
11 112842.9062312793
22 46.7775724780
28 17.1559831885
104 12.6428688468
123 12.4999509166
134 12.2177531214
153 11.9393999526
157 11.9182076811
172 11.9146272018
305 11.9095055497
309 11.8944268951
315 11.8736054779
317 11.8606409783
321 11.8291417000
323 11.8069789578
329 11.7710872813
343 11.6845348838
353 11.6279576156
355 11.4553207149
357 11.4192129168
363 11.2590287871
370 10.7944008160
374 10.6016689818
383 10.5298912454
387 10.2115720472
393 9.7786188849
396 9.6823349281
409 9.0197787742
417 8.7547704769
451 8.7063590717
455 8.7004020783
456 8.6057909560
462 8.3899306541
470 8.1605608918
477 8.0447637496
478 8.0289498238
480 7.6089667652
487 7.3332121179
493 7.2621672412
496 6.7749087400
503 5.7616467527
506 4.5830001302
512 3.1024499674
513 2.1433122814
518 0.7560482002
532 0.2847646054
548 0.2702644024
570 0.0525647646
576 0.0077233989
609 0.0030433708
628 0.0028825430
637 0.0018141853
644 0.0003502027
661 0.0000902984
681 0.0000420715
687 0.0000136194
692 0.0000023410
715 0.0000008249
739 0.0000000965
765 0.0000000536
767 0.0000000194
773 0.0000000066
794 0.0000000004
834 0.0000000003
847 0.0000000000
875 0.0000000000
901 0.0000000000
911 0.0000000000
912 0.0000000000
918 0.0000000000
925 0.0000000000
957 0.0000000000
981 0.0000000000
1008 0.0000000000
evaluations raw_y
1 11122982.4533329383
2 117472.3089255784
3 9615.8955922784
32 18.1112361567
55 13.5910511679
116 1.9724481169
320 1.6615817762
326 1.5320207516
333 1.4862570117
338 1.1016405857
345 0.4472556150
364 0.2371278051
365 0.2058044533
370 0.0169798346
394 0.0132351929
403 0.0121235001
414 0.0103300864
420 0.0092709370
424 0.0075121973
425 0.0037512393
433 0.0001706459
463 0.0001610383
472 0.0000987366
480 0.0000113218
506 0.0000063592
508 0.0000005413
535 0.0000002336
551 0.0000002123
564 0.0000000456
572 0.0000000280
578 0.0000000270
584 0.0000000258
586 0.0000000218
588 0.0000000031
594 0.0000000004
611 0.0000000001
643 0.0000000000
650 0.0000000000
666 0.0000000000
689 0.0000000000
690 0.0000000000
692 0.0000000000
721 0.0000000000
730 0.0000000000
745 0.0000000000
789 0.0000000000
858 0.0000000000
evaluations raw_y
1 6289112.9502052125
4 3018534.1900074421
7 738175.1762950351
8 291624.1381300090
13 1720.6473646933
46 1374.7189010136
77 154.5435967404
104 74.5754517215
128 28.1442011188
137 20.7308328039
333 20.6403662251
337 20.5056819189
344 20.4069513243
357 20.3571262774
369 20.3311768181
370 19.9788956039
373 19.6462158949
382 19.4170044384
385 18.3998354049
395 18.1159897235
401 17.2278517913
412 16.6345034618
420 16.1671341836
423 13.6904537683
429 13.1798033318
431 10.6448404257
435 9.3728727993
436 6.7241013557
443 5.9727076143
457 5.1234984217
466 3.9632361560
474 0.4739360187
486 0.2555214019
496 0.0105323651
537 0.0006908060
619 0.0002991593
627 0.0001227856
649 0.0001194439
655 0.0000405495
656 0.0000298417
665 0.0000135283
672 0.0000008550
721 0.0000002455
728 0.0000000719
745 0.0000000686
750 0.0000000536
756 0.0000000084
770 0.0000000053
783 0.0000000015
794 0.0000000011
802 0.0000000008
803 0.0000000001
834 0.0000000000
836 0.0000000000
845 0.0000000000
861 0.0000000000
868 0.0000000000
877 0.0000000000
879 0.0000000000
906 0.0000000000
911 0.0000000000
913 0.0000000000
914 0.0000000000
932 0.0000000000
942 0.0000000000
evaluations raw_y
1 5325841.1038790550
8 1401387.6089943140
11 66147.0602322778
22 62.7932443860
54 3.3375317026
101 2.4562408351
152 1.8545276772
203 1.8306878759
210 1.7860702922
214 1.7802997997
273 1.7751321157
275 1.7657674085
