evaluations raw_y
1 16807276.0631644316
3 7313487.3751936927
4 1367160.8714626415
13 3451.0558545379
22 300.3353732565
116 186.5719447502
2355 180.5626960437
2375 179.6274003555
2381 176.7685201099
2393 174.3422284353
2400 168.8459738043
2417 165.5214935349
2446 159.2959230863
2456 156.1165729391
2477 150.8956741240
2484 148.9871383791
2500 141.1914374960
2559 139.9481724482
2569 138.2712693854
2574 133.4379726555
2591 127.0023430172
2702 126.1594498382
2714 124.8599344014
2716 121.9650600490
2723 119.8585798957
2765 116.4496616060
2777 112.9116247657
2789 110.8297744535
2806 103.1991004440
2817 102.7586786910
2819 100.9710406972
2834 93.3133391034
2860 90.2070054653
2866 88.9015271856
2883 88.1229085063
2888 80.3932934749
2903 63.7677850225
2921 62.5330242806
2925 57.5566051630
2935 53.3326408985
2938 48.5483501184
2979 45.9627484747
2984 44.4672885257
2991 42.6390352868
2995 35.7351362726
3014 32.9050149656
3032 31.7322821946
3035 28.8293952594
3085 26.0273422576
3089 22.6541579778
3139 21.6327464573
3146 19.8332831441
3154 19.4907530039
3181 19.0693794523
3192 18.7342801214
3221 18.3290278128
3247 17.4955151021
3248 17.1524402361
3256 16.4791301771
3265 16.3972684088
3266 15.4717189299
3282 14.3755382856
3287 13.7572087315
3306 13.1275060239
3340 13.0267773617
3353 12.8750707962
3373 12.8705603669
3380 12.6974534787
3383 11.6437854891
3442 11.1707027181
3444 11.1275833321
3447 10.9121955496
3479 10.4829542619
3484 8.8728503970
3508 8.2458736800
3531 7.6327349604
3561 7.3040320707
3578 6.2822079110
3597 5.6652071925
3642 5.2233017579
3660 5.0319507979
3697 4.4187390297
3755 4.4098386907
3761 4.1876283962
3771 4.1737632060
3774 4.1294616991
3782 4.0363553348
3789 3.9633053912
3795 3.9272717526
3797 3.8645514501
3804 3.6725401224
3812 3.4117139804
3827 2.9129112839
3846 2.3017505951
3856 1.9152621217
3868 1.4738133638
3895 1.3911432298
3931 1.3785166362
3933 0.7419548305
3940 0.7188037343
3997 0.3862235350
4156 0.3675149386
4173 0.3219120267
4178 0.3173161804
4203 0.2545357885
4205 0.2394176579
4207 0.2127876746
4215 0.1707248378
