evaluations raw_y
1 40673681.2336453870
2 9291510.4957834370
4 6298733.0575312739
17 24502.3595187245
76 13189.5390544304
97 9460.6477936748
150 249.6953209436
158 212.8690140904
223 189.9271964926
228 172.8442621783
251 122.1184265216
255 91.7856327235
256 63.3784204250
271 50.0153925614
274 48.6298300973
275 47.5522419916
279 20.2758726046
315 14.0623331981
327 11.0820488164
362 10.9934410557
370 10.9537829019
445 10.9537235174
449 10.9317062636
451 10.9225991639
459 10.8855484442
460 10.8719647076
466 10.8375531103
470 10.8337718794
479 10.8095605531
487 10.7742984572
500 10.7267172807
502 10.7008504960
526 10.6618325504
531 10.6250585459
534 10.6162872406
541 10.6117857654
543 10.5529758664
545 10.5044981478
549 10.4050691794
552 10.3322060042
565 10.2756488736
578 10.2246714449
579 10.1516635799
583 10.0999747969
603 9.8355000862
618 9.8324011549
619 9.7579927749
620 9.6402209456
625 9.6036345266
632 9.5406665272
634 9.4713103404
657 9.3785277843
661 9.2146716242
670 9.1595253410
672 8.9805803086
696 8.9634228200
701 8.8244517813
708 8.7874741699
711 8.7584747351
714 8.6796603529
715 8.3605893003
716 8.3567544885
732 8.1304241623
737 8.0249137487
752 7.9471611668
771 7.7681274312
787 7.6936217597
793 7.6660225191
795 7.4323697061
803 7.3648338686
811 7.2005875753
846 7.1591821490
854 7.0833662645
859 6.9312501989
866 6.7614477155
877 6.5303548613
883 6.3133132293
886 6.2851622112
890 6.1065111093
1013 6.0714762487
1020 6.0493998939
1024 6.0087104764
1032 5.9443605555
1051 5.9178121527
1066 5.8473199131
1078 5.7632519479
1092 5.6817267544
1116 5.6337957614
1125 5.6226843944
1126 5.5924361304
1129 5.5832509707
1132 5.5120329522
1151 5.3081652660
1182 5.2706691279
1191 5.1095088140
1198 5.0664485099
1205 4.8874232321
1208 4.8433991326
1214 4.7116667426
1244 4.5956139200
1251 4.5870021835
1262 4.5361147740
1264 4.4674903331
1265 4.3646844094
1269 4.3645500086
1275 4.1896938254
1280 4.0118059851
1288 3.9959199481
1290 3.9744477327
1296 3.7831267132
1297 3.6714122341
1360 3.6333047436
1377 3.4063972982
1382 3.3732831570
1425 3.3391637248
