evaluations raw_y
1 3448.9986763276
3 3345.2377300100
4 3181.7795566753
6 2678.8263969738
18 2646.3087287063
25 2534.3952311138
28 2501.1891818095
34 2399.8936467975
35 1843.6159086985
61 1732.6619091251
88 1707.2020803169
97 1530.3220108031
105 1511.1511267901
138 1445.3496254379
173 1356.7599441303
181 1339.0523023421
225 1331.3630790911
229 1179.1094907079
244 1129.0989555797
250 1009.2648496362
275 999.4209711697
280 831.2162180030
365 820.3295962022
366 793.8491057210
448 760.7560441487
452 756.1985200558
463 668.0449964515
482 657.4125537506
488 613.8398364752
495 522.3626121601
528 522.2061139379
530 507.5901640441
537 498.5706783636
553 436.2544489560
559 360.4873376395
566 344.1046786268
584 340.5439835161
691 339.4294289238
698 299.9930718548
703 253.1626107882
752 223.4925900211
805 216.0023873798
821 205.9833564489
855 203.3914614821
870 159.9494521620
941 146.8393102370
963 145.8523450614
973 123.9513731587
978 119.1766004654
1016 114.3500832908
1034 97.8238725953
1047 95.1512543294
1089 86.5485561189
1091 86.5412908011
1113 85.1250089767
1128 82.8634574165
1138 72.6499994591
1182 67.3287919727
1191 67.0354916433
1192 65.9110274028
1237 59.9776158394
1242 56.2355727558
1260 47.7900058804
1266 44.8496805276
1367 37.2551562290
1406 35.6542805095
1411 34.3116164237
1421 33.4842426372
1449 31.5194955999
1458 31.0873531388
1482 27.7437375996
1489 24.8039204996
1511 24.1155418963
1556 23.2941905037
1562 22.6167080184
1564 21.8085498395
1610 21.2684034881
1627 19.6334698402
1640 18.9420280364
1643 18.8527142217
1690 18.6769316507
1707 16.1974829399
1743 14.7814709020
1780 14.3789971331
1794 13.9682933988
1809 13.2486445620
1844 13.0076499227
1851 12.3142474754
1877 12.2952646887
1878 11.5661037300
1879 11.4757413294
1897 10.7754043511
1953 10.6444224983
1966 10.4169328783
1987 10.3688588949
1991 10.2122780722
1994 10.1933866609
2001 9.9808968723
2018 9.8246216384
2053 9.6683721780
2057 9.6523156908
2103 9.5002006167
2110 9.3251727825
2118 8.9732725600
2127 8.9197035799
2164 8.8472302577
2205 8.6000906215
2288 8.5986038173
2314 8.5501964235
2322 8.4889273568
2328 8.3948628812
2330 8.3882089198
2341 8.3599815610
2359 8.3363391523
2369 8.2887383132
2373 8.1672765075
2442 8.1609730220
2454 8.0762761523
2518 8.0707210020
2522 8.0686370348
2576 8.0356581616
2584 8.0293749991
2603 8.0107081761
2609 7.9949412958
2625 7.9932703202
2675 7.9895564282
2681 7.9734098819
2708 7.9625447701
2714 7.9434228142
2718 7.9180973872
2734 7.9075075187
2776 7.8703329001
2814 7.8618984178
2825 7.8531223842
2850 7.8505991708
2867 7.8477947051
2873 7.8472833550
2879 7.8420951969
2900 7.8419421324
2910 7.8362921394
2918 7.8301783467
2971 7.8244475071
2994 7.7982673696
3042 7.7979380026
3046 7.7961296540
3059 7.7914924262
3118 7.7885118823
3149 7.7858482610
3153 7.7842894967
3159 7.7818039943
3171 7.7816904490
3177 7.7812387887
3184 7.7762468913
3262 7.7721751473
3285 7.7684269435
3293 7.7676248062
3294 7.7653668204
3301 7.7616795164
3317 7.7601176025
3347 7.7588916943
3373 7.7564220595
3377 7.7561022359
3395 7.7503526683
3404 7.7483179732
3461 7.7459428051
3538 7.7459238072
3541 7.7445378203
3595 7.7443550719
3601 7.7438501761
3611 7.7415386087
3615 7.7402675285
3650 7.7401054768
3652 7.7363219737
3750 7.7360753686
3754 7.7344573336
3766 7.7337574864
3773 7.7334300874
3799 7.7328478021
3800 7.7323100702
3808 7.7322570143
3866 7.7321800771
3869 7.7321323875
3880 7.7320792145
3891 7.7314840994
3924 7.7312946930
3931 7.7312699647
3941 7.7309024127
3955 7.7307567598
3968 7.7307237575
3970 7.7299960390
4000 7.7298187498
4014 7.7295365225
4040 7.7290018382
4073 7.7286772360
4095 7.7286536962
4116 7.7283932417
4124 7.7283253432
4150 7.7282767580
4194 7.7282269480
4206 7.7281861720
4229 7.7279622143
4236 7.7278623618
4237 7.7278544393
4242 7.7277814874
4277 7.7277334094
4280 7.7276500946
4309 7.7276084461
4311 7.7276023082
4318 7.7275894035
4323 7.7275838750
4324 7.7275633634
4336 7.7275305711
4353 7.7275074604
4360 7.7274600161
4383 7.7273602729
4399 7.7273473817
4417 7.7273276317
4448 7.7271840959
4494 7.7271673587
4538 7.7270704866
4560 7.7270599343
4618 7.7270482739
4622 7.7270261036
4645 7.7270222933
4646 7.7270025932
4679 7.7269996538
4703 7.7269979198
4708 7.7269522625
4830 7.7269473416
4849 7.7269340706
4864 7.7269301550
4873 7.7269281062
4894 7.7269155084
4919 7.7269063203
4926 7.7269032163
4959 7.7269031323
4960 7.7269001317
4965 7.7268991010
4973 7.7268964995
5000 7.7268888590
5019 7.7268845449
5039 7.7268833776
5041 7.7268822405
5048 7.7268745797
5057 7.7268716451
5098 7.7268707203
5152 7.7268699624
5154 7.7268698442
5163 7.7268652039
5181 7.7268594904
5225 7.7268541928
5269 7.7268534463
5296 7.7268517509
5323 7.7268511887
5378 7.7268485295
5392 7.7268470149
5436 7.7268464280
5472 7.7268461933
5478 7.7268458508
5493 7.7268453701
5549 7.7268449895
5555 7.7268447586
5565 7.7268444248
5572 7.7268442048
5576 7.7268441430
5580 7.7268431676
5597 7.7268428002
5621 7.7268424469
5657 7.7268421054
5686 7.7268417174
5696 7.7268412300
5709 7.7268408927
5826 7.7268406756
5858 7.7268405401
5871 7.7268404865
5882 7.7268402423
5920 7.7268401936
5932 7.7268401549
5965 7.7268401428
5981 7.7268401144
5997 7.7268400642
6013 7.7268399608
6042 7.7268399496
6055 7.7268398906
6099 7.7268398786
6106 7.7268398761
6116 7.7268398098
6131 7.7268397285
6138 7.7268397197
6149 7.7268396927
6153 7.7268396860
6168 7.7268396818
6180 7.7268396558
6185 7.7268396321
6202 7.7268396250
6242 7.7268395964
6254 7.7268395862
6265 7.7268395131
6338 7.7268395047
6358 7.7268394876
6448 7.7268394716
6468 7.7268394700
6472 7.7268394602
6478 7.7268394593
6484 7.7268394474
6487 7.7268394290
6509 7.7268394166
6513 7.7268394134
6581 7.7268394099
6593 7.7268394063
6595 7.7268394004
6617 7.7268393946
6623 7.7268393933
6633 7.7268393918
6648 7.7268393904
6659 7.7268393864
6663 7.7268393852
6714 7.7268393819
6721 7.7268393766
6736 7.7268393713
6780 7.7268393708
6781 7.7268393697
6810 7.7268393598
6824 7.7268393584
6837 7.7268393563
6890 7.7268393529
6932 7.7268393527
6942 7.7268393516
6952 7.7268393515
6971 7.7268393512
6975 7.7268393495
6999 7.7268393491
7046 7.7268393454
7052 7.7268393441
7057 7.7268393441
7105 7.7268393433
7139 7.7268393424
7151 7.7268393424
7168 7.7268393411
7179 7.7268393402
7195 7.7268393394
7196 7.7268393386
7215 7.7268393382
7270 7.7268393380
7277 7.7268393366
7301 7.7268393360
7315 7.7268393349
7346 7.7268393348
7349 7.7268393341
7370 7.7268393331
7416 7.7268393328
7421 7.7268393322
7478 7.7268393320
7490 7.7268393310
7504 7.7268393309
7515 7.7268393307
7525 7.7268393306
7557 7.7268393304
7563 7.7268393302
7581 7.7268393300
7594 7.7268393298
7600 7.7268393296
7637 7.7268393296
7643 7.7268393295
7644 7.7268393305
evaluations raw_y
1 3790.8329235230
5 3662.5772028711
7 3076.7005695282
29 3060.8399018340
30 2790.0228388353
39 2694.4397161986
52 2619.7737279442
63 2368.5584428591
75 2283.9468894011
101 2236.6408252668
103 1876.3778382499
115 1870.5242333567
117 1755.1345077350
139 1645.2439747987
157 1530.3557932976
207 1530.3258234311
221 1476.2028576233
250 1354.3002138729
291 1347.5734870046
296 1325.4633528915
309 1145.4849644821
329 1043.6629911732
334 1031.4344196524
372 1001.1779666950
424 992.2141540499
426 907.4912885083
434 885.1066427943
436 853.3692385184
442 837.4736411048
444 745.6045131914
482 613.7915505259
563 539.4959587374
590 462.1293004273
697 409.6300735191
712 403.6418688085
716 398.7028933046
766 351.0634568098
797 337.3794525305
802 315.2344071780
821 289.3968642109
828 259.2686238468
833 251.9145643168
850 245.8633938555
855 234.8237262674
904 223.0282652566
914 212.5480165952
924 183.1147188602
978 156.4610284540
1004 142.1475182794
1021 142.0975740285
1026 126.8411595074
1044 114.1728919663
1078 103.5296901044
1117 103.2843069847
1120 99.6644140889
1132 96.5970121345
1145 80.8799532790
1150 71.5044796851
1231 68.7456883406
1237 64.8960492875
1261 63.6155929717
1274 58.9001020263
1292 58.1926787570
1296 53.9464835326
1308 53.0859759392
1320 52.7834141500
1325 46.1847512150
1375 45.5587068797
1391 42.2237073096
1401 38.5101748880
1426 35.3764815640
1477 29.6282101779
1504 29.0664131668
1532 27.2445257187
1569 26.3505201390
1598 25.4582846965
1628 24.2745494481
1653 21.9728988664
1677 21.7154629484
1682 20.8727379311
1687 20.6041316950
1720 20.4572765142
1766 19.5075546872
1790 19.3044825419
1794 17.9302100361
1802 17.7704906996
1817 17.2084126383
1877 17.2063938066
1881 17.0403003374
1887 16.3866633058
1896 16.2587740149
1913 16.1780918603
1922 16.1015396250
1930 15.9829595909
1936 14.9727775451
1958 14.9370383525
2009 14.3668609274
2033 14.3350382138
2034 14.1498217353
2070 13.9964032219
2079 13.8028857372
2114 13.7867776030
2126 13.6059083841
2128 13.5042017729
2213 13.4052932241
2217 13.2708583800
2230 13.0882050758
2257 13.0526902740
2280 12.9354453478
2283 12.8675347449
2308 12.8109949978
2325 12.8012053817
2335 12.7709848998
2348 12.6885095155
2425 12.6734266895
2430 12.6679077038
2439 12.5356806217
2487 12.5191980541
2490 12.5175330534
2511 12.5111405103
2525 12.4860511988
2534 12.4811817007
