evaluations raw_y
1 85.1449148426
9 73.8310320298
17 45.8676952890
18 13.5540906799
25 8.5152097677
33 8.4665276934
35 5.4482390288
76 5.2259576086
108 4.6838382288
131 4.6386105098
133 3.8126314800
160 3.7489937781
165 3.2984873680
174 3.2942818800
186 3.2005035486
189 2.7784479343
201 2.2837484449
210 2.0929520502
221 2.0397627004
222 1.9910680491
231 1.5315218563
247 0.9356217888
256 0.4794081624
262 0.4403631778
284 0.1550795621
313 0.1378244214
320 0.0918991712
389 0.0908209071
407 0.0828661239
417 0.0736759828
434 0.0665036046
435 0.0607530003
477 0.0458430982
499 0.0429893764
504 0.0362761926
526 0.0163994197
559 0.0158299068
563 0.0094112282
626 0.0083234334
650 0.0056285742
663 0.0045532558
710 0.0042860454
731 0.0028868315
738 0.0019742274
786 0.0018806737
794 0.0017415944
796 0.0016632643
803 0.0013375845
811 0.0010391672
819 0.0009664824
861 0.0009276156
908 0.0007091826
933 0.0005393499
942 0.0003958223
961 0.0002581310
973 0.0002022754
1039 0.0001904894
1070 0.0000747218
1155 0.0000440866
1181 0.0000251853
1293 0.0000156956
1415 0.0000151026
1426 0.0000147599
1432 0.0000105435
1456 0.0000100125
1471 0.0000089381
1513 0.0000086886
1524 0.0000077953
1536 0.0000068910
1547 0.0000064012
1549 0.0000063407
1554 0.0000061675
1574 0.0000056688
1575 0.0000048885
1588 0.0000038352
1612 0.0000035039
1616 0.0000033217
1640 0.0000032963
1651 0.0000025450
1672 0.0000025394
1681 0.0000018570
1691 0.0000014057
1708 0.0000008461
1774 0.0000004626
1849 0.0000004521
1888 0.0000002989
1889 0.0000002861
1913 0.0000002839
1917 0.0000001685
1935 0.0000001585
1954 0.0000001249
2039 0.0000001107
2045 0.0000001095
2050 0.0000001091
2076 0.0000001011
2132 0.0000000905
2153 0.0000000861
2165 0.0000000786
2170 0.0000000777
2173 0.0000000758
2193 0.0000000751
2197 0.0000000647
2229 0.0000000569
2241 0.0000000472
2269 0.0000000468
2281 0.0000000426
2314 0.0000000401
2325 0.0000000351
2342 0.0000000339
2350 0.0000000315
2372 0.0000000315
2377 0.0000000306
2385 0.0000000275
2390 0.0000000263
2394 0.0000000229
2405 0.0000000224
2409 0.0000000213
2413 0.0000000182
2433 0.0000000162
2441 0.0000000135
2462 0.0000000134
2469 0.0000000127
2474 0.0000000093
2482 0.0000000064
2521 0.0000000044
2532 0.0000000029
2618 0.0000000028
2639 0.0000000016
2642 0.0000000012
2677 0.0000000010
2694 0.0000000009
2735 0.0000000009
2772 0.0000000007
2781 0.0000000007
2809 0.0000000005
2825 0.0000000004
2844 0.0000000003
2875 0.0000000002
2894 0.0000000002
2912 0.0000000002
2920 0.0000000002
2921 0.0000000002
2927 0.0000000002
2935 0.0000000001
2950 0.0000000001
2963 0.0000000001
2979 0.0000000001
3051 0.0000000001
3052 0.0000000001
3087 0.0000000000
3094 0.0000000000
3117 0.0000000000
3122 0.0000000000
3139 0.0000000000
3163 0.0000000000
3171 0.0000000000
3182 0.0000000000
3320 0.0000000000
3331 0.0000000000
3334 0.0000000000
3337 0.0000000000
3346 0.0000000000
3352 0.0000000000
3367 0.0000000000
3370 0.0000000000
3382 0.0000000000
3397 0.0000000000
3403 0.0000000000
3414 0.0000000000
3441 0.0000000000
3454 0.0000000000
3497 0.0000000000
3533 0.0000000000
3544 0.0000000000
3617 0.0000000000
3630 0.0000000000
3633 0.0000000000
3644 0.0000000000
3649 0.0000000000
3674 0.0000000000
3800 0.0000000000
evaluations raw_y
1 36.3967609838
4 17.1130715981
9 5.3717386456
36 4.8014930896
48 4.5740106363
51 4.3575661192
83 3.7183574489
91 3.0614937350
108 3.0561875723
119 3.0268469408
134 1.4812785141
138 0.6818797990
149 0.2206442938
156 0.1624691349
178 0.1215159203
205 0.1014831357
222 0.0749246026
255 0.0255787818
307 0.0082124041
430 0.0073556458
466 0.0071012312
473 0.0035597336
552 0.0027510876
594 0.0019724224
603 0.0017403599
615 0.0009058737
617 0.0006527598
644 0.0005771724
655 0.0004989491
729 0.0002896982
760 0.0002807410
774 0.0002685616
804 0.0001922746
889 0.0001689401
909 0.0001582634
913 0.0001317563
923 0.0000974019
933 0.0000779577
1059 0.0000722909
1081 0.0000720590
1083 0.0000710467
1090 0.0000627674
1098 0.0000567617
1099 0.0000546352
1107 0.0000419985
1114 0.0000381812
1147 0.0000295930
1175 0.0000281882
1184 0.0000261665
1185 0.0000245308
1187 0.0000196704
1250 0.0000106477
1287 0.0000093937
1294 0.0000068841
1356 0.0000067429
1358 0.0000062957
1379 0.0000058721
1388 0.0000045093
1401 0.0000043473
1412 0.0000033427
1427 0.0000030892
1432 0.0000030070
1440 0.0000027135
1447 0.0000026961
1466 0.0000019963
1485 0.0000019360
1492 0.0000016434
1499 0.0000013808
1507 0.0000012854
1515 0.0000010427
1601 0.0000007822
1610 0.0000007557
1629 0.0000006366
1648 0.0000005737
1709 0.0000004510
1741 0.0000003983
1773 0.0000003378
1790 0.0000003188
1793 0.0000003048
1828 0.0000003035
1831 0.0000001590
1862 0.0000001400
1872 0.0000001349
1884 0.0000001302
1891 0.0000001177
1897 0.0000000947
1902 0.0000000872
1910 0.0000000806
1917 0.0000000758
1925 0.0000000478
1994 0.0000000462
2025 0.0000000439
2026 0.0000000382
2045 0.0000000346
2052 0.0000000266
2089 0.0000000207
2095 0.0000000186
2130 0.0000000179
2159 0.0000000161
2184 0.0000000139
2192 0.0000000137
2202 0.0000000137
2220 0.0000000131
2230 0.0000000129
2233 0.0000000120
2246 0.0000000118
2261 0.0000000115
2266 0.0000000110
2280 0.0000000110
2284 0.0000000108
2300 0.0000000104
2332 0.0000000102
2335 0.0000000099
2341 0.0000000092
2348 0.0000000091
2351 0.0000000091
2356 0.0000000082
2363 0.0000000081
2371 0.0000000081
2372 0.0000000075
2379 0.0000000074
2387 0.0000000069
2393 0.0000000059
2412 0.0000000052
2432 0.0000000043
2447 0.0000000039
2462 0.0000000032
2470 0.0000000017
2480 0.0000000014
2566 0.0000000013
2589 0.0000000013
2594 0.0000000009
2599 0.0000000009
2617 0.0000000008
2629 0.0000000006
2634 0.0000000005
2683 0.0000000004
2689 0.0000000004
2699 0.0000000003
2704 0.0000000003
2781 0.0000000003
2782 0.0000000003
2790 0.0000000002
2817 0.0000000002
2837 0.0000000001
3007 0.0000000001
3008 0.0000000001
3009 0.0000000001
3011 0.0000000001
3026 0.0000000001
3134 0.0000000001
3142 0.0000000001
3144 0.0000000001
3148 0.0000000001
3156 0.0000000001
3163 0.0000000001
3169 0.0000000001
3183 0.0000000001
3204 0.0000000001
3206 0.0000000001
3220 0.0000000001
3230 0.0000000001
3234 0.0000000001
3239 0.0000000001
3246 0.0000000001
3252 0.0000000001
3283 0.0000000001
3291 0.0000000001
3294 0.0000000001
3306 0.0000000001
3309 0.0000000001
3313 0.0000000001
3322 0.0000000001
3353 0.0000000001
3354 0.0000000001
3364 0.0000000001
3366 0.0000000001
3387 0.0000000001
3397 0.0000000001
3407 0.0000000001
3425 0.0000000001
3440 0.0000000001
3441 0.0000000001
3473 0.0000000001
3489 0.0000000001
3492 0.0000000001
3499 0.0000000001
3500 0.0000000001
3509 0.0000000001
3510 0.0000000001
3513 0.0000000001
3528 0.0000000001
3530 0.0000000001
3538 0.0000000001
3541 0.0000000001
3557 0.0000000000
3561 0.0000000000
3569 0.0000000000
3600 0.0000000000
3623 0.0000000000
3663 0.0000000000
3682 0.0000000000
3690 0.0000000000
3691 0.0000000000
3696 0.0000000000
3732 0.0000000000
3740 0.0000000000
3755 0.0000000000
3758 0.0000000000
3762 0.0000000000
3768 0.0000000000
3782 0.0000000000
3790 0.0000000000
3796 0.0000000000
3797 0.0000000000
3801 0.0000000000
3805 0.0000000000
3813 0.0000000000
3815 0.0000000000
3820 0.0000000000
3828 0.0000000000
3840 0.0000000000
3843 0.0000000000
3846 0.0000000000
3922 0.0000000000
3924 0.0000000000
3930 0.0000000000
3937 0.0000000000
3947 0.0000000000
4007 0.0000000000
4009 0.0000000000
4038 0.0000000000
4057 0.0000000000
4080 0.0000000000
4105 0.0000000000
4123 0.0000000000
4133 0.0000000000
4134 0.0000000000
4157 0.0000000000
4170 0.0000000000
4216 0.0000000000
evaluations raw_y
1 202.6087977901
2 122.3565847487
4 98.8180167475
8 16.6001935471
9 10.2767810357
13 8.6641557534
19 6.3072716992
37 6.1507007475
42 5.8943672369
53 5.6400632818
54 5.3963705209
57 5.1432628582
85 4.0535811742
105 1.5877138353
125 1.4876233962
131 0.8680420883
171 0.6850658405
185 0.3582997239
215 0.2405122750
227 0.1716787664
259 0.1683738093
266 0.1201426898
269 0.0676989058
274 0.0546583561
279 0.0440085672
294 0.0280787916
331 0.0198968798
364 0.0168121967
387 0.0138895990
390 0.0128087495
397 0.0127379272
400 0.0115133058
401 0.0108340795
403 0.0073541291
436 0.0062432234
449 0.0053877517
453 0.0021179250
532 0.0015850118
560 0.0010819656
664 0.0010097049
698 0.0005237265
702 0.0003685705
706 0.0003226384
710 0.0002214538
723 0.0000990294
801 0.0000629811
846 0.0000212585
1360 0.0000207283
1362 0.0000196111
1367 0.0000187691
1373 0.0000185031
1386 0.0000175213
1418 0.0000168123
1421 0.0000112484
1433 0.0000111215
1450 0.0000108932
1474 0.0000108829
1478 0.0000096907
1509 0.0000079113
1514 0.0000073398
1523 0.0000046226
1547 0.0000036639
1584 0.0000036590
1593 0.0000023376
1634 0.0000021240
1641 0.0000020465
1651 0.0000017854
1672 0.0000017828
1674 0.0000017658
1683 0.0000016750
1689 0.0000016543
1690 0.0000016065
1701 0.0000014753
1703 0.0000014213
1706 0.0000013489
1716 0.0000012938
1729 0.0000012492
1744 0.0000010959
1757 0.0000009977
1766 0.0000008664
1769 0.0000008081
1835 0.0000007810
1841 0.0000006461
1855 0.0000005073
1866 0.0000004920
1880 0.0000003980
1889 0.0000003331
1916 0.0000002643
1936 0.0000002132
1955 0.0000002130
1957 0.0000001815
1995 0.0000001785
2012 0.0000001777
2016 0.0000001546
2017 0.0000001532
2050 0.0000001473
2052 0.0000001200
2080 0.0000001102
2082 0.0000001078
2086 0.0000000966
2101 0.0000000947
2104 0.0000000938
2106 0.0000000897
2120 0.0000000658
2125 0.0000000637
2146 0.0000000587
2154 0.0000000531
2163 0.0000000443
2175 0.0000000419
2191 0.0000000368
2200 0.0000000247
2228 0.0000000148
2233 0.0000000137
2250 0.0000000114
2257 0.0000000054
2588 0.0000000050
2615 0.0000000050
2618 0.0000000049
2624 0.0000000047
2629 0.0000000044
2633 0.0000000040
2653 0.0000000040
2659 0.0000000035
2690 0.0000000032
2701 0.0000000032
2706 0.0000000031
2709 0.0000000029
2715 0.0000000027
2723 0.0000000026
2733 0.0000000021
2738 0.0000000018
2739 0.0000000017
2757 0.0000000017
2759 0.0000000014
2766 0.0000000011
2780 0.0000000008
2845 0.0000000008
2846 0.0000000006
2973 0.0000000006
2977 0.0000000006
2989 0.0000000006
2994 0.0000000006
3005 0.0000000005
3006 0.0000000005
3011 0.0000000005
3012 0.0000000005
3013 0.0000000005
3024 0.0000000005
3028 0.0000000004
3032 0.0000000004
3059 0.0000000004
3066 0.0000000004
3083 0.0000000003
3090 0.0000000003
3091 0.0000000003
3101 0.0000000003
3142 0.0000000002
3146 0.0000000002
3149 0.0000000002
3167 0.0000000002
3179 0.0000000002
3200 0.0000000002
3225 0.0000000002
3229 0.0000000002
3235 0.0000000002
3241 0.0000000002
3246 0.0000000002
3274 0.0000000002
3281 0.0000000002
3282 0.0000000001
3283 0.0000000001
3289 0.0000000001
3304 0.0000000001
3309 0.0000000001
3310 0.0000000001
3325 0.0000000001
3326 0.0000000001
3333 0.0000000001
3363 0.0000000001
3372 0.0000000001
3377 0.0000000001
3394 0.0000000001
3404 0.0000000001
3406 0.0000000000
3408 0.0000000000
3463 0.0000000000
3493 0.0000000000
3499 0.0000000000
3508 0.0000000000
3532 0.0000000000
3537 0.0000000000
3631 0.0000000000
3673 0.0000000000
3681 0.0000000000
3711 0.0000000000
3728 0.0000000000
3734 0.0000000000
3739 0.0000000000
3743 0.0000000000
3750 0.0000000000
3754 0.0000000000
3758 0.0000000000
3771 0.0000000000
3773 0.0000000000
3785 0.0000000000
3847 0.0000000000
3865 0.0000000000
3874 0.0000000000
3882 0.0000000000
3902 0.0000000000
3921 0.0000000000
3934 0.0000000000
3951 0.0000000000
3955 0.0000000000
3960 0.0000000000
evaluations raw_y
1 156.2664878666
2 79.6838950169
3 78.2131969221
6 77.0212236952
8 11.1674611932
17 6.1567577480
25 1.2174822088
74 0.6406876248
101 0.3700821792
111 0.3527193544
119 0.2084420035
136 0.1789752066
150 0.1732338384
152 0.1073022963
191 0.0869648814
210 0.0468288697
232 0.0276486205
257 0.0100283157
358 0.0095511896
372 0.0090882965
375 0.0086674351
402 0.0072861382
403 0.0061576074
423 0.0055457158
430 0.0045253595
439 0.0036619155
474 0.0032991146
476 0.0021966503
541 0.0018772391
553 0.0013925215
563 0.0010112344
632 0.0009794019
645 0.0007575256
649 0.0005610423
710 0.0004295272
727 0.0003609882
734 0.0003251634
736 0.0002664317
764 0.0002042777
790 0.0001960858
824 0.0001775550
844 0.0001752164
861 0.0001505386
873 0.0001480472
875 0.0001314154
884 0.0000869889
924 0.0000827475
945 0.0000758643
948 0.0000674649
955 0.0000671456
964 0.0000657248
969 0.0000628657
971 0.0000512013
977 0.0000473413
981 0.0000399363
983 0.0000390469
1048 0.0000373718
1053 0.0000290109
1161 0.0000286971
1165 0.0000269483
1174 0.0000265148
1176 0.0000261442
1183 0.0000225472
1192 0.0000219887
1206 0.0000211288
1220 0.0000182625
1232 0.0000177268
1237 0.0000165124
1245 0.0000119730
1259 0.0000103674
1279 0.0000099900
1281 0.0000091278
1283 0.0000066772
1301 0.0000039569
1319 0.0000030644
1401 0.0000026205
1447 0.0000025359
1450 0.0000022941
1472 0.0000022316
1527 0.0000020544
1536 0.0000020166
1545 0.0000018640
1570 0.0000018396
1572 0.0000017478
1580 0.0000016442
1606 0.0000015827
1617 0.0000015422
1618 0.0000013692
1620 0.0000013520
1671 0.0000013467
1680 0.0000012959
1690 0.0000011986
1697 0.0000011052
1706 0.0000010531
1721 0.0000008197
1780 0.0000007752
1784 0.0000007746
1795 0.0000006925
1797 0.0000006780
1799 0.0000005627
1816 0.0000005168
1830 0.0000004636
1833 0.0000004476
1846 0.0000004393
1859 0.0000004245
1870 0.0000003985
1874 0.0000003504
1886 0.0000003349
1900 0.0000003085
1908 0.0000002685
1913 0.0000002524
1938 0.0000002077
1965 0.0000001536
1989 0.0000001416
2001 0.0000001062
2015 0.0000000931
2034 0.0000000715
2071 0.0000000512
2078 0.0000000507
2083 0.0000000347
2161 0.0000000276
2197 0.0000000260
2213 0.0000000257
2227 0.0000000234
2231 0.0000000203
2234 0.0000000198
2241 0.0000000192
2247 0.0000000109
2257 0.0000000088
2375 0.0000000083
2423 0.0000000082
2426 0.0000000082
2429 0.0000000080
2431 0.0000000074
2435 0.0000000072
2441 0.0000000070
2461 0.0000000068
2465 0.0000000062
2470 0.0000000061
2473 0.0000000059
2482 0.0000000059
2483 0.0000000053
2489 0.0000000052
2507 0.0000000040
2525 0.0000000036
2530 0.0000000036
2542 0.0000000032
2552 0.0000000031
2565 0.0000000030
2590 0.0000000027
2595 0.0000000025
2597 0.0000000025
2609 0.0000000024
2646 0.0000000022
2649 0.0000000020
2675 0.0000000019
2690 0.0000000018
2691 0.0000000016
2703 0.0000000016
2707 0.0000000015
2716 0.0000000015
2718 0.0000000014
2724 0.0000000014
2728 0.0000000014
2738 0.0000000013
2750 0.0000000013
2756 0.0000000011
2766 0.0000000011
2774 0.0000000010
2784 0.0000000008
2806 0.0000000006
2870 0.0000000006
2880 0.0000000005
2885 0.0000000005
2886 0.0000000005
2895 0.0000000004
2904 0.0000000004
2985 0.0000000004
2988 0.0000000004
2995 0.0000000004
3014 0.0000000003
3027 0.0000000003
3030 0.0000000003
3043 0.0000000003
3082 0.0000000002
3092 0.0000000002
3113 0.0000000001
3138 0.0000000001
3150 0.0000000001
3190 0.0000000001
3246 0.0000000001
3258 0.0000000001
3268 0.0000000000
3269 0.0000000000
3277 0.0000000000
3320 0.0000000000
3336 0.0000000000
3340 0.0000000000
3350 0.0000000000
3351 0.0000000000
3363 0.0000000000
3366 0.0000000000
3369 0.0000000000
3378 0.0000000000
3388 0.0000000000
3392 0.0000000000
3396 0.0000000000
3408 0.0000000000
3484 0.0000000000
3518 0.0000000000
3522 0.0000000000
3530 0.0000000000
3644 0.0000000000
3699 0.0000000000
3722 0.0000000000
3732 0.0000000000
3737 0.0000000000
3791 0.0000000000
3816 0.0000000000
3817 0.0000000000
3848 0.0000000000
evaluations raw_y
1 14.6362232658
12 13.6867476477
18 13.5262287693
21 12.3013708410
26 12.1925380672
31 11.0090923234
34 10.1739826454
60 9.9955053205
65 9.5201555740
76 8.0510165100
89 6.0353014804
102 4.1823650191
107 2.7959787598
137 1.6463906551
173 1.6096511520
181 0.5781274897
213 0.4322456738
218 0.2225965586
234 0.2008279493
236 0.0874448054
261 0.0558754281
303 0.0180545573
359 0.0122306106
467 0.0081222584
508 0.0070459939
532 0.0048628673
537 0.0048607168
551 0.0044243451
554 0.0018251099
614 0.0014796590
618 0.0007436614
656 0.0005335158
798 0.0003911650
821 0.0002778776
874 0.0002623585
884 0.0002073032
899 0.0001722518
954 0.0001417048
964 0.0001186499
986 0.0000861539
1004 0.0000757130
1014 0.0000429984
1097 0.0000392456
1105 0.0000339894
1137 0.0000293739
1170 0.0000257946
1310 0.0000255548
1326 0.0000232511
1332 0.0000220214
1366 0.0000219003
1381 0.0000216352
1382 0.0000200689
1385 0.0000193547
1402 0.0000187689
1424 0.0000161359
1427 0.0000157410
1450 0.0000153432
1486 0.0000135824
1495 0.0000132389
1497 0.0000128121
1498 0.0000115742
1505 0.0000109143
1507 0.0000108988
1509 0.0000103620
1544 0.0000088574
1574 0.0000088531
1578 0.0000079573
1588 0.0000066966
1597 0.0000063444
1602 0.0000051093
1617 0.0000042902
1630 0.0000036918
1643 0.0000032436
1671 0.0000029648
1683 0.0000025613
1697 0.0000024888
1710 0.0000018817
1721 0.0000015654
1724 0.0000010368
1862 0.0000009294
1884 0.0000008765
1897 0.0000006315
1929 0.0000005877
1939 0.0000005782
1943 0.0000005638
1945 0.0000005630
1950 0.0000004913
1957 0.0000004651
1971 0.0000004190
1978 0.0000003128
1981 0.0000002877
1992 0.0000002737
2012 0.0000002713
2017 0.0000002293
2039 0.0000001384
2051 0.0000001347
2062 0.0000001338
2068 0.0000001268
2071 0.0000000904
2113 0.0000000758
2154 0.0000000621
2186 0.0000000468
2217 0.0000000453
2234 0.0000000451
2239 0.0000000421
2250 0.0000000368
2260 0.0000000308
2290 0.0000000289
2291 0.0000000268
2303 0.0000000245
2306 0.0000000196
2347 0.0000000165
2359 0.0000000148
2363 0.0000000116
2378 0.0000000098
2408 0.0000000061
2414 0.0000000058
2492 0.0000000055
2531 0.0000000050
2549 0.0000000049
2561 0.0000000043
2579 0.0000000041
2580 0.0000000040
2587 0.0000000040
2605 0.0000000036
2615 0.0000000035
2617 0.0000000032
2636 0.0000000026
2687 0.0000000026
2724 0.0000000022
2733 0.0000000019
2736 0.0000000018
2747 0.0000000017
2756 0.0000000016
2805 0.0000000016
2827 0.0000000013
2841 0.0000000012
2842 0.0000000012
2854 0.0000000009
2858 0.0000000008
2885 0.0000000008
2894 0.0000000008
2915 0.0000000007
2917 0.0000000007
2938 0.0000000007
2947 0.0000000006
2961 0.0000000006
2979 0.0000000005
3014 0.0000000005
