evaluations raw_y
1 1371.4106762779
2 1090.5059602319
6 929.8025226249
10 873.5410877088
14 739.3656880059
15 420.6187467912
23 310.6076669034
24 230.9198418539
29 203.2295863844
32 162.1361141765
99 142.5110218308
172 112.8598573553
225 95.8439656469
232 94.8684751729
277 94.4819454877
299 93.7327308055
309 72.1389724240
451 71.1253070656
531 59.9994672337
692 58.2473676539
922 55.1761921388
1074 47.0373389136
1157 44.4747930593
1183 38.9466443838
1202 31.5410493738
1213 30.1840765779
1225 29.0556120457
1259 24.3410107530
1271 23.5497590548
1291 22.5524813714
1300 19.2076472204
1314 17.9413759634
1363 15.2520601329
1400 13.7714585375
1445 13.7243007076
1484 13.3865646448
1503 13.1956394733
1517 13.1755269913
1539 12.9772086723
1547 12.8396495564
1562 12.7036960544
1586 12.6931304752
1604 12.5382259605
1636 12.4694062542
1648 12.4502956272
1651 12.4110088084
1687 12.3559841822
1722 12.3542082966
1747 12.3184224235
1752 12.3085002197
1757 12.3083967292
1759 12.3057327715
1761 12.2657174140
1810 12.2603975315
1817 12.2316574936
1841 12.2126898069
1842 12.1932893656
1852 12.1716391511
1871 12.1681298418
1908 12.1322839695
1942 12.1188443231
1967 12.1037379695
1972 12.0891381064
1974 12.0739905462
1984 12.0668979711
1995 12.0605489936
2001 12.0265129814
2062 12.0204672911
2065 12.0193511003
2071 12.0116058828
2075 11.9991458551
2091 11.9749508558
2118 11.9691218788
2120 11.9549723984
2171 11.9537948597
2215 11.9479202182
2222 11.9447458856
2233 11.9445456141
2253 11.9442823961
2262 11.9436883879
2279 11.9424952837
2286 11.9422373585
2292 11.9418657461
2321 11.9411573851
2331 11.9407549922
2351 11.9402200657
2391 11.9401134656
2409 11.9400633613
2417 11.9399470482
2421 11.9399088559
2437 11.9397198112
2486 11.9396985160
2501 11.9396290293
2531 11.9396081142
2534 11.9395976499
2545 11.9395806441
2571 11.9395692747
2575 11.9395573925
2590 11.9395400273
2641 11.9395236325
2643 11.9395235068
2652 11.9395222637
2657 11.9395152951
2681 11.9395094903
2721 11.9395077070
2725 11.9395067684
2738 11.9395052763
2755 11.9395026437
2765 11.9395022275
2769 11.9395015302
2781 11.9395012593
2799 11.9395009354
2811 11.9394997124
2832 11.9394994342
2891 11.9394994093
2902 11.9394994011
2911 11.9394993288
2930 11.9394992769
2931 11.9394990963
2934 11.9394989958
2942 11.9394987607
3008 11.9394987346
3014 11.9394987205
3015 11.9394987061
3032 11.9394986851
3035 11.9394986727
3044 11.9394986556
3051 11.9394986553
3055 11.9394986496
3075 11.9394986373
3082 11.9394986368
3084 11.9394986363
3104 11.9394986281
3117 11.9394986265
3145 11.9394986261
3146 11.9394986196
3151 11.9394986138
3194 11.9394986118
3222 11.9394986104
3312 11.9394986103
3339 11.9394986103
3348 11.9394986102
3352 11.9394986099
3376 11.9394986097
3403 11.9394986096
3411 11.9394986096
3464 11.9394986096
3481 11.9394986095
3491 11.9394986095
3524 11.9394986095
3551 11.9394986095
3554 11.9394986095
3559 11.9394986095
3574 11.9394986095
3623 11.9394986095
3634 11.9394986095
3637 11.9394986095
3650 11.9394986095
3671 11.9394986095
3732 11.9394986095
3734 11.9394986095
3739 11.9394986095
3762 11.9394986095
3803 11.9394986095
3859 11.9394986095
3868 11.9394986095
3889 11.9394986095
3953 11.9394986095
3981 11.9394986095
4032 11.9394986095
4180 11.9394986095
evaluations raw_y
1 1268.2176132589
2 998.3702726520
3 668.8263677365
5 529.1284581697
19 492.5723420109
25 468.3215184193
28 386.3487236076
34 348.4416326285
47 263.7325493666
70 257.1145925702
84 225.3035096518
106 212.4769695716
107 207.4082382723
124 200.7125231735
132 193.3291799275
140 138.1337062645
152 121.6684656620
258 120.2436901929
267 94.8172371047
383 87.1108958055
422 86.5927918304
449 84.3780680335
461 75.0284906775
471 73.7293328914
487 72.1743959104
537 71.8609647189
539 57.7239765541
865 54.0556367601
900 38.7386588712
952 38.4797371445
996 34.7444274792
1013 33.6299275604
1039 29.5760176082
1041 29.4416327681
1062 29.2070559195
1064 23.0117778696
1080 21.7956430884
1082 18.9813664956
1283 18.8005439515
1284 18.5740410498
1291 17.8792638879
1302 17.4918622261
1308 17.3343744398
1319 17.1534504787
1375 16.1282178710
1427 15.8419063873
1434 15.7655280943
1440 15.6749594188
1451 15.5302581169
1468 15.4006960776
1491 15.3513791488
1496 15.3438053468
1500 15.1875125963
1504 14.9612847288
1525 14.9031413138
1528 14.8215890241
1529 14.6303675047
1548 14.5855665542
1557 14.3054885118
1571 14.1935903704
1654 14.0991761036
1659 14.0969356992
1672 14.0933529174
1676 14.0560714842
1714 14.0267246202
1723 14.0233880617
1729 14.0190817800
1737 13.9760307168
1791 13.9689847205
1813 13.9657917323
1816 13.9632279226
1837 13.9563695068
1841 13.9555984669
1843 13.9475628268
1871 13.9448056977
1881 13.9429359463
1897 13.9428169879
1913 13.9410669820
1936 13.9383803840
1947 13.9369908470
1951 13.9362949333
1973 13.9327119570
2001 13.9320498975
2007 13.9318187258
2011 13.9309571450
2066 13.9305809533
2088 13.9300055492
2093 13.9299476676
2164 13.9299214824
2167 13.9298075716
2190 13.9295365903
2232 13.9294970316
2238 13.9294911711
2252 13.9294764741
2280 13.9294687576
2304 13.9294604701
2338 13.9294491119
2341 13.9294372150
2352 13.9294273154
2377 13.9294267011
2382 13.9294229618
2397 13.9294203958
2432 13.9294188494
2463 13.9294181654
2545 13.9294180078
2576 13.9294179090
2582 13.9294177638
2587 13.9294176516
2592 13.9294176440
2618 13.9294176056
2621 13.9294174269
2635 13.9294172336
2641 13.9294169962
2660 13.9294168841
2662 13.9294168734
2677 13.9294168677
2689 13.9294168269
2718 13.9294167986
2761 13.9294167864
2764 13.9294167848
2773 13.9294167561
2775 13.9294167548
2778 13.9294167544
2825 13.9294167504
2846 13.9294167475
2852 13.9294167474
2854 13.9294167343
2877 13.9294167342
2879 13.9294167327
2880 13.9294167319
2892 13.9294167314
2904 13.9294167296
2915 13.9294167275
2964 13.9294167271
2965 13.9294167257
3002 13.9294167256
3012 13.9294167254
3015 13.9294167249
3035 13.9294167241
3059 13.9294167241
3088 13.9294167241
3105 13.9294167240
3117 13.9294167239
3128 13.9294167238
3143 13.9294167238
3171 13.9294167237
3262 13.9294167237
3271 13.9294167237
3290 13.9294167237
3308 13.9294167237
3312 13.9294167237
3324 13.9294167237
3340 13.9294167237
3341 13.9294167237
3358 13.9294167237
3381 13.9294167237
3384 13.9294167237
3414 13.9294167237
3431 13.9294167237
3463 13.9294167237
3471 13.9294167237
3503 13.9294167237
3545 13.9294167237
3559 13.9294167237
3580 13.9294167237
3597 13.9294167237
3623 13.9294167237
3671 13.9294167237
3683 13.9294167237
3790 13.9294167237
3850 13.9294167237
evaluations raw_y
1 868.7197068056
2 677.4237240789
6 627.1719233537
13 461.7978827763
25 413.0203681056
26 205.5013507106
78 185.1824962536
82 165.3029431965
104 152.2333309587
108 148.2919753220
121 131.9184476354
133 119.8729148874
167 115.7362367688
177 83.5015607477
191 66.2570370229
415 63.3800014261
531 50.4340354750
825 35.2620007580
890 30.4270846682
911 26.3821224589
940 22.1168028771
954 19.5227998490
1017 18.7568783645
1028 17.6840682850
1035 17.4667771802
1045 16.7830462466
1055 16.1371635743
1120 15.4514665594
1124 15.2206375532
1146 14.3709018827
1154 14.0466701702
1203 13.5323620629
1242 13.5064613967
1263 13.4412191020
1269 13.2362115787
1286 13.1798924736
1309 13.0932596299
1345 13.0555682664
1362 13.0393572640
1397 13.0361651046
1411 13.0300730506
1421 12.9864580626
1464 12.9678108453
1518 12.9663848262
1540 12.9660009455
1551 12.9630419480
1553 12.9608436874
1559 12.9598500591
1562 12.9594836965
1564 12.9559643931
1569 12.9545774923
1578 12.9535440067
1597 12.9519165878
1602 12.9494033428
1612 12.9483103463
1634 12.9462949582
1642 12.9412922021
1674 12.9407171568
1702 12.9396398450
1714 12.9386262811
1722 12.9373367559
1764 12.9372571428
1775 12.9364791932
1792 12.9362485674
1799 12.9358860179
1826 12.9356657588
1827 12.9352810091
1857 12.9346954141
1934 12.9346683383
1964 12.9346418519
1979 12.9345570386
2023 12.9345338416
2048 12.9345262624
2057 12.9345046872
2145 12.9345010595
2151 12.9344971435
2153 12.9344942004
2159 12.9344910669
2166 12.9344801202
2181 12.9344756866
2222 12.9344750192
2229 12.9344741611
2230 12.9344737751
2232 12.9344733647
2237 12.9344714486
2250 12.9344699428
2254 12.9344676628
2288 12.9344675049
2298 12.9344631199
2310 12.9344624263
2315 12.9344608561
2337 12.9344595945
2360 12.9344595923
2376 12.9344594200
2381 12.9344589879
2405 12.9344588547
2410 12.9344585715
2417 12.9344579112
2443 12.9344578155
2523 12.9344578063
2533 12.9344577818
2579 12.9344577630
2584 12.9344577364
2589 12.9344577207
2592 12.9344577202
2596 12.9344577128
2605 12.9344577098
2615 12.9344576843
2659 12.9344576786
2678 12.9344576783
2717 12.9344576743
2732 12.9344576724
2759 12.9344576723
2763 12.9344576721
2774 12.9344576691
2821 12.9344576689
2866 12.9344576687
2867 12.9344576685
2875 12.9344576685
2892 12.9344576684
2894 12.9344576677
2904 12.9344576677
2905 12.9344576674
2915 12.9344576671
2946 12.9344576671
2957 12.9344576669
2961 12.9344576668
2963 12.9344576667
3026 12.9344576667
3046 12.9344576667
3047 12.9344576667
3052 12.9344576666
3053 12.9344576666
3071 12.9344576666
3083 12.9344576666
3093 12.9344576666
3096 12.9344576666
3130 12.9344576666
3132 12.9344576666
3145 12.9344576666
3175 12.9344576666
3176 12.9344576666
3182 12.9344576666
3185 12.9344576666
3193 12.9344576666
3208 12.9344576666
3234 12.9344576666
3262 12.9344576666
3278 12.9344576666
3334 12.9344576666
3343 12.9344576666
3344 12.9344576666
3349 12.9344576666
3362 12.9344576666
3363 12.9344576666
3396 12.9344576666
3409 12.9344576666
3446 12.9344576666
3469 12.9344576666
3504 12.9344576666
3545 12.9344576666
3558 12.9344576666
3573 12.9344576666
3579 12.9344576666
3583 12.9344576666
3590 12.9344576666
3600 12.9344576666
3834 12.9344576666
3857 12.9344576666
4205 12.9344576666
10320 12.9344576666
evaluations raw_y
1 879.6841353890
30 811.1461855586
33 781.2382378087
46 708.1250506702
49 597.8740500842
56 507.1346337793
67 460.4923555576
69 437.4704883372
85 318.2614441885
109 281.7661300159
114 230.7420178848
116 198.7253548285
122 186.8064756439
126 164.3577428491
143 160.8968675215
211 151.2886115506
221 125.1388900008
231 85.1736220599
237 76.6096218629
375 62.4535604955
674 56.0280431438
731 51.7141127593
774 49.9778585958
821 46.9828879097
872 45.1878226403
911 40.7194213532
942 37.0704660997
956 34.7688326498
978 27.8447859240
1028 26.7749279709
1043 24.3763260238
1054 24.1558142461
1074 24.0311174523
1084 23.1454117146
1129 22.1758314661
1155 22.1664956650
1166 21.8563031286
1172 21.3013046498
1253 21.1656828795
1268 20.9057448995
1276 20.4990121985
1302 20.4564562355
1316 20.3910882573
1335 20.2426757510
1357 20.1621928095
1367 20.1400304665
1382 20.1163465083
1395 20.0728771156
1409 20.0464192856
1420 20.0065030273
1444 19.9386056699
1507 19.9261419501
1514 19.9243427594
1545 19.9233340507
1548 19.9209078403
1553 19.9183015305
1568 19.9178797706
1569 19.9103196225
1615 19.9088748156
1625 19.9078874529
1637 19.9064220251
1645 19.9053396530
1652 19.9037408480
1660 19.9029018354
1695 19.9028963711
1708 19.9028016361
1717 19.9026477049
1721 19.9015766197
1726 19.9014352712
1736 19.9010012120
1752 19.9009196977
1753 19.9007626915
1758 19.9006241947
1759 19.9005937312
1761 19.9005823503
1771 19.9001836199
1797 19.9000926468
1817 19.8999542495
1859 19.8999216850
1860 19.8998151183
1869 19.8996444322
1891 19.8995985712
1892 19.8995866882
1898 19.8995699296
1902 19.8995608477
1903 19.8995486641
1907 19.8994835554
1911 19.8994201645
1919 19.8994158066
1963 19.8993392930
1977 19.8993152960
1993 19.8993125187
2027 19.8992976851
2031 19.8992939478
2033 19.8992881955
2036 19.8992522777
2053 19.8992069791
2077 19.8991990810
2085 19.8991749883
2091 19.8991672888
2122 19.8991570413
2156 19.8991544559
2161 19.8991538091
2171 19.8991492463
2189 19.8991460356
2241 19.8991454993
2243 19.8991441134
2253 19.8991435232
2282 19.8991434997
2285 19.8991429631
2309 19.8991428040
2313 19.8991425505
2332 19.8991421969
2354 19.8991417432
2356 19.8991417029
2366 19.8991416787
2375 19.8991414338
2387 19.8991412842
2391 19.8991411998
2437 19.8991411625
2478 19.8991411107
2481 19.8991410641
2490 19.8991410277
2492 19.8991408825
2556 19.8991408735
2562 19.8991408588
2569 19.8991408207
2589 19.8991408203
2603 19.8991408146
2612 19.8991408037
2637 19.8991408008
2679 19.8991408007
2681 19.8991407980
2702 19.8991407976
2712 19.8991407965
2721 19.8991407961
2746 19.8991407957
2776 19.8991407951
2824 19.8991407949
2831 19.8991407948
2832 19.8991407948
2834 19.8991407943
2889 19.8991407942
2892 19.8991407941
2912 19.8991407940
2923 19.8991407940
2936 19.8991407940
2943 19.8991407940
2960 19.8991407939
2966 19.8991407939
2972 19.8991407939
2989 19.8991407939
3020 19.8991407939
3067 19.8991407939
3075 19.8991407939
3082 19.8991407939
3111 19.8991407939
3130 19.8991407939
3148 19.8991407939
3162 19.8991407939
3175 19.8991407939
3207 19.8991407939
3210 19.8991407939
3231 19.8991407939
3260 19.8991407939
3268 19.8991407939
3279 19.8991407939
3285 19.8991407939
3296 19.8991407939
3297 19.8991407939
3303 19.8991407939
3343 19.8991407939
3402 19.8991407939
3436 19.8991407939
3550 19.8991407939
evaluations raw_y
1 1854.0227630482
2 993.7632949731
11 917.2830563136
14 850.8755799160
18 652.4283274963
21 437.9837093868
41 400.9737136389
51 347.3428945805
53 340.4588702522
57 293.5597218441
61 284.7206914189
88 191.9139651072
119 169.1125904146
143 164.9890932730
161 156.2385204582
179 146.3619128762
187 129.3839622621
192 127.1289602578
194 121.2720147627
230 91.1935313907
266 68.1550885669
645 61.1134496231
741 48.4751076822
743 43.3511208585
840 38.5122392608
1124 38.2680447078
1133 30.1915983762
1155 20.5915426480
1214 19.5121834032
1223 19.2744605706
1229 17.7288330182
1236 16.9043877566
1244 14.8505241649
1293 14.6721931884
1315 14.2790988949
1337 14.1580550668
1344 13.7544095157
1368 13.6909532478
1389 12.9495870459
1419 12.4406259934
1478 12.2876466397
1491 12.2149267624
1506 12.1950164044
1514 12.1149010314
1564 12.1070148545
1565 12.1026414538
1574 12.0916786690
1583 12.0386947280
1594 12.0199579069
1601 11.9925907676
1611 11.9877948379
1619 11.9672190158
1621 11.9662254963
1658 11.9634212625
1664 11.9620413436
1692 11.9592745068
1713 11.9588054625
1721 11.9496059255
1725 11.9495502347
1770 11.9481160102
1772 11.9464483176
1773 11.9461669097
1783 11.9456171837
1787 11.9443750319
1803 11.9435626506
1808 11.9432412239
1853 11.9422545121
1869 11.9421078807
1901 11.9413863635
1904 11.9412139633
1947 11.9411578278
1952 11.9402145688
1960 11.9400606518
1984 11.9400390258
2013 11.9399628168
2017 11.9399510795
2035 11.9397266091
2038 11.9397038781
2076 11.9396521083
2095 11.9396044112
2103 11.9396000335
2111 11.9395762161
2122 11.9395402956
2186 11.9395164066
2214 11.9395091707
2223 11.9395058850
2293 11.9395044861
2300 11.9395032227
2313 11.9395032170
2314 11.9395029353
2334 11.9395015524
2349 11.9394996623
2426 11.9394993003
2456 11.9394992709
2466 11.9394990522
2497 11.9394989652
2507 11.9394989480
2508 11.9394988573
2514 11.9394987449
2564 11.9394987383
2570 11.9394987086
2583 11.9394987023
2612 11.9394986848
2631 11.9394986756
2634 11.9394986396
2678 11.9394986291
2720 11.9394986264
2747 11.9394986200
2762 11.9394986185
2773 11.9394986174
2792 11.9394986164
2793 11.9394986148
2794 11.9394986123
2815 11.9394986123
2828 11.9394986117
2871 11.9394986101
2974 11.9394986098
2990 11.9394986097
2992 11.9394986097
3042 11.9394986096
3075 11.9394986096
3081 11.9394986095
3106 11.9394986095
3110 11.9394986095
3119 11.9394986095
3129 11.9394986095
3183 11.9394986095
3191 11.9394986095
3198 11.9394986095
3210 11.9394986095
3212 11.9394986095
3233 11.9394986095
3243 11.9394986095
3245 11.9394986095
3249 11.9394986095
3262 11.9394986095
3264 11.9394986095
3292 11.9394986095
3318 11.9394986095
3328 11.9394986095
