evaluations raw_y
1 81.3434436318
3 41.4121072804
15 29.7346550385
22 20.5682154315
62 22.9873892232
147 12.9178126083
246 9.9209772552
588 6.4147893215
661 4.9758706710
738 4.6662776668
761 2.1366095135
790 1.3220189406
822 1.2309314824
829 1.0006856154
848 0.8522788119
856 0.8888702795
858 0.6450188528
864 0.4484615577
868 0.3665681431
878 0.2013969799
884 0.2261355219
945 0.1452744029
954 0.1695083113
990 0.1812500679
1002 0.1289658331
1038 0.0754147519
1068 0.0837758791
1105 0.0584700283
1106 0.0407690231
1144 0.0391878446
1152 0.0395625667
1156 0.0148062483
1179 0.0322661589
1199 0.0032572664
1203 0.0197247524
1210 0.0200471572
1226 0.0404759449
1394 0.0208540532
1405 0.0199462453
1435 0.0269766461
1454 0.0279458709
1484 0.0301345068
1495 0.0253310401
1507 0.0203696923
1542 0.0226674438
1551 0.0230477721
1559 0.0215312453
1562 0.0203967363
1563 0.0192997570
1578 0.0173750105
1595 0.0175201189
1602 0.0166074205
1624 0.0164031229
1633 0.0150467560
1692 0.0146544702
1729 0.0139142868
1764 0.0134762727
1770 0.0132312447
1804 0.0130384151
1839 0.0130336861
1844 0.0130070538
1855 0.0129957978
1869 0.0129565704
1871 0.0128259009
1892 0.0128033780
1894 0.0127484405
1924 0.0127215997
1952 0.0127110681
1963 0.0126786523
1965 0.0126776524
1973 0.0126700913
2004 0.0126672465
2016 0.0126653554
2024 0.0126599810
2063 0.0126587574
2083 0.0126584046
2096 0.0126588390
2099 0.0126578953
2106 0.0126577941
2115 0.0126574034
2121 0.0126572823
2139 0.0126559144
2154 0.0126562691
2156 0.0126560777
2168 0.0126564141
2169 0.0126561808
2179 0.0126555069
2186 0.0126557694
2189 0.0126551477
2194 0.0126555520
2201 0.0126559065
2212 0.0126553263
2232 0.0126565076
2234 0.0126531428
2245 0.0126517957
2249 0.0126421292
2259 0.0126340658
2267 0.0126291722
2268 0.0126174234
2273 0.0126123632
2278 0.0126053116
2280 0.0126003064
2281 0.0125789229
2286 0.0125794834
2289 0.0125540628
2297 0.0125515253
2308 0.0125474497
2327 0.0125375335
2422 0.0125212034
2435 0.0125207073
2445 0.0125212550
2462 0.0125199249
2465 0.0125176216
2478 0.0125175180
2484 0.0125169969
2487 0.0125176978
2522 0.0125158768
2530 0.0125157715
2538 0.0125158316
2550 0.0125156498
2553 0.0125159202
2563 0.0125154657
2594 0.0125156906
2615 0.0125156971
2618 0.0125159837
2630 0.0125159095
2651 0.0125158522
2737 0.0125158625
2778 0.0125158723
2781 0.0125158599
2784 0.0125158664
2785 0.0125158672
2793 0.0125158750
2809 0.0125158790
2827 0.0125158700
2833 0.0125158735
2867 0.0125158706
2896 0.0125158729
2919 0.0125158707
2931 0.0125158715
2952 0.0125158717
2970 0.0125158713
3003 0.0125158718
3006 0.0125158713
3047 0.0125158718
3080 0.0125158714
evaluations raw_y
1 95.6122663901
2 62.6351299396
7 41.4469520811
16 24.1579987482
38 20.6142591160
46 10.9994553519
202 8.3858304543
221 4.7400137721
236 4.3541741971
240 1.5504770464
261 1.7764177517
276 1.0118369646
290 0.2729138645
315 0.5234101770
317 0.4804412901
319 0.2553470776
322 0.1040382248
339 0.7539874649
410 0.2719044836
422 0.1910163282
458 0.1488790298
465 0.0659849267
488 0.1044641468
539 0.0788564620
564 0.1202227251
568 0.0955129338
624 0.0466830345
756 0.0530046066
760 0.0397767380
767 0.0403703612
814 0.0462445864
839 0.0471076848
888 0.0434183484
926 0.0448096750
953 0.0453057662
978 0.0428033772
1057 0.0427074629
1059 0.0427254052
1063 0.0427513183
1071 0.0425823345
1083 0.0426398072
1102 0.0420382470
1145 0.0416466929
1173 0.0415117838
1188 0.0411770983
1247 0.0410783658
1277 0.0410320655
1294 0.0410001223
1299 0.0409992264
1308 0.0410013021
1314 0.0409970291
1369 0.0409938128
1370 0.0409818757
1375 0.0409758127
1389 0.0409725696
1417 0.0409722186
1426 0.0409712797
1440 0.0409713461
1476 0.0409702795
1487 0.0409700421
1488 0.0409701197
1489 0.0409707119
1528 0.0409705670
1536 0.0409705624
1541 0.0409704249
1556 0.0409702993
1558 0.0409707598
1561 0.0409704395
1615 0.0409705572
1637 0.0409705951
1641 0.0409706138
1668 0.0409705935
1669 0.0409705946
1680 0.0409705703
1729 0.0409705683
1734 0.0409705738
1749 0.0409705678
1781 0.0409705668
1789 0.0409705809
1800 0.0409705758
1827 0.0409705790
1833 0.0409705779
1839 0.0409705789
1843 0.0409705700
1872 0.0409705776
1880 0.0409705696
1886 0.0409705700
1888 0.0409705760
1892 0.0409705759
1937 0.0409705756
1939 0.0409705748
1943 0.0409705752
1960 0.0409705737
1995 0.0409705752
1997 0.0409705746
2039 0.0409705747
2047 0.0409705749
2050 0.0409705748
2080 0.0409705751
evaluations raw_y
1 27.0194143008
85 18.2321529458
246 17.3167495763
286 14.3203548461
290 7.0523533572
471 4.6318083198
550 4.4075720979
581 2.1183509501
597 0.9071108848
695 0.8973246337
744 0.8171362631
788 0.7375718912
800 0.5914137955
855 0.5903365392
865 0.5303224077
907 0.4801682403
926 0.4573910054
929 0.3997811378
959 0.3428479737
972 0.3214257410
977 0.3119863023
980 0.3112236434
986 0.2771484566
1004 0.2563746550
1026 0.2536527872
1065 0.2204769710
1068 0.2161510009
1089 0.1636217675
1122 0.1583670971
1162 0.1567490970
1169 0.1327330161
1204 0.1285167466
1233 0.1260450939
1236 0.1254747883
1242 0.1252551828
1291 0.1252389666
1313 0.1241648061
1323 0.1230193101
1377 0.1216539573
1445 0.1201548126
1496 0.1200119740
1534 0.1198701525
1537 0.1198272429
1554 0.1193673950
1575 0.1192433272
1582 0.1191898428
1588 0.1190863070
1593 0.1190662954
1594 0.1186711474
1618 0.1186275635
1621 0.1185509280
1634 0.1184819964
1676 0.1184530935
1684 0.1184449432
1701 0.1184387552
1713 0.1184301942
1754 0.1184284396
1779 0.1184284328
1787 0.1184284013
1789 0.1184271084
1809 0.1184270837
1836 0.1184269584
1851 0.1184269402
1862 0.1184269393
1874 0.1184269007
1900 0.1184269001
1909 0.1184268870
1939 0.1184268866
1948 0.1184268865
1971 0.1184268806
1992 0.1184268801
2011 0.1184268797
2013 0.1184268795
2042 0.1184268789
2060 0.1184268787
2092 0.1184268787
2103 0.1184268786
2109 0.1184268786
2137 0.1184268785
2167 0.1184268785
2185 0.1184268785
2192 0.1184268785
2194 0.1184268785
2236 0.1184268785
2246 0.1184268785
2288 0.1184268785
2297 0.1184268785
2302 0.1184268785
2312 0.1184268785
2393 0.1184268785
2399 0.1184268785
2417 0.1184268785
2419 0.1184268785
2448 0.1184268785
2466 0.1184268785
2529 0.1184268785
2530 0.1184268785
2592 0.1184268785
evaluations raw_y
1 87.2694846144
3 80.2334500872
4 78.7331092127
6 53.0453880034
7 38.6356768106
10 33.9285552082
11 35.1972068585
13 31.3384701827
18 29.9220259606
28 22.8048086404
45 22.4847125433
79 21.0641433597
106 16.6302223168
170 15.4684346657
214 12.8839122693
257 9.0519133217
281 8.0798680118
336 8.2113440865
345 7.9459212530
372 6.6538142337
453 5.8812756139
457 5.2170635703
461 3.6341058715
560 2.2601269697
701 1.7682556286
705 1.6312727156
706 1.5998118969
718 1.5033513497
753 1.3334689655
778 1.2158015731
797 1.1539003676
817 1.0460216761
851 1.0177336564
870 0.9916281344
916 0.9170847705
952 0.9044576010
953 0.8726118473
959 0.8566808162
995 0.8490251744
1006 0.8270453435
1009 0.8164794688
1056 0.8103709309
1067 0.8092778252
1082 0.7984295414
1104 0.7982341716
1105 0.7951544928
1147 0.7934779319
1153 0.7931703749
1174 0.7909718762
1178 0.7896110418
1185 0.7894617706
1237 0.7893454575
1241 0.7882922872
1251 0.7847387552
1329 0.7841619827
1339 0.7839479337
1353 0.7832155417
1409 0.7831402979
1414 0.7829526689
1425 0.7828967072
1427 0.7826670284
1433 0.7823996115
1515 0.7823907914
1524 0.7823725605
1533 0.7823492969
1535 0.7822774615
1538 0.7822640253
1545 0.7822510426
1561 0.7822461705
1583 0.7822474913
1589 0.7822380688
1590 0.7822373266
1600 0.7822326684
1650 0.7822289381
1665 0.7822287936
1715 0.7822282792
1723 0.7822281909
1756 0.7822282189
1794 0.7822280768
1815 0.7822280804
1818 0.7822281531
1832 0.7822281036
1835 0.7822281149
1841 0.7822281573
1843 0.7822281576
1897 0.7822281230
1935 0.7822281198
1937 0.7822281226
1969 0.7822281176
1972 0.7822281200
1973 0.7822281228
1980 0.7822281259
2011 0.7822281231
2047 0.7822281232
2058 0.7822281226
2070 0.7822281249
2075 0.7822281236
2094 0.7822281236
2107 0.7822281243
2118 0.7822281240
2120 0.7822281238
2131 0.7822281239
2173 0.7822281235
2185 0.7822281240
2198 0.7822281238
2221 0.7822281237
2232 0.7822281236
evaluations raw_y
1 262.8300664680
2 46.0392168311
4 45.0011460622
15 40.1880426236
20 38.9659227587
27 29.4504387210
29 15.1912043033
128 9.1519490758
416 8.6445506072
1279 0.5229268547
1289 0.5096938667
1316 0.7455411397
1326 1.3528318738
1365 1.1076187457
1372 0.2574274090
1382 0.8385554473
1403 0.5110266207
1439 0.7018603934
1466 0.6521933827
1484 0.5474675219
1489 0.2247033685
1588 0.2287497696
1610 0.3143288446
1620 0.2690791076
1654 0.1916097379
1664 0.1462410038
1715 0.1620724475
1727 0.1347084368
1733 0.1206017688
1746 0.1115206039
1794 0.1035109450
1799 0.1195578027
1804 0.1147818906
1821 0.1011248624
1901 0.0937661144
1914 0.0884762146
2010 0.0933016033
2030 0.0945376585
2042 0.0918548784
2052 0.0917650745
2063 0.0907599417
2073 0.0901241606
2084 0.0879738378
2118 0.0881475520
2125 0.0878534188
2126 0.0870758763
2186 0.0873933072
2188 0.0865766238
2208 0.0865821663
2233 0.0865099624
2235 0.0863153170
2242 0.0861650036
2243 0.0857025217
2330 0.0856653166
2337 0.0856715236
2339 0.0856315314
2345 0.0855581883
2347 0.0855578641
2367 0.0855464849
2374 0.0855376354
2376 0.0855293785
2386 0.0855153129
2426 0.0855097583
2437 0.0855091038
2462 0.0855058866
2502 0.0855032086
2503 0.0855022006
2547 0.0855006863
2549 0.0855018108
2563 0.0855010196
2610 0.0855012489
2625 0.0855012289
2656 0.0855010211
2660 0.0855011204
2693 0.0855011362
2698 0.0855011749
2699 0.0855012076
2720 0.0855012032
2723 0.0855011638
2756 0.0855011604
2774 0.0855011593
2811 0.0855011403
2829 0.0855011453
2841 0.0855011397
2861 0.0855011382
2873 0.0855011423
2922 0.0855011404
2923 0.0855011411
2942 0.0855011422
2954 0.0855011396
2966 0.0855011398
2969 0.0855011407
2995 0.0855011413
3017 0.0855011405
3020 0.0855011407
3048 0.0855011409
3066 0.0855011406
3070 0.0855011410
3096 0.0855011407
evaluations raw_y
1 52.9059091857
10 24.9178628566
30 22.9839585703
31 4.5346426535
574 3.2807181302
623 2.7784228549
634 1.8704824776
670 1.7383325022
710 1.5524192984
725 1.3583459678
735 1.2334519588
737 1.1908164975
753 1.1506026841
785 1.0260078803
796 0.8870091293
831 0.8695419141
836 0.7783185282
897 0.7384917851
902 0.7107816815
913 0.6842878983
945 0.6654410629
962 0.6158740592
1039 0.6116540485
1049 0.6090274641
1067 0.6076944952
1069 0.6076295003
1083 0.6070260842
1103 0.6008579500
1106 0.5958664894
1113 0.5871406880
1117 0.5829873373
1150 0.5829558888
1155 0.5826434414
1178 0.5712515904
1195 0.5621632762
1294 0.5620699175
1302 0.5609554972
1306 0.5595185454
1345 0.5580284648
1418 0.5573955112
1423 0.5567218817
1432 0.5500886803
1489 0.5497882537
1492 0.5495523642
1493 0.5487757973
1509 0.5483567907
1516 0.5480565914
1546 0.5480378080
1554 0.5479361479
1565 0.5475318162
1611 0.5475167184
1639 0.5474694924
1700 0.5474333284
1720 0.5474306780
1723 0.5474241662
1755 0.5474241425
1764 0.5474208828
1774 0.5474204396
1790 0.5474201865
1818 0.5474200327
1824 0.5474195269
1825 0.5474186546
1888 0.5474186263
1889 0.5474186074
1890 0.5474185219
1897 0.5474184838
1922 0.5474184579
1936 0.5474184509
1950 0.5474184504
1968 0.5474184502
1976 0.5474184485
1986 0.5474184463
1993 0.5474184440
2046 0.5474184438
2048 0.5474184437
2061 0.5474184434
2066 0.5474184434
2106 0.5474184434
2111 0.5474184434
2145 0.5474184434
2157 0.5474184434
2158 0.5474184434
2171 0.5474184434
2190 0.5474184433
2194 0.5474184433
2203 0.5474184433
2206 0.5474184433
2212 0.5474184433
2219 0.5474184433
2221 0.5474184433
2222 0.5474184433
2229 0.5474184433
2241 0.5474184433
2245 0.5474184433
2256 0.5474184433
2268 0.5474184433
2270 0.5474184433
2278 0.5474184433
2284 0.5474184433
2303 0.5474184433
2307 0.5474184433
2313 0.5474184433
2322 0.5474184433
2329 0.5474184433
2397 0.5474184433
2448 0.5474184433
evaluations raw_y
1 162.8497239308
2 66.7548503654
3 61.5639179100
4 56.9353442735
13 54.4943845040
14 43.6669251935
17 42.5882961871
27 30.3705585555
41 20.0711216101
181 8.4492701777
601 8.2902234257
610 6.1073228415
640 5.8186327438
709 5.5364261722
730 5.3816841014
776 5.1797420778
817 4.9532167302
832 4.9236945905
873 4.8153671360
875 4.6769298854
1048 4.6758744772
1057 4.5832950209
1064 4.5518906190
1111 4.5386035776
1184 4.5307863770
1195 4.5243350414
1228 4.5243138542
1231 4.5208039880
1237 4.5142171557
1251 4.5104861971
1260 4.5039864061
1274 4.5007041655
1339 4.4954911233
1370 4.4923852070
1393 4.4899721532
1438 4.4893286316
1446 4.4891942995
1496 4.4890122266
1497 4.4884133741
1510 4.4877117129
1519 4.4875058694
1545 4.4874562176
1546 4.4872947907
1547 4.4872651345
1550 4.4872566805
1551 4.4872456818
1563 4.4872214107
1572 4.4871635050
1626 4.4871409326
1637 4.4871352200
1652 4.4871130347
1673 4.4871129174
1679 4.4870984660
1687 4.4870984302
1689 4.4870953454
1709 4.4870912699
1720 4.4870902759
1740 4.4870897353
1745 4.4870884276
1756 4.4870881379
1789 4.4870880756
1797 4.4870880473
1820 4.4870880273
1823 4.4870879986
1832 4.4870879716
1835 4.4870879450
1837 4.4870879417
1844 4.4870879237
1850 4.4870879137
1855 4.4870878906
1901 4.4870878905
1924 4.4870878903
1925 4.4870878877
1929 4.4870878861
1938 4.4870878860
1961 4.4870878854
1982 4.4870878854
1985 4.4870878852
1990 4.4870878850
2001 4.4870878850
