evaluations raw_y
1 19.6922995157
3 10.9138714523
4 12.5559881776
6 7.6074075668
9 7.0532193533
16 5.8271042406
23 4.4091157101
27 2.5340115641
35 0.6735677545
100 0.6325669294
121 0.4122449065
129 0.3355107600
140 0.2731542652
142 0.1575929562
159 0.0589001584
214 0.0374037557
243 0.0347078388
250 0.0284023205
263 0.0208227750
295 0.0093497626
302 0.0047168721
321 0.0033125206
342 0.0029912326
343 0.0029045602
344 0.0017772408
345 0.0013599083
346 0.0012538824
357 0.0005790066
413 0.0003178204
414 0.0002642222
424 0.0002486399
428 0.0002333614
442 0.0001106077
458 0.0000681970
463 0.0000398342
479 0.0000300458
526 0.0000294974
527 0.0000249518
588 0.0000143895
612 0.0000110587
621 0.0000108835
650 0.0000104820
659 0.0000104561
667 0.0000085261
762 0.0000085085
764 0.0000083180
772 0.0000082770
779 0.0000079371
786 0.0000076573
813 0.0000076251
828 0.0000075851
843 0.0000075463
849 0.0000073080
904 0.0000072944
918 0.0000072940
919 0.0000072664
930 0.0000072576
956 0.0000072514
965 0.0000072376
1002 0.0000072349
1004 0.0000072317
1013 0.0000072203
1036 0.0000072315
evaluations raw_y
1 86.5087960448
6 73.2632889826
14 45.8949467690
15 15.6044217317
22 12.8362741362
41 10.1537110208
45 5.6963287819
48 4.7752460163
80 2.7206683317
89 2.6983294506
96 2.0728831783
100 1.4790040131
116 1.2339427137
123 0.8100795205
132 0.7835832819
135 0.6719029857
138 0.6592310599
146 0.3302563902
166 0.2694860432
193 0.2536551250
202 0.2505239624
206 0.2028579142
218 0.1484471534
226 0.1191006912
272 0.1099129587
273 0.0845065192
275 0.0773822927
285 0.0647310424
293 0.0154488071
1106 0.0234951853
evaluations raw_y
1 16.5332906197
2 13.4173271028
4 11.0311006537
8 6.3781070604
12 4.2776151789
27 2.5185092070
45 1.5436639240
48 0.9220121374
123 0.8048211904
153 0.6007583540
164 0.3343260123
197 0.3175441096
212 0.2441418617
218 0.0600373158
245 0.0192529830
336 0.0053413142
411 0.0030245891
475 0.0009883876
529 0.0009457292
532 0.0002486513
562 0.0002354685
568 0.0001159746
800 0.0000300707
825 0.0000291740
851 0.0000272192
878 0.0000195663
926 0.0000187882
932 0.0000130764
949 0.0000121309
970 0.0000051329
974 0.0000044139
986 0.0000040516
1003 0.0000040220
1006 0.0000011844
1009 0.0000009256
1043 0.0000009206
1046 0.0000006689
1054 0.0000006117
1070 0.0000005353
1072 0.0000002768
1095 0.0000002276
1114 0.0000002227
1130 0.0000001419
1141 0.0000001223
1160 0.0000001213
1162 0.0000000898
1174 0.0000000645
1193 0.0000000125
1216 0.0000000079
1250 0.0000000059
1259 0.0000000058
1281 0.0000000032
1283 0.0000000022
1286 0.0000000019
1290 0.0000000010
1302 0.0000000009
1309 0.0000000080
evaluations raw_y
1 18.1051356771
23 18.0091765301
24 15.7657022427
29 14.4348648176
44 13.6481065886
45 10.1054072070
59 7.7065647267
63 6.3928188471
71 5.7443349547
82 2.8231907228
87 1.7443685940
109 1.5935052319
139 0.5166733852
152 0.5007138189
168 0.3911081433
207 0.2291064114
284 0.1537196668
299 0.0699199235
330 0.0534315355
354 0.0417985491
357 0.0360651364
361 0.0189757335
376 0.0064239979
463 0.0031431630
507 0.0029263911
534 0.0017388899
540 0.0006271357
616 0.0003457058
624 0.0002306304
703 0.0001521291
724 0.0000664830
737 0.0000598636
746 0.0000332382
750 0.0000306698
774 0.0000303844
777 0.0000303326
787 0.0000299611
795 0.0000289333
832 0.0000288950
836 0.0000288387
843 0.0000287887
883 0.0000287837
890 0.0000287805
895 0.0000287781
933 0.0000287778
936 0.0000287777
1012 0.0000287777
1020 0.0000287777
1124 0.0000287777
1188 0.0000287777
1215 0.0000287777
1223 0.0000287777
1231 0.0000287777
1260 0.0000287777
1303 0.0000287777
1320 0.0000287777
1350 0.0000287777
1400 0.0000287777
evaluations raw_y
1 27.9288937454
3 9.9030014602
4 7.6263178389
6 4.2628718257
9 2.6738035421
10 2.0394313758
11 1.0979036908
41 0.5174821564
103 0.3128932553
127 0.2691102088
133 0.2400260604
138 0.1237588859
190 0.0690277037
231 0.0344587136
255 0.0320834356
280 0.0320094147
301 0.0171627826
304 0.0117520919
323 0.0097591461
346 0.0050030295
349 0.0033989163
375 0.0024119634
388 0.0018449980
410 0.0015225588
423 0.0010436252
440 0.0005484128
454 0.0003178706
456 0.0002410662
519 0.0002067918
538 0.0001771766
567 0.0001498265
568 0.0001079358
605 0.0000491228
606 0.0000348285
607 0.0000289208
769 0.0000259268
810 0.0000135025
899 0.0000116114
902 0.0000096384
961 0.0000094988
984 0.0000094182
988 0.0000091959
1005 0.0000088997
1022 0.0000088146
1038 0.0000087429
1045 0.0000085652
1053 0.0000082201
1068 0.0000081461
1077 0.0000077102
1106 0.0000076675
1112 0.0000075400
1146 0.0000073356
1164 0.0000073332
1219 0.0000073294
1240 0.0000073021
1246 0.0000073799
evaluations raw_y
1 23.9592812189
2 5.1093911754
26 3.9741865012
63 2.9599066273
64 2.4489573319
86 1.9916850124
93 1.8231531796
109 1.3806403835
142 1.2471124349
143 1.0050518779
223 0.8556810760
281 0.4383006017
307 0.1792691675
380 0.1708652510
390 0.1572731499
397 0.1410652277
431 0.1214296864
433 0.0708944890
460 0.0394752676
479 0.0330527047
486 0.0318842152
492 0.0264189324
505 0.0259776453
522 0.0195920180
523 0.0072940713
563 0.0052139422
595 0.0027537872
597 0.0022957452
612 0.0015794880
645 0.0011413117
673 0.0010007290
687 0.0006651802
732 0.0006323889
733 0.0006138682
748 0.0005054875
764 0.0002845929
783 0.0002526836
810 0.0001977710
822 0.0001879638
827 0.0001727476
850 0.0001289411
853 0.0000228493
910 0.0000132987
981 0.0000112053
1039 0.0000109353
1052 0.0000106464
1060 0.0000099121
1094 0.0000094667
1146 0.0000093785
1168 0.0000092988
1169 0.0000091948
1174 0.0000090936
1178 0.0000087357
1222 0.0000083005
1231 0.0000077081
1281 0.0000075428
1297 0.0000074976
1314 0.0000074730
1317 0.0000074139
1331 0.0000074136
1344 0.0000074705
evaluations raw_y
1 34.4298376514
2 28.1013220824
3 16.1129073867
6 14.4909376917
8 12.4879627704
20 12.2517135228
22 7.7408631994
24 6.6963474059
27 4.7569487593
31 2.4586399868
107 1.9407108895
117 1.4130249873
134 0.5235841744
149 0.4766337696
175 0.3817582285
183 0.3488005385
210 0.3315944332
212 0.2477475229
224 0.2441261685
226 0.2250096538
233 0.2235079892
243 0.1485535023
245 0.1364936178
252 0.1308966448
258 0.1010327892
270 0.0880598703
295 0.0559438788
302 0.0385087828
311 0.0312499212
332 0.0250898934
389 0.0233120200
402 0.0214536426
427 0.0195255935
429 0.0166737644
499 0.0166117254
505 0.0152289404
540 0.0150523315
630 0.0146881324
692 0.0145352679
836 0.0145232263
841 0.0144951716
875 0.0144941165
917 0.0144941105
919 0.0144664683
1015 0.0144593183
1019 0.0144416102
1086 0.0144388787
1088 0.0144261073
1111 0.0144246743
1127 0.0144208249
1137 0.0144196765
1143 0.0144191492
1154 0.0144152392
1159 0.0144114599
1254 0.0144103957
1255 0.0144080351
1262 0.0144078939
1263 0.0144048107
1302 0.0144043609
1320 0.0144007705
1353 0.0144007360
1425 0.0144006423
1426 0.0144003057
1432 0.0144001864
1502 0.0144001061
1507 0.0143999918
1536 0.0143999901
1559 0.0143999307
1564 0.0143998534
1630 0.0143998463
1647 0.0143998438
1654 0.0143998357
1661 0.0143998095
1677 0.0143997991
1696 0.0143997926
1704 0.0143997858
1818 0.0143997833
1824 0.0143997808
1834 0.0143997937
evaluations raw_y
1 71.9202282328
3 18.6979296077
6 16.6765900352
13 11.5555652741
23 6.4035527512
30 5.3270901421
50 1.6547910993
58 0.6083995812
100 0.4722637856
138 0.4353544814
143 0.2651412721
190 0.2206522275
206 0.1885241889
208 0.1012313341
210 0.0431498877
240 0.0418324673
250 0.0224254388
293 0.0140684430
307 0.0098856793
328 0.0089242230
337 0.0079024502
357 0.0047574700
372 0.0013526838
419 0.0010962306
428 0.0010235701
458 0.0006675534
503 0.0001926405
606 0.0001352714
625 0.0001147926
639 0.0000815557
793 0.0000812468
796 0.0000767438
808 0.0000664661
810 0.0000634608
866 0.0000630161
899 0.0000626108
922 0.0000626067
932 0.0000604887
958 0.0000594455
986 0.0000593330
987 0.0000589822
996 0.0000581893
1105 0.0000580311
1144 0.0000580095
1147 0.0000578828
1206 0.0000578224
1215 0.0000577954
1244 0.0000577703
1273 0.0000577658
1285 0.0000577499
1287 0.0000577416
1296 0.0000577294
1298 0.0000577143
1313 0.0000577070
1319 0.0000577008
1333 0.0000577000
1400 0.0000576848
1446 0.0000576828
1449 0.0000576785
1460 0.0000576730
1493 0.0000576701
1509 0.0000576694
1527 0.0000576681
1564 0.0000576680
1575 0.0000576661
1605 0.0000576656
1610 0.0000576672
evaluations raw_y
1 32.6962720624
7 13.9456100757
10 2.1781406954
43 1.9475014665
69 0.6902471869
