evaluations raw_y
1 1677.5543769669
2 134.3838307335
3 1.6992522387
17 0.2739358065
78 0.0641695431
873 0.0332804378
938 0.0114522922
994 0.0075371651
1011 0.0069531356
1015 0.0054795827
1202 0.0054711207
1203 0.0053293571
1208 0.0053266275
1209 0.0049642306
1216 0.0049630898
1222 0.0043308218
1225 0.0038826873
1235 0.0038562273
1237 0.0036332416
1238 0.0035862910
1243 0.0033034323
1248 0.0027729801
1250 0.0027329938
1251 0.0020393983
1259 0.0010476102
1261 0.0005623812
1268 0.0004637445
1269 0.0002618584
1272 0.0000621452
1317 0.0000207439
1321 0.0000136038
1323 0.0000018319
1333 0.0000003289
1392 0.0000001249
1393 0.0000000885
1405 0.0000000334
1409 0.0000000283
1412 0.0000000061
1447 0.0000000010
1469 0.0000000002
1494 0.0000000000
1524 0.0000000000
1525 0.0000000000
1532 0.0000000000
1538 0.0000000000
1546 0.0000000000
1547 0.0000000000
1550 0.0000000000
1554 0.0000000000
1567 0.0000000000
1573 0.0000000000
1610 0.0000000000
1611 0.0000000000
1634 0.0000000000
1650 0.0000000000
evaluations raw_y
1 83.1259436595
4 66.9666804131
6 54.2860573189
7 22.2536800724
12 9.7623837690
13 9.7093082043
20 3.6080101545
27 2.3282512331
42 0.3490535518
114 0.1764867244
163 0.1448516308
221 0.1185151800
401 0.0602216043
416 0.0481833372
1074 0.1413713569
evaluations raw_y
1 24.1708163779
12 6.4393335897
15 4.1952339782
29 3.8895127417
36 3.2746863058
37 0.2161076354
91 0.1684267692
410 0.1158412425
456 0.0771075847
468 0.0003193073
1008 0.0003089464
1010 0.0002225119
1014 0.0001618690
1015 0.0000534786
1016 0.0000474696
1025 0.0000201525
1027 0.0000028787
1033 0.0000022769
1070 0.0000002894
1077 0.0000001626
1091 0.0000001523
1106 0.0000001232
1108 0.0000000058
1122 0.0000000011
1139 0.0000000003
1212 0.0000000003
1219 0.0000000002
1225 0.0000000001
1240 0.0000000001
1243 0.0000000000
1247 0.0000000000
1254 0.0000000000
1263 0.0000000000
1292 0.0000000000
1296 0.0000000000
1308 0.0000000000
1344 0.0000000000
evaluations raw_y
1 521.6154324931
2 83.7368623751
3 23.0797294311
7 11.2322130780
8 9.5401162876
19 5.6715182786
25 3.6122845666
50 0.8431485395
52 0.3599773572
55 0.2363012596
81 0.0155818086
1116 0.0157076508
evaluations raw_y
1 21.7858777712
3 7.0729467713
4 5.5122270672
25 1.7222239475
26 0.3899690414
79 0.2610892705
226 0.2356992744
966 0.4241146957
evaluations raw_y
1 404.8211336394
2 5.6281215926
10 4.8463337958
37 4.5907258428
56 2.4465872235
57 2.0548553810
72 0.9360363295
95 0.5808893685
122 0.2305944802
130 0.0880022854
320 0.0134120470
322 0.0007972907
570 0.0006796196
590 0.0005709202
605 0.0000690854
625 0.0000432751
642 0.0000409784
650 0.0000380340
651 0.0000037421
673 0.0000033683
674 0.0000007641
699 0.0000004677
704 0.0000002357
712 0.0000002118
716 0.0000001176
735 0.0000001051
756 0.0000000703
758 0.0000000531
769 0.0000000521
775 0.0000000484
776 0.0000000357
784 0.0000000316
788 0.0000000175
789 0.0000000138
795 0.0000000118
797 0.0000000050
808 0.0000000037
833 0.0000000018
