evaluations raw_y
1 385.8191423731
3 360.5738754560
4 298.2535026206
5 284.8403418934
7 225.9480578099
23 190.1070059155
27 174.2615759373
49 149.7252914464
54 124.3497897877
66 108.0138820427
73 91.4775389929
81 78.3540192693
109 64.4762597720
121 56.1315564734
127 45.8208106430
172 42.6505080726
184 39.4315694420
203 37.5825866820
218 34.6452853079
222 32.4659259158
229 28.0131150624
241 25.8891261263
250 24.2895286906
252 21.3035399586
272 18.5605962471
279 4.9782301631
359 4.5752431511
403 3.2090943315
446 2.3771903913
459 2.2880673385
467 2.0442856559
500 2.0409904185
527 1.9923718046
536 1.8482226854
544 0.9045048697
601 0.4585479373
660 0.3603382374
709 0.3554501550
717 0.3396290884
725 0.3293763114
754 0.3189939689
766 0.2847498508
774 0.2733997990
785 0.2349701868
794 0.2288986509
809 0.2196357861
825 0.1904354401
832 0.1761551255
836 0.1181294451
855 0.1117211661
866 0.0903185755
874 0.0753255591
887 0.0522306181
949 0.0371740307
988 0.0281253681
1016 0.0251560888
1025 0.0233627697
1040 0.0180529468
1050 0.0121278330
1053 0.0094852133
1120 0.0086057041
1153 0.0065709058
1204 0.0051116436
1224 0.0050830569
1226 0.0047903691
1263 0.0039403779
1289 0.0036754901
1292 0.0035526790
1299 0.0027891512
1323 0.0027550953
1334 0.0025480614
1346 0.0024786561
1354 0.0022232261
1373 0.0020100951
1398 0.0019274647
1400 0.0013988987
1423 0.0012861672
1432 0.0012548762
1434 0.0011929824
1448 0.0011508491
1449 0.0010968313
1459 0.0009007271
1471 0.0008696151
1478 0.0007331260
1486 0.0007273659
1490 0.0006050553
1501 0.0005940021
1513 0.0003097144
1553 0.0001717803
1616 0.0001341760
1644 0.0001318538
1653 0.0001079779
1655 0.0000928216
1667 0.0000801647
1675 0.0000617172
1732 0.0000582535
1739 0.0000496984
1753 0.0000483142
1768 0.0000447089
1772 0.0000328001
1789 0.0000179160
1838 0.0000120929
1928 0.0000100431
1937 0.0000094430
1947 0.0000082900
1956 0.0000052831
1976 0.0000038544
1997 0.0000033605
2027 0.0000022854
2067 0.0000019474
2079 0.0000018770
2123 0.0000017703
2126 0.0000013770
2146 0.0000013064
2152 0.0000011524
2170 0.0000010200
2183 0.0000007713
2188 0.0000005978
2282 0.0000005919
2285 0.0000005106
2287 0.0000003583
2293 0.0000002864
2340 0.0000002603
2342 0.0000002550
2361 0.0000002103
2378 0.0000001748
2401 0.0000001438
2443 0.0000001121
2454 0.0000001054
2470 0.0000000923
2482 0.0000000914
2485 0.0000000914
2498 0.0000000644
2510 0.0000000539
2526 0.0000000439
2532 0.0000000357
2561 0.0000000264
2602 0.0000000259
2611 0.0000000234
2666 0.0000000211
2675 0.0000000201
2713 0.0000000144
2726 0.0000000130
2731 0.0000000113
2739 0.0000000090
2742 0.0000000082
2764 0.0000000082
2784 0.0000000069
2794 0.0000000062
2804 0.0000000052
2819 0.0000000043
2837 0.0000000039
2850 0.0000000031
2874 0.0000000026
2949 0.0000000025
2953 0.0000000024
2974 0.0000000021
2983 0.0000000011
3042 0.0000000009
3061 0.0000000009
3064 0.0000000008
3068 0.0000000006
3093 0.0000000005
3136 0.0000000003
3141 0.0000000002
3217 0.0000000002
3262 0.0000000002
3269 0.0000000001
3340 0.0000000001
3349 0.0000000001
3354 0.0000000001
3363 0.0000000001
3374 0.0000000001
3413 0.0000000001
3429 0.0000000001
3437 0.0000000000
3461 0.0000000000
3462 0.0000000000
3474 0.0000000000
3477 0.0000000000
3512 0.0000000000
3565 0.0000000000
3583 0.0000000000
3593 0.0000000000
3642 0.0000000000
3668 0.0000000000
3714 0.0000000000
3736 0.0000000000
3762 0.0000000000
3785 0.0000000000
3798 0.0000000000
3846 0.0000000000
3847 0.0000000000
3873 0.0000000000
3892 0.0000000000
3897 0.0000000000
3937 0.0000000000
3966 0.0000000000
4035 0.0000000000
4046 0.0000000000
4060 0.0000000000
4139 0.0000000000
4153 0.0000000000
4162 0.0000000000
4216 0.0000000000
4299 0.0000000000
4374 0.0000000000
4397 0.0000000000
4464 0.0000000000
4596 0.0000000000
evaluations raw_y
1 432.1440841823
6 250.0567546528
40 223.2874680376
52 156.0463944074
66 150.2988361155
75 125.0718298228
95 90.3853692058
115 77.8080135674
159 76.8081256708
170 74.2563579569
178 72.5198337006
189 64.0817272607
191 50.4094912608
215 44.5493538964
221 37.7023259988
228 36.8490801104
245 27.3432931302
273 20.4560768638
305 12.5256000303
329 11.4286142823
375 9.9663788303
398 9.6474692709
400 7.8170473205
414 4.8756336796
460 4.4978967051
469 4.0344134704
488 3.6222709476
493 2.7704232171
531 1.8425669335
559 1.7957839700
636 1.3787935581
651 1.0942054034
662 1.0063114890
676 1.0001049751
677 0.7975364772
679 0.7361154708
707 0.6363911471
730 0.6309766987
741 0.6046713282
773 0.5146362158
774 0.4874770198
781 0.4602291266
787 0.4529139259
803 0.4000551049
825 0.3803760592
829 0.2424173696
836 0.1938188553
893 0.1812903600
895 0.1609599370
902 0.1524686057
903 0.1384415324
908 0.0601203728
991 0.0520731488
1065 0.0405802968
1084 0.0336253209
1119 0.0321779706
1123 0.0227107524
1197 0.0194833470
1214 0.0181471568
1215 0.0154462018
1229 0.0138095001
1269 0.0119265040
1271 0.0109213967
1280 0.0089097711
1296 0.0085220934
1311 0.0082953616
1316 0.0076520452
1323 0.0073723942
1336 0.0059547923
1361 0.0055055584
1415 0.0054229145
1425 0.0051023998
1429 0.0040303547
1443 0.0037513564
1451 0.0029914752
1470 0.0019680943
1498 0.0018275738
1522 0.0017491892
1525 0.0015994284
1532 0.0014870122
1540 0.0014113225
1547 0.0011773151
1550 0.0011563839
1579 0.0006705052
1585 0.0006450364
1617 0.0006163862
1656 0.0005712202
1659 0.0004648494
