evaluations raw_y
1 346572.6428592717
2 167449.3230673604
4 114373.1253558521
12 111528.2751478335
13 78027.5316357019
15 69789.8150457429
25 47216.3136330859
71 45929.4734956873
75 28077.4267251908
77 24465.2058578672
129 23131.0737663646
140 18170.6098522663
149 18065.5435740189
152 14784.1873768494
166 13747.0810037716
182 12824.6557483483
192 12455.9763117224
194 8824.1565076198
202 6794.8333738324
227 5521.1415477467
228 5456.5603059080
229 5075.2471475478
259 3614.3475267177
269 2448.7842622510
304 2429.6763713377
313 1858.0713685904
325 1780.3998756323
326 1058.7525017778
337 1056.0226378670
347 873.8655905557
352 457.6361879585
356 179.4152996449
358 165.2998647606
411 89.5448086105
421 42.1494640742
457 6.0067643144
472 3.9609875873
496 3.7225011940
625 3.5450448554
682 3.4372448069
750 3.3806171361
782 2.9946146645
932 2.9302544819
964 2.9035842693
1045 2.8386842632
1094 2.8185770150
1102 2.5959733751
1136 2.5903071512
1224 2.5005270869
1301 2.4898463589
1317 2.3274209376
1346 2.3207223245
1383 2.2786067041
1405 2.2193575656
1411 2.1176082931
1439 2.0213058847
1490 1.9584622369
1561 1.9246170677
1631 1.9157546938
1650 1.8928945219
1769 1.8727188336
1866 1.8702135510
1895 1.8633822520
1911 1.8611003965
1932 1.8530467767
1951 1.8449647717
2027 1.8427923893
2097 1.8426907914
2137 1.8421898918
2141 1.8405623791
2147 1.8380614157
2151 1.8364993609
2168 1.8354713680
2175 1.8345621026
2221 1.8313847793
2346 1.8306475925
2350 1.8305545076
2352 1.8300724422
2356 1.8298138104
2373 1.8294614250
2395 1.8290226926
2397 1.8289127355
2415 1.8283861797
2579 1.8282208289
2599 1.8279319730
2607 1.8278897799
2611 1.8275077523
2637 1.8273790597
2649 1.8273340018
2751 1.8270843349
2757 1.8269356427
2769 1.8268612081
2816 1.8267961201
2837 1.8266918618
2904 1.8266694635
2953 1.8266356148
2961 1.8265642345
2987 1.8265292991
3029 1.8265036587
3045 1.8264523874
3063 1.8264245145
3083 1.8263824987
3276 1.8263818388
3305 1.8263671224
3314 1.8263658734
3346 1.8263625671
3348 1.8263610917
3349 1.8263363021
3361 1.8263292483
3380 1.8263249764
3466 1.8263231762
3491 1.8263175889
3503 1.8263143164
3574 1.8263111750
3583 1.8263106871
3584 1.8263105034
3585 1.8263071576
3590 1.8263066056
3655 1.8263063213
3656 1.8263061249
3668 1.8263043986
3674 1.8263041041
3691 1.8263037009
3701 1.8263017688
3788 1.8263014448
3827 1.8263011833
3836 1.8263008245
3842 1.8263007589
3846 1.8263005748
3850 1.8263005282
3855 1.8263002446
3863 1.8263001737
3868 1.8262995313
3871 1.8262992741
3922 1.8262991210
3931 1.8262989621
3943 1.8262988468
3962 1.8262986705
3971 1.8262985876
3989 1.8262984908
4015 1.8262984287
4025 1.8262983542
4031 1.8262983225
4043 1.8262982564
4049 1.8262981962
4057 1.8262981866
4125 1.8262981824
4132 1.8262981792
4138 1.8262981226
4175 1.8262981199
4192 1.8262981094
4227 1.8262981083
4229 1.8262980946
4253 1.8262980708
4273 1.8262980673
4281 1.8262980602
4283 1.8262980558
4289 1.8262980488
4290 1.8262980453
4296 1.8262980430
4350 1.8262980413
4357 1.8262980405
4369 1.8262980332
4380 1.8262980326
4385 1.8262980257
4400 1.8262980243
4409 1.8262980219
4489 1.8262980208
4491 1.8262980181
4501 1.8262980156
4575 1.8262980155
4621 1.8262980147
4624 1.8262980142
4648 1.8262980140
4688 1.8262980135
4694 1.8262980135
4714 1.8262980130
4724 1.8262980129
4731 1.8262980128
4741 1.8262980128
4788 1.8262980128
4796 1.8262980128
4817 1.8262980128
4819 1.8262980126
4821 1.8262980126
4823 1.8262980124
4845 1.8262980124
4850 1.8262980123
4872 1.8262980123
4900 1.8262980122
4920 1.8262980121
4953 1.8262980121
4957 1.8262980121
4970 1.8262980121
4976 1.8262980121
5014 1.8262980120
5046 1.8262980120
5062 1.8262980120
5078 1.8262980120
5082 1.8262980120
5100 1.8262980120
5102 1.8262980120
5186 1.8262980120
5237 1.8262980120
5262 1.8262980120
5267 1.8262980120
5271 1.8262980120
5290 1.8262980120
5301 1.8262980120
5323 1.8262980120
5324 1.8262980120
5334 1.8262980120
5340 1.8262980120
5350 1.8262980120
5359 1.8262980120
5390 1.8262980120
5412 1.8262980120
5481 1.8262980120
5489 1.8262980120
5505 1.8262980120
5531 1.8262980120
5595 1.8262980120
5607 1.8262980120
5608 1.8262980120
5614 1.8262980120
5633 1.8262980120
5634 1.8262980120
5635 1.8262980120
5652 1.8262980120
5714 1.8262980120
5777 1.8262980120
5794 1.8262980120
5841 1.8262980120
5867 1.8262980120
5881 1.8262980120
5940 1.8262980120
5966 1.8262980120
5982 1.8262980120
5994 1.8262980120
6026 1.8262980120
6055 1.8262980120
6056 1.8262980120
6152 1.8262980120
6183 1.8262980120
6185 1.8262980120
6201 1.8262980120
6214 1.8262980120
6241 1.8262980120
6250 1.8262980120
6282 1.8262980120
6291 1.8262980120
6307 1.8262980120
6318 1.8262980120
6332 1.8262980120
6364 1.8262980120
6477 1.8262980120
6648 1.8262980120
6744 1.8262980120
evaluations raw_y
1 489180.5233481622
2 223047.4291033629
6 181339.7114546102
15 176599.0153717976
17 93480.8847440820
32 49164.9240323095
39 26608.5392799980
67 26005.4735640825
91 19033.2773829324
103 17342.1244698461
118 17220.9705606964
142 15825.5695488295
143 9558.0711726732
203 6192.4185167687
213 943.5373975452
268 901.4790915259
290 74.1934886067
336 55.9669625682
338 25.8278549374
390 13.9421467201
432 4.8222797950
453 4.6867620515
490 4.1988563191
522 3.9303912064
537 3.9098398689
610 3.8022977630
628 3.5595040229
694 3.4884789873
698 3.2204386192
893 3.0300397575
925 2.9717380991
995 2.9474012864
1061 2.8805197227
1075 2.8340588812
1147 2.5783879964
1174 2.5417767416
1210 2.2758508604
1344 2.2695237720
1374 2.2319980537
1389 2.2319163367
1405 2.2261289670
1410 2.1005520038
