evaluations raw_y
1 12.5765538432
8 6.9338035795
96 4.2003139948
123 2.2908537181
151 2.2556637074
196 2.1759632417
328 2.1725297094
332 2.1691624005
335 2.1645388963
337 2.1451288740
347 2.1442635387
349 2.1291835104
353 2.1255616999
354 2.1245115057
355 2.1218594556
414 2.1203850557
442 2.1192701142
453 2.1190955258
477 2.1190696792
485 2.1189385007
521 2.1188156384
530 2.1187669550
541 2.1186641758
550 2.1186442347
570 2.1186427505
573 2.1186410247
583 2.1186371437
599 2.1186370478
600 2.1186365088
610 2.1186359312
630 2.1186352101
646 2.1186350638
658 2.1186349916
666 2.1186349851
680 2.1186349330
703 2.1186349292
716 2.1186349282
798 2.1186349282
803 2.1186349281
813 2.1186349280
838 2.1186349280
886 2.1186349280
889 2.1186349280
911 2.1186349280
924 2.1186349280
941 2.1186349280
948 2.1186349280
980 2.1186349280
990 2.1186349280
1016 2.1186349280
1027 2.1186349280
1092 2.1186349280
1134 2.1186349280
evaluations raw_y
1 34.8682269774
2 27.0733587280
4 16.9119452137
5 10.5469683407
13 6.8183063085
48 2.3188466111
52 2.0189612128
104 1.9275402494
120 1.8394378393
129 1.7296821272
133 1.7029667119
165 1.6569805201
173 1.6464203294
177 1.6086490818
180 1.5984521120
187 1.5836326793
229 1.5777031702
238 1.5755862999
242 1.5665211438
260 1.5654809423
264 1.5630293488
339 1.5630224923
359 1.5630126832
372 1.5630113584
382 1.5630107146
414 1.5630099782
456 1.5630099363
457 1.5630098767
477 1.5630098597
502 1.5630098587
518 1.5630098575
578 1.5630098575
614 1.5630098575
632 1.5630098574
646 1.5630098573
706 1.5630098573
708 1.5630098573
730 1.5630098573
746 1.5630098573
785 1.5630098573
796 1.5630098573
807 1.5630098573
866 1.5630098573
878 1.5630098573
931 1.5630098573
evaluations raw_y
1 52.5168231175
3 19.2917089176
8 5.8974510110
21 2.5157910086
73 2.0604347507
235 2.0560755836
242 2.0087995543
251 2.0039677265
293 2.0027686028
319 1.9993988182
484 1.9993884760
494 1.9993883193
498 1.9993876912
500 1.9993852821
519 1.9993851955
559 1.9993850307
594 1.9993849402
610 1.9993849283
627 1.9993849270
632 1.9993849206
650 1.9993848975
662 1.9993848917
668 1.9993848854
689 1.9993848849
692 1.9993848847
706 1.9993848844
712 1.9993848834
725 1.9993848830
747 1.9993848829
752 1.9993848829
782 1.9993848829
805 1.9993848829
858 1.9993848829
973 1.9993848829
evaluations raw_y
1 53.4086521932
4 20.6710242531
5 8.4340273296
44 6.5859803709
119 6.0622901078
133 5.8860107135
137 5.8192118531
156 5.8019635306
183 5.7985270763
190 5.7941932607
196 5.7876931959
215 5.7870029383
217 5.7823694215
261 5.7821123369
265 5.7818090189
268 5.7813512451
308 5.7812459493
309 5.7812346324
311 5.7812215758
364 5.7811996349
393 5.7811983252
394 5.7811980075
414 5.7811978937
426 5.7811976754
438 5.7811974986
444 5.7811973821
483 5.7811973736
548 5.7811973728
570 5.7811973719
622 5.7811973718
639 5.7811973718
645 5.7811973718
646 5.7811973718
689 5.7811973718
739 5.7811973717
747 5.7811973717
749 5.7811973717
771 5.7811973717
809 5.7811973717
826 5.7811973717
evaluations raw_y
1 18.7419542227
5 16.3469642263
6 4.1805726177
19 2.7644104009
34 1.8932517242
135 1.8278737445
185 1.8268950066
187 1.8266280208
198 1.8179891828
220 1.8140207677
229 1.8113933784
236 1.8099740638
248 1.8079027481
259 1.8047848745
260 1.8044390752
262 1.8043005244
288 1.8034685415
311 1.8034118267
328 1.8032257439
337 1.8031210568
339 1.8031206207
366 1.8030810462
379 1.8030764034
381 1.8030619177
393 1.8030486160
401 1.8030440483
403 1.8030361309
404 1.8030219299
462 1.8030211260
489 1.8030207960
493 1.8030200757
516 1.8030195880
584 1.8030195251
585 1.8030194341
591 1.8030194020
596 1.8030194006
609 1.8030193890
613 1.8030193825
616 1.8030193793
643 1.8030193782
666 1.8030193780
700 1.8030193779
712 1.8030193779
717 1.8030193778
731 1.8030193778
732 1.8030193778
771 1.8030193778
819 1.8030193778
823 1.8030193778
842 1.8030193778
843 1.8030193778
847 1.8030193778
855 1.8030193778
857 1.8030193778
865 1.8030193778
878 1.8030193778
903 1.8030193778
920 1.8030193778
959 1.8030193778
evaluations raw_y
1 64.2935363756
2 42.5188161943
4 32.8233609127
6 25.4658429194
8 24.3119128839
15 23.8155813993
16 11.5995284558
22 8.1325479443
28 6.8519759872
31 6.7735735030
83 6.1004741347
89 5.0724268640
91 2.0735223299
100 1.9089023260
173 1.8278196211
214 1.6738022053
220 1.3630191112
251 1.2903910033
270 1.2766333960
276 1.2609817297
288 1.2609400476
342 1.2558754038
353 1.2507493286
373 1.2480362930
397 1.2471516242
408 1.2467678024
419 1.2464584923
424 1.2456440700
429 1.2456249087
433 1.2454657663
459 1.2453708966
465 1.2453332007
466 1.2453194397
473 1.2452858156
482 1.2452669040
503 1.2452654874
506 1.2452607788
512 1.2452586446
532 1.2452558384
537 1.2452558265
561 1.2452556614
582 1.2452555554
613 1.2452555507
625 1.2452555443
633 1.2452555391
659 1.2452555378
663 1.2452555374
666 1.2452555355
678 1.2452555354
725 1.2452555354
730 1.2452555354
731 1.2452555353
742 1.2452555353
750 1.2452555353
771 1.2452555353
789 1.2452555353
794 1.2452555353
796 1.2452555353
843 1.2452555353
864 1.2452555353
876 1.2452555353
908 1.2452555353
924 1.2452555353
evaluations raw_y
1 39.8980577863
7 28.3429118183
18 21.0871474967
31 15.0379224112
38 10.0716169992
40 6.7093806057
46 6.1154878454
135 6.0365394527
136 5.3623577409
147 3.9801786606
191 3.8006601504
200 3.6876054104
220 3.6512688813
262 3.6403007140
297 3.6391212388
307 3.6387107886
323 3.6380989160
338 3.6379975224
340 3.6379201311
350 3.6378570591
380 3.6378543748
387 3.6378384984
408 3.6378360800
463 3.6378356728
472 3.6378354104
532 3.6378353934
535 3.6378353919
554 3.6378353795
557 3.6378353760
561 3.6378353707
575 3.6378353680
599 3.6378353679
606 3.6378353677
627 3.6378353677
654 3.6378353677
660 3.6378353677
661 3.6378353676
682 3.6378353676
683 3.6378353676
722 3.6378353676
729 3.6378353676
739 3.6378353676
760 3.6378353676
773 3.6378353676
805 3.6378353676
evaluations raw_y
1 17.7065928532
2 13.0752957872
7 12.8836048808
11 5.0398081235
91 4.7675126589
107 3.5481572650
149 3.3078156493
1050 7.8565845314
evaluations raw_y
1 14.3061347021
8 6.0762738529
19 2.2192052493
22 2.0260492938
35 1.4105545761
206 1.3794840365
219 1.1796584565
222 0.8333732092
223 0.7187567039
308 0.7173569189
310 0.7097937964
315 0.7095310749
329 0.7058921883
331 0.6968694652
336 0.6964129137
341 0.6948866968
344 0.6931900518
356 0.6921444111
396 0.6919358803
431 0.6918610532
477 0.6918592841
500 0.6918590067
519 0.6918574643
555 0.6918569200
625 0.6918569146
651 0.6918569123
664 0.6918569122
678 0.6918569119
686 0.6918569119
689 0.6918569113
717 0.6918569112
761 0.6918569112
781 0.6918569112
814 0.6918569112
825 0.6918569112
826 0.6918569112
860 0.6918569112
909 0.6918569112
938 0.6918569112
evaluations raw_y
1 24.3646113459
2 2.8566557084
88 2.1779159534
100 2.1592197672
117 1.9320003301
136 1.8296524226
140 1.8001744597
153 1.7351468021
163 1.5546751626
169 1.3704890545
191 1.2754645006
226 1.2653810280
229 1.2558312816
