evaluations raw_y
1 13.6279195851
14 10.2585654564
23 9.7548152447
43 8.2011361466
75 5.7421655094
142 4.6907206146
178 4.0517140085
269 2.5671096217
894 32.8730112396
evaluations raw_y
1 31.5702380925
6 18.8515263606
10 2.6252996032
403 1.8866127858
416 0.4253877373
451 0.3470796950
456 0.3060691882
459 0.2733802206
470 0.2365919683
471 0.1739576624
478 0.1663134061
487 0.1451100604
490 0.0469166159
496 0.0340776748
524 0.0193423991
530 0.0166281618
534 0.0127628130
539 0.0107897175
552 0.0030739814
559 0.0026921782
561 0.0006842052
605 0.0006599177
621 0.0006262761
628 0.0004853201
632 0.0000483636
670 0.0000436985
672 0.0000058692
762 0.0000034838
797 0.0000032259
801 0.0000011361
803 0.0000006074
824 0.0000005136
846 0.0000001733
858 0.0000023673
evaluations raw_y
1 15.7359273211
13 11.9206156304
25 7.0946027430
31 6.5092733475
35 4.0633183609
43 3.9890884212
61 3.7323321259
146 0.7163201757
912 4.4468776982
evaluations raw_y
1 30.1844167605
2 13.7824031186
14 3.5170830503
23 3.7144283555
163 1.8394222537
654 0.7733958365
1284 6.2080672251
evaluations raw_y
1 37.3932630154
4 9.9672655769
6 12.5398072019
11 10.0524912063
29 7.1559170448
32 4.5677913230
392 3.2834169073
493 3.2146596292
639 3.1970780345
640 2.2163017002
669 2.1163051135
671 1.7688035842
681 1.6386195623
685 0.8863027906
693 0.3756009323
701 0.2453397498
733 0.1388678715
742 0.1335708336
745 0.1317739902
749 0.0992597382
754 0.0667765302
761 0.0498168535
765 0.0394545006
794 0.0316145102
800 0.0274145227
809 0.0147210587
831 0.0057053808
851 0.0050301771
866 0.0026660499
876 0.0014114053
899 0.0005613497
930 0.0004142757
942 0.0004069076
956 0.0004018679
957 0.0001828732
958 0.0000804716
975 0.0000670826
983 0.0000243750
1024 0.0000050020
1063 0.0000004642
1104 0.0000039533
evaluations raw_y
1 33.5179001159
3 28.0675232128
8 10.7553292323
30 4.0401879839
175 2.9369669994
786 5.1155560766
evaluations raw_y
1 67.0825208975
2 3.0917304665
58 2.8246198185
164 2.7279892090
252 2.4592143505
802 2.3487294987
804 66.5990164895
evaluations raw_y
1 8.9135896488
5 6.2617877128
185 6.5293310090
188 5.0627838645
261 2.7830210381
599 2.4641843193
798 26.8198039267
evaluations raw_y
1 41.9481577914
3 9.1632286536
32 7.8924465601
50 1.4173137023
786 15.0408047911
evaluations raw_y
1 48.6438164209
2 17.5715706180
6 9.3868703626
37 3.3795136629
207 2.3297395564
1325 1.9159194230
1329 1.8132946604
1339 0.3690041949
1345 0.3509718528
1374 0.2071631512
1385 0.2029459743
1386 0.0502621616
1417 0.0307776385
1433 0.0044771874
1483 0.0034957183
1494 0.0022243455
1549 0.0018726499
1556 0.0016418370
1568 0.0014351753
1575 0.0011955817
1576 0.0001966718
1631 0.0000958814
1640 0.0000628341
1650 0.0001931184
evaluations raw_y
1 58.6826213600
2 16.0898350785
12 11.2645396687
15 8.1264485459
25 4.2874302786
30 2.7243681292
264 2.2942270628
576 1.5304518893
892 1.4363660585
895 1.3033490693
901 1.2660218533
902 0.5823688954
916 0.5393207999
925 0.4436529189
926 0.1523890342
963 0.1352703135
972 0.0892117295
986 0.0786835402
993 0.0448748730
998 0.0057984639
1049 0.0007787309
1112 0.0002400157
1144 0.0002290461
1160 0.0001966118
1168 0.0001717905
1175 0.0000646235
1177 0.0000410622
1200 0.0000272754
1222 0.0000180736
1243 0.0000165376
1246 0.0000062484
1269 0.0000043324
1321 0.0000033081
1325 0.0000020886
1342 0.0000010109
1363 0.0000008976
1365 0.0000008532
1379 0.0000005935
1380 0.0000037787
evaluations raw_y
1 40.6074328961
3 7.9224174952
42 5.5072479580
286 4.9582440347
1110 5.2509984493
evaluations raw_y
1 63.1024666687
2 27.4565758593
3 25.0860344634
7 18.6076171571
22 10.2086295706
29 8.7138510786
44 6.8077726359
46 4.0212104980
157 3.3590982540
337 1.4094244226
786 63.2781814444
evaluations raw_y
1 27.9335570407
2 7.3729455842
71 5.9245642098
165 1.7229798360
1002 5.9951490329
evaluations raw_y
1 18.2301766033
3 5.9107359310
34 5.7222336598
96 0.8868176143
258 0.7121858649
417 0.6338957893
421 0.5526293218
428 0.3850831201
435 0.3292590364
437 0.2645335268
472 0.2387041854
477 0.1139798815
497 0.0583316022
501 0.0399865217
542 0.0192261858
585 0.0173824892
590 0.0095356346
591 0.0066828521
609 0.0035046968
614 0.0029530403
626 0.0028056325
631 0.0020221253
643 0.0016428459
654 0.0010634851
660 0.0010376882
661 0.0004166831
678 0.0002466112
681 0.0001090425
718 0.0000820073
726 0.0000346581
761 0.0000166572
787 0.0000069536
823 0.0000057470
826 0.0000040037
830 0.0000037002
832 0.0000029973
834 0.0000024726
844 0.0000011429
850 0.0000009638
874 0.0000007025
879 0.0000003243
881 0.0000002005
884 0.0000000898
916 0.0000000051
976 0.0000000028
978 0.0000000281
