evaluations raw_y
1 842.5170738587
2 106.9034038397
4 81.6096805229
6 48.9407022935
8 40.6626130625
9 37.0291844356
10 11.7304700330
46 7.3685205719
179 7.2456880866
215 6.6894978994
306 2.7280236962
845 1.3670114459
896 1.3395755712
908 1.0049635279
919 0.9371386695
920 0.8617909020
937 0.6416791809
939 0.3965065050
952 0.2565042225
977 0.1813264654
1000 0.1414822876
1023 0.1246435008
1031 0.1237656523
1036 0.1210252196
1051 0.1210140344
1055 0.1203826085
1063 0.1154085106
1114 0.1149753370
1115 0.1146653254
1122 0.1144963811
1126 0.1142659231
1131 0.1141146824
1135 0.1140875003
1148 0.1140399307
1155 0.1140013230
1214 0.1139992659
1217 0.1139978532
1227 0.1139969181
1262 0.1139966384
1269 0.1139966348
1270 0.1139963408
1272 0.1139962402
1286 0.1139961955
1299 0.1139961813
1305 0.1139961273
1306 0.1139960886
1321 0.1139960791
1327 0.1139960648
1332 0.1139960533
1337 0.1139960515
1344 0.1139960470
1350 0.1139960428
1376 0.1139960425
1382 0.1139960408
1387 0.1139960404
1393 0.1139960403
1412 0.1139960398
1414 0.1139960388
1424 0.1139960385
1493 0.1139960385
1496 0.1139960385
1503 0.1139960385
1523 0.1139960384
1528 0.1139960384
1551 0.1139960384
1552 0.1139960384
1559 0.1139960384
1567 0.1139960384
1571 0.1139960384
1587 0.1139960384
1609 0.1139960384
1610 0.1139960384
1614 0.1139960384
1633 0.1139960384
1649 0.1139960384
1666 0.1139960384
1694 0.1139960384
evaluations raw_y
1 89.5103322328
2 71.0033657000
3 41.3630341222
7 18.2282341019
21 15.3168411364
65 7.9231365491
219 7.2322077781
511 6.9260211861
607 6.8220514432
656 6.6563250973
776 5.9181840076
798 5.1491129763
1155 4.2121401817
2912 6.4198357689
evaluations raw_y
1 30.2490282619
16 28.9794569623
19 26.4730053102
62 15.2209945623
91 12.9692391697
1120 13.3330804329
evaluations raw_y
1 472.4564331242
2 87.1588585877
4 77.8726457832
5 71.7824492304
8 70.7952716844
11 38.4755201734
16 34.4469132135
17 28.8246116883
25 28.4882533838
41 24.9769117818
53 20.0997675948
67 19.5198340189
72 13.6870596097
88 12.4962936767
122 5.9262900495
1337 8.0771218704
evaluations raw_y
1 76.0194683994
4 40.8648531507
20 31.4605710327
41 20.0203018549
57 10.2062180738
143 10.1359883784
183 9.7132211783
267 5.3456566100
1372 6.7782000656
evaluations raw_y
1 62.2214522008
2 57.8947561462
9 44.5150695541
12 40.8789756055
29 24.3043947222
54 17.2748142227
91 5.8551959850
960 4.7448687642
2338 4.8934891692
evaluations raw_y
1 593.0830610092
6 59.3406046270
8 32.5555860319
28 26.9474757630
31 26.6517032855
48 25.2571576377
60 15.8218106918
74 11.0735839557
88 8.9329211919
785 7.9531642795
885 7.2725552963
1932 7.9055520400
evaluations raw_y
1 110.5911272164
4 52.9479886783
8 52.8829100455
9 45.7745934013
15 39.8200746734
23 28.5596903055
85 24.9468795311
158 20.3327284372
181 12.7857996300
249 8.8984648155
302 8.8513692260
303 6.9970048889
406 6.4537862970
665 5.3581566881
666 4.6035246212
718 4.5466002248
728 4.0965240723
764 4.0431668533
768 4.0022012521
813 3.9946968442
814 3.9946710245
826 3.9905896974
831 3.9897072858
840 3.9842413082
846 3.9833047405
852 3.9809991365
901 3.9805525194
918 3.9804934544
926 3.9804692427
959 3.9804578043
960 3.9804488537
964 3.9803289217
975 3.9803270550
987 3.9803235512
992 3.9803195743
999 3.9803187680
1005 3.9803176410
1017 3.9803173753
1020 3.9803162820
1021 3.9803155185
1035 3.9803145994
1042 3.9803140540
1085 3.9803140491
1088 3.9803140022
1149 3.9803140013
1164 3.9803140001
1165 3.9803139992
1184 3.9803139983
1193 3.9803139981
1195 3.9803139981
1227 3.9803139981
1229 3.9803139979
1243 3.9803139979
1246 3.9803139979
1261 3.9803139979
1262 3.9803139979
1275 3.9803139979
1291 3.9803139979
1294 3.9803139979
1306 3.9803139979
1309 3.9803139979
1310 3.9803139979
1331 3.9803139979
1362 3.9803139979
1414 3.9803139979
evaluations raw_y
1 32831.8080784426
2 106.5477249806
3 63.3070402768
6 51.3020235843
8 46.2834882853
15 36.5273212873
19 35.5018917822
34 19.1654130033
70 13.6685816241
118 11.9520473779
131 10.9666763070
151 9.0447249034
211 8.8136160778
239 8.0141852504
315 7.3223112513
506 5.5833110467
525 5.2322669239
594 4.2923463316
635 4.2528057659
652 4.2450097521
684 4.2319890206
699 4.2149414596
704 4.2106013490
739 4.2026804499
750 4.2023879798
753 4.2005237278
774 4.1985777647
788 4.1942031753
799 4.1934466489
839 4.1932802060
846 4.1928281454
860 4.1927292379
891 4.1926840121
898 4.1925632224
907 4.1923686734
931 4.1923595371
969 4.1923568409
984 4.1923566058
1044 4.1923565752
1053 4.1923565629
1063 4.1923565477
1082 4.1923565450
1087 4.1923565425
1124 4.1923565425
1150 4.1923565416
1165 4.1923565416
1166 4.1923565415
1175 4.1923565415
1176 4.1923565415
1190 4.1923565415
1247 4.1923565415
1261 4.1923565415
1284 4.1923565415
1285 4.1923565415
1297 4.1923565415
1304 4.1923565415
1379 4.1923565415
evaluations raw_y
1 48.6408790208
2 46.2910578506
5 41.3938315408
8 20.7644492264
20 12.8194024482
46 10.5734635517
142 9.3740032609
235 7.0407997053
2009 7.1209789964
evaluations raw_y
1 6257.6218035062
2 76.7029671280
3 65.5191034041
6 33.4702321159
28 14.3014599063
231 13.0022461069
235 12.9375082455
244 12.6841491257
250 9.2478448514
349 8.7940463130
461 8.4630312388
1638 8.5121330129
evaluations raw_y
1 53.6442692520
9 44.7715540550
22 33.0921854572
40 24.5242081874
66 24.1730094409
68 17.0284912634
102 8.5891563382
258 8.0898529181
341 7.3314435731
405 6.6201512625
686 6.5512296554
688 6.4793744302
694 6.4576180526
704 6.1865337248
716 5.6661037850
754 5.6046742389
781 5.4801125437
788 5.4418399681
805 5.3594349040
821 5.3053571361
827 5.2845011381
835 5.2657422251
837 5.2276531500
847 5.2161626062
852 5.2118133653
855 5.1137482954
864 5.0684969510
879 4.9967123142
887 4.9427670091
901 4.9215610405
912 4.9169871615
942 4.8907553419
976 4.8902619871
1001 4.8886832672
1020 4.8885510449
1040 4.8885365515
1045 4.8884111108
1052 4.8882181017
1061 4.8881968936
1063 4.8881808492
1069 4.8881361342
1077 4.8881281782
1109 4.8881280840
1122 4.8881277289
1134 4.8881274020
1138 4.8881263440
1149 4.8881258922
1178 4.8881256103
1200 4.8881253386
1224 4.8881252918
1236 4.8881252855
1238 4.8881252785
1239 4.8881252444
1249 4.8881252430
1257 4.8881252375
1264 4.8881252346
1276 4.8881252275
1304 4.8881252275
1321 4.8881252274
1332 4.8881252273
1339 4.8881252272
1354 4.8881252272
1355 4.8881252272
1367 4.8881252271
1387 4.8881252271
1390 4.8881252271
1404 4.8881252271
1410 4.8881252271
1411 4.8881252271
1429 4.8881252271
1438 4.8881252271
1459 4.8881252271
1468 4.8881252271
1471 4.8881252271
1486 4.8881252271
1513 4.8881252271
1561 4.8881252271
1568 4.8881252271
evaluations raw_y
1 69.6026809427
2 54.6580497972
