evaluations raw_y
1 73466889.5180744082
2 37178812.8128842264
3 21421642.1386214048
7 12223164.2833826710
8 321584.7185297963
19 92938.3828545395
68 66891.1994745790
71 44923.0004130752
123 42099.4025070635
124 38506.4571134914
194 31665.4113375645
205 25077.3454059328
213 17962.2210410221
219 9309.0129945325
234 6937.8889294778
257 6315.1766507444
268 5136.5752624794
269 1825.0587409875
272 831.9893436012
295 821.3312881516
305 416.8161587443
317 356.1973845591
337 334.1810185633
348 302.5908197281
364 296.9537490824
365 296.4529306613
394 291.9845181791
423 291.0237528561
463 290.3385866139
555 290.2838010800
594 290.2825787940
597 290.1818026223
601 290.1522079234
605 290.1376149958
618 290.0376035157
622 289.9672258493
625 289.8957962763
639 289.6956789996
641 289.6778980800
645 289.4448274967
654 289.1778192881
658 289.1123303477
662 288.9923423857
669 288.3831525696
676 288.2484994873
677 287.7553931200
686 287.0221776846
696 286.7916372203
701 286.4242584483
705 285.2230018897
710 284.1892062634
721 282.4106175634
731 281.7635648394
752 281.3225360789
762 281.2957925217
764 280.6669656494
768 280.2008589765
775 279.1959850708
784 277.5547691846
800 277.5115334416
803 276.5091595502
809 275.3889392777
814 273.4227993687
822 273.0252978928
824 270.2767271563
827 264.3318279238
831 262.4618552141
835 227.7246243909
837 201.6337224861
844 141.9239064325
854 135.4808787700
856 122.5437134709
873 98.3907609408
880 83.7853500362
884 33.5431066581
914 27.0578629241
918 21.9167280230
930 9.0166750227
949 3.3524200797
950 3.1483171770
968 2.7858872392
980 1.6889530013
990 0.5757289167
1001 0.1076987001
1085 0.0811130737
1086 0.0800513042
1093 0.0576315156
1095 0.0177476196
1110 0.0176751292
1122 0.0134446280
1140 0.0066618450
1148 0.0053164414
1159 0.0046346812
1161 0.0030453094
1162 0.0027430638
1165 0.0022198822
1172 0.0012881928
1177 0.0003882147
1201 0.0003008465
1209 0.0002857048
1211 0.0001839017
1227 0.0000946520
1235 0.0000616863
1255 0.0000567961
1258 0.0000106664
1266 0.0000096948
1269 0.0000025507
1292 0.0000015924
1308 0.0000007366
1316 0.0000006001
1326 0.0000003127
1343 0.0000002096
1348 0.0000001244
1362 0.0000000699
1366 0.0000000283
1393 0.0000000237
1398 0.0000000069
1422 0.0000000049
1423 0.0000000003
1469 0.0000000001
1487 0.0000000001
1494 0.0000000000
1505 0.0000000000
1542 0.0000000000
1548 0.0000000000
1556 0.0000000000
1557 0.0000000000
1575 0.0000000000
1602 0.0000000000
1613 0.0000000000
1615 0.0000000000
1627 0.0000000000
1688 0.0000000000
1743 0.0000000000
evaluations raw_y
1 1605254.8923154087
2 370071.1505769182
6 216946.8997115953
14 6133.3496440737
35 5672.9366415169
212 522.6113107790
224 199.1545398835
241 86.8699475736
284 77.0057905703
329 54.7092979651
339 53.7703057669
345 46.5088612290
359 46.3494229864
428 45.7856552059
449 45.5631419753
455 45.1912652115
457 44.4008836275
473 44.3632690164
480 44.2959909962
481 44.1441732695
487 44.1255777205
493 43.8344159315
