evaluations raw_y
1 116.4064989848
7 106.6451274443
8 98.6900699325
20 92.8888736987
22 51.3366573970
43 46.5492926597
55 24.3437213406
114 20.9513286139
352 18.2865048479
392 8.3867441861
477 7.6901595470
521 7.0882376755
678 6.9346663699
696 6.8012529964
703 6.7644019733
706 6.7262095736
716 6.6380427320
750 6.6184145424
751 6.5844029318
754 6.2787155908
770 6.1461792165
788 6.0661232929
803 6.0179178822
826 6.0060965151
857 6.0048556952
858 5.9891398949
873 5.9884497558
890 5.9756838369
920 5.9743301166
923 5.9734948666
925 5.9733752539
929 5.9726924731
953 5.9710392928
956 5.9709361643
966 5.9705096992
999 5.9701256585
1009 5.9701001826
1021 5.9699573173
1025 5.9699322484
1034 5.9698212805
1051 5.9698018631
1053 5.9697997303
1059 5.9697887733
1060 5.9697726411
1094 5.9697641494
1098 5.9697537996
1143 5.9697531596
1161 5.9697509370
1163 5.9697506797
1188 5.9697506211
1194 5.9697500016
1224 5.9697498466
1226 5.9697494608
1242 5.9697494211
1274 5.9697493921
1286 5.9697493644
1287 5.9697493309
1325 5.9697493295
1334 5.9697493287
1336 5.9697493151
1344 5.9697493094
1353 5.9697493079
1433 5.9697493069
1442 5.9697493056
1492 5.9697493053
1495 5.9697493053
1527 5.9697493053
1530 5.9697493050
1532 5.9697493050
1537 5.9697493049
1557 5.9697493048
1576 5.9697493048
1615 5.9697493048
1619 5.9697493048
1627 5.9697493048
1632 5.9697493048
1637 5.9697493048
1654 5.9697493048
1659 5.9697493048
1666 5.9697493047
1667 5.9697493047
1677 5.9697493047
1680 5.9697493047
1696 5.9697493047
1714 5.9697493047
1721 5.9697493047
1743 5.9697493047
1786 5.9697493047
1799 5.9697493047
1839 5.9697493047
1843 5.9697493047
1880 5.9697493047
evaluations raw_y
1 1005.5613105927
8 547.8573590804
9 293.3357275496
11 139.1350539491
18 118.9222673818
21 73.4181116596
90 73.0532021869
104 30.4090072003
169 18.9387149842
258 13.3395222875
352 10.9140522967
467 8.9587081728
479 3.6728015592
553 2.9387467608
586 2.7026554683
591 1.4083895686
595 1.2078041027
648 1.1947704473
649 1.0860552197
651 1.0604192561
719 1.0149493975
767 1.0115713881
775 1.0115652054
781 1.0015452913
820 0.9982799728
836 0.9969433953
840 0.9960776867
854 0.9956898295
857 0.9955393239
867 0.9955169261
888 0.9954448797
903 0.9952722767
906 0.9950664470
947 0.9950492120
958 0.9950410762
964 0.9950322886
967 0.9950135634
972 0.9950049396
985 0.9949893306
999 0.9949866203
1014 0.9949738839
1026 0.9949722877
1034 0.9949703875
1037 0.9949658097
1047 0.9949657001
1059 0.9949630377
1064 0.9949627170
1067 0.9949608756
1072 0.9949607669
1073 0.9949596356
1124 0.9949594469
1137 0.9949593604
1145 0.9949591253
1202 0.9949591090
1211 0.9949591087
1213 0.9949590836
1225 0.9949590740
1254 0.9949590660
1257 0.9949590590
1312 0.9949590588
1324 0.9949590577
1357 0.9949590572
1382 0.9949590572
1428 0.9949590571
1456 0.9949590571
1474 0.9949590571
1475 0.9949590571
1490 0.9949590571
1517 0.9949590571
1565 0.9949590571
1568 0.9949590571
1576 0.9949590571
1582 0.9949590571
1598 0.9949590571
1606 0.9949590571
1608 0.9949590571
1614 0.9949590571
1641 0.9949590571
1648 0.9949590571
1697 0.9949590571
1744 0.9949590571
evaluations raw_y
1 300.8392764544
2 131.7842662374
4 130.6961000244
10 104.7461094834
15 93.0939876739
25 72.3617786617
29 53.7728246611
49 21.6189132014
230 21.3831651507
241 14.8839462372
564 14.0283290146
577 12.2264512731
606 11.9706159119
611 11.8837046791
612 7.7845881155
614 6.1579497526
673 6.1113800115
715 6.0802319102
717 6.0775359737
731 6.0559385196
743 6.0079018896
763 6.0064207207
772 6.0049313961
787 5.9865429026
826 5.9831345743
833 5.9802075353
845 5.9723439000
873 5.9721317194
876 5.9720238943
902 5.9709373119
904 5.9708486008
922 5.9706605248
928 5.9706127653
931 5.9701036672
948 5.9700318740
962 5.9700052158
977 5.9699903857
978 5.9699473191
980 5.9698482522
986 5.9698150155
997 5.9697781950
1009 5.9697732882
1025 5.9697716986
1030 5.9697703388
1043 5.9697657998
1044 5.9697638921
1053 5.9697624988
1059 5.9697509407
1109 5.9697495635
1190 5.9697494034
1241 5.9697493917
1244 5.9697493741
1258 5.9697493214
1288 5.9697493145
1300 5.9697493144
1304 5.9697493127
1314 5.9697493085
1336 5.9697493063
1359 5.9697493060
1381 5.9697493052
1419 5.9697493050
1437 5.9697493050
1443 5.9697493049
1454 5.9697493049
1457 5.9697493049
1465 5.9697493049
1475 5.9697493048
1490 5.9697493048
1498 5.9697493048
1501 5.9697493048
1546 5.9697493047
1563 5.9697493047
1569 5.9697493047
1604 5.9697493047
1619 5.9697493047
1645 5.9697493047
1671 5.9697493047
1694 5.9697493047
1698 5.9697493047
1710 5.9697493047
1721 5.9697493047
1744 5.9697493047
1750 5.9697493047
1772 5.9697493047
1824 5.9697493047
evaluations raw_y
1 176.5602457730
4 167.8445479992
9 131.5593724364
19 104.1929117133
34 103.3898919881
37 93.3913643044
60 59.8243121589
83 52.8195403829
112 47.0126090855
116 31.8819418457
125 30.8898849628
175 30.3611560119
184 18.6619214682
425 17.4839079023
508 14.2321008065
640 13.2864012411
671 10.1981297210
767 8.6303287477
793 8.5625393818
809 8.1203288217
831 7.9684810261
842 7.9065036749
848 7.8454392613
849 7.8162888218
851 7.6577575985
871 7.6027690380
890 7.5715645880
911 7.5187669995
921 7.5079740895
922 7.4789425974
927 7.4395229477
928 7.4092100787
933 7.3228768310
944 7.2735445395
964 7.2355989437
978 7.2041883185
991 7.2003187479
997 7.1609856661
1004 7.1259445757
1013 7.1116146430
1017 7.0514643463
1050 7.0466413032
1059 7.0281290774
1072 6.9867974512
1078 6.9781600895
1113 6.9760981080
1123 6.9727263458
1153 6.9692788686
1164 6.9682234820
1170 6.9678967998
1173 6.9673873726
1183 6.9671906120
1187 6.9659411934
1193 6.9656936667
1222 6.9651628860
1241 6.9649787957
1249 6.9647678857
1274 6.9647403839
1348 6.9647251800
1381 6.9647248515
1382 6.9647243399
1386 6.9647237326
1387 6.9647209798
1389 6.9647177319
1404 6.9647146668
1410 6.9647109859
1468 6.9647106354
1471 6.9647098522
1473 6.9647091467
1479 6.9647088245
1481 6.9647087122
1514 6.9647086465
1539 6.9647085622
1548 6.9647085109
1549 6.9647083910
