evaluations raw_y
1 488.6860009346
28 404.6852300536
29 395.1755856493
35 328.7471978420
41 300.0425686029
51 281.7474811883
61 200.3071042688
112 199.8259018830
145 193.3759224666
149 189.3507595625
153 171.2373667184
156 147.9008033536
197 145.3382486937
200 143.6652648292
236 128.1072522395
238 119.6009335590
251 113.3507205620
297 107.1708684981
307 105.9125612637
345 97.9059192378
397 80.8768643449
923 78.8705132398
989 72.5099128714
1060 71.6663942634
1149 66.0678069086
1202 61.1927536258
1215 60.9818132347
1235 57.8999488397
1275 55.6125769765
1331 55.4316007854
1381 54.1660940061
1450 54.1048322880
1452 53.1961547408
1507 53.0980009037
1546 52.9644275898
1583 52.9289190754
1596 52.8336943107
1625 52.8283620781
1650 52.8262625386
1659 52.8139991395
1667 52.8083870684
1672 52.7960001260
1676 52.7822467081
1686 52.7651046673
1708 52.7460621138
1761 52.7442529013
1801 52.7438598463
1807 52.7429146409
1814 52.7371061286
1882 52.7357522613
1905 52.7355568954
1926 52.7355136214
1947 52.7348970678
1965 52.7346063175
1979 52.7339742592
2012 52.7338909052
2013 52.7337305410
2019 52.7330062333
2057 52.7329328493
2078 52.7328736987
2112 52.7328258720
2123 52.7328030589
2143 52.7327272835
2153 52.7326711963
2156 52.7326549168
2181 52.7326297850
2211 52.7326163377
2243 52.7326118802
2248 52.7326044249
2264 52.7326038737
2277 52.7325988009
2299 52.7325982238
2318 52.7325982172
2330 52.7325966614
2368 52.7325960368
2373 52.7325954152
2375 52.7325937901
2407 52.7325919760
2412 52.7325915797
2415 52.7325903157
2421 52.7325900589
2427 52.7325894313
2430 52.7325891504
2461 52.7325890964
2482 52.7325889982
2483 52.7325880290
2530 52.7325878292
2555 52.7325877213
2575 52.7325876462
2593 52.7325875904
2616 52.7325875631
2638 52.7325874907
2656 52.7325874894
2674 52.7325874813
2733 52.7325874811
2743 52.7325874632
2751 52.7325874566
2768 52.7325874557
2781 52.7325874549
2788 52.7325874481
2816 52.7325874445
2822 52.7325874444
2837 52.7325874436
2840 52.7325874404
2887 52.7325874374
2930 52.7325874367
2933 52.7325874365
2982 52.7325874364
3047 52.7325874363
3058 52.7325874363
3066 52.7325874363
3072 52.7325874361
3086 52.7325874360
3105 52.7325874360
3113 52.7325874360
3125 52.7325874360
3136 52.7325874360
3161 52.7325874360
3168 52.7325874359
3176 52.7325874359
3186 52.7325874359
3193 52.7325874359
3194 52.7325874359
3222 52.7325874359
3232 52.7325874359
3243 52.7325874359
3248 52.7325874359
3251 52.7325874359
3282 52.7325874359
3311 52.7325874359
3337 52.7325874359
3340 52.7325874359
3346 52.7325874359
3351 52.7325874359
3355 52.7325874359
3370 52.7325874359
3371 52.7325874359
3401 52.7325874359
3421 52.7325874359
3464 52.7325874359
3472 52.7325874359
3511 52.7325874359
3598 52.7325874359
3607 52.7325874359
3611 52.7325874359
3670 52.7325874359
evaluations raw_y
1 889.3879313339
18 665.9161692648
36 558.5815897350
57 491.4344143946
66 353.0767130190
141 307.6607538870
169 306.2888723987
187 272.2854034009
201 261.9770794686
217 239.1529189543
231 218.4519171465
237 185.0341394276
261 180.5658979295
305 174.2580223633
313 147.2754794317
346 142.3121559602
370 134.5113808481
454 134.3488789939
455 118.7648571065
467 104.0792980727
524 102.3672485123
555 100.3742287244
559 81.4049790711
684 78.8270523390
783 72.1389156238
791 70.7346256075
885 66.3662113679
953 66.1729225876
1025 44.9145948516
1184 42.0230483069
1197 33.4789135483
1204 33.1645462510
1233 31.6092481206
1236 27.6423671382
1274 26.3504402466
1275 23.5707356607
1284 22.2893206224
1309 22.2433307102
1317 21.4582177031
1328 20.1978550487
1374 20.1123791982
1386 19.9500265693
1411 19.7941123364
1420 19.1222590103
1425 18.8662991849
1431 18.1393025872
1434 18.1153496475
1437 17.3524878015
1452 16.6077708966
1481 16.5492337804
1492 15.9547784769
1498 15.6691151988
1499 15.6234741338
1509 15.2685382350
1520 15.2271607259
1523 14.6161063899
1538 14.0719853784
1594 13.8427298352
1609 13.5094654863
1620 13.3716208396
1622 13.2775484231
1625 12.6972409627
1653 12.6890354308
1654 12.6884907589
1662 12.4599730498
1676 12.3777140284
1690 12.1062978477
1754 12.0491187613
1765 12.0426083932
1819 11.9961239212
1855 11.9665542785
1931 11.9528861700
1964 11.9489977177
1992 11.9438770739
2029 11.9434053366
2052 11.9423117426
2080 11.9420755105
2081 11.9419277914
2085 11.9418804234
2107 11.9408650445
2131 11.9406406729
2133 11.9405353136
2145 11.9401874657
2153 11.9396985571
2239 11.9396240924
2256 11.9395723211
2299 11.9395513219
2330 11.9395363276
2355 11.9395320027
2383 11.9395229319
2405 11.9395149979
2421 11.9395110324
2437 11.9395055980
2495 11.9395034063
2516 11.9395020558
2523 11.9395010366
2577 11.9395003799
2591 11.9394996458
2641 11.9394995944
2642 11.9394995120
2656 11.9394993760
2657 11.9394992700
2674 11.9394992327
2678 11.9394988703
2713 11.9394987788
2741 11.9394987657
2804 11.9394987582
2821 11.9394987120
2826 11.9394987099
2835 11.9394987084
2838 11.9394987069
2843 11.9394986863
2846 11.9394986668
2870 11.9394986550
2875 11.9394986526
2880 11.9394986519
2881 11.9394986432
2926 11.9394986198
3005 11.9394986197
3008 11.9394986193
3012 11.9394986192
3021 11.9394986168
3047 11.9394986161
3051 11.9394986157
3054 11.9394986153
3057 11.9394986143
3059 11.9394986143
3078 11.9394986117
3113 11.9394986113
3149 11.9394986113
3150 11.9394986107
3161 11.9394986099
3224 11.9394986099
3236 11.9394986099
3249 11.9394986097
3254 11.9394986097
3258 11.9394986096
3265 11.9394986095
3381 11.9394986095
3386 11.9394986095
3407 11.9394986095
3423 11.9394986095
3431 11.9394986095
3443 11.9394986095
3453 11.9394986095
3460 11.9394986095
3466 11.9394986095
3494 11.9394986095
3504 11.9394986095
3602 11.9394986095
3632 11.9394986095
3702 11.9394986095
3727 11.9394986095
3741 11.9394986095
3766 11.9394986095
3775 11.9394986095
3782 11.9394986095
3785 11.9394986095
3795 11.9394986095
3796 11.9394986095
3804 11.9394986095
3894 11.9394986095
3899 11.9394986095
3936 11.9394986095
3943 11.9394986095
4100 11.9394986095
evaluations raw_y
1 661.6866427587
8 482.5238981228
20 435.5262493608
26 421.7508633523
33 302.7257564509
44 300.1852531009
47 285.0486806862
49 279.2391953568
105 201.9263550650
115 145.8729604216
143 134.3596787039
199 104.2430483967
217 99.4266597250
218 78.0991217021
506 63.1020834047
721 39.4317003688
880 33.9030263952
939 27.1400829855
944 26.8818534595
1021 24.7333333336
1033 22.2396579515
1049 22.1518185774
1060 18.2922494264
1139 17.5786580449
1181 17.0846095153
1196 15.9548723135
1233 15.5090148002
1238 14.5810144025
1286 14.5168637994
1346 14.4625362548
1351 14.2618015418
1379 14.2558925906
1392 14.1698451686
1433 14.1360744061
1437 14.1142784401
1452 14.1009065250
1492 14.0948310791
1498 14.0844790202
1506 14.0753321755
1514 14.0656059307
1523 14.0372677016
1524 14.0293496011
1526 14.0162682677
1555 14.0108245475
1575 14.0000128218
1579 13.9953185573
1584 13.9824168875
1601 13.9687921022
1603 13.9612490339
1676 13.9513145755
1686 13.9475657744
1689 13.9459974923
1692 13.9408555471
1741 13.9369853856
1769 13.9369479899
1779 13.9364146476
1784 13.9347571008
1787 13.9347285108
1799 13.9336043427
1806 13.9330938007
1814 13.9329892001
1815 13.9324401442
1868 13.9321963852
1905 13.9313248904
1941 13.9303807356
1992 13.9302781639
2005 13.9301596753
2007 13.9301245380
2010 13.9300871253
2018 13.9298772514
2025 13.9297781665
2035 13.9296478033
2081 13.9295876197
2093 13.9295091076
2192 13.9294779431
2203 13.9294643813
2237 13.9294495003
2239 13.9294326713
2321 13.9294284128
2344 13.9294271265
2345 13.9294253795
2366 13.9294238376
2372 13.9294233481
2383 13.9294232777
2394 13.9294219451
2397 13.9294211198
2406 13.9294189260
2431 13.9294187794
2443 13.9294181190
2454 13.9294175302
2492 13.9294173959
2531 13.9294173730
2557 13.9294173388
2562 13.9294172830
2563 13.9294172038
2572 13.9294171627
2576 13.9294171029
2577 13.9294170582
2595 13.9294170347
2620 13.9294169823
2623 13.9294169638
2647 13.9294168201
2656 13.9294168168
2705 13.9294168015
2734 13.9294167927
2741 13.9294167674
2751 13.9294167633
2772 13.9294167554
2788 13.9294167510
2798 13.9294167454
2810 13.9294167394
2813 13.9294167353
2843 13.9294167322
2880 13.9294167317
2886 13.9294167312
2893 13.9294167276
2926 13.9294167275
2928 13.9294167272
2948 13.9294167264
2954 13.9294167252
2974 13.9294167250
2981 13.9294167246
3013 13.9294167245
3024 13.9294167244
3041 13.9294167242
3051 13.9294167241
3054 13.9294167239
3085 13.9294167239
3109 13.9294167238
3113 13.9294167238
3161 13.9294167238
3162 13.9294167237
3174 13.9294167237
3176 13.9294167237
3224 13.9294167237
3258 13.9294167237
3280 13.9294167237
3331 13.9294167237
3337 13.9294167237
3395 13.9294167237
3413 13.9294167237
3421 13.9294167237
3423 13.9294167237
3439 13.9294167237
3452 13.9294167237
3464 13.9294167237
3472 13.9294167237
3476 13.9294167237
3571 13.9294167237
3575 13.9294167237
3602 13.9294167237
3631 13.9294167237
3651 13.9294167237
3702 13.9294167237
3723 13.9294167237
3737 13.9294167237
3890 13.9294167237
evaluations raw_y
1 680.2873660094
26 626.5509508301
33 597.6915471513
37 473.8607500784
44 318.8425083719
51 263.2727823826
81 237.7027584812
91 227.2066315672
142 226.8188589573
151 225.4966339208
170 200.1754232823
175 162.6294513689
201 131.4579363875
262 116.0960435615
291 112.9911876424
295 104.8240140670
307 63.6668185147
522 61.6670131597
682 58.3729817144
769 51.3676834648
967 49.9332585413
976 48.4315548894
989 42.6737811780
999 42.0931593385
1009 40.8027403127
1020 36.8147258349
1030 35.8230267285
1038 30.0094394583
1077 27.0184332124
1080 26.6271045247
1103 24.8291543666
1175 22.4000031735
1188 20.2847189460
1230 19.9398694635
1232 19.5109362349
1242 19.5042250006
1250 18.6401528856
1273 18.4043122151
1284 18.2854157734
1300 18.1620296275
1301 17.6375192476
1334 17.4381610902
1361 17.3767795153
1432 17.1394213831
1433 17.1309591336
1459 17.1107256354
1492 17.1025869027
1494 17.0895092962
1501 17.0769125148
1502 17.0038681631
1514 16.9968336212
1524 16.9688763369
1528 16.9683387390
1555 16.9483673428
1579 16.9411681913
1609 16.9347997303
1620 16.9281022707
1627 16.9248008235
1644 16.9219134871
1676 16.9203209155
1689 16.9187479692
1697 16.9185553097
1708 16.9171618398
1741 16.9169145692
1762 16.9168839674
1779 16.9165938544
1785 16.9160506163
1800 16.9160292907
1820 16.9158602597
1822 16.9154145813
1834 16.9154125056
1840 16.9153806984
1841 16.9152809796
1849 16.9149706071
1855 16.9149150926
1891 16.9148753914
1898 16.9148651997
1901 16.9148651593
1905 16.9147677284
1909 16.9145729255
1993 16.9145508852
2002 16.9144367112
2019 16.9144033069
2033 16.9144004253
2034 16.9143903251
2052 16.9143335735
2112 16.9143333474
2122 16.9143185463
2156 16.9143103397
2171 16.9142972407
2211 16.9142956814
2256 16.9142948757
2269 16.9142934055
2270 16.9142930283
2277 16.9142903275
2347 16.9142902339
2384 16.9142895844
2392 16.9142891397
2454 16.9142890980
2482 16.9142890723
2483 16.9142889369
2544 16.9142889106
2584 16.9142889085
2594 16.9142888925
2611 16.9142888836
2620 16.9142888711
2682 16.9142888692
2694 16.9142888661
2735 16.9142888652
2741 16.9142888619
2764 16.9142888604
2788 16.9142888601
2793 16.9142888595
2804 16.9142888585
2840 16.9142888583
2864 16.9142888580
2872 16.9142888580
2885 16.9142888579
2886 16.9142888579
2887 16.9142888577
2901 16.9142888575
2926 16.9142888575
2930 16.9142888573
2949 16.9142888573
2953 16.9142888573
2974 16.9142888572
2975 16.9142888572
3001 16.9142888572
3012 16.9142888572
3053 16.9142888572
3083 16.9142888572
3099 16.9142888572
3101 16.9142888572
