evaluations raw_y
1 11.0091734849
12 4.1328390127
15 3.9635206371
17 2.6511686301
32 0.0000000000
56 0.0000000000
evaluations raw_y
1 123.6325732304
2 73.3810922426
8 47.1261858711
16 32.1749239999
18 21.8165308082
23 4.1985131498
24 2.3950679722
27 2.1157905419
31 1.7305000224
36 1.2543723447
40 0.0000000000
56 0.0000000000
evaluations raw_y
1 97.4659908672
2 33.6627439351
10 21.1512390196
15 17.9483465284
16 13.0094552450
19 12.7345079690
24 7.6139954476
25 6.5475995755
30 4.8632701701
32 4.6007892595
37 1.6696969545
40 0.0000000000
77 0.0000000000
evaluations raw_y
1 123.6325732304
2 73.3810922426
8 47.1261858711
16 32.1749239999
18 21.8165308082
23 4.1985131498
24 2.3950679722
27 2.1157905419
31 1.7305000224
36 1.2543723447
40 0.0000000000
56 0.0000000000
evaluations raw_y
1 113.7434049096
5 100.9638114392
6 88.8156937526
11 45.5117772175
17 16.5912043516
26 9.2705734114
30 6.3950078255
41 5.5164079459
43 4.9501077248
45 0.0000000000
77 0.0000000000
evaluations raw_y
1 86.4509275379
2 52.0153136479
3 21.5922426433
18 14.2855695882
24 13.5720224113
25 6.5054387613
35 5.9989373509
36 1.1509690182
46 0.2415700339
48 0.0000000000
63 0.0000000000
evaluations raw_y
1 11.0091734849
12 4.1328390127
15 3.9635206371
17 2.6511686301
32 0.0000000000
56 0.0000000000
evaluations raw_y
1 113.7434049096
5 100.9638114392
6 88.8156937526
11 45.5117772175
17 16.5912043516
26 9.2705734114
30 6.3950078255
41 5.5164079459
43 4.9501077248
45 0.0000000000
77 0.0000000000
evaluations raw_y
1 77.1586342476
9 76.6287460748
16 72.6112443291
19 67.3774865718
21 55.9165335683
22 55.6042296436
25 46.9220166176
30 42.9234832144
31 35.3579462404
34 35.0052654330
35 27.1160901619
39 26.4751190725
43 24.5897625705
52 21.2893259855
55 17.0123139489
62 15.6536774566
65 10.0111048488
68 4.2968563448
71 0.0000000000
91 0.0000000000
evaluations raw_y
1 97.4659908672
2 33.6627439351
10 21.1512390196
15 17.9483465284
16 13.0094552450
19 12.7345079690
24 7.6139954476
25 6.5475995755
30 4.8632701701
32 4.6007892595
37 1.6696969545
40 0.0000000000
77 0.0000000000
evaluations raw_y
1 57.4410500454
3 51.3496613551
5 37.2030636713
11 14.3401259534
16 2.4363944517
25 0.0484660573
33 0.0000000000
49 7.2026434297
evaluations raw_y
1 57.4410500454
3 51.3496613551
5 37.2030636713
11 14.3401259534
16 2.4363944517
25 0.0484660573
33 0.0000000000
49 7.2026434297
evaluations raw_y
1 97.4659908672
2 33.6627439351
10 21.1512390196
15 17.9483465284
16 13.0094552450
19 12.7345079690
24 7.6139954476
25 6.5475995755
30 4.8632701701
32 4.6007892595
37 1.6696969545
40 0.0000000000
77 0.0000000000
evaluations raw_y
1 123.6325732304
2 73.3810922426
8 47.1261858711
16 32.1749239999
18 21.8165308082
23 4.1985131498
24 2.3950679722
27 2.1157905419
31 1.7305000224
36 1.2543723447
40 0.0000000000
56 0.0000000000
evaluations raw_y
1 86.4509275379
2 52.0153136479
3 21.5922426433
18 14.2855695882
24 13.5720224113
25 6.5054387613
35 5.9989373509
36 1.1509690182
46 0.2415700339
48 0.0000000000
63 0.0000000000
