evaluations raw_y
1 8046.1055044352
14 3606.1945620349
16 76.5940786979
24 35.7339100881
32 22.6174866737
42 5.5818685371
92 4.6683938039
103 2.7616054755
106 2.5331394440
137 0.7450282559
183 0.7227343334
198 0.6926823330
201 0.4099068315
203 0.3395390377
246 0.3360021872
247 0.2471236910
251 0.1809680087
253 0.1550504741
262 0.1496328689
271 0.1367972831
274 0.1321781520
277 0.0791591415
289 0.0416463255
304 0.0391184152
314 0.0225736579
320 0.0141744903
332 0.0033001284
384 0.0025370919
386 0.0014821965
393 0.0007045431
419 0.0002424647
476 0.0001635290
477 0.0001611898
489 0.0001093416
495 0.0000614091
506 0.0000316721
568 0.0000297714
572 0.0000283811
576 0.0000181550
584 0.0000134647
590 0.0000035806
638 0.0000031279
697 0.0000018243
750 0.0000017272
752 0.0000010997
766 0.0000009828
791 0.0000008936
806 0.0000008223
813 0.0000002441
905 0.0000001863
928 0.0000001244
935 0.0000000988
939 0.0000000896
949 0.0000000824
959 0.0000000768
960 0.0000000506
967 0.0000000505
973 0.0000000341
975 0.0000000212
978 0.0000000190
985 0.0000000181
1008 0.0000000142
1011 0.0000000110
1013 0.0000000105
1017 0.0000000098
1019 0.0000000043
1028 0.0000000024
1083 0.0000000004
1123 0.0000000004
1150 0.0000000002
1173 0.0000000001
1181 0.0000000000
1207 0.0000000000
1250 0.0000000000
1275 0.0000000000
1280 0.0000000000
1295 0.0000000000
1297 0.0000000000
1305 0.0000000000
1312 0.0000000000
1313 0.0000000000
1352 0.0000000000
1369 0.0000000000
1376 0.0000000000
1445 0.0000000000
1452 0.0000000000
1459 0.0000000000
1484 0.0000000000
1486 0.0000000000
1490 0.0000000000
1509 0.0000000000
1512 0.0000000000
1552 0.0000000000
1593 0.0000000000
1596 0.0000000000
evaluations raw_y
1 63824.9050716583
2 18318.5466455496
8 4488.4688247984
12 24.8666933273
33 21.8358244089
37 11.8510452810
52 7.5828048595
58 6.7307068972
61 6.4692469006
66 1.6559370843
106 1.1737824688
120 0.7185697729
134 0.5624420084
137 0.1912496928
164 0.1671538789
178 0.1501408339
191 0.0631669663
207 0.0189448306
229 0.0132545353
267 0.0077970125
268 0.0073857569
300 0.0050422236
307 0.0050259899
321 0.0038451761
333 0.0007070821
379 0.0005240077
380 0.0002609951
391 0.0002263565
396 0.0001479191
426 0.0000974505
443 0.0000555296
459 0.0000298265
486 0.0000284683
502 0.0000278309
504 0.0000157790
513 0.0000058586
540 0.0000057343
543 0.0000038780
571 0.0000029108
581 0.0000028530
582 0.0000009032
632 0.0000008795
645 0.0000008163
649 0.0000007835
655 0.0000005290
660 0.0000005133
666 0.0000004734
674 0.0000003299
680 0.0000001468
698 0.0000001399
699 0.0000000987
722 0.0000000982
725 0.0000000521
731 0.0000000462
738 0.0000000247
751 0.0000000246
757 0.0000000209
763 0.0000000056
803 0.0000000038
814 0.0000000030
828 0.0000000007
865 0.0000000006
871 0.0000000003
947 0.0000000002
954 0.0000000002
957 0.0000000002
963 0.0000000002
969 0.0000000001
984 0.0000000001
985 0.0000000001
989 0.0000000001
990 0.0000000000
1039 0.0000000000
1049 0.0000000000
1061 0.0000000000
1091 0.0000000000
1092 0.0000000000
1100 0.0000000000
1105 0.0000000000
1115 0.0000000000
1134 0.0000000000
1140 0.0000000000
1144 0.0000000000
1196 0.0000000000
1201 0.0000000000
1213 0.0000000000
1221 0.0000000000
1258 0.0000000000
1302 0.0000000000
evaluations raw_y
1 21151.6937482910
3 44.3621319954
5 32.4990548943
10 26.7457916325
20 25.6005785751
22 13.4434533311
35 12.3820808731
48 7.6771223875
79 6.2067170833
86 2.3715898986
96 0.8326808045
103 0.6754541265
148 0.5657949252
163 0.2101930797
167 0.0795378980
225 0.0268755279
286 0.0210592171
301 0.0144287889
313 0.0092740284
316 0.0090993336
324 0.0073951460
325 0.0050069144
344 0.0045811695
347 0.0042226356
357 0.0028832591
359 0.0026112425
361 0.0018235577
374 0.0011284242
393 0.0011011099
397 0.0009804765
402 0.0008145707
417 0.0007400857
423 0.0005700796
429 0.0005385054
431 0.0003564081
435 0.0002716888
444 0.0001774434
448 0.0000941019
476 0.0000162329
494 0.0000096882
513 0.0000035221
540 0.0000010042
556 0.0000009550
564 0.0000001862
631 0.0000001013
665 0.0000000523
667 0.0000000328
671 0.0000000295
696 0.0000000212
732 0.0000000182
748 0.0000000180
769 0.0000000139
780 0.0000000114
786 0.0000000110
793 0.0000000024
856 0.0000000013
905 0.0000000007
922 0.0000000003
926 0.0000000003
936 0.0000000002
1021 0.0000000001
1043 0.0000000001
1049 0.0000000000
1068 0.0000000000
1079 0.0000000000
1084 0.0000000000
1098 0.0000000000
1103 0.0000000000
1173 0.0000000000
1220 0.0000000000
1235 0.0000000000
1258 0.0000000000
1261 0.0000000000
1276 0.0000000000
1284 0.0000000000
1317 0.0000000000
1337 0.0000000000
1350 0.0000000000
1386 0.0000000000
evaluations raw_y
1 278300.7598832197
4 36109.7400268650
15 32.8064074845
23 6.2441748701
113 5.8160147669
115 3.9032110632
150 3.7858661953
151 3.7755971974
152 2.5951453514
163 2.4957110476
166 2.2396684795
167 1.3993367603
170 0.3810819739
204 0.0963507915
241 0.0809328899
253 0.0801400365
262 0.0401688172
285 0.0262842611
286 0.0214438337
288 0.0118949761
297 0.0046692855
360 0.0045371636
365 0.0029917357
370 0.0015475684
413 0.0012998915
440 0.0007813156
448 0.0006643982
467 0.0005233286
477 0.0005084706
482 0.0004673353
484 0.0002750358
489 0.0001924412
506 0.0001289682
513 0.0000850218
515 0.0000760172
517 0.0000728470
527 0.0000525596
561 0.0000368204
566 0.0000296759
584 0.0000125580
621 0.0000103274
624 0.0000099746
643 0.0000065720
647 0.0000033180
721 0.0000029488
722 0.0000017829
732 0.0000017488
754 0.0000017197
757 0.0000014751
759 0.0000009191
786 0.0000009014
798 0.0000003138
820 0.0000002251
846 0.0000001880
868 0.0000001834
878 0.0000001448
880 0.0000001179
888 0.0000001048
904 0.0000001011
912 0.0000000952
919 0.0000000677
923 0.0000000641
925 0.0000000534
932 0.0000000299
946 0.0000000146
984 0.0000000134
1012 0.0000000117
1013 0.0000000113
1023 0.0000000021
1040 0.0000000018
1050 0.0000000012
1094 0.0000000006
1099 0.0000000006
1100 0.0000000006
1122 0.0000000003
1132 0.0000000001
1135 0.0000000001
1174 0.0000000001
1181 0.0000000001
1185 0.0000000001
1198 0.0000000001
1203 0.0000000000
1229 0.0000000000
1254 0.0000000000
1255 0.0000000000
1289 0.0000000000
1393 0.0000000000
1473 0.0000000000
1491 0.0000000000
evaluations raw_y
1 32.9330204808
8 19.7847670573
25 10.4230280729
46 9.3145078389
59 6.5147322720
92 3.3625334337
98 3.1329309128
129 1.9660952249
156 1.8000700328
162 1.6285194007
172 0.8153901105
175 0.7640143800
176 0.1505580086
177 0.0888013639
226 0.0729999344
241 0.0413102580
247 0.0381543453
251 0.0302395481
277 0.0263826542
318 0.0261170636
327 0.0234698043
337 0.0232228733
344 0.0174950629
352 0.0049291892
375 0.0046654606
382 0.0031230199
387 0.0025587529
388 0.0019163530
400 0.0013750993
401 0.0012855142
410 0.0005312106
429 0.0001740110
438 0.0000559448
540 0.0000520611
541 0.0000487168
552 0.0000415937
556 0.0000260772
569 0.0000138521
577 0.0000088075
597 0.0000053860
660 0.0000036610
662 0.0000022968
668 0.0000012950
711 0.0000004421
725 0.0000003764
753 0.0000003715
774 0.0000001173
793 0.0000000910
796 0.0000000295
852 0.0000000213
856 0.0000000127
911 0.0000000099
912 0.0000000073
926 0.0000000028
961 0.0000000017
967 0.0000000011
993 0.0000000010
994 0.0000000008
1000 0.0000000006
1003 0.0000000006
1004 0.0000000002
1019 0.0000000001
1038 0.0000000001
1053 0.0000000001
1088 0.0000000000
1113 0.0000000000
