evaluations raw_y
1 1768.6921496724
4 1207.6079296373
19 893.4179806889
30 745.0236218532
46 507.9973330518
51 356.8541673963
122 228.0734126037
136 215.5922586517
187 163.8491293214
262 145.4592634650
319 145.3672886216
335 143.0805636943
338 111.4544196015
349 105.4323789200
361 79.2063410106
442 37.9903630969
531 37.6684821424
573 19.4367483171
694 17.9256532171
879 16.6873303688
901 16.4244266829
917 13.6167178203
992 13.0368002924
1018 11.5365684290
1057 11.2647655193
1072 8.6470646431
1188 8.5584317357
1219 8.4650168595
1228 8.2941983862
1358 8.2670604708
1908 8.2832895507
evaluations raw_y
1 3975.8253884055
5 3332.9588019649
7 2157.7365928861
19 2033.6266928431
23 1328.3375371648
33 943.8594211948
52 868.0922551112
63 576.2787336083
67 527.0821222875
102 483.6876966906
105 468.8807134131
169 351.9372095746
208 329.9149357006
215 302.0384381143
223 228.1679984476
288 214.0575348178
297 206.9232922959
402 184.7932946526
421 180.8694368470
433 177.3109482632
468 142.5287132868
510 136.6451555123
535 102.2502888230
605 97.9130750811
627 93.4228356780
646 91.1176671755
675 90.2284484180
687 88.8424436596
700 86.6843197578
723 66.6391158154
858 55.5996941863
865 53.9195653931
870 49.6475023808
911 47.9594983281
925 43.6069579637
934 43.0182599930
940 37.2996492452
968 34.8478953344
1024 26.1111175701
1074 25.6725466653
1076 22.2370735361
1099 18.0198101022
1123 15.1089702802
1162 13.8167810555
1175 13.3103310637
1209 12.7224261047
1229 12.6459029197
1251 8.2173132508
1406 8.0738904912
1479 7.3454427881
1482 6.5933137447
1489 5.9710064836
1503 5.8678194195
1506 4.1335187760
1564 3.6716297451
1597 3.2726752248
1672 3.2032985973
1685 2.9648885560
1771 2.4768568170
1967 2.3843816862
1976 2.3717201955
2068 2.3043253114
2080 2.2719714016
2091 2.1674729295
2113 2.1382127218
2155 2.1339846965
2159 2.0805787436
2185 2.0348226741
2220 2.0214314807
2328 1.9941619533
2491 1.9920047769
2509 1.9897223598
2521 1.9586686313
2585 1.9577596017
2654 1.9549958831
2741 1.9512494681
2849 1.9452937129
2852 1.9451711908
3024 1.9689685408
evaluations raw_y
1 3670.0018745038
5 2988.8319231409
6 2954.6752631042
14 1867.6328094228
26 1730.0729792243
36 1626.9807489155
42 1522.3577601930
52 1490.1689538547
54 1420.8156780966
56 1363.3134970512
57 1232.5891291187
60 1179.6984515189
61 1120.4932647515
67 1118.6748938256
70 1044.0397577489
74 907.8118378069
89 614.5282234947
102 335.9687853885
283 293.5357812637
325 182.6065162116
405 180.5011507089
430 166.2501760701
452 140.6511546562
568 138.3612139556
570 134.6608288089
583 125.1678081651
588 109.6407454267
603 101.8619521602
628 77.6699946786
666 63.8785763410
762 45.5783443163
807 39.1829959264
815 34.9806008068
913 34.5664503758
932 32.6790629158
996 31.1303831744
997 26.8472409712
1031 25.8810583127
1037 21.9625159660
1066 19.9820501397
1080 19.1745552236
1116 18.0704173706
1123 17.4209914515
1201 13.8879461142
1215 13.4072474729
1227 13.2485646035
1251 13.1872809154
1271 11.1546912735
1354 10.7310235146
1388 10.4518460249
1418 9.0051531097
2784 9.6768441152
evaluations raw_y
1 2734.8155252484
4 1600.0744988678
11 1549.9949658921
14 1357.2285115095
15 1340.6466999307
17 1183.8634742815
24 1157.2461190683
27 764.7254942754
34 754.0327471390
37 619.0286133610
58 453.5091846347
65 310.9399295524
74 272.9118445885
84 219.8696884186
170 202.5697299417
210 201.0604426093
228 194.8887159586
234 133.7348685454
295 116.9053935523
324 84.2282882902
403 65.2330573948
447 59.1375124074
527 51.0396920780
701 50.8851740183
712 45.4737171674
718 38.5926775366
726 29.4843921678
831 28.3909137865
856 28.3543767321
865 24.7873565304
877 22.8869268506
879 21.4319667846
938 20.7371738706
945 13.9887722562
966 11.6037761653
1071 11.5961345287
1079 10.4567948721
1091 8.9732726772
1262 8.7733086876
1275 8.6253990603
1287 8.4910817874
1288 7.2721936071
1314 7.1610491261
1371 6.8867023969
1518 6.8118841889
1565 6.7003472632
1576 6.2574912523
1590 6.0254929363
1600 5.9023107226
1711 5.4621039723
1732 5.3929303675
1786 5.2221703917
1802 5.0542571780
1833 4.9191951078
1974 4.8814478364
2009 4.8791382735
2074 4.5052922804
2150 4.4415056733
2162 4.4023326441
2370 4.3825162899
2418 4.3693793362
2434 4.3517036856
2435 4.3237983849
2477 4.2846954860
2588 4.2789649228
2729 4.2703461800
3000 4.2984229246
evaluations raw_y
1 979.7933140014
2 871.1288227775
5 694.1759948652
22 580.0168924393
33 524.8466676088
69 303.4993671584
122 288.8796957054
150 271.6611831944
164 158.9374582262
252 112.2416004046
338 86.2392219605
415 81.6709041813
450 77.6953373086
452 68.3730801542
474 63.9488108512
501 54.0230804953
516 52.7202584778
537 48.3724960680
555 44.3172410618
594 44.1490404671
610 38.2680174913
612 36.2131230321
615 33.3374341384
742 32.6656599360
746 32.1489834354
752 29.4115387938
776 27.4541285927
779 22.9436241897
784 22.8574497539
800 21.5086867761
828 19.8617741356
842 18.1576135509
938 18.0624266345
959 15.5143747130
979 15.2563668425
984 14.3745640604
1001 13.1828004399
1036 13.0672709457
1050 12.9499359829
1059 11.7759969073
1078 11.2961142040
1090 11.2164432401
1108 10.1865425859
1109 10.1335103427
1130 10.1170939761
1207 9.9468856242
1232 9.1101325104
1250 9.0934076493
1261 8.8955836029
1299 8.4737021476
1363 8.4409757459
1401 8.2774359794
1450 8.1778378440
1541 8.1036448103
1555 8.0778077103
1560 8.0668867736
1581 8.0489860826
1602 7.9925994649
1610 7.9489679576
1653 7.8825019698
1684 7.8570658718
1700 7.8546718593
1714 7.8272344559
1716 7.8197534025
2184 7.8197534025
evaluations raw_y
1 3029.5707595053
5 2599.2096022186
7 2408.3197176605
8 2260.4364103635
14 2052.1529412170
17 1652.1233536552
26 1424.6467475452
39 693.0636244359
95 668.1542559242
118 554.2501471112
122 309.7936067853
145 286.3049489409
170 262.6312579322
220 203.0362384671
373 191.4978963621
375 156.7145292088
463 139.1135915979
480 96.2280804351
492 92.4040324347
578 71.2732875106
650 60.5052799588
662 55.6558326569
680 52.1010619171
710 51.7075325483
726 50.8306951320
746 50.7192431656
758 49.6767320055
772 46.3663638300
803 44.5168854815
808 41.4981619736
822 37.9440878458
834 36.2862395938
864 29.5706986895
986 25.9111223568
1023 25.6497286609
1037 22.9034080389
1054 21.8299441308
1086 21.4854567231
1089 20.9696309583
1112 18.5211189830
1168 15.3922566372
1181 12.0076663210
1283 11.0007270758
1393 10.5533063669
1458 9.9424164876
1467 8.6351628625
1468 8.4025447860
1481 7.3858082108
1568 6.9799437884
1579 6.5393493978
1597 5.7948929354
1632 5.4776066772
1671 5.4381575190
1686 4.7536179331
1728 4.6857542375
1761 4.5694773987
1979 4.4118088781
2076 4.3860113306
2098 4.3393237080
2163 4.3282652650
2177 4.3225161269
2182 4.2395599541
2205 4.2115955969
2278 4.2024287922
2484 4.1992264700
2610 4.1953618972
2904 4.1953618972
evaluations raw_y
1 2626.2217687057
7 1390.1657701789
15 1343.8376234309
26 1268.1595543836
27 1255.7939153586
32 1190.2885860210
50 918.4785129728
51 723.7294704793
84 655.9700397709
95 498.0374153856
124 463.0140530214
137 355.4301426455
195 277.9063395063
202 240.5646018517
225 179.3275397071
247 175.7185116395
267 126.3494148132
285 112.8488081876
335 105.8046757020
347 85.9375901913
367 56.3571118649
492 45.3101908708
591 40.8498683888
609 36.4017899565
655 30.4638517391
737 29.8300872180
787 29.3371764941
820 28.3222600494
823 26.5370874021
836 23.9735412041
878 20.7627151837
914 20.6150822885
920 19.7282425472
966 17.0211112771
980 13.9566400927
1045 12.9503501041
1056 12.9475870636
1174 11.7475592259
1178 11.6140946610
1203 10.3856597185
1260 9.8656521090
1267 9.0862860135
1277 8.8513625617
1314 8.6835178597
1326 8.6236170358
1354 7.1709195012
1544 6.4124197992
1553 6.1069829087
1572 5.9731363424
1597 5.8885732035
1603 5.8017834774
1611 5.7933449017
1625 5.7888223384
1634 5.7682120337
1639 5.6846537540
1655 5.6609287545
1706 5.6398904738
1788 5.5421693965
1810 5.5323909604
1818 5.4600508050
1834 5.4432833703
1919 5.4154691605
2126 5.4080355944
2156 5.4070085975
2189 5.2093786858
2760 5.4235733936
evaluations raw_y
1 5135.6491857747
3 4643.4666152955
4 3852.1756663660
6 3287.7022137675
16 3267.6654901358
18 3182.8940082027
19 2878.9001851903
26 1582.3187246263
45 1420.1161533169
50 928.1827294815
73 673.4422738823
109 583.7809748171
159 363.4795856550
318 284.1087996625
395 280.3810019153
401 247.8074194948
415 224.4710893546
436 178.6953459174
