evaluations raw_y
1 1576678.9991682307
2 1385319.1379749717
3 1155127.8503054883
6 1105184.7564532824
7 866806.0468094927
9 691879.7746559953
26 475971.3048204849
36 264902.8717600773
57 248737.7654367402
61 203344.4343026282
64 112223.9279715991
74 108998.2841712721
75 104633.0395092672
92 73590.2243353318
93 72229.4688553770
103 58956.1128926377
109 41297.6888927854
146 32088.0506620941
185 20896.9681130685
203 15773.3790866545
209 13593.4778563755
279 13273.0713859569
284 12934.7772295848
304 11539.8796599788
338 8841.4966476029
339 7194.8015631319
349 5410.7217917854
350 4804.3822819732
356 3867.0580154381
382 1741.1911273376
514 1434.8271820506
516 990.8621874748
523 755.3130567127
530 752.7011503222
559 560.3487782434
624 547.1909528779
639 538.4047975175
665 485.3893230759
733 468.3407285393
740 456.5611688603
746 423.2399914396
802 338.4209778812
824 336.4083686676
829 328.4946563889
845 308.0775660942
857 249.9539329939
1022 239.7969567024
1070 239.1306727613
1127 221.3923433578
1141 219.5969040371
1169 213.8063564742
1195 207.6221320249
1277 203.2251337395
1286 199.9534749046
1322 197.2776118570
1332 193.5844494317
1417 192.9660126145
1437 192.6042434350
1444 190.1117424389
1484 189.9397871896
1511 189.0351712585
1524 188.3625878910
1549 187.5071387004
1579 186.9237927260
1638 186.2236855054
1662 186.1278199146
1670 186.0767243250
1673 185.4841669164
1699 185.1597669504
1707 184.7718167012
1747 184.3484794374
1758 184.2321377909
1782 184.1547364584
1821 184.1299423624
1858 184.1002255937
1902 184.0279110247
1925 183.9947127540
1940 183.9529258316
1942 183.8736077135
2003 183.7988857703
2024 183.7309895730
2051 183.6707648034
2060 183.6376617721
2096 183.6203243572
2105 183.5453730979
2113 183.5102649960
2116 183.5098472382
2136 183.4559371118
2158 183.4405589442
2159 183.4123887793
2167 183.3809956322
2172 183.3518612324
2229 183.3314874950
2230 183.2966402543
2255 183.2687219415
2260 183.2559193382
2280 183.2194275439
2306 183.1891320947
2329 183.1453900293
2333 183.0806120064
2373 182.9437856674
2467 182.9358735914
2477 182.9160378862
2479 182.9109023959
2482 182.8863808210
2487 182.8313373437
2500 182.8037838868
2509 182.7321116229
2521 182.6684950468
2534 182.6544764681
2545 182.6251519388
