evaluations raw_y
1 4096.8267658534
2 3599.2878637126
9 521.8021981239
19 165.1930721462
33 152.0638437186
49 55.7607992148
53 53.8018203692
55 17.0985058967
79 6.7122625972
103 3.2179962585
119 2.9056553424
132 1.9316762032
191 1.8470226372
199 1.7537421945
213 1.7223149383
228 1.7213741405
230 1.6543259644
257 1.6512814847
266 1.6229150522
268 1.5877932566
277 1.5784223269
282 1.5615259729
285 1.4650604552
288 1.4521695506
291 1.4469249124
298 1.3195277479
302 1.2877851336
312 1.1281361899
332 1.0370805371
347 0.8666081834
359 0.8591424534
369 0.7687872011
388 0.6587944812
401 0.5876546333
408 0.4925257278
419 0.4850455216
437 0.4713750788
439 0.3871535482
466 0.3356590734
504 0.3280274423
514 0.3178359174
522 0.3143663654
523 0.3141189352
529 0.3096022245
530 0.3089463205
543 0.2937272566
547 0.2825326883
557 0.2755740694
559 0.2672981809
564 0.2543733405
573 0.2392877521
592 0.2188033415
595 0.2118480175
609 0.1943493027
614 0.1490334017
640 0.1448741503
645 0.1243854232
667 0.1105776684
692 0.0914536493
706 0.0900185038
708 0.0861632395
728 0.0709710625
731 0.0698684991
733 0.0561421024
746 0.0334312896
782 0.0285759942
802 0.0169800044
808 0.0117343825
815 0.0101362391
853 0.0100636507
856 0.0075956601
857 0.0028581139
895 0.0026639707
940 0.0002241587
972 0.0000692342
1021 0.0000491014
1024 0.0000474827
1046 0.0000333567
1047 0.0000081078
1055 0.0000011011
1123 0.0000002888
1154 0.0000002057
1177 0.0000001886
1183 0.0000000880
1190 0.0000000230
1222 0.0000000167
1231 0.0000000051
1235 0.0000000044
1240 0.0000000007
1276 0.0000000005
1291 0.0000000005
1296 0.0000000004
1298 0.0000000002
1303 0.0000000002
1311 0.0000000000
1325 0.0000000000
1353 0.0000000000
1357 0.0000000000
1382 0.0000000000
1402 0.0000000000
1456 0.0000000000
1495 0.0000000000
1527 0.0000000000
1568 0.0000000000
evaluations raw_y
1 78721.9232499090
2 1602.6810514088
5 1003.2073556514
34 638.0095873850
39 542.3699236408
71 506.9736710476
83 483.3313957258
88 442.0353146859
96 413.6779751944
101 350.6182633697
118 344.3390488158
121 333.0054229575
143 298.1901696804
146 279.6912470098
148 201.6845078132
157 178.9462109910
158 101.8525745526
163 5.2835826689
263 5.0577044533
267 1.6392508864
412 1.5300340741
441 1.3109966529
469 1.2227958942
472 1.1938507995
510 1.1736872543
513 1.1536700203
519 1.1402237861
525 1.1311222252
538 1.0922045850
541 1.0697134770
544 1.0691499576
547 1.0056907507
554 0.9877765605
562 0.9495995574
563 0.8773938821
565 0.8359664080
575 0.7981088101
587 0.7463560861
591 0.5379733520
596 0.5101482237
633 0.4458026724
712 0.4201059460
715 0.3927169895
727 0.3786243023
730 0.3375044232
747 0.2949515104
757 0.2913450479
778 0.2768134010
796 0.2491748125
804 0.2208966052
812 0.2030575345
815 0.1889550807
834 0.1175926255
857 0.1163296542
865 0.1033208492
892 0.1001404298
923 0.0966369300
924 0.0919729999
932 0.0894628476
935 0.0859233985
940 0.0789767350
950 0.0735643299
958 0.0683188706
960 0.0659636895
974 0.0594286533
977 0.0590577458
985 0.0551862542
988 0.0429075410
996 0.0417258767
1010 0.0362067076
1016 0.0225812692
1037 0.0187415446
1049 0.0179028761
1050 0.0145464259
1052 0.0132866766
1056 0.0100561623
1058 0.0039359821
1073 0.0025127503
1108 0.0016389910
1115 0.0009267757
1117 0.0005390308
1118 0.0003521456
1145 0.0001042736
1177 0.0000798440
1201 0.0000760815
1203 0.0000395214
1209 0.0000315557
1220 0.0000292810
1225 0.0000124820
1230 0.0000112497
1240 0.0000017195
1290 0.0000006482
1305 0.0000001035
1318 0.0000000985
1361 0.0000000676
1366 0.0000000502
1368 0.0000000060
1370 0.0000000047
1403 0.0000000035
1417 0.0000000030
1432 0.0000000002
1527 0.0000000001
1554 0.0000000000
1571 0.0000000000
1584 0.0000000000
1641 0.0000000000
1646 0.0000000000
1665 0.0000000000
1667 0.0000000000
1672 0.0000000000
1684 0.0000000000
1715 0.0000000000
1757 0.0000000000
evaluations raw_y
1 18448.2503756030
2 14547.8570471293
3 3149.8964294495
9 236.4790619886
15 165.4575792825
52 131.3257796273
56 108.5774909892
82 37.1437904982
90 20.6826253863
107 9.1132062646
123 6.5139689166
128 3.9524290670
138 3.3904930415
156 2.8503716670
183 2.6340208268
188 2.6011658605
202 2.4966963818
223 2.4342038131
233 2.4256802028
255 2.3571761162
263 2.3203794955
269 2.2831537641
284 2.2662609399
302 2.2590772015
303 2.2390632302
304 2.2258636359
310 2.2244391040
313 2.2002574586
314 2.1799942029
316 2.1336927875
323 2.1329442247
327 2.0788490330
330 2.0510287904
337 1.9009579107
344 1.6672412237
388 1.4024546964
402 1.3463460841
429 1.3235455527
435 1.2738031846
447 1.2105833256
449 1.2067430494
453 1.1665877060
471 1.0937769237
488 1.0789870417
492 1.0653023391
498 1.0636711419
502 1.0026296931
511 0.9769816176
514 0.9068494252
523 0.8574482060
527 0.6278128339
542 0.5689793151
569 0.5594105528
584 0.5042031531
592 0.4867326495
599 0.4666710170
603 0.4320470927
612 0.4185426552
630 0.4040651063
638 0.3940765230
647 0.3575428998
680 0.3543856079
696 0.3491424993
703 0.3469158718
714 0.3238299029
734 0.3181880008
736 0.3179829204
742 0.3122498472
745 0.2967943565
757 0.2664679411
768 0.2597520544
770 0.2500251486
774 0.2312465328
779 0.2196450996
783 0.2041673356
790 0.1727809792
814 0.1542182103
837 0.1184480380
844 0.1156744278
849 0.1127150810
850 0.1115306101
854 0.0895159897
856 0.0765338952
862 0.0695117263
884 0.0636559658
891 0.0622835535
896 0.0605784956
920 0.0556032733
925 0.0511066764
929 0.0402566170
952 0.0349398421
954 0.0344601333
971 0.0338856170
973 0.0324566566
976 0.0323119685
977 0.0298043753
978 0.0290651745
981 0.0252954811
995 0.0174516849
1006 0.0160294718
1012 0.0148026399
1018 0.0113855397
1024 0.0110056904
1025 0.0109695930
1038 0.0102588028
1039 0.0084745942
1045 0.0062412717
1059 0.0036369034
1066 0.0035248302
1071 0.0030415336
1073 0.0012181001
1077 0.0007984337
1082 0.0005448441
1116 0.0001023862
1150 0.0000191307
1177 0.0000055837
1208 0.0000021568
1221 0.0000016708
1227 0.0000015496
1237 0.0000001609
1266 0.0000000310
1280 0.0000000235
1322 0.0000000203
1332 0.0000000169
1334 0.0000000008
1376 0.0000000006
1377 0.0000000005
1394 0.0000000004
1407 0.0000000004
1414 0.0000000004
1416 0.0000000001
1424 0.0000000001
1429 0.0000000001
1430 0.0000000000
1438 0.0000000000
1455 0.0000000000
1467 0.0000000000
1472 0.0000000000
1490 0.0000000000
1496 0.0000000000
1509 0.0000000000
1525 0.0000000000
1560 0.0000000000
1567 0.0000000000
1568 0.0000000000
1574 0.0000000000
1652 0.0000000000
evaluations raw_y
1 48758.6736495001
3 21318.7637959217
8 2665.5529347380
9 1936.7816980075
