evaluations raw_y
1 29241161.1685879342
4 6077792.5192221580
13 103693.3582508705
26 99511.7537043493
36 221.7416223360
76 89.7804663788
110 32.7487120002
192 23.0265538764
194 13.3813326259
204 10.8581329478
306 9.6187589526
310 9.0403623806
338 8.7103487741
345 8.7088763654
350 8.4403552285
354 8.1539507719
361 7.1024137263
376 5.5009455755
378 5.1991247610
382 2.0945912775
406 0.5330811373
413 0.0072374716
451 0.0004705056
507 0.0003537690
554 0.0001956470
564 0.0001532340
598 0.0001364626
600 0.0000905809
603 0.0000660781
614 0.0000570441
629 0.0000145603
635 0.0000016307
637 0.0000001903
699 0.0000000978
704 0.0000000874
706 0.0000000498
710 0.0000000477
711 0.0000000088
713 0.0000000005
767 0.0000000003
771 0.0000000002
789 0.0000000002
794 0.0000000000
823 0.0000000000
840 0.0000000000
847 0.0000000000
882 0.0000000000
20046 0.0046506442
evaluations raw_y
1 72729497.1863833666
2 28193523.7462412901
8 26410363.2962229960
10 19758374.3627550751
12 3890039.0379855805
18 1997798.7898042195
22 67938.7006092461
54 25712.9349716280
58 914.1656041438
120 912.8334455749
138 66.7141847593
144 40.6009335995
152 29.0485759360
199 8.4844608942
200 7.9143858411
232 7.6978626527
238 7.3555280639
265 7.1240106871
270 7.0984700009
301 7.0596384138
307 7.0415691310
311 6.9995778304
321 6.9865684151
335 6.9695583125
337 6.9335086371
343 6.8037485921
354 6.7556325380
356 6.5940577919
371 6.1366888224
374 5.6539388147
386 4.9735117771
391 4.9464806905
397 3.9924850067
405 3.9790220646
416 3.3785183721
426 2.6143477804
436 2.4597111167
439 2.3333231663
443 2.2281387683
445 2.2122556183
449 2.1809518268
455 1.6372637339
469 1.2422628797
472 0.8424405372
478 0.5067239928
481 0.1661346624
492 0.0672747691
502 0.0127317474
519 0.0036185480
531 0.0004703096
601 0.0001928429
606 0.0000968165
627 0.0000901236
631 0.0000287757
632 0.0000220894
640 0.0000187105
641 0.0000077224
658 0.0000056026
667 0.0000011061
673 0.0000004089
698 0.0000004009
700 0.0000000066
715 0.0000000058
807 0.0000000032
815 0.0000000003
826 0.0000000002
840 0.0000000001
850 0.0000000000
852 0.0000000000
881 0.0000000000
887 0.0000000000
914 0.0000000000
935 0.0000000000
958 0.0000000000
20088 0.0324940837
evaluations raw_y
1 9726090.0280857794
6 7273278.2932641748
9 1283679.2860241085
10 1183247.7048952379
11 949815.0011395436
21 35295.2943722248
29 20032.9390477281
74 9088.7904825857
88 4129.5760647821
89 2817.1161248289
98 325.4926743717
104 197.5168756998
176 192.0806912293
190 182.2865316725
200 174.8513783844
222 174.2576671530
225 173.7795608730
228 171.5885983886
256 171.4294642367
259 170.9057246702
266 169.6600788107
283 167.7509878465
303 167.2099731979
320 166.1249777014
322 166.0335357542
325 165.5361494395
331 165.5095204728
332 165.2844618938
335 164.9725585204
341 164.6582768342
359 164.5813210139
361 164.4822993077
363 164.0873689497
364 163.9702151175
370 163.3190118664
376 162.0547757199
384 160.5373935295
386 156.0376377898
394 153.0983927179
402 149.5101153524
412 146.5703342045
414 139.4074635477
417 134.0873127668
424 128.3126808536
439 120.1908199566
446 110.4459806202
465 82.8128733233
471 70.6372319974
476 41.0129902475
481 40.2878327996
482 28.1364914299
487 13.9802584622
495 7.2781336960
516 0.3921120069
532 0.1215818707
547 0.0466684429
583 0.0132449123
589 0.0038446910
600 0.0035278338
601 0.0019989090
607 0.0004780801
631 0.0001811572
635 0.0001273724
645 0.0000295988
650 0.0000193655
670 0.0000014123
673 0.0000007549
701 0.0000004188
702 0.0000002890
719 0.0000001143
726 0.0000000512
728 0.0000000238
729 0.0000000227
744 0.0000000105
746 0.0000000018
785 0.0000000014
789 0.0000000000
796 0.0000000000
826 0.0000000000
862 0.0000000000
880 0.0000000000
913 0.0000000000
915 0.0000000000
956 0.0000000000
967 0.0000000000
2566 0.0000000000
20046 0.0399850195
evaluations raw_y
1 11107766.6109971441
2 4912935.8330626376
3 320531.8826284690
8 237270.5792553076
9 140117.1674544504
12 38697.3271101192
15 37522.6544254117
17 2808.1095537785
52 74.8102129555
61 30.0174489802
90 28.3618597981
104 28.0706555765
147 27.3739007727
163 25.2621443842
199 24.5343696955
209 23.3440059684
213 22.5245142313
234 22.3897894926
238 20.4562461000
263 20.0498743620
270 17.6936800314
274 15.6835383222
279 13.7583369645
281 12.3271572929
288 9.5805296306
314 8.8396151137
319 6.6578970223
325 5.6068784467
333 5.1133659921
338 2.7002418190
343 1.8728569831
349 0.4747563768
356 0.4429938261
357 0.2081844243
382 0.1964990704
387 0.1615244371
392 0.0218552756
432 0.0180300191
433 0.0160831088
439 0.0159329974
444 0.0089391962
447 0.0019486985
453 0.0017715197
460 0.0010558132
468 0.0002431750
505 0.0001149425
534 0.0000431256
538 0.0000077727
544 0.0000068968
551 0.0000068866
571 0.0000021501
572 0.0000008476
593 0.0000003318
607 0.0000002184
620 0.0000001753
625 0.0000001569
628 0.0000000240
646 0.0000000104
654 0.0000000065
655 0.0000000006
692 0.0000000001
721 0.0000000000
728 0.0000000000
779 0.0000000000
784 0.0000000000
788 0.0000000000
847 0.0000000000
853 0.0000000000
2334 0.0000000000
20070 0.0005760699
evaluations raw_y
1 4617448.9187695822
3 13177.5834193197
17 724.5473776475
39 595.0491459991
46 15.6787160982
195 15.6747830190
205 15.5393748333
218 14.9063200778
267 14.4113960663
274 13.8504286324
277 12.7565720815
296 11.0630591855
298 10.9001621252
305 10.1731280796
309 10.1719553474
314 8.4409463968
325 7.8920876800
328 6.4526835692
332 5.3077412762
333 5.0721100217
334 3.9005392146
337 3.8888641164
344 2.8671445853
356 1.9036866300
364 0.8017031646
370 0.0535821247
378 0.0176495721
406 0.0169415330
409 0.0109912060
447 0.0082031482
449 0.0031151778
451 0.0016527054
466 0.0011247600
476 0.0002701328
481 0.0001363598
488 0.0001186507
497 0.0001144396
517 0.0000214994
545 0.0000015542
549 0.0000000598
609 0.0000000406
620 0.0000000406
622 0.0000000135
633 0.0000000077
649 0.0000000027
667 0.0000000013
671 0.0000000012
672 0.0000000008
677 0.0000000003
678 0.0000000003
680 0.0000000000
728 0.0000000000
735 0.0000000000
739 0.0000000000
749 0.0000000000
752 0.0000000000
757 0.0000000000
774 0.0000000000
786 0.0000000000
790 0.0000000000
20010 0.0001592406
evaluations raw_y
1 3910787.5525889508
2 1820935.0911648595
14 3831.1266578158
52 3366.9538284709
57 1536.8523979891
81 906.4452017274
92 670.6493286757
97 540.0330261092
101 12.3181197216
103 6.5943766597
127 1.8199529307
172 1.3374976491
232 1.3317064946
297 1.3288135146
302 1.3254323349
305 1.3193648378
312 1.3179044952
316 1.2782569023
319 1.2469977492
325 1.2378642272
334 1.1775831219
335 1.1596257575
339 1.1265013768
343 1.0800899168
350 0.9877441944
355 0.9767715837
368 0.9546167757
372 0.9165448703
382 0.8729709479
387 0.8609103330
392 0.8046608883
394 0.7466881890
402 0.7442630329
407 0.6936880574
413 0.6358947306
453 0.6264887824
461 0.6189960980
463 0.6169171761
472 0.6155305140
473 0.5965200244
477 0.5873874939
482 0.5420635390
486 0.5283953226
494 0.4971347841
503 0.4698921351
507 0.3743314628
519 0.2071653095
531 0.1675606615
536 0.1018263749
543 0.0092819011
550 0.0072332752
556 0.0071701880
568 0.0034906441
572 0.0012719104
608 0.0011824733
615 0.0006808162
632 0.0000257490
677 0.0000051194
701 0.0000049198
706 0.0000009073
715 0.0000004727
725 0.0000004543
727 0.0000003466
734 0.0000002035
743 0.0000001076
760 0.0000000516
763 0.0000000072
791 0.0000000000
866 0.0000000000
873 0.0000000000
878 0.0000000000
898 0.0000000000
900 0.0000000000
907 0.0000000000
926 0.0000000000
947 0.0000000000
971 0.0000000000
977 0.0000000000
989 0.0000000000
20094 0.0025045590
evaluations raw_y
1 8847066.1364774685
5 6374591.7549202973
13 4412344.1534290994
21 2386329.0624376913
28 1299488.5832938894
29 142322.9755497246
31 61675.5191757089
41 53936.6178049032
51 13656.5280105041
60 10032.0799289825
61 7722.5907231789
66 4653.6675507223
76 3646.1379636251
88 986.7985694740
97 4.2719778791
251 4.1363580123
287 4.0880026416
290 3.9317653925
297 3.8187943470
298 3.3781049775
304 3.1888492988
305 3.0128516978
307 2.9278683425
311 2.8679071746
318 2.4142962191
329 2.2694644445
346 2.1485941202
348 2.1302165508
351 2.0568429183
359 2.0245262948
364 2.0148157769
367 1.9250104956
372 1.7469668321
376 0.9532923760
387 0.5503972560
398 0.0623125730
402 0.0350700230
457 0.0131284076
489 0.0053549605
499 0.0053521725
509 0.0029314002
529 0.0009167395
534 0.0008902068
539 0.0006860632
543 0.0004453222
544 0.0004081718
547 0.0001704204
555 0.0001209090
556 0.0000294626
572 0.0000042283
588 0.0000026949
611 0.0000026421
620 0.0000010412
624 0.0000010170
629 0.0000008462
634 0.0000007086
636 0.0000002216
638 0.0000000819
661 0.0000000678
662 0.0000000003
716 0.0000000001
752 0.0000000001
757 0.0000000000
763 0.0000000000
789 0.0000000000
801 0.0000000000
823 0.0000000000
839 0.0000000000
842 0.0000000000
847 0.0000000000
859 0.0000000000
860 0.0000000000
865 0.0000000000
20004 38.8260809324
evaluations raw_y
1 18702.6862292557
