evaluations raw_y
1 7054548.2411807831
2 943831.5297946677
6 677258.1409991099
9 349178.9921367890
11 180045.6183688928
15 37062.1803531324
38 2610.6782811130
51 68.2090390065
117 66.4289749960
653 65.1011728004
657 64.5994625598
659 62.9127826950
660 58.6512447610
672 53.0233641599
674 48.3594894941
678 41.3584934782
680 35.2219125706
691 34.0981374813
694 34.0480907593
697 31.2721562651
700 30.6303411458
703 26.9733170552
705 17.2366859750
724 9.9084946534
725 9.7888725489
752 6.5819980220
755 3.1213962535
769 2.4467702922
789 2.2370876196
790 0.9833882072
801 0.5234676126
809 0.1196085552
834 0.1032252282
849 0.0649418205
854 0.0587189848
855 0.0580102466
857 0.0184339490
863 0.0124917059
894 0.0105990825
900 0.0037139296
920 0.0024643641
922 0.0024159093
933 0.0018961468
940 0.0018954793
942 0.0017570300
950 0.0000517572
988 0.0000399075
1009 0.0000115719
1027 0.0000085206
1031 0.0000067422
1035 0.0000013549
1062 0.0000000957
1118 0.0000000455
1121 0.0000000233
1128 0.0000000212
1137 0.0000000090
1138 0.0000000069
1149 0.0000000053
1157 0.0000000040
1159 0.0000000028
1168 0.0000000027
1172 0.0000000024
1180 0.0000000012
1200 0.0000000005
1217 0.0000000005
1218 0.0000000001
1228 0.0000000001
1234 0.0000000000
1259 0.0000000000
1262 0.0000000000
1266 0.0000000000
1271 0.0000000000
1272 0.0000000000
1276 0.0000000000
1279 0.0000000000
1297 0.0000000000
1305 0.0000000000
1326 0.0000000000
1331 0.0000000000
1369 0.0000000000
1370 0.0000000000
30016 7.4215724669
evaluations raw_y
1 2767958.0563127892
4 1038862.3171968684
9 76533.5073414955
16 15082.6285263876
24 171.2322346122
188 154.7997696168
204 78.5407036324
205 59.3732978685
225 53.1897895701
231 51.9089869205
254 51.4110515106
255 51.0197458154
256 50.8195177166
287 50.0268860337
379 50.0260162998
389 49.8774854624
393 49.8440551998
402 49.7826356369
405 49.7574163974
406 49.6388089632
409 49.5637715717
414 49.1394482186
423 48.9269551874
464 48.4510906770
471 48.1430830915
474 48.1012525462
477 48.0720669348
478 47.6588234320
480 47.5940008499
488 47.3249122750
494 46.6562398275
497 46.2926064917
531 45.3389762656
533 43.5876429341
535 42.8356843625
541 42.3695323850
544 41.4111650964
545 40.8407058085
549 40.8031162314
552 38.5258554939
558 35.3327237978
570 34.2732193318
577 31.6690133320
582 29.1996819909
589 28.4833257343
591 28.1159257555
596 27.2895384628
603 25.7032261211
613 25.3928288050
619 23.1778610020
623 22.7753913748
630 21.7707410367
635 21.2921704221
649 20.4419452787
672 20.1795573379
677 19.8246655166
695 19.7151649283
696 19.5290545904
698 19.2444476184
705 18.8659085334
713 17.6296239715
714 17.0462252731
715 16.1752110130
719 14.5445988138
722 14.4826341316
732 14.3655551705
736 10.8303039154
741 10.6217798782
765 10.2641094140
776 9.9037738304
778 9.4188480315
782 8.9833735707
785 6.0054761481
793 5.7466484003
796 5.0448768008
810 4.4945070392
819 3.2535388799
820 2.1886502400
823 1.9560675294
831 1.9541942499
833 1.1213645193
871 0.5289295561
882 0.1352787361
926 0.0644047392
937 0.0210103872
955 0.0148502986
956 0.0067890426
972 0.0043839016
986 0.0036832937
992 0.0007794167
996 0.0005597955
1004 0.0003958537
1023 0.0001693250
1036 0.0001409306
1038 0.0000159513
1083 0.0000129585
1092 0.0000047470
1102 0.0000032027
1114 0.0000010929
1122 0.0000010895
1124 0.0000006076
1148 0.0000002054
1151 0.0000001220
1158 0.0000001062
1173 0.0000000665
1182 0.0000000034
1199 0.0000000034
1227 0.0000000027
1237 0.0000000023
1250 0.0000000014
1255 0.0000000014
1258 0.0000000011
1262 0.0000000004
1267 0.0000000002
1275 0.0000000000
1319 0.0000000000
1336 0.0000000000
1387 0.0000000000
1389 0.0000000000
1395 0.0000000000
1404 0.0000000000
1430 0.0000000000
1520 0.0000000000
30044 16.0138216795
evaluations raw_y
1 26363444.1148968749
2 18193355.6565923318
5 17524860.3354008198
8 4941312.1003269786
16 3885483.8593885503
17 34336.6588034591
22 612.8004596509
52 106.1280346438
59 78.5927505594
140 67.6986685687
225 66.0260508585
465 65.9708654986
466 65.9577302170
479 65.9097718110
485 65.4242495888
492 65.3313945672
515 65.2983594223
519 64.9613940925
520 64.7746290260
528 64.5617339875
533 64.2951469336
539 63.6487561237
544 63.5377008628
545 63.4353141519
546 63.3518937859
549 62.8160390202
557 59.5825394423
562 54.5652076465
581 53.7327822222
583 52.1534716681
590 49.0888909678
600 41.8519429071
603 38.3045972310
613 38.0528816826
618 37.0017900963
620 33.0348960027
625 27.0875754271
638 24.4151710711
639 19.5937164582
649 18.8649289439
656 18.2436183107
658 16.8068464155
716 16.4547067512
749 16.0044063124
759 15.9745700911
764 15.9252869273
767 15.4782658275
772 15.4703121741
775 14.8890361704
778 14.6518995778
789 13.5452534050
806 12.8441040951
807 12.3394458070
813 12.0974259535
819 11.0275639927
828 9.9575846327
832 8.8773242880
834 2.5816524903
850 0.6565335366
897 0.4833042361
903 0.2982921894
925 0.1848668247
940 0.1648418616
942 0.1520835180
