evaluations raw_y
1 12796637691.0193500519
2 3444353190.4580974579
6 2912808892.9815115929
9 1179861917.8553709984
18 1153870725.8026964664
36 1108554478.6493582726
42 1086808470.1862261295
44 1047995483.5893278122
47 840001045.9906593561
55 797856660.4215258360
80 762601930.3167079687
83 692499575.0091719627
104 627913016.3809500933
125 615233123.6918001175
127 561984724.7485659122
136 451981800.3852044344
138 434276151.6845470667
151 404122565.3653733134
157 397349210.8865375519
175 374737731.8872249722
195 356647446.8667466640
219 338777873.9894575477
225 302115564.5626813173
271 232887201.6425790489
275 227225779.5390699506
294 174757938.4375236630
395 163067663.9460667968
404 145379752.8861394525
412 136976692.1126839817
444 123664145.6302571893
458 122673997.2612155378
463 115233586.8711420000
465 114293493.2112061977
466 113750511.6489175707
471 94504789.5568448752
486 94328940.8935249746
493 74483899.3364219666
527 60234311.6101334244
562 49251731.2611027136
600 43593084.9331107289
699 39370865.9379645884
733 26420188.6372795328
779 25421146.6766538806
832 24988439.3429445550
856 24426678.7761425339
862 23357627.2405560017
872 23227802.6565735042
874 20549425.5994206853
876 20478061.3860618249
889 16439141.6397822127
910 14516373.3472251985
933 11095637.0780856665
947 10040308.9963362347
981 8845480.3433079664
993 6238877.3654072648
1057 6020715.2196240695
1115 5402113.3048626315
1130 4603859.4517756961
1142 3900891.8331955578
1204 3630495.4702581596
1235 3343227.0937412465
1238 3323352.6514549330
1288 3179552.9875959544
1291 2794139.9860810898
1314 2520870.1200120598
1363 2034426.1916181948
1432 1622695.1821507628
1442 1576476.3922660775
1463 1478899.5275183960
1486 1318461.2123271353
1513 1258605.4417914958
1528 1199811.1834910810
1529 1131464.5560387634
1532 1112808.3956488085
1533 1041371.2350340001
1569 962051.7738686339
1589 690015.0256142758
1675 608708.7328412085
1690 420654.7179634239
1730 397602.6068197954
1741 359920.0719071737
1760 299840.7702562117
1845 280095.9069705411
1851 279925.9776062493
1863 269173.5048259657
1894 234058.9922701876
1895 231370.7557980082
1900 184956.3584670983
1933 177674.8084810226
1962 174596.7384359860
1972 164434.7978754379
1974 158398.9803558197
1989 142388.1894735044
2023 126198.1520241100
2031 118125.8542440091
2061 116460.2229293749
2072 95901.5145266126
2103 90897.5489479641
2124 86039.4538201018
2138 84380.2796667321
2148 80020.6936232265
2156 78347.6030964225
2178 70098.7954113848
2192 69487.7807005416
2209 59564.3281463393
2224 54951.9276199359
2235 53010.8811137778
2237 52966.7425675347
2241 50346.2482583664
2248 48218.1410638579
2249 47885.6818406480
2254 42737.1224858605
2271 29928.6999289989
2299 23966.8415105279
2374 21772.7399994974
2381 18753.8645632100
2382 17962.0086590833
2427 17811.2347296661
2431 13376.5832076820
2468 11643.9459690193
2573 11523.1143091776
2595 11155.4256992660
2599 10485.5838230920
2619 9742.6311958048
2661 8245.1402085638
2676 7606.8109512466
