evaluations raw_y
1 2157.6818706061
2 1637.3995922351
15 1468.8160372303
28 1378.6132238081
33 1374.1183430359
40 996.6317478508
65 847.7578218422
109 834.0890385233
123 710.6905851654
126 656.6608878739
139 559.6766994879
159 508.7924966554
164 499.0438684902
184 414.4685897468
191 326.9474404280
229 265.7435592466
253 224.5545574004
284 215.5068663348
288 214.7104311645
289 194.4523148322
292 188.4282306237
313 188.0132407006
323 177.3726802664
328 144.5277245636
355 137.0470032229
368 124.5253001612
383 112.2902286745
385 92.3181413786
423 90.8213058161
459 85.4081064921
473 61.7532415933
511 54.6389608065
519 41.6643732002
524 39.1126608127
552 37.8192628769
553 35.3801578340
562 33.3842270009
563 29.3463674713
571 22.8702806119
603 18.5260120707
610 18.4996972221
631 18.1798798535
632 13.6517900449
685 11.2692862493
704 10.6588537591
711 7.2756444513
748 6.3610360618
757 5.9028519191
761 5.1816474725
802 3.9540665433
826 3.1343935546
872 3.0147164649
875 2.8973358442
882 2.2101814352
884 2.1624180402
908 1.9596998947
915 1.7327136468
969 1.6872162181
973 1.5786011603
978 1.5160968431
985 1.3683120635
996 1.0305173370
1007 1.0011554829
1009 0.8637119681
1019 0.7961254563
1031 0.5522639290
1119 0.5316809235
1124 0.5153990002
1148 0.4532911978
1153 0.3908795102
1173 0.3313725007
1189 0.2855176011
1196 0.2085338297
1245 0.1901406187
1259 0.1850413606
1272 0.1670145206
1287 0.1233801538
1329 0.1156985135
1347 0.1074658325
1362 0.1068198673
1391 0.0887752393
1397 0.0829479544
1401 0.0726889133
1410 0.0705196826
1414 0.0554610713
1432 0.0456145770
1442 0.0434346038
1463 0.0339892349
1491 0.0300512854
1522 0.0295302537
1534 0.0281376203
1548 0.0261012421
1552 0.0251286422
1573 0.0194232007
1603 0.0185367850
1617 0.0169906648
1623 0.0163023204
1629 0.0151643044
1671 0.0150353243
1673 0.0120677598
1695 0.0120357837
1702 0.0118073861
1707 0.0101942513
1712 0.0097410127
1724 0.0091120372
1751 0.0084008300
1774 0.0083073683
1786 0.0082488331
1790 0.0081373183
1800 0.0080564992
1822 0.0076579157
1839 0.0075008824
1872 0.0074434281
1873 0.0073997897
1886 0.0072448716
1892 0.0070433637
1909 0.0070110128
1920 0.0069173058
1932 0.0066349787
1990 0.0065926762
2005 0.0065862807
2006 0.0065198209
2016 0.0063717389
2037 0.0063532015
2054 0.0062850360
2059 0.0062028933
2087 0.0061996754
2095 0.0061606465
2130 0.0061391545
2147 0.0061368300
2154 0.0060829682
2202 0.0060776308
2204 0.0060773260
2219 0.0060766364
2229 0.0060657254
2266 0.0060618185
2276 0.0060604318
2278 0.0060603276
2290 0.0060533489
2291 0.0060463434
2303 0.0060403146
2307 0.0060369146
2314 0.0060325076
2388 0.0060235685
2493 0.0060234936
2505 0.0060219387
2534 0.0060212135
2536 0.0060171723
2685 0.0060166711
2762 0.0060164809
2768 0.0060164697
2784 0.0060164001
2796 0.0060163262
2818 0.0060162235
2826 0.0060162163
2828 0.0060162131
2832 0.0060161831
2848 0.0060160797
2880 0.0060160651
2896 0.0060159647
2909 0.0060159246
2910 0.0060159028
2918 0.0060157569
2981 0.0060156835
3007 0.0060155502
3036 0.0060154781
3075 0.0060153835
3137 0.0060153677
3145 0.0060153466
3152 0.0060153299
3186 0.0060153298
3191 0.0060153138
3212 0.0060153095
3213 0.0060153032
3224 0.0060152982
3234 0.0060152961
3255 0.0060152870
3265 0.0060152805
3337 0.0060152732
3372 0.0060152698
3413 0.0060152668
3421 0.0060152608
3451 0.0060152605
3472 0.0060152589
3512 0.0060152585
3535 0.0060152566
3617 0.0060152562
3627 0.0060152557
3643 0.0060152555
3644 0.0060152551
3657 0.0060152551
3666 0.0060152550
3677 0.0060152542
3705 0.0060152540
3714 0.0060152539
3715 0.0060152539
3716 0.0060152536
