evaluations raw_y
1 299.4642467204
2 279.8117150157
3 237.1926407262
6 143.4636401197
18 114.3619157337
54 100.5607130600
58 97.1510099397
74 90.2886495091
89 65.3039393612
114 52.2818883771
138 41.6859633556
279 41.5915759385
289 39.4650421861
312 35.8019425533
331 35.7583668593
357 33.8063481132
361 28.9995438099
373 28.7733643141
376 24.7631333163
438 22.1499497065
497 21.5130650293
520 19.5897938620
538 19.3688810061
547 18.4554043662
567 17.8918464701
572 17.1890157121
576 16.0505501375
601 14.8485488902
641 13.2136196884
646 11.7729683584
665 11.0679862198
676 10.8100250165
774 10.6972336482
803 8.2144751690
873 7.8443946583
894 7.7543302783
895 7.2843512866
897 6.9881025649
922 6.2532494316
931 6.0471368459
944 5.8650052477
954 5.1910211917
979 5.1143440567
1024 4.4967773305
1056 4.3637180726
1069 3.9980010183
1121 3.7666402633
1135 3.6172168622
1145 3.4929240284
1158 3.3745388004
1185 2.8777948551
1204 2.7836100338
1217 2.5246616324
1262 2.4259795585
1277 2.0555233975
1291 1.8206523104
1334 1.6262083594
1335 1.5009744257
1359 1.3518942335
1377 1.2875895525
1392 1.0356879164
1477 1.0011693855
1561 0.9352571627
1564 0.9341291215
1567 0.6705600162
1614 0.6201138259
1628 0.5700003092
1660 0.4855605100
1669 0.3688691847
1783 0.3398897914
1813 0.3149932160
1821 0.3049726786
1830 0.2568604312
1842 0.2394502291
1875 0.2320043981
2031 0.2244356464
2043 0.2149412703
2047 0.1922954584
2059 0.1564614857
2165 0.1553630389
2193 0.1349453630
2240 0.1322719329
2254 0.1028822029
2299 0.1007735062
2340 0.0893655026
2344 0.0857747300
2356 0.0850693461
2360 0.0824930929
2383 0.0774052270
2394 0.0764852889
2429 0.0660540515
2461 0.0644907867
2557 0.0566409536
2627 0.0528242107
2769 0.0501297561
2798 0.0492155993
2804 0.0465029963
2848 0.0453274265
2851 0.0379453836
2858 0.0317579707
2965 0.0275206081
3005 0.0261879160
3058 0.0259949937
3303 0.0254954476
3394 0.0213942973
3534 0.0193695687
3561 0.0193222384
3573 0.0185496286
3640 0.0145383069
3703 0.0140882286
3707 0.0138973068
3734 0.0135941953
3740 0.0123981726
3751 0.0116086611
3781 0.0113522358
4012 0.0108488690
4058 0.0092779294
4252 0.0092700449
4309 0.0089742746
4325 0.0083071751
4396 0.0082511516
4463 0.0081059436
4465 0.0078261042
4469 0.0076522215
4596 0.0076119049
4617 0.0074681174
4622 0.0064959370
4808 0.0063574430
4825 0.0061099370
4898 0.0059715883
5017 0.0056967980
5149 0.0056856086
5155 0.0056611315
5191 0.0055974750
5194 0.0055861987
5245 0.0054985058
5247 0.0053628646
5251 0.0053423605
5283 0.0052297630
5290 0.0051926171
5308 0.0049833058
5389 0.0049685758
5414 0.0049662990
5418 0.0048190419
5419 0.0048095032
5450 0.0047762335
5456 0.0045770660
5483 0.0045009481
5639 0.0044439996
5666 0.0044090708
5708 0.0041553244
5722 0.0041292261
6136 0.0040722801
6144 0.0038634365
6158 0.0036491689
6210 0.0033990244
6368 0.0033455346
6386 0.0032584937
6411 0.0032221009
6419 0.0031643616
6532 0.0031293826
6543 0.0030476371
6551 0.0029602612
6585 0.0029277940
6721 0.0029141929
6778 0.0028549049
6784 0.0027108445
6811 0.0027045871
6921 0.0025393663
6971 0.0024861922
6993 0.0024520139
7022 0.0023301476
7106 0.0023254416
7151 0.0023211853
7166 0.0022782487
7284 0.0022609912
7287 0.0022371406
7300 0.0022354603
7304 0.0022249431
7315 0.0021990048
