evaluations raw_y
1 6342.6530206425
2 4755.4519050165
3 2514.8586500178
42 1562.1314541446
142 1527.2940230317
158 1331.9759290002
171 1312.3577315898
191 1276.5848114246
250 1205.2409890001
271 1203.9334338146
275 1176.5198193726
289 1159.8733298525
310 1156.2085026002
313 1119.7848796227
328 1030.2264285543
361 997.9042677638
380 988.4378454200
385 758.9079958188
451 752.8897608153
468 714.3765802991
507 597.8438235015
610 546.7177930996
651 537.8123746989
661 527.4394285120
715 510.3081813450
717 506.9546229338
890 483.5347633541
1121 457.1120910149
1235 408.1676156570
1451 403.9789911571
1498 387.2302981150
2046 384.0821807990
2229 360.1460896884
2343 347.0439326829
2954 322.5560005171
3107 317.1862180177
3122 304.0283311792
3428 270.5949028679
3449 261.7484931150
3455 260.2136329949
3470 249.2410113744
3474 244.2874898588
3557 240.7090975336
3603 240.5918412689
3611 238.4364027357
3651 220.9700291957
3655 217.6525853877
3699 205.3903283457
3775 193.1591741457
3940 191.9607065818
3961 177.7119049855
4011 174.0504398096
4021 171.5647358736
4032 169.8648047550
4080 169.7451004192
4089 167.2865431194
4091 166.3920524542
4113 157.1899495648
4117 154.7397466976
4124 152.6991240198
4148 152.0576853186
4149 149.0136825599
4150 145.9391898490
4164 144.1736216410
4169 143.1680893664
4186 140.7675542451
4210 138.5743882502
4275 137.6025069336
4289 135.9050738497
4290 135.0333074393
4292 132.6930317709
4293 131.5642212974
4332 128.2372570334
4363 127.7002887502
4364 127.3425518492
4389 126.3774719607
4472 125.4882441757
4486 124.0336638411
4542 120.1953794743
4605 117.1012612705
4639 115.8655194163
4684 115.0076602094
4742 112.6653171167
4804 112.3687156681
4819 109.6814231538
4834 109.1701084676
4843 108.4450945068
4867 108.0559260453
4872 107.5599826132
4954 106.4627543467
4999 106.1416877434
5063 104.9952585187
5089 104.9212224084
5179 104.7378756343
5220 104.1045566078
5232 103.6280386709
5293 102.9639571562
5364 102.7959496596
5394 102.7168657608
5404 102.5350397120
5423 102.4340639147
5444 102.4154376167
5449 101.9968010326
5465 101.9324601414
5503 101.7476217100
5508 101.5971376037
5533 101.5832743478
5557 101.5400795142
5588 101.5325520791
5594 101.3744271538
5695 101.3244581241
5724 101.2726077151
5751 101.2618005010
5763 101.2295992261
5776 101.2195208079
5781 101.1437497511
5789 101.1348582244
5796 101.1148679576
5802 101.0500695521
5826 100.9192803081
5847 100.9076819725
5870 100.8884204616
5884 100.8653726491
5949 100.8405114769
5999 100.7742959231
6030 100.7598291901
6050 100.7509990409
6086 100.7085267245
6116 100.7072737378
6204 100.7050549465
6209 100.6941946911
6222 100.6876780850
6253 100.6757910231
6260 100.6476415092
6307 100.6415823318
6378 100.6306793481
6393 100.6265615706
6424 100.6230713521
6451 100.6177219347
6466 100.5994612007
6483 100.5989885610
6484 100.5934257742
6499 100.5930380085
6519 100.5904590410
6525 100.5891313726
6534 100.5879245138
6538 100.5861282360
6568 100.5806807441
6571 100.5750996356
6605 100.5698840255
6609 100.5631311003
6617 100.5593023585
6667 100.5567482157
6711 100.5552901534
6748 100.5507383495
6778 100.5480745847
6824 100.5466017117
6825 100.5432414265
6833 100.5414973947
6854 100.5400770543
6883 100.5375199608
6974 100.5371021948
7011 100.5368887683
7022 100.5357313968
7025 100.5287170179
7080 100.5280959820
7085 100.5274522300
7089 100.5268814719
7095 100.5266166883
7099 100.5232497284
7107 100.5232434266
7122 100.5211582718
7157 100.5210306022
7166 100.5189723592
7269 100.5162638542
7372 100.5139510353
7387 100.5116057087
7432 100.5105753819
7450 100.5087994231
7503 100.5080762298
7515 100.5080447707
7541 100.5071570851
7620 100.5064034017
7635 100.5060752593
7651 100.5058182724
7668 100.5057023274
7677 100.5053061896
7685 100.5045307259
7686 100.5040415705
7700 100.5030240507
7719 100.5025582668
7740 100.5025222850
7836 100.5018363234
7881 100.5013813108
7922 100.5011321766
7930 100.5011086875
7937 100.5009173212
7951 100.5007929371
7960 100.5007432642
7962 100.5006687777
7963 100.5004694313
7981 100.5002250784
7983 100.5000890788
7986 100.5000041555
7990 100.4999152517
7997 100.4998010199
8048 100.4993220266
8049 100.4987930666
8071 100.4985618417
8083 100.4975790524
8110 100.4975598661
8172 100.4972030763
8274 100.4970412964
8301 100.4966409754
8333 100.4964553493
8343 100.4964546266
8347 100.4964276089
8351 100.4962151946
8359 100.4959837890
8429 100.4958675303
8446 100.4958403373
8456 100.4958336725
8467 100.4957640608
8477 100.4951903966
8522 100.4951859821
8535 100.4951060263
8536 100.4950745262
8543 100.4950698090
8554 100.4949149213
8559 100.4947139741
8604 100.4946256546
8616 100.4943832714
8634 100.4943753218
8637 100.4943644301
8645 100.4941588389
8669 100.4940582012
8692 100.4939559473
8715 100.4939549785
8727 100.4937785826
8729 100.4937726520
8736 100.4936235660
8821 100.4935735474
8838 100.4935537252
8843 100.4933590418
8866 100.4933065043
8907 100.4932378107
8928 100.4930619891
9013 100.4929700062
9015 100.4926343236
9096 100.4924722817
9136 100.4924597815
9140 100.4923653552
9157 100.4923605383
9163 100.4922057188
9186 100.4921880836
9227 100.4921613054
9231 100.4920332763
9253 100.4919850533
9316 100.4919201341
9334 100.4919085597
9341 100.4917043944
9379 100.4916414319
9392 100.4916207265
9451 100.4915805689
9460 100.4915638193
9466 100.4915167502
9495 100.4914192436
9534 100.4913378405
9550 100.4913023629
9643 100.4912252209
9667 100.4912218206
9676 100.4911929581
9731 100.4911667362
9752 100.4910458657
9836 100.4910276724
9887 100.4910182068
9902 100.4910123724
9911 100.4910072464
9913 100.4909929340
9925 100.4909903900
9942 100.4909879759
9959 100.4909839253
9970 100.4909688656
9978 100.4909589208
9983 100.4909390016
9992 100.4909344084
10006 100.4909279111
10022 100.4909176599
10040 100.4909053345
10044 100.4908820042
10052 100.4908614463
10123 100.4908507622
10154 100.4908285479
10179 100.4908266170
10197 100.4908146767
10202 100.4907958404
10241 100.4907862966
10337 100.4907834042
10421 100.4907581559
10463 100.4907576105
10471 100.4907500320
10474 100.4907431753
10507 100.4907379127
10516 100.4907318611
10541 100.4907277019
10549 100.4907265615
10556 100.4907180172
10567 100.4907119100
10613 100.4907084123
10647 100.4907075385
10658 100.4906970406
10703 100.4906961956
10709 100.4906950618
10736 100.4906907187
10759 100.4906870033
10764 100.4906793696
10778 100.4906781545
10808 100.4906778001
10814 100.4906713471
10816 100.4906658435
10839 100.4906609659
10843 100.4906596653
10849 100.4906593265
10860 100.4906567387
10867 100.4906480454
10922 100.4906411559
11027 100.4906398284
11080 100.4906394558
11082 100.4906281618
11092 100.4906230312
11127 100.4906222658
11148 100.4906186705
11177 100.4906168801
11179 100.4906066438
11190 100.4906030614
11227 100.4906027419
11236 100.4905990105
11315 100.4905902125
11353 100.4905873338
11373 100.4905856372
11387 100.4905814619
11401 100.4905785758
11544 100.4905760220
11571 100.4905742406
11594 100.4905725465
11610 100.4905707292
11612 100.4905707114
11613 100.4905701734
11622 100.4905667360
11649 100.4905658828
11652 100.4905657646
11654 100.4905630583
11688 100.4905626571
11689 100.4905565485
11736 100.4905556743
11772 100.4905539204
11814 100.4905517314
11854 100.4905517131
11867 100.4905505678
11921 100.4905501822
11968 100.4905485585
11995 100.4905480259
11996 100.4905476170
12003 100.4905468429
12044 100.4905458880
12051 100.4905449643
12056 100.4905449088
12072 100.4905448111
12135 100.4905439980
12137 100.4905439314
12143 100.4905430451
12175 100.4905429325
12199 100.4905425879
12207 100.4905417101
12220 100.4905416623
12232 100.4905416306
12234 100.4905413547
12236 100.4905407130
12273 100.4905405859
12307 100.4905399290
12308 100.4905397668
12394 100.4905397531
12395 100.4905393638
12480 100.4905391743
12503 100.4905390303
12521 100.4905387524
12561 100.4905385743
12593 100.4905384643
12597 100.4905382415
12682 100.4905378503
12762 100.4905377659
12793 100.4905376676
12802 100.4905373781
12827 100.4905372935
12872 100.4905372618
12886 100.4905371635
12918 100.4905371248
12943 100.4905371109
12956 100.4905371075
13048 100.4905370068
13058 100.4905369909
13062 100.4905368047
13158 100.4905367924
13175 100.4905367474
13180 100.4905367383
13235 100.4905367161
13278 100.4905367062
13296 100.4905366612
13297 100.4905366441
13321 100.4905366431
13337 100.4905366329
13343 100.4905366069
13378 100.4905366054
13383 100.4905365959
13396 100.4905365760
13397 100.4905365666
13405 100.4905365529
13454 100.4905365522
13456 100.4905365376
13473 100.4905365298
13519 100.4905365282
13523 100.4905365105
13553 100.4905365070
13589 100.4905364974
13595 100.4905364903
13653 100.4905364842
13656 100.4905364834
13661 100.4905364803
13724 100.4905364789
13730 100.4905364744
13771 100.4905364722
13786 100.4905364693
13835 100.4905364675
13854 100.4905364666
13884 100.4905364608
13926 100.4905364590
13965 100.4905364576
14000 100.4905364561
14024 100.4905364560
14029 100.4905364550
14030 100.4905364540
14037 100.4905364537
14042 100.4905364530
14044 100.4905364530
14072 100.4905364527
14094 100.4905364522
14095 100.4905364505
14117 100.4905364503
14126 100.4905364500
14141 100.4905364484
14148 100.4905364479
14175 100.4905364477
14179 100.4905364469
14249 100.4905364467
14270 100.4905364466
14276 100.4905364466
14285 100.4905364452
14344 100.4905364449
14395 100.4905364447
14449 100.4905364444
14543 100.4905364444
14557 100.4905364443
14582 100.4905364443
14586 100.4905364442
14587 100.4905364440
14596 100.4905364439
14600 100.4905364437
14607 100.4905364436
14620 100.4905364435
14638 100.4905364435
14649 100.4905364433
14721 100.4905364433
14793 100.4905364432
14835 100.4905364431
14836 100.4905364431
14872 100.4905364430
14881 100.4905364430
14908 100.4905364430
14911 100.4905364428
15001 100.4905364428
15066 100.4905364428
15067 100.4905364428
15069 100.4905364428
15102 100.4905364427
15139 100.4905364427
15158 100.4905364427
15170 100.4905364427
15173 100.4905364427
15200 100.4905364427
15202 100.4905364427
15244 100.4905364427
15287 100.4905364427
15295 100.4905364427
15309 100.4905364426
15345 100.4905364426
15384 100.4905364426
15396 100.4905364426
15424 100.4905364426
15443 100.4905364426
15458 100.4905364426
15465 100.4905364426
15521 100.4905364426
15527 100.4905364426
15528 100.4905364426
15540 100.4905364426
15541 100.4905364426
15549 100.4905364426
15606 100.4905364426
15652 100.4905364426
15654 100.4905364426
15657 100.4905364426
15677 100.4905364426
15683 100.4905364426
15764 100.4905364426
15819 100.4905364426
15843 100.4905364426
15846 100.4905364426
15848 100.4905364426
15862 100.4905364426
15870 100.4905364426
15928 100.4905364426
15978 100.4905364426
16015 100.4905364426
16043 100.4905364426
16075 100.4905364426
16104 100.4905364426
16223 100.4905364426
16291 100.4905364426
16316 100.4905364426
16355 100.4905364426
16367 100.4905364426
16373 100.4905364426
16459 100.4905364426
16479 100.4905364426
16572 100.4905364426
16580 100.4905364426
16581 100.4905364426
16589 100.4905364426
16742 100.4905364426
16760 100.4905364426
16779 100.4905364426
16787 100.4905364426
16874 100.4905364426
16919 100.4905364426
17025 100.4905364426
17046 100.4905364426
17051 100.4905364426
17136 100.4905364426
17432 100.4905364426
17656 100.4905364426
17687 100.4905364426
17848 100.4905364426
17916 100.4905364426
17973 100.4905364426
18017 100.4905364426
18947 100.4905364426
27509 100.4905364426
43617 100.4905364426
59385 100.4905364426
68867 100.4905364426
229440 95.4872175623
229445 84.4464731546
229656 71.8000915837
229913 69.0890755653
229914 68.2558954074
229915 63.4480768714
230128 63.3641649502
230209 62.1539171358
230216 61.4048027688
230253 57.5528477666
230304 54.0698792182
230339 54.0211505165
230363 52.7067825485
230388 48.5235509288
230412 47.0606417704
230422 45.2528088662
230469 43.6290859875
230570 43.5275542124
230597 40.7349911030
230637 39.9644572754
230707 39.7023863561
230817 39.4936702070
230845 38.9407437311
230876 37.8358321403
231001 37.0858408702
231098 36.5230701089
231136 36.4110996321
231199 36.2322751753
231203 35.8431941776
231228 35.2828021683
231316 35.2379147504
231362 35.1350047135
231440 35.0366669603
231464 34.9008813714
231551 34.5362206903
231662 34.3256334726
231755 34.2958089062
231786 34.2603365724
231839 33.9544256548
231868 33.8476496925
232082 33.8113634374
232104 33.7822324422
232186 33.5457630139
232293 33.4817332220
232297 33.4266762100
232349 33.4181692808
232404 33.4053073793
232406 33.2760622285
232616 33.2387469812
232619 33.2276954785
232667 33.1780121610
232739 33.1761718743
232740 33.1705513345
232798 33.1026288327
232984 33.0915337000
233117 33.0756498669
233189 33.0713114921
233233 33.0670125893
233235 33.0585377114
233243 33.0549656680
233329 33.0497923492
233360 33.0280512371
233381 33.0173100300
233440 33.0122366320
233551 33.0099321716
233555 32.9909353415
233583 32.9816455114
233644 32.9714114210
233769 32.9702176316
233842 32.9594783116
233912 32.9574226457
233945 32.9532323984
233973 32.9529669749
234010 32.9472157708
234041 32.9422754626
234062 32.9378633389
234109 32.9360870000
234110 32.9339108436
234141 32.9327706457
234148 32.9269045220
234192 32.9189481786
234444 32.9175459745
234493 32.9175441322
234497 32.9169465102
234542 32.9161481473
234602 32.9130068060
234657 32.9126383272
234672 32.9120951428
234700 32.9106195837
234725 32.9097459679
234759 32.9087826434
234817 32.9076067168
234826 32.9065499071
234894 32.9061828407
234897 32.9021667668
235020 32.9017450153
235048 32.9004847899
235103 32.8996849345
235105 32.8992210187
235193 32.8976303579
235256 32.8955738964
235381 32.8923526194
235469 32.8897274331
235594 32.8880265575
235706 32.8867946353
235800 32.8852233471
235861 32.8830845304
235915 32.8825196726
235964 32.8751053553
236065 32.8748502188
236083 32.8743045293
236200 32.8705143073
236376 32.8693453728
236400 32.8652538336
236428 32.8639681666
236629 32.8617677077
236648 32.8616127421
236691 32.8578438746
236809 32.8559883724
236860 32.8551634712
236980 32.8550460659
236990 32.8549409829
236996 32.8545857661
237002 32.8514199957
237036 32.8497632356
237057 32.8492487456
237196 32.8477200461
237201 32.8475971291
237273 32.8475247828
237318 32.8460925071
237390 32.8437145043
237445 32.8436632111
237472 32.8433123840
237494 32.8430750873
237566 32.8425654994
237819 32.8423423560
237849 32.8421692789
237856 32.8415874607
237900 32.8414127042
237930 32.8408765431
237982 32.8404911013
238008 32.8399896455
238033 32.8391291815
238092 32.8390469977
238202 32.8389246448
238267 32.8389239105
238306 32.8383377428
238408 32.8382801134
238439 32.8382784013
238460 32.8382291883
238463 32.8379435587
238473 32.8379407821
238520 32.8379054449
238522 32.8378790105
238546 32.8377405999
238573 32.8374195199
238666 32.8373070414
238685 32.8372857698
238720 32.8370788256
238767 32.8370281239
238821 32.8370254166
238854 32.8369038745
238876 32.8368844539
238891 32.8368231973
238895 32.8367993045
238920 32.8366495027
239107 32.8366050446
239122 32.8365889091
239176 32.8365839235
239207 32.8365682622
239209 32.8365357670
239225 32.8365319207
239248 32.8365049040
239255 32.8364610185
239285 32.8364218106
239308 32.8363868252
239350 32.8362916941
239397 32.8361155742
239526 32.8361073718
239555 32.8359527954
239628 32.8358375807
239658 32.8358077230
239661 32.8357758108
239875 32.8357743197
239900 32.8355034521
240049 32.8354875312
240051 32.8354643976
240150 32.8354593996
240241 32.8354509650
240277 32.8352824360
240322 32.8352645831
240326 32.8352056095
240333 32.8352019644
240400 32.8351721060
240417 32.8351341368
240437 32.8350476673
240557 32.8349770105
240582 32.8348550424
240704 32.8348171199
240757 32.8347093338
240877 32.8345796990
240899 32.8345698756
240958 32.8345420659
240973 32.8344888343
241016 32.8344437003
241019 32.8344223566
241125 32.8344098367
241192 32.8343768357
241266 32.8343672984
241302 32.8342925143
241405 32.8342571936
241447 32.8341101158
241586 32.8340586347
241654 32.8340471617
241656 32.8340253575
241784 32.8340231133
241841 32.8339947542
241857 32.8339029928
242065 32.8338981414
242084 32.8338887466
242086 32.8338652212
242088 32.8338540349
242140 32.8338430573
242212 32.8338425857
242239 32.8338415627
242273 32.8338368343
242278 32.8338308929
242280 32.8338216313
242292 32.8338159294
242300 32.8337851679
242395 32.8337678877
242453 32.8337630543
242469 32.8337575581
242520 32.8337518081
242523 32.8337321723
242625 32.8337245509
242644 32.8337152922
242672 32.8337099859
242682 32.8337082052
242746 32.8337044156
242747 32.8337019031
242776 32.8336944285
242867 32.8336921976
242947 32.8336900013
242964 32.8336758181
243031 32.8336729031
243064 32.8336718108
243190 32.8336617293
243282 32.8336581200
243337 32.8336570536
243412 32.8336563804
243420 32.8336552581
243454 32.8336539416
243472 32.8336536273
243488 32.8336536050
243552 32.8336534049
243574 32.8336525629
243580 32.8336521814
243587 32.8336504895
243588 32.8336473539
243714 32.8336457718
243725 32.8336443745
243798 32.8336418450
243862 32.8336411911
243965 32.8336399615
244007 32.8336399342
244037 32.8336390845
244135 32.8336389024
244139 32.8336383738
244212 32.8336373822
244232 32.8336372966
244267 32.8336371969
244281 32.8336371258
244405 32.8336364481
244444 32.8336362637
244446 32.8336359738
244504 32.8336356986
244572 32.8336354104
244621 32.8336353640
244632 32.8336347441
244846 32.8336346021
244907 32.8336344536
244970 32.8336344042
244983 32.8336343664
245013 32.8336342938
245028 32.8336342528
245120 32.8336342511
245163 32.8336341701
245191 32.8336341678
245194 32.8336341642
245222 32.8336341629
245275 32.8336341256
245285 32.8336339564
245479 32.8336339512
245551 32.8336339450
245567 32.8336339380
245705 32.8336338880
245791 32.8336338758
245844 32.8336338632
245851 32.8336338578
246046 32.8336338571
246047 32.8336338483
246062 32.8336338454
246089 32.8336338451
246108 32.8336338427
246118 32.8336338340
246150 32.8336338210
246198 32.8336338185
246241 32.8336338156
246258 32.8336338132
246271 32.8336337952
246418 32.8336337898
246595 32.8336337836
246815 32.8336337832
246837 32.8336337830
246843 32.8336337822
246858 32.8336337816
246863 32.8336337812
246883 32.8336337806
246884 32.8336337804
246916 32.8336337783
246964 32.8336337774
246984 32.8336337772
247042 32.8336337765
247085 32.8336337761
247114 32.8336337756
247145 32.8336337743
247280 32.8336337724
247604 32.8336337722
247700 32.8336337722
247710 32.8336337722
247720 32.8336337721
247765 32.8336337719
247814 32.8336337719
247891 32.8336337718
247914 32.8336337715
247928 32.8336337715
247966 32.8336337714
248019 32.8336337714
248020 32.8336337712
248122 32.8336337711
248221 32.8336337711
248234 32.8336337711
248267 32.8336337710
248282 32.8336337710
248379 32.8336337710
248403 32.8336337709
248451 32.8336337709
248477 32.8336337709
248516 32.8336337708
248551 32.8336337708
248573 32.8336337708
248651 32.8336337708
248726 32.8336337707
248782 32.8336337707
248873 32.8336337707
248931 32.8336337707
249121 32.8336337707
249135 32.8336337707
249137 32.8336337707
249274 32.8336337706
249378 32.8336337706
249393 32.8336337706
249414 32.8336337706
249421 32.8336337706
249449 32.8336337706
249566 32.8336337706
249636 32.8336337706
249668 32.8336337706
249675 32.8336337706
249723 32.8336337706
249724 32.8336337706
249742 32.8336337706
249771 32.8336337706
249784 32.8336337706
249868 32.8336337706
249936 32.8336337706
249949 32.8336337706
250008 32.8336337706
250026 32.8336337706
250068 32.8336337706
250080 32.8336337706
250090 32.8336337706
250099 32.8336337706
250101 32.8336337706
250108 32.8336337706
250122 32.8336337706
250202 32.8336337706
250209 32.8336337706
250272 32.8336337706
250344 32.8336337706
250402 32.8336337706
250411 32.8336337706
250448 32.8336337706
250463 32.8336337706
250484 32.8336337706
250516 32.8336337706
250699 32.8336337706
250727 32.8336337706
250816 32.8336337706
250848 32.8336337706
250860 32.8336337706
250869 32.8336337706
250889 32.8336337706
251005 32.8336337706
251108 32.8336337706
251168 32.8336337706
251203 32.8336337706
251421 32.8336337706
251510 32.8336337706
251539 32.8336337706
251763 32.8336337706
251881 32.8336337706
252079 32.8336337706
252111 32.8336337706
252716 32.8336337706
253331 32.8336337706
253656 32.8336337706
258436 32.8336337706
259916 32.8336337706
285190 32.8336337706
312219 32.8336337706
316492 32.8336337706
400005 32.8336337706
evaluations raw_y
1 11242.9472124312
2 9649.2620777800
3 4165.3815696801
49 4127.3480716027
57 3238.7116735791
76 2494.0617885312
92 2453.9561315703
