evaluations raw_y
1 66.1600383726
8 53.5877377678
12 53.2397267212
16 27.1031252724
38 24.6197543534
42 14.9121635943
71 12.3987674097
77 3.3633145618
256 0.1957967278
305 0.4052219381
321 0.2693007458
325 0.2930987850
355 0.2875587723
426 0.1140019677
463 0.0924118802
481 0.0931631783
560 0.0860491596
571 0.0866068812
620 0.0858523811
640 0.0847648119
641 0.0812245098
643 0.0786927498
714 0.0781470233
729 0.0782179709
739 0.0776711831
752 0.0774831548
770 0.0774195427
779 0.0771893093
789 0.0771360016
798 0.0768530829
808 0.0764289109
869 0.0764417345
891 0.0763993291
901 0.0763970672
961 0.0763963693
971 0.0763985813
982 0.0763970375
989 0.0763966241
990 0.0763964558
1011 0.0763967381
1018 0.0763968147
1026 0.0763968569
1041 0.0763970324
1054 0.0763970286
1058 0.0763969247
1072 0.0763969727
1081 0.0763969902
1098 0.0763969421
1126 0.0763969478
1129 0.0763969463
1137 0.0763969681
1147 0.0763969637
1155 0.0763969674
1160 0.0763969613
1163 0.0763969557
1167 0.0763969578
1186 0.0763969578
1187 0.0763969601
1190 0.0763969602
1696 2.1407165964
2024 1.8873090832
2186 1.3938393454
2207 1.0611089917
2229 0.7296443189
2253 0.2554342331
2272 0.0370244119
2328 0.0201113830
2425 0.0048046064
2486 0.0035450649
2508 0.0019040767
2515 0.0011569979
2578 0.0007063465
2584 0.0003201026
2586 0.0001108167
2617 0.0000667773
2650 0.0000595881
2654 0.0000526459
2658 0.0000346401
2681 0.0000141621
2748 0.0000049942
2775 0.0000018166
2790 0.0000013443
2818 0.0000001873
2839 0.0000000180
2887 0.0000000084
2962 0.0000000032
2972 0.0000000024
3048 0.0000000004
3073 0.0000000001
3095 0.0000000000
3126 0.0000000000
3178 0.0000000000
3182 0.0000000000
3184 0.0000000000
3188 0.0000000000
30016 0.0002558818
evaluations raw_y
1 134.5321525161
2 109.2744833617
4 93.4689060720
6 75.0247051281
9 43.9645560210
11 34.7640263114
17 25.0095065469
34 18.1124971656
37 13.5958104574
40 4.3878875483
88 3.9724252141
216 1.6261834923
429 0.1818752418
453 0.1388178082
549 0.1197649060
558 0.0222492310
606 0.0195503008
614 0.0155009643
662 0.0148408052
665 0.0122325426
667 0.0062665570
669 0.0060607817
681 0.0023241059
686 0.0006889851
759 0.0005969078
765 0.0004545914
790 0.0002531384
814 0.0001941024
825 0.0000582565
877 0.0000557837
881 0.0000257213
903 0.0000207215
904 0.0000200437
910 0.0000063469
925 0.0000026422
939 0.0000002312
980 0.0000001369
1001 0.0000000424
1028 0.0000000216
1030 0.0000000158
1060 0.0000000025
1067 0.0000000005
1071 0.0000000000
1141 0.0000000000
1144 0.0000000000
1171 0.0000000000
1179 0.0000000000
1186 0.0000000000
30107 13.5790254605
evaluations raw_y
1 100.4472703816
3 72.5711565709
4 68.9448362289
5 12.3392725951
85 8.9695038972
129 4.7584370878
252 4.0250727170
298 3.7093403213
321 3.4455222640
324 2.5425482599
409 2.2767134966
437 1.8965046306
508 1.8172758103
513 1.7185707564
528 1.7104067510
531 1.6799380108
545 1.5870106316
549 1.5598808994
561 1.5301175823
562 1.5163857910
568 1.4164556756
618 1.3464939554
713 1.3358601930
717 1.3326910488
720 1.3192083867
736 1.3182145259
740 1.3031240605
748 1.2957926972
752 1.2920771006
789 1.2889157670
798 1.2808625415
814 1.2775791426
818 1.2769173073
822 1.2760102415
827 1.2703289529
830 1.2680648220
836 1.2678560434
842 1.2667832446
874 1.2539263389
887 1.2511346688
906 1.2507089748
964 1.2506699154
971 1.2505811051
973 1.2505038612
984 1.2502333056
988 1.2501793931
989 1.2500761620
991 1.2500295012
1020 1.2500094841
1045 1.2500014794
1053 1.2500013063
1075 1.2500007252
1092 1.2500004574
1120 1.2500003930
1122 1.2500000665
1128 1.2499999848
1149 1.2499999779
1163 1.2499999764
1164 1.2499999704
1179 1.2499999561
1213 1.2499999555
1216 1.2499999529
1246 1.2499999524
1292 1.2499999524
1307 1.2499999524
1313 1.2499999524
1380 1.2499999524
1394 1.2499999524
1404 1.2499999524
1420 1.2499999524
1424 1.2499999524
1460 1.2499999524
2021 1.1926797386
2611 0.6826052627
2627 0.2689613525
2656 0.2664011138
2666 0.3638826739
2669 0.2507415597
2750 0.1159958537
2865 0.1125963173
