evaluations raw_y
1 40.9927273181
2 61.7511804977
18 79.1236946646
39 24.9760551457
72 41.4454496779
86 26.7067027835
96 21.8746212514
132 19.0098392705
140 17.4120562746
142 16.7110506074
165 15.0469353025
166 14.1808238109
210 13.8838412838
228 13.3311723719
254 12.7923322185
257 11.3580663146
321 10.5218340082
379 9.2282182394
437 6.7689539403
499 5.8939696646
623 5.6192636331
648 4.9608189519
661 4.0071276572
960 3.8431724969
982 3.7133427249
1047 3.7110717017
1060 3.5195746612
1125 3.3174091221
1131 2.9597695130
1174 2.6578535652
1334 2.5296724386
1374 2.2720610066
1502 2.1562572294
1512 2.0452093954
1533 2.0181040926
1552 1.8783365886
1570 1.8462833089
1616 1.8073364276
1632 1.7335828794
1653 1.7241773864
1682 1.6691435485
1701 1.6661709681
1705 1.4346307876
1820 1.2921878983
1897 1.2389444992
1901 1.2216996409
1958 1.1106975547
1981 1.0056220717
2049 0.9835969733
2064 0.9391290236
2096 0.8658831406
2161 0.8445254148
2209 0.8149746983
2248 0.7790572904
2254 0.7145913981
2272 0.6972360074
2275 0.6732386121
2300 0.6620734741
2385 0.6480982370
2441 0.6374571721
2442 0.6005524637
2463 0.5914039938
2495 0.5748668757
2557 0.5335361453
2560 0.5128145222
2676 0.4404746783
2836 0.4160309146
2839 0.4059040969
2881 0.3874270562
2969 0.3844833228
3015 0.3747552845
3025 0.3692501785
3042 0.3482666904
3108 0.3335243552
3227 0.3301159845
3291 0.3266783465
3302 0.3263033830
3316 0.3218546713
3376 0.3162463980
3387 0.3009047345
3418 0.2984923077
3475 0.2875443203
3503 0.2770100513
3534 0.2734688503
3582 0.2733338949
3608 0.2684696517
3659 0.2607002109
3663 0.2594363942
3668 0.2533575209
3691 0.2510759721
3723 0.2368551679
3811 0.2262839615
3897 0.2165459059
3912 0.2136230425
4041 0.2122130701
4120 0.2106652216
4128 0.1917811451
4184 0.1824391707
4299 0.1789318552
4429 0.1747946068
4493 0.1747051767
4524 0.1735412574
4528 0.1683307564
4542 0.1655948352
4557 0.1631237918
4623 0.1591623870
4701 0.1550491782
4740 0.1534830918
4758 0.1527607839
4773 0.1483477968
4893 0.1471274698
4911 0.1445376921
4912 0.1422805533
4947 0.1400349006
5008 0.1366216031
5081 0.1343393443
5200 0.1303433328
5220 0.1285775015
5237 0.1269260566
5269 0.1232255937
5405 0.1190209658
5434 0.1183979120
5656 0.1183257329
5692 0.1169760500
5706 0.1160536601
5707 0.1140529263
5754 0.1131197648
5833 0.1114082286
5854 0.1109838152
5944 0.1099630886
5953 0.1087282502
6131 0.1081901970
6155 0.1067404106
6179 0.1052020507
6222 0.1044714673
6437 0.1040849384
6478 0.1036891923
6506 0.1016196409
6604 0.1013929721
6770 0.1010273322
6824 0.1007994440
6867 0.1004556409
6881 0.1001066510
6930 0.0997168577
7075 0.0993150438
7106 0.0992762531
7124 0.0990037537
7142 0.0984975828
7147 0.0980123400
7385 0.0980095756
7432 0.0979513637
7436 0.0977683755
7444 0.0977591334
7446 0.0975274237
7450 0.0969266783
7456 0.0967864089
7459 0.0964890965
7750 0.0962889325
7785 0.0961576143
7795 0.0961379037
7837 0.0960811720
7838 0.0960806922
7853 0.0959276483
7884 0.0957298036
7885 0.0952448537
7979 0.0951642984
8146 0.0950243001
8162 0.0949580513
8255 0.0948532119
8340 0.0948032846
8342 0.0946409646
8350 0.0945763913
8354 0.0941077561
8387 0.0940404093
8395 0.0939177524
8401 0.0938144780
8495 0.0938046221
8502 0.0937483862
8549 0.0935774487
8563 0.0934843981
8600 0.0931944594
8686 0.0930902504
8746 0.0930605584
8770 0.0929603004
8922 0.0929585774
8972 0.0929337466
8974 0.0928284067
9028 0.0927890985
