evaluations raw_y
1 37.6897491788
3 20.0250067759
9 16.7235916932
21 12.0040623859
25 7.6688550200
28 5.3137666304
54 1.5872110763
507 1.1160647760
2946 0.9455584706
3263 0.5393331601
3544 0.5388980272
4906 0.5294185228
4922 0.5237460404
4931 0.4936053452
4947 0.4818177413
4955 0.4669279405
4959 0.4649093531
4972 0.4583655569
4981 0.4318077784
5005 0.3964890994
5027 0.3743166698
5040 0.3671144053
5075 0.3651129529
5083 0.3650425758
5087 0.3586097821
5103 0.3504201657
5117 0.3434816055
5122 0.3412341968
5124 0.3392314329
5146 0.3305462294
5217 0.3241341843
5250 0.3237830453
5283 0.3228360191
5340 0.3227737226
5347 0.3224826412
5367 0.3223822185
5374 0.3222840143
5383 0.3220811660
5390 0.3220644199
5433 0.3220614128
5434 0.3220455796
5442 0.3220409513
5448 0.3220354862
5450 0.3220226797
5469 0.3220143191
5540 0.3220139848
5548 0.3220137591
5586 0.3220135020
5588 0.3220133633
5593 0.3220132255
5595 0.3220132155
5601 0.3220131991
5602 0.3220131218
5616 0.3220130878
5621 0.3220129895
5630 0.3220129735
5648 0.3220129573
5670 0.3220129526
5694 0.3220129480
5702 0.3220129438
5707 0.3220129387
5735 0.3220129361
5785 0.3220129359
5786 0.3220129359
5798 0.3220129355
5821 0.3220129355
5843 0.3220129353
5844 0.3220129346
5903 0.3220129346
5905 0.3220129345
5907 0.3220129345
5961 0.3220129345
5969 0.3220129345
5987 0.3220129345
6050 0.3220129345
6077 0.3220129345
6106 0.3220129345
6112 0.3220129345
6116 0.3220129345
6124 0.3220129345
6128 0.3220129345
6141 0.3220129345
6148 0.3220129345
6154 0.3220129345
6157 0.3220129345
6158 0.3220129345
6172 0.3220129345
6202 0.3220129345
6209 0.3220129345
6221 0.3220129345
6227 0.3220129345
6236 0.3220129345
6265 0.3220129345
9911 0.2671722463
14150 0.2436734489
14195 0.2338096839
14203 0.2304800188
14247 0.2301168504
14275 0.2247665699
14300 0.2172600466
14322 0.2088221768
14374 0.2068233956
14387 0.2037766248
14408 0.1938057868
14444 0.1900647175
14492 0.1725839313
14528 0.1692931307
14529 0.1685750959
14544 0.1679717490
14594 0.1654113963
14601 0.1608181363
14614 0.1602659165
14635 0.1520213299
14643 0.1520155066
14700 0.1516755072
14716 0.1484253198
14729 0.1453771449
14750 0.1421030780
14848 0.1420379890
14883 0.1420101701
14895 0.1415735119
15040 0.1415266463
15084 0.1414805098
15134 0.1414500491
15138 0.1414116536
15176 0.1414088984
15183 0.1413983337
15201 0.1413969840
15221 0.1413893209
15283 0.1413865837
15305 0.1413824169
15325 0.1413801922
15340 0.1413748590
15364 0.1413730389
15527 0.1413725170
15557 0.1413720218
15609 0.1413717994
15624 0.1413716427
15653 0.1413715941
15676 0.1413715612
15681 0.1413715307
15739 0.1413715250
15776 0.1413715240
15791 0.1413715093
15863 0.1413715003
16079 0.1413715001
16155 0.1413714998
16185 0.1413714996
16256 0.1413714995
16260 0.1413714995
16263 0.1413714994
16322 0.1413714994
16335 0.1413714994
16357 0.1413714994
16358 0.1413714994
16378 0.1413714993
16533 0.1413714993
16562 0.1413714993
16565 0.1413714993
16567 0.1413714993
16594 0.1413714993
16599 0.1413714993
16612 0.1413714993
16645 0.1413714993
16707 0.1413714993
16746 0.1413714993
16747 0.1413714993
16761 0.1413714992
16782 0.1413714992
16820 0.1413714991
16845 0.1413714991
16861 0.1413714990
16938 0.1413714989
16944 0.1413714989
16951 0.1413714988
16960 0.1413714988
16973 0.1413714988
16980 0.1413714986
16981 0.1413714986
16984 0.1413714986
16996 0.1413714986
17025 0.1413714985
17056 0.1413714985
17059 0.1413714984
17070 0.1413714981
17075 0.1413714981
17109 0.1413714980
17124 0.1413714979
17135 0.1413714978
17169 0.1413714977
17177 0.1413714976
17185 0.1413714975
17187 0.1413714971
17217 0.1413714968
17220 0.1413714962
17246 0.1413714961
17255 0.1413714958
17257 0.1413714956
17281 0.1413714954
17310 0.1413714947
17318 0.1413714941
17373 0.1413714930
17385 0.1413714929
17391 0.1413714921
17398 0.1413714904
17421 0.1413714893
17443 0.1413714881
17444 0.1413714865
17466 0.1413714820
17479 0.1413714738
17508 0.1413714731
17551 0.1413714638
17583 0.1413714574
17662 0.1413714450
17797 0.1413714433
17799 0.1413714408
17948 0.1413714399
17957 0.1413714392
17985 0.1413714391
17988 0.1413714388
18027 0.1413714384
18035 0.1413714382
18039 0.1413714378
18063 0.1413714372
18121 0.1413714372
18154 0.1413714353
18439 0.1413714353
18442 0.1413714352
18453 0.1413714352
18455 0.1413714352
18482 0.1413714352
18483 0.1413714352
18505 0.1413714351
18522 0.1413714351
18535 0.1413714351
18547 0.1413714351
18548 0.1413714351
18660 0.1413714350
18754 0.1413714350
18761 0.1413714350
18765 0.1413714350
18861 0.1413714350
18884 0.1413714350
18888 0.1413714350
18899 0.1413714350
18967 0.1413714350
18974 0.1413714350
19009 0.1413714350
19120 0.1413714350
19128 0.1413714350
22553 0.1131798616
23537 0.1046649184
23610 0.0908414996
23622 0.0598393986
23785 0.0451613269
23846 0.0314033615
23857 0.0192408698
23873 0.0146536044
23942 0.0062794635
23973 0.0056456622
24046 0.0046155961
24097 0.0045689027
24109 0.0044172061
24227 0.0043459333
24258 0.0041325356
24269 0.0039522599
24339 0.0038432387
24341 0.0038157524
24446 0.0037518184
24449 0.0035920883
24482 0.0034847675
24497 0.0033191742
24513 0.0032777223
24579 0.0029784170
24614 0.0029288098
24622 0.0026825995
24645 0.0021943407
24702 0.0019833860
24715 0.0013921888
24841 0.0011833811
24868 0.0011529468
24926 0.0007203349
24933 0.0005877773
24989 0.0005344249
25040 0.0004514475
25048 0.0003437849
25076 0.0003183741
25184 0.0001332751
25262 0.0000554042
25303 0.0000173081
25400 0.0000104567
25467 0.0000024868
25474 0.0000022648
25569 0.0000016343
25610 0.0000004404
25681 0.0000002339
25801 0.0000001711
25855 0.0000001280
25857 0.0000000932
25898 0.0000000225
25997 0.0000000150
26176 0.0000000125
26187 0.0000000121
26203 0.0000000082
26244 0.0000000049
26279 0.0000000021
26342 0.0000000011
26372 0.0000000007
26411 0.0000000005
26441 0.0000000003
26467 0.0000000003
26469 0.0000000002
26526 0.0000000001
26689 0.0000000001
26754 0.0000000000
26905 0.0000000000
26948 0.0000000000
26967 0.0000000000
27012 0.0000000000
27171 0.0000000000
27237 0.0000000000
27396 0.0000000000
27478 0.0000000000
27493 0.0000000000
27500 0.0000000000
27841 0.0000000000
50016 0.1674389029
evaluations raw_y
1 31.9966924022
2 15.1986588995
4 14.5379207783
23 14.4332326601
31 6.8269004949
46 6.7308360022
80 6.1979945012
99 2.4263486030
426 2.2622583090
542 1.6934006507
726 1.5631257926
775 1.2385372109
807 0.6781671291
1829 0.6634777307
2092 0.5860969297
2296 0.4809640509
2841 0.4751557971
2845 0.4271660074
2853 0.4203340509
2856 0.4152179782
2862 0.4049614367
2865 0.3862712581
2876 0.3772373150
2879 0.3502337896
2976 0.3468129327
3004 0.3433685414
3024 0.3428158722
3044 0.3420275771
3062 0.3420102145
3086 0.3418622919
3092 0.3416779392
3131 0.3416666152
3204 0.3416632565
3212 0.3416511512
3274 0.3416501920
3377 0.3416499974
3389 0.3416497457
3458 0.3416497285
3468 0.3416497076
3475 0.3416496988
3492 0.3416496860
3501 0.3416496853
3507 0.3416496839
3520 0.3416496833
3553 0.3416496819
3559 0.3416496799
3563 0.3416496794
3612 0.3416496791
3635 0.3416496789
3638 0.3416496783
3644 0.3416496779
3699 0.3416496777
3705 0.3416496776
3715 0.3416496770
3725 0.3416496770
3732 0.3416496762
3742 0.3416496755
3751 0.3416496746
3752 0.3416496742
3759 0.3416496738
3761 0.3416496721
3765 0.3416496716
3777 0.3416496713
3787 0.3416496691
3795 0.3416496686
3799 0.3416496677
3801 0.3416496644
3837 0.3416496632
3853 0.3416496574
3857 0.3416496571
3863 0.3416496562
3865 0.3416496520
3888 0.3416496509
3891 0.3416496480
3897 0.3416496460
3898 0.3416496363
3908 0.3416496314
3913 0.3416496272
3914 0.3416496221
3926 0.3416496067
3929 0.3416495993
3949 0.3416495665
3953 0.3416495645
3955 0.3416495367
3991 0.3416494999
3992 0.3416494458
3998 0.3416494345
4000 0.3416494052
4008 0.3416493855
4009 0.3416493683
4020 0.3416493547
4024 0.3416493306
4027 0.3416493208
4028 0.3416492942
4035 0.3416492753
4037 0.3416492270
4050 0.3416490050
4062 0.3416489047
4065 0.3416487759
4102 0.3416487477
4103 0.3416487165
4112 0.3416486727
4121 0.3416485961
4126 0.3416485656
4136 0.3416485153
4148 0.3416483689
4178 0.3416483675
4187 0.3416483629
4199 0.3416483539
4204 0.3416483207
4211 0.3416483195
4231 0.3416482901
4236 0.3416482502
4244 0.3416482381
4246 0.3416482376
4254 0.3416482287
4256 0.3416482247
4270 0.3416482112
4277 0.3416482030
4278 0.3416481773
4283 0.3416481623
4292 0.3416481365
4300 0.3416481257
4340 0.3416481153
4344 0.3416481075
4367 0.3416481071
4380 0.3416481047
4390 0.3416481034
4438 0.3416481021
4452 0.3416481019
4459 0.3416481015
4472 0.3416481014
4551 0.3416481013
4553 0.3416481012
4559 0.3416481012
4640 0.3416481012
4644 0.3416481012
4651 0.3416481012
4671 0.3416481012
4675 0.3416481011
4681 0.3416481011
4692 0.3416481011
4700 0.3416481011
4710 0.3416481011
4727 0.3416481011
4753 0.3416481011
4760 0.3416481011
4768 0.3416481011
4817 0.3416481011
48041 0.2637442255
50040 10.5255979675
evaluations raw_y
1 56.2541664175
2 44.3842098662
11 16.9572398309
17 11.4705282537
20 10.2879097616
34 8.6196518934
48 5.4506182165
92 3.7991293106
126 1.0168819996
1415 0.9934093890
1444 0.4902684032
3328 0.4746671059
3385 0.4448054357
3391 0.3569589005
3416 0.2972786444
3464 0.2877157397
3483 0.2794690742
3491 0.2743774011
3531 0.2737988937
3532 0.2736507969
3537 0.2718473994
3547 0.2709516311
3557 0.2649299079
3641 0.2647833022
3642 0.2640534029
3666 0.2639366334
3667 0.2638023487
3676 0.2633622398
3763 0.2632373609
3777 0.2631534304
3795 0.2630290504
3803 0.2630074483
3813 0.2629505791
3844 0.2629435689
3864 0.2629216472
3874 0.2629140192
3920 0.2629098889
3921 0.2629077421
3936 0.2629050980
3979 0.2629020780
4021 0.2629000881
4023 0.2628983524
4031 0.2628982324
4032 0.2628949113
4046 0.2628920328
4048 0.2628919946
4052 0.2628918643
4054 0.2628894130
4065 0.2628887350
4066 0.2628860375
4069 0.2628818739
4081 0.2628765752
4083 0.2628750029
4090 0.2628611364
4095 0.2628599678
4101 0.2628426164
4111 0.2628273505
4147 0.2628165277
4160 0.2628054586
4179 0.2627996479
4180 0.2627890011
4185 0.2627685206
4201 0.2627665376
4202 0.2627653857
4203 0.2627635661
4211 0.2627474391
4214 0.2627433042
4218 0.2627276072
4221 0.2627259981
4225 0.2626669206
4233 0.2626454686
4243 0.2626247579
4244 0.2625492356
4248 0.2625073168
4250 0.2624400660
4263 0.2624018483
4267 0.2623514516
4274 0.2622099565
4277 0.2621900433
4286 0.2620789511
4292 0.2620669882
4298 0.2619460984
4299 0.2618060002
4318 0.2617595798
4349 0.2617077128
4382 0.2612885851
4411 0.2612004228
4424 0.2611394660
4436 0.2610033859
4442 0.2609818876
4444 0.2609039139
4450 0.2606612659
4458 0.2606337683
4466 0.2603199261
4468 0.2599074983
4482 0.2598396982
4489 0.2589968127
4518 0.2585551663
4548 0.2585101995
4564 0.2574756549
4652 0.2572822889
4660 0.2572794124
4664 0.2572702423
4670 0.2571689584
4689 0.2571196836
4690 0.2570538417
4691 0.2570306573
4704 0.2568708442
4707 0.2566295949
4738 0.2563932111
4745 0.2563529706
4755 0.2562140741
4757 0.2559477773
4764 0.2558939921
4766 0.2558935408
4777 0.2556606269
4779 0.2554347029
4787 0.2554345103
4792 0.2553397320
4813 0.2552506916
4841 0.2551990026
4847 0.2551908945
4864 0.2550792086
4869 0.2550055459
4888 0.2549712562
4894 0.2548052847
4915 0.2547879505
4917 0.2546860985
4953 0.2545913917
4955 0.2544994204
4965 0.2543888518
4971 0.2543839277
4976 0.2542817507
4982 0.2540055674
5001 0.2537341512
5038 0.2533730655
5050 0.2532475413
5100 0.2528666971
5120 0.2528598303
5130 0.2526443160
5147 0.2525343625
5186 0.2522927463
5218 0.2521833284
5226 0.2520976526
5236 0.2520637499
5243 0.2520053930
5252 0.2519930724
5261 0.2519354488
5269 0.2518720516
5270 0.2518642253
5279 0.2518611134
5280 0.2518063538
5286 0.2517916355
5288 0.2516437102
5290 0.2514651183
5305 0.2513553760
5360 0.2513446646
5377 0.2513407761
5378 0.2513104480
5380 0.2512236922
5390 0.2511331790
5401 0.2510850500
5403 0.2508767982
5429 0.2508707714
5443 0.2508613740
5445 0.2506240341
5452 0.2504322431
5466 0.2502139866
5585 0.2501822476
5594 0.2501126834
5602 0.2500283382
5643 0.2499407455
5659 0.2498898229
5680 0.2497848534
5681 0.2497675980
5715 0.2497212903
5723 0.2497134881
5729 0.2496671260
5778 0.2496664771
5782 0.2496553627
5786 0.2495967095
5795 0.2495807425
5815 0.2495601736
5817 0.2495392724
5837 0.2495325457
5841 0.2495173951
5855 0.2494468565
5862 0.2494462448
5865 0.2494293743
5877 0.2494265626
5880 0.2493939940
5899 0.2493780763
5901 0.2493700703
5908 0.2493423581
5909 0.2493310805
5915 0.2492781153
5925 0.2492536007
5932 0.2492355313
5933 0.2492126925
5938 0.2492065460
5939 0.2491661640
5949 0.2491646946
5964 0.2491119748
5989 0.2491106356
5991 0.2490988178
5996 0.2490711010
5999 0.2490530068
6002 0.2490450471
6019 0.2490309434
6020 0.2490206665
6032 0.2489590448
6046 0.2489072999
6057 0.2488799280
6072 0.2488026437
6091 0.2487060825
6229 0.2486942438
6236 0.2486837761
6246 0.2486413485
6280 0.2486396914
6288 0.2486367666
6292 0.2485892406
6296 0.2485438997
6312 0.2485428957
6332 0.2485280090
6339 0.2485277889
6347 0.2485266262
6358 0.2485239479
6362 0.2484929313
6392 0.2484879600
6404 0.2484811489
6410 0.2484568988
6415 0.2484562756
6420 0.2484551308
6421 0.2484155507
6438 0.2484077299
6442 0.2483843604
6445 0.2483573703
6451 0.2483499101
6453 0.2483306529
6461 0.2483170443
6474 0.2483137809
6483 0.2482965417
6490 0.2482656072
6502 0.2482600722
6506 0.2482502725
6508 0.2482466822
6513 0.2482428307
6515 0.2482395080
6527 0.2482394824
6530 0.2482387025
6538 0.2482046144
6563 0.2481876244
6574 0.2481848587
6609 0.2481837855
6622 0.2481831878
6625 0.2481811945
6635 0.2481754294
