evaluations raw_y
1 69.2380457617
9 64.0287372706
13 52.3520918415
14 46.0509650489
18 42.7821341493
21 22.4556010013
26 16.3476619896
29 3.7237490147
39 1.9992611563
57 1.6507609808
69 1.3303278424
83 1.1558464540
86 1.1545001280
92 0.3373933989
96 0.0378771294
133 0.0361535108
135 0.0228985523
155 0.0159615938
163 0.0138703397
164 0.0068970802
197 0.0037397719
205 0.0036226284
210 0.0020633073
218 0.0005783667
238 0.0005597627
242 0.0001122640
264 0.0000396685
266 0.0000307312
288 0.0000232080
297 0.0000114351
307 0.0000098603
332 0.0000021595
339 0.0000013484
351 0.0000010928
355 0.0000010676
360 0.0000004745
363 0.0000003485
366 0.0000000729
386 0.0000000397
408 0.0000000340
411 0.0000000080
440 0.0000000059
449 0.0000000022
452 0.0000000015
477 0.0000000013
483 0.0000000012
485 0.0000000003
500 0.0000000002
506 0.0000000002
519 0.0000000001
520 0.0000000001
538 0.0000000000
612 0.0000000000
629 0.0000000000
651 0.0000000000
686 0.0000000000
701 0.0000000000
730 0.0000000000
30142 64.0971871710
evaluations raw_y
1 88.8474163225
2 24.5444541300
11 23.6087086112
13 16.3683028604
15 7.9306352169
23 6.8703802181
28 1.8335717428
45 0.3216071581
80 0.0955485105
88 0.0274589982
109 0.0076364235
138 0.0056132345
151 0.0045598250
157 0.0041999306
168 0.0041705817
171 0.0016762648
176 0.0003918310
190 0.0003550966
198 0.0002093797
225 0.0001950765
226 0.0001700371
230 0.0000858078
232 0.0000648032
249 0.0000540804
258 0.0000286581
261 0.0000177922
266 0.0000101207
270 0.0000095962
274 0.0000038609
303 0.0000026320
312 0.0000011175
314 0.0000010013
320 0.0000001124
365 0.0000000935
371 0.0000000143
430 0.0000000119
433 0.0000000070
435 0.0000000025
436 0.0000000008
473 0.0000000005
474 0.0000000002
477 0.0000000002
515 0.0000000001
523 0.0000000001
524 0.0000000001
525 0.0000000000
533 0.0000000000
541 0.0000000000
595 0.0000000000
601 0.0000000000
602 0.0000000000
603 0.0000000000
607 0.0000000000
611 0.0000000000
634 0.0000000000
685 0.0000000000
692 0.0000000000
30205 3.9119573689
evaluations raw_y
1 90.1576372299
2 11.3306334929
4 10.2558234020
12 4.9094260510
21 2.4394097951
41 1.0209559237
51 0.3079193644
85 0.2500648302
104 0.0915403983
122 0.0714132658
128 0.0221262949
135 0.0084099515
173 0.0035703187
178 0.0013616614
203 0.0003886688
221 0.0002002013
234 0.0001577858
245 0.0000924257
254 0.0000383343
273 0.0000354983
284 0.0000229294
293 0.0000200636
295 0.0000132021
306 0.0000062236
312 0.0000034169
330 0.0000024894
342 0.0000003128
373 0.0000002910
390 0.0000002249
416 0.0000000836
431 0.0000000507
451 0.0000000445
458 0.0000000368
476 0.0000000104
477 0.0000000103
486 0.0000000016
529 0.0000000008
534 0.0000000004
555 0.0000000001
590 0.0000000001
596 0.0000000001
608 0.0000000000
664 0.0000000000
703 0.0000000000
727 0.0000000000
730 0.0000000000
737 0.0000000000
740 0.0000000000
750 0.0000000000
783 0.0000000000
804 0.0000000000
30163 11.5534379294
evaluations raw_y
1 16.8087162271
10 7.8683806255
14 1.0215299853
16 0.7451431001
24 0.1530387865
38 0.0637450288
58 0.0159912447
117 0.0035328386
150 0.0002327430
181 0.0001108144
209 0.0000862531
227 0.0000421416
244 0.0000140644
258 0.0000015826
307 0.0000012848
318 0.0000004225
332 0.0000001869
333 0.0000000943
363 0.0000000768
365 0.0000000716
369 0.0000000466
374 0.0000000390
383 0.0000000065
388 0.0000000023
404 0.0000000008
436 0.0000000006
449 0.0000000005
455 0.0000000002
466 0.0000000001
473 0.0000000001
499 0.0000000001
502 0.0000000001
509 0.0000000000
524 0.0000000000
541 0.0000000000
552 0.0000000000
607 0.0000000000
613 0.0000000000
653 0.0000000000
655 0.0000000000
656 0.0000000000
711 0.0000000000
30114 24.2064937312
evaluations raw_y
1 111.8252689183
2 87.6270258757
3 69.3318654872
4 43.8760153381
11 39.0735382613
13 36.7991139913
14 30.6949348984
20 0.6422042094
48 0.5188225930
51 0.3758378437
82 0.0677037076
134 0.0674652299
136 0.0504076832
142 0.0147002421
143 0.0087427804
151 0.0061892592
171 0.0023859859
179 0.0011574341
180 0.0009518776
192 0.0007556156
216 0.0004092080
217 0.0001772356
230 0.0001380807
246 0.0000136731
290 0.0000110259
291 0.0000076281
313 0.0000068646
317 0.0000063154
319 0.0000035339
323 0.0000017951
332 0.0000008364
355 0.0000003195
371 0.0000002105
379 0.0000001318
385 0.0000000884
407 0.0000000628
410 0.0000000318
424 0.0000000098
444 0.0000000077
465 0.0000000029
468 0.0000000023
493 0.0000000003
522 0.0000000002
528 0.0000000000
572 0.0000000000
653 0.0000000000
658 0.0000000000
694 0.0000000000
702 0.0000000000
714 0.0000000000
716 0.0000000000
742 0.0000000000
751 0.0000000000
799 0.0000000000
806 0.0000000000
812 0.0000000000
30051 0.0000000000
evaluations raw_y
1 52.3519479848
3 36.0945620648
6 23.0382083762
8 22.7672735923
9 20.3237056079
15 16.9794140172
17 8.3991630969
24 1.7522108832
48 1.4556990200
81 0.2140097054
92 0.0134416244
113 0.0063221869
148 0.0048597557
161 0.0040625855
167 0.0035948687
187 0.0012391675
215 0.0011400394
223 0.0000781367
228 0.0000719771
246 0.0000193995
260 0.0000168619
261 0.0000105985
298 0.0000067271
305 0.0000017169
312 0.0000007611
363 0.0000000655
392 0.0000000005
500 0.0000000002
509 0.0000000001
528 0.0000000001
537 0.0000000000
611 0.0000000000
613 0.0000000000
634 0.0000000000
641 0.0000000000
642 0.0000000000
683 0.0000000000
687 0.0000000000
696 0.0000000000
758 0.0000000000
30058 39.4867003530
evaluations raw_y
1 83.8671272227
2 23.1492109743
3 14.1589812318
4 8.1070198893
11 2.4692040532
16 2.0929743324
18 0.1425926184
77 0.1102052057
79 0.0536036343
96 0.0531496764
109 0.0218875707
120 0.0165993879
139 0.0149894865
142 0.0106293153
146 0.0078117029
151 0.0029041801
183 0.0013916790
192 0.0000896144
231 0.0000749380
246 0.0000517678
281 0.0000443070
282 0.0000373659
289 0.0000349469
294 0.0000298547
298 0.0000006116
346 0.0000005597
371 0.0000001218
380 0.0000000280
430 0.0000000257
431 0.0000000163
435 0.0000000073
436 0.0000000039
442 0.0000000010
456 0.0000000005
474 0.0000000003
505 0.0000000003
523 0.0000000001
541 0.0000000000
570 0.0000000000
581 0.0000000000
592 0.0000000000
608 0.0000000000
638 0.0000000000
656 0.0000000000
