evaluations raw_y
1 418586.1834363343
18 414227.4493749759
22 328746.2928929877
27 325340.1055564877
30 259647.2647532766
39 182602.5397575914
46 170486.3272305465
49 158833.6348462990
63 147219.9740700372
79 126635.6514960049
92 91581.9075796545
101 91069.9181435912
107 91029.2713156344
123 81514.1246832820
136 70254.9788902108
141 66792.5193885166
193 57576.9601710392
209 42887.4033156960
304 41833.8974885534
327 26410.8129890115
406 25256.7176511717
424 23544.1510510198
469 22358.0221031110
474 20964.8099423824
480 18509.8470109026
492 18008.4504893159
507 14992.5969929928
543 12111.7088833264
561 11265.7810322875
570 10966.0741995654
585 6801.0584537380
594 4869.0889632318
607 2993.5928827667
622 1589.9875496441
700 1515.5538747965
706 1101.4427931563
762 66.7105150887
960 4.7945315696
976 4.4762313444
987 4.2205558542
1026 3.7551355872
1060 3.4460127252
1448 3.3966457125
1556 3.1911692798
1869 2.8885743964
2350 2.7791549113
2479 2.5837251211
2491 2.2920384663
2909 2.2798822126
2923 2.1694865679
3003 2.1067512013
3033 2.0996824806
3037 2.0893749726
3059 2.0196307085
3081 1.9810214493
3097 1.9603350268
3144 1.9118044862
3219 1.8982724903
3220 1.8963412022
3228 1.8811272550
3248 1.8794381370
3258 1.8367344314
3270 1.8356511899
3279 1.8096362835
3397 1.8086846320
3423 1.7808215700
3452 1.7777271049
3467 1.7767629969
3503 1.7632257150
3516 1.7562591171
3521 1.7492842016
3526 1.7486034973
3547 1.7369296885
3563 1.7332249476
3573 1.7323821352
3591 1.7296212713
3592 1.7246924073
3617 1.7191441229
3635 1.7058870683
3723 1.6967777933
3825 1.6929151435
3857 1.6896206709
3890 1.6834210485
3936 1.6795297993
3952 1.6772879812
3984 1.6758145688
3985 1.6743769120
4061 1.6739325384
4076 1.6726013585
4077 1.6680525614
4122 1.6668165159
4138 1.6667290528
4144 1.6658091112
4201 1.6652773253
4204 1.6652525522
4211 1.6630930865
4270 1.6611320124
4301 1.6608329244
4312 1.6594045715
4324 1.6592332154
4326 1.6587761895
4354 1.6585321820
4355 1.6582326535
4368 1.6580309631
4370 1.6579607202
4379 1.6578383694
4382 1.6566383517
4422 1.6560010173
4510 1.6558738383
4539 1.6523892699
4635 1.6520827380
4658 1.6517331330
4745 1.6514954614
4780 1.6509785577
4791 1.6508232256
4815 1.6508128334
4828 1.6505243196
4835 1.6505155543
4846 1.6502378675
4924 1.6501971400
4948 1.6498849675
4996 1.6497832651
5042 1.6496064369
5088 1.6495728944
5104 1.6494638928
5121 1.6491586343
5221 1.6490594487
5274 1.6490281401
5288 1.6489474140
5316 1.6489061760
5356 1.6488330327
5371 1.6487464832
5481 1.6487111205
5485 1.6486738767
5502 1.6486678397
5508 1.6486539083
5519 1.6486372608
5529 1.6486057843
5537 1.6485920922
5557 1.6485914857
5576 1.6485882536
5580 1.6485793867
5592 1.6485781040
5597 1.6485528499
5647 1.6485431260
5661 1.6485298363
5686 1.6485232947
5724 1.6485229690
5734 1.6485169104
5814 1.6485127159
5823 1.6485041956
5834 1.6485007636
5842 1.6484926697
5843 1.6484925614
5871 1.6484698836
5882 1.6484575700
5904 1.6484519491
5954 1.6484501595
5966 1.6484448982
5972 1.6484383383
5999 1.6484374005
6002 1.6484356778
6030 1.6484349403
6031 1.6484194732
6167 1.6484175590
6212 1.6484172001
6215 1.6484159655
6219 1.6484133205
6253 1.6484122335
6259 1.6484080407
6266 1.6484077707
6274 1.6484064029
6298 1.6484019470
6352 1.6483982350
6380 1.6483973191
6460 1.6483971547
6479 1.6483958538
6519 1.6483950679
6525 1.6483950553
