evaluations raw_y
1 75.7714001687
16 69.9621036622
55 64.8082989045
63 34.7050693982
134 34.0531435894
163 31.9930934578
166 27.4721330802
167 17.9605958390
185 16.4902453498
189 14.6409652169
196 12.1391347282
200 8.5181853008
241 7.5530525933
248 5.9520500135
257 5.9213356975
273 4.6376015283
301 4.3280664516
311 2.8880158594
329 2.2378469157
360 1.9981901082
450 1.9893495868
452 1.9880546132
474 1.9707634585
488 1.9646813334
504 1.9602541702
511 1.9598836435
515 1.9591686657
524 1.9571947202
540 1.9567953924
549 1.9520073695
577 1.9444701307
625 1.9437738273
631 1.9420618374
635 1.9404173469
666 1.9394366810
676 1.9394143944
685 1.9390332649
706 1.9384296882
711 1.9384165967
740 1.9382633898
758 1.9381935716
759 1.9381922623
761 1.9380396352
777 1.9379249366
834 1.9379015660
842 1.9378734099
872 1.9377914642
911 1.9377774401
945 1.9377752894
967 1.9377635729
974 1.9377585940
1016 1.9377580566
1019 1.9377525363
1029 1.9377502490
1031 1.9377482994
1045 1.9377468485
1055 1.9377445860
1058 1.9377438137
1154 1.9377418552
1200 1.9377418482
1210 1.9377414595
1215 1.9377412359
1236 1.9377411804
1237 1.9377410768
1254 1.9377409683
1257 1.9377409512
1269 1.9377408510
1283 1.9377408447
1291 1.9377407950
1293 1.9377405812
1301 1.9377405780
1373 1.9377405467
1394 1.9377405286
1428 1.9377405267
1432 1.9377405239
1433 1.9377405214
1456 1.9377405213
1464 1.9377405080
1477 1.9377405079
1478 1.9377405073
1480 1.9377405055
1482 1.9377405044
1506 1.9377405009
1552 1.9377404997
1574 1.9377404990
1593 1.9377404988
1605 1.9377404985
1626 1.9377404982
1628 1.9377404980
1632 1.9377404979
1636 1.9377404975
1654 1.9377404975
1657 1.9377404972
1659 1.9377404965
1661 1.9377404965
1667 1.9377404964
1701 1.9377404963
1714 1.9377404962
1723 1.9377404962
1725 1.9377404962
1741 1.9377404962
1744 1.9377404962
1750 1.9377404961
1753 1.9377404959
1789 1.9377404959
1821 1.9377404959
1851 1.9377404959
1864 1.9377404959
1877 1.9377404959
1883 1.9377404959
1891 1.9377404959
1911 1.9377404959
1914 1.9377404959
1922 1.9377404959
1936 1.9377404959
1942 1.9377404959
1985 1.9377404959
1993 1.9377404959
2087 1.9377404959
2093 1.9377404959
2134 1.9377404959
2138 1.9377404959
2148 1.9377404959
2157 1.9377404959
2234 1.9377404959
2263 1.9377404959
2888 0.6590355447
2988 0.5096787842
3008 0.1490245503
3059 0.1415805240
3149 0.1017627331
3159 0.0751177516
3183 0.0648925506
3207 0.0456643843
3209 0.0447033767
3224 0.0156314008
3315 0.0084702903
3335 0.0041762534
3341 0.0023148713
3358 0.0013257876
3478 0.0008909310
3512 0.0008650228
3523 0.0002474393
3534 0.0002388774
3541 0.0001895422
3576 0.0001823519
3582 0.0001794018
3586 0.0000478711
3775 0.0000298856
3784 0.0000075401
3834 0.0000063364
3841 0.0000056926
3847 0.0000028051
3864 0.0000020374
3903 0.0000016018
3929 0.0000002492
4051 0.0000001377
4062 0.0000001318
4107 0.0000000580
4141 0.0000000388
4172 0.0000000327
4194 0.0000000015
4301 0.0000000014
4321 0.0000000008
4366 0.0000000008
4412 0.0000000001
4472 0.0000000001
4501 0.0000000000
4536 0.0000000000
4568 0.0000000000
4600 0.0000000000
4664 0.0000000000
4744 0.0000000000
4764 0.0000000000
4808 0.0000000000
4818 0.0000000000
4964 0.0000000000
100300 74.9841150704
evaluations raw_y
1 82.7433435883
7 79.6078884598
8 69.5270079873
26 62.4746860252
52 54.0890338271
68 43.9793492483
73 26.2568208454
84 24.7578436611
120 21.4080278270
151 15.0467435326
172 11.5188424246
201 9.3387247133
208 8.9108671108
251 8.6109563577
255 7.7759960414
263 4.7189808648
371 4.0554027104
392 3.9186157096
402 2.9492578399
424 2.2075599657
437 2.0553876726
503 2.0368400800
559 2.0034636980
574 1.9949936966
581 1.9474174671
584 1.9351729812
614 1.9289259011
636 1.9181916832
650 1.9139601251
654 1.8912142351
664 1.8684830423
709 1.8248200163
727 1.8007307764
731 1.7595872605
746 1.7329654309
755 1.7311247722
767 1.7221988385
773 1.7154567984
786 1.7053523062
788 1.6637869054
859 1.6577657656
860 1.6453402439
868 1.6378481776
881 1.6342454573
883 1.6295816826
914 1.6129962626
931 1.6123152786
959 1.6069572765
962 1.6062586019
965 1.6012179576
971 1.5959271868
1018 1.5958733696
1027 1.5937764638
1035 1.5878972143
1053 1.5864235523
1079 1.5853449848
1115 1.5849404309
1118 1.5838673147
1123 1.5829827783
1130 1.5828341505
1136 1.5821849783
1148 1.5814918475
1163 1.5811123909
1182 1.5805636081
1199 1.5779420217
1208 1.5775353105
1230 1.5773157631
1234 1.5739787838
1284 1.5722551966
1313 1.5721445734
1330 1.5720630595
1333 1.5701732067
1345 1.5690142254
1371 1.5685107255
1417 1.5674372739
1426 1.5671360993
1448 1.5669217695
1453 1.5654818085
1481 1.5644529636
1508 1.5644152069
1552 1.5642640286
1584 1.5639249936
1605 1.5639188580
1622 1.5638530148
1627 1.5636583703
1633 1.5634006686
1659 1.5633527661
1733 1.5632826857
1741 1.5631801546
1768 1.5630775450
1805 1.5630582733
1833 1.5630400594
1882 1.5630255630
1907 1.5630146189
1967 1.5630137394
1973 1.5630125004
2026 1.5630114816
2043 1.5630110580
2081 1.5630110094
2103 1.5630104909
2122 1.5630103617
2131 1.5630100784
2160 1.5630099851
2217 1.5630098888
2321 1.5630098735
2377 1.5630098722
2417 1.5630098721
2430 1.5630098673
2435 1.5630098668
2452 1.5630098665
2457 1.5630098661
2459 1.5630098640
2462 1.5630098636
2463 1.5630098615
2478 1.5630098597
2508 1.5630098582
2581 1.5630098582
2596 1.5630098581
2601 1.5630098580
2611 1.5630098579
2626 1.5630098577
2640 1.5630098576
2695 1.5630098576
2700 1.5630098575
2708 1.5630098575
2713 1.5630098575
2717 1.5630098575
2725 1.5630098574
2735 1.5630098574
2740 1.5630098574
2796 1.5630098574
2812 1.5630098574
2824 1.5630098573
2890 1.5630098573
2919 1.5630098573
2930 1.5630098573
2943 1.5630098573
2961 1.5630098573
3019 1.5630098573
3055 1.5630098573
3124 1.5630098573
3189 1.5630098573
3191 1.5630098573
3198 1.5630098573
3251 1.5630098573
3335 1.5630098573
100020 73.5569265743
evaluations raw_y
1 77.6565012796
6 76.0915578329
14 74.5543868953
16 72.5364065862
20 60.6834689755
83 59.8134027246
91 49.2711419791
99 42.0041525084
164 36.0153903832
170 16.1879537126
177 14.7910406683
218 11.3205251497
223 9.2710138603
285 9.2307221514
287 8.2154665537
300 8.1435360328
304 8.0742567555
311 7.6201559022
318 6.8697687863
378 6.7474317570
388 6.6857738441
399 6.4946443216
426 6.4694892054
440 6.4604737459
449 6.3582358329
453 6.3400966047
576 6.3261007353
580 6.3192893242
583 6.3007346402
585 6.2810594112
589 6.2768076823
621 6.2636784862
646 6.2636409603
654 6.2623594034
686 6.2612134709
694 6.2589092799
697 6.2571717766
711 6.2565183290
712 6.2562504889
744 6.2534987660
772 6.2532054101
781 6.2521748356
783 6.2516403788
797 6.2502234662
826 6.2501085708
877 6.2499993021
882 6.2497141477
894 6.2495829810
948 6.2495767681
951 6.2495611299
954 6.2494397369
963 6.2493557866
1012 6.2493516819
1026 6.2493442793
1048 6.2493396911
1059 6.2493374430
1081 6.2493371754
1083 6.2493304874
1102 6.2493271468
1113 6.2493261890
1133 6.2493243500
1147 6.2493222877
1174 6.2493218910
1182 6.2493190979
1262 6.2493173507
1295 6.2493161904
1306 6.2493160761
1327 6.2493159997
1331 6.2493158944
1341 6.2493158120
1342 6.2493155930
1351 6.2493155116
1378 6.2493154788
1384 6.2493152412
1430 6.2493152038
1442 6.2493151724
1478 6.2493151064
1484 6.2493150801
1515 6.2493150781
1543 6.2493150337
1581 6.2493150293
1596 6.2493150270
1606 6.2493150222
1661 6.2493150188
1680 6.2493150184
