evaluations raw_y
1 39.7448651136
2 37.2393619911
3 35.7363449350
4 27.7753282588
6 9.9333191830
16 7.7916774432
78 3.7785238846
348 1.7215490879
400 1.5596457225
583 1.4588720941
610 1.1004014085
934 1.0647245816
941 0.9725249073
945 0.9440464901
949 0.8976896034
955 0.8201776447
959 0.8153635539
961 0.6278530128
967 0.5499048641
968 0.1228614524
971 0.1144272343
1038 0.0412264696
1074 0.0255162376
1090 0.0247821045
1097 0.0247301659
1106 0.0211602283
1107 0.0030332354
1119 0.0028190555
1133 0.0024440392
1158 0.0018216742
1167 0.0001780175
1214 0.0001622701
1216 0.0000693052
1234 0.0000544112
1241 0.0000377057
1242 0.0000161014
1279 0.0000087908
1296 0.0000052210
1307 0.0000026159
1330 0.0000012680
1341 0.0000012649
1344 0.0000012080
1354 0.0000007537
1359 0.0000003115
1360 0.0000001859
1389 0.0000001560
1402 0.0000001394
1409 0.0000000663
1415 0.0000000555
3911 0.0000000064
10157 0.0000000036
20088 32.4573120954
evaluations raw_y
1 29.5326636352
5 13.3560152894
33 14.1388876005
119 3.7529084558
998 13.4611898417
999 12.5781282274
1008 4.4737828781
1010 3.0191474054
1349 1.7454550673
3444 1.4566817693
4337 0.6837742188
5569 0.6493455762
5571 0.5792356759
5578 0.4793574949
5596 0.3984780733
5615 0.2792013955
5663 0.1501734540
5703 0.0587152390
5768 0.0506679910
5833 0.0257128582
5889 0.0203451851
5942 0.0067047469
6024 0.0063092865
6055 0.0056628471
6116 0.0013226385
6121 0.0008676838
6133 0.0003765217
6320 0.0002390487
6401 0.0001029381
6483 0.0000610787
6600 0.0000399666
6704 0.0000274666
6705 0.0000220707
6747 0.0000112851
6828 0.0000014430
7026 0.0000012596
7043 0.0000008274
7078 0.0000007175
7101 0.0000006948
7128 0.0000006390
7165 0.0000006266
20034 3.2746917318
evaluations raw_y
1 41.8400455318
2 21.9485675264
19 17.9788653711
22 1.2356836192
1422 0.7400507037
12267 0.7297091280
12572 0.6497762136
12622 0.5902432962
19857 0.4185199068
20034 70.2982518015
evaluations raw_y
1 43.1298389684
2 39.6566152392
3 25.9213994056
5 21.7308646311
7 6.0856537557
18 6.8070705381
116 5.4294092336
207 3.7005991735
257 2.1241512699
1658 1.9771951712
1815 1.4947881894
2148 1.2936241731
3022 0.7527094718
4988 0.7385028013
4989 0.3687742610
5118 0.2553187076
5162 0.0791501457
5339 0.0140661390
5532 0.0041794981
5708 0.0024713352
5722 0.0011377489
5777 0.0011226193
5838 0.0008154858
5911 0.0007402685
5924 0.0006458741
5965 0.0002851262
5995 0.0002150856
6045 0.0001122116
6091 0.0001052969
6123 0.0000260474
6135 0.0000115960
6329 0.0000073592
6426 0.0000036672
6452 0.0000029521
6484 0.0000023526
6564 0.0000021600
6566 0.0000004006
20052 64.6447579052
evaluations raw_y
1 8.5378253204
4 3.1909183278
40 2.5829310833
265 1.9145601427
815 1.0161946535
1312 0.8133624653
1400 0.6423750116
1403 0.3667162812
1446 0.2416892463
1491 0.1825182360
1504 0.1802339127
1512 0.1056406289
1519 0.1051468984
1554 0.0776126758
1568 0.0060787191
1691 0.0011590129
1752 0.0002062926
1875 0.0000579481
1909 0.0000223804
1966 0.0000120081
2013 0.0000098148
2036 0.0000091017
2065 0.0000067011
2082 0.0000065945
2090 0.0000047571
2109 0.0000032449
2120 0.0000024076
2126 0.0000006348
2151 0.0000005913
2167 0.0000002068
2171 0.0000001184
20046 4.0262325966
evaluations raw_y
1 29.5248482412
6 8.4380787776
10 8.5320278924
20 5.4429737359
25 0.7512952608
1978 0.9733277190
1990 0.7840871999
1992 0.5507206899
1996 0.3221808599
2034 0.2891392602
2042 0.2304035688
2062 0.1856734973
2075 0.1345535897
2086 0.1161828680
2088 0.0994266754
2096 0.0819922380
2106 0.0312795555
2126 0.0312207363
2129 0.0187520113
2142 0.0107223989
2185 0.0105643531
2207 0.0073362891
2249 0.0069025814
2264 0.0034688116
2277 0.0005434042
2361 0.0002505105
2383 0.0002273790
2395 0.0002242647
2401 0.0000853780
2446 0.0000248904
2508 0.0000082139
2511 0.0000060797
2594 0.0000052990
2597 0.0000021542
2605 0.0000012066
2690 0.0000002429
2767 0.0000002182
2781 0.0000001231
2795 0.0000000737
2840 0.0000000712
2847 0.0000000658
2848 0.0000000551
2850 0.0000000455
2888 0.0000000447
2891 0.0000000318
9683 0.0000000273
9735 0.0000000087
20028 3.5148160073
evaluations raw_y
1 11.6266362148
16 11.1551652376
17 7.1869278291
35 6.3610778473
91 1.8740482066
690 0.5302391003
965 0.5129812853
999 0.1389745454
1018 0.0624735011
1045 0.0604267189
1073 0.0452487758
1074 0.0348921990
1094 0.0119464481
1106 0.0065158254
1109 0.0056505270
1117 0.0054221883
1151 0.0048869124
1161 0.0039997532
1163 0.0034823779
1164 0.0025881041
1168 0.0021077144
1173 0.0011394044
1178 0.0008951375
1186 0.0007454194
1189 0.0003717685
1193 0.0002591090
1219 0.0001591087
1222 0.0000750648
1251 0.0000661418
1259 0.0000643320
1262 0.0000519894
1273 0.0000075934
1322 0.0000035441
1353 0.0000031278
1359 0.0000017648
1379 0.0000013477
1413 0.0000005998
1414 0.0000004390
1428 0.0000004336
1434 0.0000004083
1435 0.0000001248
1439 0.0000000911
19086 0.0000000645
19232 0.0000000339
19510 0.0000000280
19567 0.0000000197
19679 0.0000000028
20004 15.8175432806
evaluations raw_y
1 48.2382903615
3 13.9377126635
8 4.4247999589
30 2.3022829401
176 0.7150935600
1632 0.6479604036
1647 0.4187678549
1652 0.2415978269
1678 0.1965274058
1702 0.1644890025
1717 0.1062456178
1728 0.0606265454
1781 0.0581264835
1788 0.0543294870
1805 0.0508276090
1810 0.0336650034
1820 0.0053820121
1900 0.0018042201
1927 0.0015019902
1936 0.0014686314
1956 0.0013267293
1992 0.0005432487
2016 0.0002752802
2028 0.0001845514
2086 0.0000615464
2114 0.0000529605
2127 0.0000504060
2137 0.0000295732
2162 0.0000159606
2164 0.0000148768
2194 0.0000116000
2201 0.0000025542
2270 0.0000018878
2276 0.0000009383
2317 0.0000005409
2343 0.0000002016
2381 0.0000001205
2402 0.0000001125
2407 0.0000000952
2411 0.0000000773
20022 61.4901354438
evaluations raw_y
1 16.0896575345
2 4.9568714454
36 6.5067953352
49 5.8050368726
269 3.4481175769
282 2.3307670724
323 0.8716455628
350 0.6687825952
351 0.1276017791
390 0.0672062431
410 0.0487380252
420 0.0167640716
478 0.0133279828
506 0.0034355630
538 0.0032431542
540 0.0031989356
548 0.0003547665
603 0.0000604951
661 0.0000499758
678 0.0000263256
690 0.0000221397
691 0.0000218089
698 0.0000109252
705 0.0000108169
708 0.0000063308
717 0.0000047929
727 0.0000018024
734 0.0000007905
764 0.0000007293
778 0.0000000727
789 0.0000000488
807 0.0000000267
851 0.0000000105
936 0.1782994946
17532 0.1390051395
17711 0.0802887369
17918 0.0609550901
18058 0.0266998264
18287 0.0224807017
18359 0.0144011998
18765 0.0119687646
18773 0.0031561498
18934 0.0031496925
19061 0.0021268220
19093 0.0021236654
19134 0.0020179076
19173 0.0019794902
19231 0.0018362377
19281 0.0013640915
19345 0.0003577107
19498 0.0001641873
19898 0.0001473700
19947 0.0000518902
19976 0.0000172543
20004 0.0006587554
evaluations raw_y
1 12.6275633055
7 9.7308996726
9 8.5920376958
29 6.0043497017
87 3.5446431634
239 2.7740700916
1122 2.1404619384
1755 1.8338734485
1822 1.0798694737
2091 0.8663918745
2551 0.4904991973
2561 0.4262340366
2590 0.2282715809
2681 0.0279377732
2701 0.0036990626
2854 0.0015534696
2905 0.0011772457
2914 0.0008690504
2948 0.0008122807
2949 0.0006975483
2961 0.0003615993
2998 0.0002242423
3018 0.0001631613
3033 0.0001283424
3048 0.0001047873
3089 0.0000863154
3106 0.0000575270
3113 0.0000509717
3122 0.0000345926
3123 0.0000273185
3128 0.0000148713
3163 0.0000036888
3188 0.0000029661
8005 0.0000023964
20016 46.1901590646
evaluations raw_y
1 30.5155007370
3 22.6753574861
8 12.9895629750
20 9.6311311680
39 6.8897872372
57 4.7100522419
74 2.8509163219
302 2.1317309430
343 1.1252441419
354 0.9018897842
362 0.8343340590
372 0.5689610777
389 0.5172406607
393 0.2438128471
397 0.2040188838
409 0.1234922909
411 0.0736659418
426 0.0361826742
433 0.0240352193
453 0.0139397705
479 0.0047616352
484 0.0041312235
521 0.0040090382
532 0.0033416227
540 0.0031224797
541 0.0020189682
555 0.0010262642
604 0.0005941974
608 0.0005447374
618 0.0004745957
628 0.0002503514
641 0.0000954648
643 0.0000891498
661 0.0000519881
679 0.0000402601
686 0.0000173844
690 0.0000096052
716 0.0000079265
724 0.0000044429
740 0.0000042284
757 0.0000039551
769 0.0000017381
794 0.0000012862
796 0.0000005630
901 2.9361105069
903 2.8561982579
1301 1.4397994697
3324 1.3268065474
3613 1.3256811105
3650 1.0387734530
3659 0.3076117840
3705 0.2383380508
3752 0.2332937906
3765 0.1490803919
3818 0.0778483016
3824 0.0719145315
3852 0.0679871189
3870 0.0565786549
3888 0.0279526921
3903 0.0279098096
3912 0.0199527808
3930 0.0165594673
3936 0.0158293699
3938 0.0146116983
3946 0.0135733802
3956 0.0080255221
3970 0.0075523695
3976 0.0063474560
3981 0.0045546996
3982 0.0045047717
4004 0.0041936995
4010 0.0025028009
4035 0.0018617239
4053 0.0015474252
4057 0.0008496700
4073 0.0002814937
4105 0.0001456478
4117 0.0000687612
4153 0.0000402748
4191 0.0000280840
4211 0.0000278947
4216 0.0000103239
4232 0.0000100578
4257 0.0000034114
4282 0.0000026657
4307 0.0000020462
4313 0.0000017268
4353 0.0000016913
4369 0.0000002341
4436 0.0000001637
4447 0.0000000166
4537 0.0000000121
11029 0.0000000115
11054 0.0000000093
11083 0.0000000088
11094 0.0000000075
11138 0.0000000072
11163 0.0000000027
20034 36.1479505006
evaluations raw_y
1 43.3980595134
2 31.7084594513
3 28.5588775244
15 12.3261588547
20 6.0666804610
36 4.1253629233
65 4.2876989952
89 3.5463229236
294 1.9023334731
338 1.3806220527
1685 0.7484320122
1700 0.3432009244
1766 0.0876747259
1846 0.0784887241
1857 0.0689318298
1868 0.0614904923
1873 0.0490296201
1878 0.0317750348
1911 0.0142780180
1964 0.0139480735
1978 0.0114487369
1986 0.0088223864
1991 0.0085266605
1992 0.0045613454
1997 0.0040663927
2003 0.0022634664
2050 0.0017679907
2084 0.0014841919
2106 0.0010264489
2124 0.0006860258
2154 0.0006610669
2158 0.0005299133
2161 0.0004232440
2180 0.0003722915
2185 0.0001338902
2189 0.0000297172
2272 0.0000146039
2283 0.0000067620
2317 0.0000039928
2377 0.0000004168
20040 31.7525863457
evaluations raw_y
1 43.0687545394
2 15.3475090006
3 11.7796330223
4 5.1309456464
154 1.8388929076
1321 1.6262131990
1779 1.3886157021
2049 1.3317527075
2642 0.7294964100
3370 0.3305026164
10669 0.2211198449
15055 0.1704527973
15365 0.1175942059
15366 0.0930553104
15712 0.0895157769
15822 0.0708469857
15932 0.0649970254
16084 0.0598384424
16152 0.0113356853
16553 0.0056570135
16729 0.0037504684
16784 0.0035799940
16801 0.0027582648
16884 0.0024011880
16951 0.0009234270
17200 0.0007088763
17268 0.0003351073
17398 0.0003274778
17539 0.0002159266
17606 0.0000303891
17880 0.0000230201
18042 0.0000117270
18066 0.0000087660
18496 0.0000055398
18563 0.0000053992
18591 0.0000039798
20094 76.0962269831
evaluations raw_y
1 70.3978715726
2 44.1851474187
3 23.2189595360
13 15.6783985486
25 9.8521161606
32 8.7594887750
48 6.6339621517
68 3.7416301328
241 2.9088628379
279 1.1759639937
637 1.1553616177
643 0.8975372777
647 0.1710869724
700 0.1095595984
705 0.0134535752
758 0.0071730449
794 0.0047474506
798 0.0045604932
800 0.0032028091
807 0.0023223799
809 0.0019580841
826 0.0011530756
834 0.0007692553
882 0.0006807522
894 0.0005414845
908 0.0005200001
915 0.0002508630
920 0.0002353241
931 0.0000399403
952 0.0000119829
1012 0.0000037490
1036 0.0000021827
1069 0.0000003417
1131 0.0000002372
1140 0.0000000995
1153 0.0000000647
1156 0.0000000494
1166 0.0000000292
1168 0.0000000214
1188 0.0000000193
1194 0.0000000186
1195 0.0000000087
1202 0.0000000075
1204 0.0000000055
4920 0.0000000049
20040 0.0153325920
evaluations raw_y
1 62.6277057718
2 38.1113996418
8 10.9179815361
9 10.4599463319
35 5.0364232019
39 3.1287787818
50 3.9719331689
256 3.0935565308
377 2.0554524984
476 2.0141379094
900 1.7635505003
917 0.6307004428
1178 0.5698053400
1187 0.4482389372
1204 0.3920419234
1206 0.2971048744
1210 0.2695273746
1211 0.2032179920
1216 0.0617089954
1278 0.0435528788
1284 0.0111455439
