evaluations raw_y
1 10670.6240765738
3 3213.4348509955
4 848.4621523461
11 327.2030860091
42 280.8043151547
47 279.0045718042
53 174.9197936152
82 147.7789948545
97 117.6432072201
106 114.2471567346
187 111.3945259742
191 86.1338755282
280 72.2227736273
304 71.9484634626
354 70.9918388260
451 64.1465078867
457 55.6439131177
980 55.3860304124
1785 51.2977294158
1796 42.4212188551
1975 41.1186053442
1986 39.9198426578
2033 35.1927388595
2213 34.6029908611
2228 31.5668254478
2238 31.4725169060
2243 31.1316572893
2246 30.2084419125
2252 29.4432845829
2255 28.1839552082
2258 27.4984323023
2269 27.0844504990
2270 25.8774960222
2271 23.3381368491
2318 22.1189105677
2333 19.3695785078
2377 19.0791234676
2411 18.3623510418
2540 18.0967401480
2604 18.0144636849
2650 18.0063022518
2651 17.9848727128
2663 17.9782632782
2666 17.9068528632
2684 17.9048261857
2691 17.8620926148
2720 17.8319815868
2730 17.8077951523
2747 17.7929142191
2769 17.7716885033
2777 17.7530814700
2797 17.7459556049
2825 17.7455521308
2844 17.7395214472
2850 17.7351198185
2852 17.7338684947
2858 17.7235074326
2860 17.7099872123
2891 17.7041576349
2905 17.6991467332
2908 17.6988412032
2915 17.6853152930
2952 17.6608652285
2987 17.6479220500
3039 17.6415191937
3052 17.6349859423
3100 17.6311120630
3109 17.6293309283
3134 17.6266640452
3192 17.6261556029
3198 17.6261266645
3201 17.6256820483
3267 17.6251574831
3282 17.6245928469
3300 17.6244984664
3351 17.6244541696
3357 17.6244091327
3379 17.6243475315
3382 17.6243166652
3396 17.6242262828
3419 17.6240796506
3444 17.6240744045
3455 17.6240582091
3460 17.6239815518
3474 17.6239688063
3483 17.6239499681
3487 17.6239369745
3500 17.6239362936
3507 17.6238631968
3511 17.6238588013
3512 17.6238557134
3521 17.6238535271
3523 17.6238510774
3533 17.6238501200
3534 17.6238344023
3542 17.6238187255
3571 17.6238111982
3575 17.6238070671
3581 17.6237782668
3615 17.6237766913
3626 17.6237746952
3634 17.6237725762
3641 17.6237725260
3651 17.6237723722
3656 17.6237632132
3660 17.6237588310
3667 17.6237573868
3670 17.6237458987
3718 17.6237419478
3734 17.6237409190
3740 17.6237378570
3741 17.6237302510
3757 17.6237224955
3764 17.6237222797
3791 17.6237221615
3816 17.6237210261
3826 17.6237199464
3844 17.6237188643
3889 17.6237183461
3898 17.6237173452
3911 17.6237172220
3921 17.6237170172
3929 17.6237166043
3963 17.6237163872
4000 17.6237163169
4031 17.6237160666
4070 17.6237159938
4083 17.6237159366
4088 17.6237159217
4094 17.6237158883
4111 17.6237158586
4134 17.6237158389
4156 17.6237158292
4210 17.6237158291
4213 17.6237158291
4215 17.6237158142
4280 17.6237158107
4299 17.6237158007
4343 17.6237158004
4376 17.6237157984
4385 17.6237157968
4391 17.6237157963
4394 17.6237157957
4410 17.6237157953
4413 17.6237157953
4422 17.6237157945
4446 17.6237157941
4450 17.6237157938
