evaluations raw_y
1 80728.3417754740
5 9941.1399498619
81 2425.1638031790
189 2286.7431571528
215 2186.0561347373
219 2015.9227858129
225 1891.2811445366
239 1650.6310373780
246 1221.9399755163
270 858.2726231480
272 557.2873488116
285 520.4927923989
287 394.9937032485
290 171.1323434867
296 145.9377941878
312 10.9216799382
343 4.8178174221
384 3.1203606378
386 1.4129569324
479 1.3693927041
490 1.3522092375
492 1.3157464211
521 1.2680327491
532 1.2482970431
547 1.2199209031
549 1.1887961823
553 1.1204766805
558 1.0642957641
561 1.0391472921
580 1.0013945420
583 1.0008863435
591 0.9350975588
622 0.7923442389
624 0.7077265466
641 0.6855622296
647 0.6611472848
648 0.6479293161
661 0.5921863791
666 0.5921842521
670 0.4771638067
706 0.4625742155
709 0.4437135779
722 0.4029109513
723 0.3628871243
731 0.3527951502
736 0.3437912650
738 0.3105827084
753 0.2822010737
764 0.2483158598
773 0.2153749992
781 0.2005063350
783 0.1743344303
787 0.0664620795
798 0.0614146992
801 0.0329147396
811 0.0247140876
825 0.0227545520
828 0.0152942848
837 0.0091018273
844 0.0072720557
854 0.0071344021
856 0.0052756506
860 0.0034031770
865 0.0018193279
871 0.0008845845
892 0.0002450026
917 0.0000876956
922 0.0000199409
950 0.0000118766
984 0.0000058132
990 0.0000052878
997 0.0000039682
1001 0.0000015923
1023 0.0000008282
1030 0.0000000131
1089 0.0000000123
1101 0.0000000118
1104 0.0000000099
1107 0.0000000071
1116 0.0000000004
1153 0.0000000003
1164 0.0000000001
1184 0.0000000001
1188 0.0000000000
1190 0.0000000000
1209 0.0000000000
1210 0.0000000000
1219 0.0000000000
1235 0.0000000000
1253 0.0000000000
1261 0.0000000000
1277 0.0000000000
1333 0.0000000000
1379 0.0000000000
30107 6.7220428710
evaluations raw_y
1 43838873.5481481552
2 34993005.3451794982
3 14444520.1264984794
5 2338396.5591723374
8 2077742.1206376969
9 467297.7522651514
11 354140.8640264146
17 297277.9935426014
26 151643.8120825743
42 120173.7104379828
64 64589.0957253547
85 49433.8715072929
95 29568.5848787489
117 16323.5114302280
189 12083.7696260129
229 11717.8030539622
230 11080.8966993063
249 9416.0227853803
254 8930.1655081331
264 8888.2666126562
276 8727.3094885272
285 7843.4821774430
288 7024.7281310440
303 4662.0881657873
309 3723.6214215172
314 2264.3609430842
316 1919.5123598728
326 917.1359720530
334 639.5069864417
346 621.7184214671
350 514.2709439602
376 298.4289825291
397 276.1860872291
406 213.0129143731
410 207.9321075801
425 204.7609823543
453 196.4072876014
495 194.9724571443
499 194.8366530290
505 194.4965498852
507 194.2366680587
514 193.5043487843
526 193.2040744471
529 192.3947913289
545 192.0632971364
548 191.3463869495
549 190.4645095651
556 188.7813237972
570 183.6526907840
573 181.8250682493
577 178.2899903894
582 172.5095972414
587 169.7157418710
599 142.7302903465
614 134.1926851152
646 96.2864792224
648 94.5783742984
652 83.5407966377
655 81.1294864076
665 73.2530544424
671 58.8549066392
674 54.2170724882
690 50.6845839266
705 29.8449856102
722 18.2132111602
766 17.2744835452
771 16.2837127385
777 10.3000591381
794 5.1964118079
810 1.4603544980
828 1.3598889663
835 0.8933653145
863 0.6937770136
870 0.2126175366
877 0.1477654671
889 0.0113104039
919 0.0080651762
923 0.0058662117
939 0.0052227980
947 0.0037411277
979 0.0021250895
