evaluations raw_y
1 1834.3305675286
2 886.1179959017
6 650.5661409135
11 574.4401818562
21 422.1447287632
23 411.0872727544
33 372.1252315278
38 274.1217396947
43 271.7338515903
48 246.1690022662
54 207.3072863201
80 166.2661653519
91 138.7882800087
189 94.5590081154
314 90.6783833241
365 80.3119427046
380 73.7897482026
395 71.4968618441
408 66.9390585603
452 65.6924983228
557 53.9325489635
712 51.0346317171
730 50.7148994284
731 41.1974675461
776 38.5509590681
791 33.2043451265
798 26.4708430833
804 24.1111186740
909 23.8015132657
912 22.7142568569
914 21.7832373795
943 21.6297996562
951 21.3859246916
954 20.8504663383
958 20.7664208119
960 20.7136221385
969 19.7982455896
971 19.3539758262
983 18.8797430623
988 18.6976931733
1019 18.6195120119
1063 18.0838028001
1118 17.6774756472
1124 17.5102463036
1133 17.4618528066
1159 17.3999208206
1207 17.3947960526
1230 17.3147846664
1249 17.2823397736
1263 17.2137563507
1273 17.1768554419
1280 17.1731420243
1283 17.1211416474
1301 17.0765547052
1303 17.0470815767
1320 17.0375874681
1326 17.0257823312
1348 17.0250424651
1351 17.0236928885
1353 17.0182934866
1355 17.0124626201
1359 17.0090202999
1367 16.9947186689
1371 16.9913805407
1381 16.9889217101
1395 16.9841951138
1397 16.9800314064
1402 16.9661175329
1413 16.9646641373
1416 16.9633389799
1424 16.9595091712
1437 16.9386846842
1489 16.9310861698
1501 16.9308596941
1518 16.9285085945
1522 16.9260331129
1532 16.9231648940
1549 16.9208931189
1576 16.9173683869
1643 16.9161789538
1652 16.9159722657
1666 16.9157581286
1676 16.9150919530
1681 16.9148129007
1725 16.9147981473
1751 16.9147117242
1774 16.9145685242
1781 16.9144887142
1831 16.9144322658
1842 16.9144181928
1854 16.9143483805
1864 16.9143402793
1895 16.9143299655
1915 16.9143261774
1921 16.9143189687
1931 16.9142820230
2080 16.9142802574
2096 16.9142789787
2102 16.9142780462
2116 16.9142774977
2121 16.9142773920
2173 16.9142769667
2180 16.9142761254
2193 16.9142749293
2218 16.9142747139
2234 16.9142745270
2244 16.9142744716
2284 16.9142742764
2303 16.9142741385
2310 16.9142740808
2329 16.9142740525
2356 16.9142738510
2364 16.9142738083
2393 16.9142738055
2400 16.9142737950
2410 16.9142737874
2412 16.9142737618
2417 16.9142737609
2420 16.9142737285
2441 16.9142737256
2446 16.9142737176
2456 16.9142737173
2461 16.9142737113
2512 16.9142737093
2522 16.9142737042
2542 16.9142737041
2549 16.9142737038
2567 16.9142737026
2568 16.9142737021
2569 16.9142737010
2593 16.9142737003
2614 16.9142737001
2621 16.9142736993
2675 16.9142736992
2689 16.9142736990
2692 16.9142736990
2705 16.9142736989
2706 16.9142736984
2781 16.9142736984
2786 16.9142736984
2793 16.9142736983
2827 16.9142736983
2835 16.9142736983
2895 16.9142736983
2905 16.9142736983
2916 16.9142736983
2921 16.9142736983
2941 16.9142736983
2952 16.9142736982
2953 16.9142736982
2973 16.9142736982
3051 16.9142736982
3073 16.9142736982
3096 16.9142736982
3107 16.9142736982
3126 16.9142736982
3131 16.9142736982
3150 16.9142736982
3153 16.9142736982
3160 16.9142736982
3212 16.9142736982
3253 16.9142736982
3256 16.9142736982
3300 16.9142736982
3339 16.9142736982
3378 16.9142736982
6058 16.7234288405
6084 15.0037166497
6099 14.6280053374
6106 14.2137816757
6174 13.2974836004
6193 13.0237043550
6209 12.9876800212
6213 12.5597508209
6244 12.4329009632
6257 11.7467747056
6407 11.2054309148
6482 11.1977479815
6538 11.1658081124
6557 11.1205951142
6590 11.1155374290
6592 11.0663670730
6639 11.0213783809
6728 11.0138192568
6777 10.9757223305
6804 10.9631757638
6861 10.9595907320
6897 10.9581463795
6909 10.9564768123
6919 10.9506453265
7007 10.9491083918
7026 10.9484426962
7042 10.9479655997
7066 10.9475495467
7092 10.9473944201
7106 10.9464086409
7135 10.9461984713
7147 10.9460620178
7167 10.9455411063
7184 10.9455339137
7192 10.9450854194
7303 10.9449813481
7312 10.9448192753
7366 10.9448096229
7374 10.9448090961
7380 10.9447709506
7388 10.9447218747
7392 10.9446597536
7411 10.9445941696
7531 10.9445900120
7541 10.9445808585
7549 10.9445774531
7552 10.9445686720
7633 10.9445642127
7647 10.9445627733
7658 10.9445511264
7671 10.9445504767
7691 10.9445502194
7710 10.9445499312
7731 10.9445495718
7736 10.9445473811
7739 10.9445461539
7769 10.9445454637
7798 10.9445421873
7804 10.9445414948
7915 10.9445403478
7963 10.9445403412
7975 10.9445402146
8000 10.9445399783
8021 10.9445398527
8081 10.9445396935
8117 10.9445396634
8155 10.9445396456
8205 10.9445396352
8229 10.9445395955
8249 10.9445395910
8252 10.9445395887
8267 10.9445395779
8366 10.9445395771
8369 10.9445395659
8443 10.9445395658
8445 10.9445395649
8459 10.9445395642
8467 10.9445395629
8472 10.9445395545
8632 10.9445395540
8676 10.9445395535
8708 10.9445395532
8713 10.9445395529
8751 10.9445395529
8756 10.9445395527
8791 10.9445395526
8886 10.9445395525
8947 10.9445395525
9021 10.9445395525
9022 10.9445395524
9038 10.9445395524
9065 10.9445395524
9159 10.9445395524
9170 10.9445395524
9271 10.9445395524
9273 10.9445395524
9297 10.9445395524
9333 10.9445395524
9359 10.9445395524
9391 10.9445395524
9422 10.9445395524
9425 10.9445395524
9430 10.9445395524
9436 10.9445395524
9460 10.9445395524
9510 10.9445395524
9577 10.9445395524
9578 10.9445395524
9591 10.9445395524
9774 10.9445395524
13038 10.6262233285
13066 5.6388407003
13278 4.8759549310
13385 4.7413814157
13468 4.5326269185
13494 4.1915764074
13507 4.1295455409
13523 3.4737387352
13537 3.1212054792
13565 2.8885622139
13597 2.7513560048
13652 2.5793761224
13773 2.5675436783
13781 2.5417445364
13799 2.4688511481
13840 2.4471490829
13845 2.3746407560
13849 2.2840235425
13981 2.2828441668
13985 2.1402818190
14045 2.1335711319
14124 2.1250944417
14138 2.1247103943
14139 2.1165717876
14155 2.0877099854
14173 2.0524506189
14258 2.0378103847
14312 2.0101002449
14487 2.0023066598
14572 2.0013941977
14573 1.9984535759
14673 1.9949555267
14715 1.9933652938
14772 1.9931059641
14781 1.9925828553
14836 1.9921677976
14872 1.9915116149
14901 1.9915012551
14911 1.9906401728
15121 1.9904897607
15134 1.9902046223
15161 1.9901924428
15163 1.9900820621
15431 1.9899736261
15641 1.9899548587
15740 1.9899405569
15845 1.9899372315
15852 1.9899364472
15872 1.9899327603
15913 1.9899267344
15925 1.9899232502
15992 1.9899221268
16179 1.9899203823
16220 1.9899192679
16515 1.9899187686
16517 1.9899186203
16599 1.9899185647
16631 1.9899185405
16698 1.9899183058
16797 1.9899182886
16848 1.9899182391
16856 1.9899182233
16938 1.9899181947
17028 1.9899181919
17048 1.9899181881
17061 1.9899181823
17076 1.9899181417
17195 1.9899181326
17254 1.9899181294
17324 1.9899181287
17335 1.9899181270
17432 1.9899181268
17455 1.9899181268
17459 1.9899181255
17472 1.9899181241
17494 1.9899181212
17541 1.9899181208
17565 1.9899181203
17574 1.9899181186
17575 1.9899181186
17628 1.9899181178
17656 1.9899181175
17657 1.9899181173
17672 1.9899181169
17701 1.9899181168
17705 1.9899181163
17734 1.9899181162
17775 1.9899181162
17782 1.9899181158
17823 1.9899181154
17865 1.9899181153
17890 1.9899181153
17898 1.9899181150
17931 1.9899181149
17979 1.9899181146
18043 1.9899181146
18092 1.9899181145
18106 1.9899181145
18118 1.9899181144
18157 1.9899181144
18194 1.9899181144
18212 1.9899181143
18390 1.9899181142
18491 1.9899181142
18747 1.9899181142
18789 1.9899181142
18858 1.9899181142
19004 1.9899181142
19030 1.9899181142
19107 1.9899181142
19108 1.9899181142
19141 1.9899181142
19186 1.9899181142
19213 1.9899181142
19280 1.9899181142
19312 1.9899181142
19348 1.9899181142
19389 1.9899181142
19580 1.9899181142
19679 1.9899181142
100130 3.9798501437
evaluations raw_y
1 2066.1545282981
2 849.9029607674
6 551.0296666715
11 487.9425756736
15 362.5616547010
23 220.3977364761
82 174.6687137627
133 139.2420970240
163 128.5359456030
190 105.9446125312
207 94.8056003373
308 75.1352088627
502 73.4159647403
728 71.5045111473
737 54.4800786759
872 48.3601093979
955 45.3845471412
1128 44.3307142826
1148 22.1739014127
