evaluations raw_y
1 363.2932916716
10 282.0338989407
31 263.1984755790
40 224.6235648148
43 158.5508229610
123 156.9657506609
126 156.2037732328
127 155.8258695440
131 151.4941499627
134 137.4754378141
147 111.1442325061
149 110.1303085781
156 85.2440674560
174 80.1624275809
198 67.8408389533
236 67.2554916754
276 51.2867434631
312 48.6336865118
313 45.6811902352
336 39.2070929287
360 27.2304691043
444 18.9526947914
526 18.1645945282
533 16.4621931020
546 15.5605822780
568 14.5401178738
574 14.1973564449
584 13.7716235037
591 12.9250428984
593 11.7557241943
606 11.5639253025
607 11.5263974149
614 10.9167988056
646 10.1313593427
704 10.0578630238
726 10.0277917689
730 10.0190309665
737 10.0109563168
746 9.9677923596
773 9.9638822569
799 9.9628536157
803 9.9532813196
832 9.9509841191
840 9.9508283685
855 9.9505093576
899 9.9504228558
904 9.9501202433
912 9.9499157058
930 9.9497752049
933 9.9497016835
947 9.9496216845
983 9.9496046565
1039 9.9495991971
1050 9.9495885868
1063 9.9495885313
1071 9.9495872081
1072 9.9495821315
1160 9.9495812972
1250 9.9495812694
1266 9.9495810853
1273 9.9495808919
1277 9.9495808065
1293 9.9495808007
1299 9.9495807668
1315 9.9495806059
1367 9.9495805899
1369 9.9495805822
1375 9.9495805578
1377 9.9495805550
1383 9.9495805317
1385 9.9495805164
1407 9.9495805140
1420 9.9495805038
1452 9.9495805004
1463 9.9495804969
1515 9.9495804968
1524 9.9495804963
1544 9.9495804957
1557 9.9495804955
1568 9.9495804954
1570 9.9495804953
1688 9.9495804953
1722 9.9495804953
1726 9.9495804953
1731 9.9495804953
1758 9.9495804953
1761 9.9495804953
1767 9.9495804953
1770 9.9495804953
1790 9.9495804953
1816 9.9495804953
1833 9.9495804953
1845 9.9495804953
1849 9.9495804953
1859 9.9495804953
1861 9.9495804953
1954 9.9495804953
1962 9.9495804953
1968 9.9495804953
2665 8.3767881726
2825 8.1486641783
2875 7.7306229207
2882 7.6494393996
2887 7.2665888862
2904 7.2460012837
2951 7.0300786489
3005 7.0055812455
3058 6.9944082126
3100 6.9728304828
3160 6.9728059915
3172 6.9688518279
3191 6.9682513994
3232 6.9673592589
3239 6.9672854013
3267 6.9658375193
3316 6.9656589566
3338 6.9650810330
3373 6.9650484723
3385 6.9649756760
3390 6.9649379343
3403 6.9648270867
3428 6.9647662742
3440 6.9647550484
3449 6.9647276408
3490 6.9647199757
3515 6.9647178643
3529 6.9647150365
3585 6.9647125261
3620 6.9647123054
3629 6.9647121454
3633 6.9647120290
3638 6.9647111827
3686 6.9647097049
3690 6.9647096533
3724 6.9647090978
3748 6.9647088077
3783 6.9647087549
3804 6.9647086738
3805 6.9647086228
3812 6.9647084979
3832 6.9647084303
3864 6.9647083924
3896 6.9647083875
3915 6.9647083843
3946 6.9647083738
3950 6.9647083725
3976 6.9647083702
3990 6.9647083701
3991 6.9647083682
4008 6.9647083647
4051 6.9647083641
4081 6.9647083625
4106 6.9647083620
4162 6.9647083620
4170 6.9647083620
4222 6.9647083619
4246 6.9647083619
4267 6.9647083618
4337 6.9647083618
4351 6.9647083618
4376 6.9647083618
4383 6.9647083618
4425 6.9647083618
4432 6.9647083618
4435 6.9647083618
4441 6.9647083618
4510 6.9647083618
4533 6.9647083618
4578 6.9647083618
4635 6.9647083618
4655 6.9647083618
4672 6.9647083618
4728 6.9647083618
4793 6.9647083618
4852 6.9647083618
38869 6.1031180076
43838 5.5771968110
44845 5.4123606287
45585 4.7997480638
45791 4.4285596638
46359 4.1596585921
47155 4.1559139364
47221 4.0830298553
47945 4.0458198326
48146 4.0182777375
48640 4.0149384283
49187 4.0054699721
49298 3.9945824331
49573 3.9942853887
49636 3.9932030886
49650 3.9929792671
49685 3.9901744792
49942 3.9866187408
50013 3.9861725166
50032 4.0255850554
evaluations raw_y
1 1004.5240293179
2 139.3554884760
20 90.2902137862
25 60.8975494142
82 41.9601080631
90 32.1282866817
163 29.0048575072
274 19.5921753305
393 13.9479975698
516 9.8665381205
568 9.6226373548
570 9.2917486408
573 7.4488335210
617 6.7347936538
618 6.6499235933
640 6.3886037658
644 6.1189433770
653 5.9402050320
657 5.8888151843
670 5.6791833372
689 5.6314887236
691 5.3719054751
704 5.1099757615
711 4.8356731353
715 4.8057707697
731 4.6983247185
761 4.6633091472
763 4.5517795224
772 4.2273188512
779 4.2140832009
811 4.2002361612
827 4.1936008483
836 4.0602202427
851 4.0376047045
853 4.0350118177
860 4.0347020801
870 4.0176691214
921 4.0149445829
942 4.0060865803
952 4.0000156479
954 3.9883695554
955 3.9856654879
982 3.9817537756
